context: It's the same as that day... response:	Yano's heart is about to open up to me...
context: I'm all set!\I got a haircut!\I just don't know what you're thinking sometimes.\Who knows?\Quit joking around.\She got contacts...?\What's gotten into her?\I guess not all girls are babes when they get rid of their glasses like in comics... response:	The one way... the only way...
context: I got a haircut!\I just don't know what you're thinking sometimes.\Who knows?\Quit joking around.\She got contacts...?\What's gotten into her?\I guess not all girls are babes when they get rid of their glasses like in comics...\The one way... the only way... response:	What's the only way to allow it?!
context: I just don't know what you're thinking sometimes.\Who knows?\Quit joking around.\She got contacts...?\What's gotten into her?\I guess not all girls are babes when they get rid of their glasses like in comics...\The one way... the only way...\What's the only way to allow it?! response:	Take, Take!
context: Who knows?\Quit joking around.\She got contacts...?\What's gotten into her?\I guess not all girls are babes when they get rid of their glasses like in comics...\The one way... the only way...\What's the only way to allow it?!\Take, Take! response:	We're going to another hook-up party. You coming?
context: Quit joking around.\She got contacts...?\What's gotten into her?\I guess not all girls are babes when they get rid of their glasses like in comics...\The one way... the only way...\What's the only way to allow it?!\Take, Take!\We're going to another hook-up party. You coming? response:	I'll pass.
context: She got contacts...?\What's gotten into her?\I guess not all girls are babes when they get rid of their glasses like in comics...\The one way... the only way...\What's the only way to allow it?!\Take, Take!\We're going to another hook-up party. You coming?\I'll pass. response:	Damn it!
context: What's gotten into her?\I guess not all girls are babes when they get rid of their glasses like in comics...\The one way... the only way...\What's the only way to allow it?!\Take, Take!\We're going to another hook-up party. You coming?\I'll pass.\Damn it! response:	I can't figure it out at all!
context: I guess not all girls are babes when they get rid of their glasses like in comics...\The one way... the only way...\What's the only way to allow it?!\Take, Take!\We're going to another hook-up party. You coming?\I'll pass.\Damn it!\I can't figure it out at all! response:	I've got a lot of cuties this time!
context: The one way... the only way...\What's the only way to allow it?!\Take, Take!\We're going to another hook-up party. You coming?\I'll pass.\Damn it!\I can't figure it out at all!\I've got a lot of cuties this time! response:	I just said I wasn't going!
context: What's the only way to allow it?!\Take, Take!\We're going to another hook-up party. You coming?\I'll pass.\Damn it!\I can't figure it out at all!\I've got a lot of cuties this time!\I just said I wasn't going! response:	Even though it seems like our lives never change, they slowly do...
context: Take, Take!\We're going to another hook-up party. You coming?\I'll pass.\Damn it!\I can't figure it out at all!\I've got a lot of cuties this time!\I just said I wasn't going!\Even though it seems like our lives never change, they slowly do... response:	And just like how we never notice...
context: We're going to another hook-up party. You coming?\I'll pass.\Damn it!\I can't figure it out at all!\I've got a lot of cuties this time!\I just said I wasn't going!\Even though it seems like our lives never change, they slowly do...\And just like how we never notice... response:	Shizuka na ame ga furu
context: I'll pass.\Damn it!\I can't figure it out at all!\I've got a lot of cuties this time!\I just said I wasn't going!\Even though it seems like our lives never change, they slowly do...\And just like how we never notice...\Shizuka na ame ga furu response:	Sukoshi tsumetai ame
context: Damn it!\I can't figure it out at all!\I've got a lot of cuties this time!\I just said I wasn't going!\Even though it seems like our lives never change, they slowly do...\And just like how we never notice...\Shizuka na ame ga furu\Sukoshi tsumetai ame response:	Atattaneai tsudzuketeru
context: I can't figure it out at all!\I've got a lot of cuties this time!\I just said I wasn't going!\Even though it seems like our lives never change, they slowly do...\And just like how we never notice...\Shizuka na ame ga furu\Sukoshi tsumetai ame\Atattaneai tsudzuketeru response:	Kono kokoro wo hiyasu you ni
context: I've got a lot of cuties this time!\I just said I wasn't going!\Even though it seems like our lives never change, they slowly do...\And just like how we never notice...\Shizuka na ame ga furu\Sukoshi tsumetai ame\Atattaneai tsudzuketeru\Kono kokoro wo hiyasu you ni response:	Itsumo kimi wo mitsuketeita
context: I just said I wasn't going!\Even though it seems like our lives never change, they slowly do...\And just like how we never notice...\Shizuka na ame ga furu\Sukoshi tsumetai ame\Atattaneai tsudzuketeru\Kono kokoro wo hiyasu you ni\Itsumo kimi wo mitsuketeita response:	Yasashiii ushirosugata mawari iku kono omoi
context: Even though it seems like our lives never change, they slowly do...\And just like how we never notice...\Shizuka na ame ga furu\Sukoshi tsumetai ame\Atattaneai tsudzuketeru\Kono kokoro wo hiyasu you ni\Itsumo kimi wo mitsuketeita\Yasashiii ushirosugata mawari iku kono omoi response:	Doko he mukau no
context: And just like how we never notice...\Shizuka na ame ga furu\Sukoshi tsumetai ame\Atattaneai tsudzuketeru\Kono kokoro wo hiyasu you ni\Itsumo kimi wo mitsuketeita\Yasashiii ushirosugata mawari iku kono omoi\Doko he mukau no response:	Kimi ga mitsumeru saki ni wa
context: Shizuka na ame ga furu\Sukoshi tsumetai ame\Atattaneai tsudzuketeru\Kono kokoro wo hiyasu you ni\Itsumo kimi wo mitsuketeita\Yasashiii ushirosugata mawari iku kono omoi\Doko he mukau no\Kimi ga mitsumeru saki ni wa response:	Nani ga aru darou
context: Sukoshi tsumetai ame\Atattaneai tsudzuketeru\Kono kokoro wo hiyasu you ni\Itsumo kimi wo mitsuketeita\Yasashiii ushirosugata mawari iku kono omoi\Doko he mukau no\Kimi ga mitsumeru saki ni wa\Nani ga aru darou response:	Bokura wa hitahashiru
context: Atattaneai tsudzuketeru\Kono kokoro wo hiyasu you ni\Itsumo kimi wo mitsuketeita\Yasashiii ushirosugata mawari iku kono omoi\Doko he mukau no\Kimi ga mitsumeru saki ni wa\Nani ga aru darou\Bokura wa hitahashiru response:	Todokisou de todokana
context: Kono kokoro wo hiyasu you ni\Itsumo kimi wo mitsuketeita\Yasashiii ushirosugata mawari iku kono omoi\Doko he mukau no\Kimi ga mitsumeru saki ni wa\Nani ga aru darou\Bokura wa hitahashiru\Todokisou de todokana response:	Sono kyori de
context: Itsumo kimi wo mitsuketeita\Yasashiii ushirosugata mawari iku kono omoi\Doko he mukau no\Kimi ga mitsumeru saki ni wa\Nani ga aru darou\Bokura wa hitahashiru\Todokisou de todokana\Sono kyori de response:	Shizuka ni ame ga furu
context: Yasashiii ushirosugata mawari iku kono omoi\Doko he mukau no\Kimi ga mitsumeru saki ni wa\Nani ga aru darou\Bokura wa hitahashiru\Todokisou de todokana\Sono kyori de\Shizuka ni ame ga furu response:	Sukoshi sabishii ame
context: Doko he mukau no\Kimi ga mitsumeru saki ni wa\Nani ga aru darou\Bokura wa hitahashiru\Todokisou de todokana\Sono kyori de\Shizuka ni ame ga furu\Sukoshi sabishii ame response:	Hirogaritsudzuketeru
context: Kimi ga mitsumeru saki ni wa\Nani ga aru darou\Bokura wa hitahashiru\Todokisou de todokana\Sono kyori de\Shizuka ni ame ga furu\Sukoshi sabishii ame\Hirogaritsudzuketeru response:	Kono kokoro wo nadameru you ni
context: Nani ga aru darou\Bokura wa hitahashiru\Todokisou de todokana\Sono kyori de\Shizuka ni ame ga furu\Sukoshi sabishii ame\Hirogaritsudzuketeru\Kono kokoro wo nadameru you ni response:	Itsumo kimi wo mitsumeteiru
context: Bokura wa hitahashiru\Todokisou de todokana\Sono kyori de\Shizuka ni ame ga furu\Sukoshi sabishii ame\Hirogaritsudzuketeru\Kono kokoro wo nadameru you ni\Itsumo kimi wo mitsumeteiru response:	Kawaii ushirosugata mawarikudoi omoi
context: Todokisou de todokana\Sono kyori de\Shizuka ni ame ga furu\Sukoshi sabishii ame\Hirogaritsudzuketeru\Kono kokoro wo nadameru you ni\Itsumo kimi wo mitsumeteiru\Kawaii ushirosugata mawarikudoi omoi response:	Doko ni mukau no
context: Sono kyori de\Shizuka ni ame ga furu\Sukoshi sabishii ame\Hirogaritsudzuketeru\Kono kokoro wo nadameru you ni\Itsumo kimi wo mitsumeteiru\Kawaii ushirosugata mawarikudoi omoi\Doko ni mukau no response:	Boku ga motomer saki ni wa
context: Shizuka ni ame ga furu\Sukoshi sabishii ame\Hirogaritsudzuketeru\Kono kokoro wo nadameru you ni\Itsumo kimi wo mitsumeteiru\Kawaii ushirosugata mawarikudoi omoi\Doko ni mukau no\Boku ga motomer saki ni wa response:	Nani ga matsu darou
context: Sukoshi sabishii ame\Hirogaritsudzuketeru\Kono kokoro wo nadameru you ni\Itsumo kimi wo mitsumeteiru\Kawaii ushirosugata mawarikudoi omoi\Doko ni mukau no\Boku ga motomer saki ni wa\Nani ga matsu darou response:	Bokura wa hitahashiru
context: Hirogaritsudzuketeru\Kono kokoro wo nadameru you ni\Itsumo kimi wo mitsumeteiru\Kawaii ushirosugata mawarikudoi omoi\Doko ni mukau no\Boku ga motomer saki ni wa\Nani ga matsu darou\Bokura wa hitahashiru response:	Todokisou de todokanai
context: Kono kokoro wo nadameru you ni\Itsumo kimi wo mitsumeteiru\Kawaii ushirosugata mawarikudoi omoi\Doko ni mukau no\Boku ga motomer saki ni wa\Nani ga matsu darou\Bokura wa hitahashiru\Todokisou de todokanai response:	Sono kyori de
context: Itsumo kimi wo mitsumeteiru\Kawaii ushirosugata mawarikudoi omoi\Doko ni mukau no\Boku ga motomer saki ni wa\Nani ga matsu darou\Bokura wa hitahashiru\Todokisou de todokanai\Sono kyori de response:	Sono kyori de
context: Kawaii ushirosugata mawarikudoi omoi\Doko ni mukau no\Boku ga motomer saki ni wa\Nani ga matsu darou\Bokura wa hitahashiru\Todokisou de todokanai\Sono kyori de\Sono kyori de response:	Sono kyori de
context: Doko ni mukau no\Boku ga motomer saki ni wa\Nani ga matsu darou\Bokura wa hitahashiru\Todokisou de todokanai\Sono kyori de\Sono kyori de\Sono kyori de response:	Sono kyori de
context: Boku ga motomer saki ni wa\Nani ga matsu darou\Bokura wa hitahashiru\Todokisou de todokanai\Sono kyori de\Sono kyori de\Sono kyori de\Sono kyori de response:	A silent rain falls.
context: Nani ga matsu darou\Bokura wa hitahashiru\Todokisou de todokanai\Sono kyori de\Sono kyori de\Sono kyori de\Sono kyori de\A silent rain falls. response:	A slightly chilly rain.
context: Bokura wa hitahashiru\Todokisou de todokanai\Sono kyori de\Sono kyori de\Sono kyori de\Sono kyori de\A silent rain falls.\A slightly chilly rain. response:	But it continues to fall, without actually hitting me
context: Todokisou de todokanai\Sono kyori de\Sono kyori de\Sono kyori de\Sono kyori de\A silent rain falls.\A slightly chilly rain.\But it continues to fall, without actually hitting me response:	as if it's trying to freeze my heart instead.
context: Sono kyori de\Sono kyori de\Sono kyori de\Sono kyori de\A silent rain falls.\A slightly chilly rain.\But it continues to fall, without actually hitting me\as if it's trying to freeze my heart instead. response:	I've always found your gentle back
context: Sono kyori de\Sono kyori de\Sono kyori de\A silent rain falls.\A slightly chilly rain.\But it continues to fall, without actually hitting me\as if it's trying to freeze my heart instead.\I've always found your gentle back response:	on any day, but where do my
context: Sono kyori de\Sono kyori de\A silent rain falls.\A slightly chilly rain.\But it continues to fall, without actually hitting me\as if it's trying to freeze my heart instead.\I've always found your gentle back\on any day, but where do my response:	winding feelings point?
context: Sono kyori de\A silent rain falls.\A slightly chilly rain.\But it continues to fall, without actually hitting me\as if it's trying to freeze my heart instead.\I've always found your gentle back\on any day, but where do my\winding feelings point? response:	I wonder what you see
context: A silent rain falls.\A slightly chilly rain.\But it continues to fall, without actually hitting me\as if it's trying to freeze my heart instead.\I've always found your gentle back\on any day, but where do my\winding feelings point?\I wonder what you see response:	before you?
context: A slightly chilly rain.\But it continues to fall, without actually hitting me\as if it's trying to freeze my heart instead.\I've always found your gentle back\on any day, but where do my\winding feelings point?\I wonder what you see\before you? response:	We keep on running
context: But it continues to fall, without actually hitting me\as if it's trying to freeze my heart instead.\I've always found your gentle back\on any day, but where do my\winding feelings point?\I wonder what you see\before you?\We keep on running response:	and we seem like we're going to reach, but don't.
context: as if it's trying to freeze my heart instead.\I've always found your gentle back\on any day, but where do my\winding feelings point?\I wonder what you see\before you?\We keep on running\and we seem like we're going to reach, but don't. response:	At that distance away from you.
context: I've always found your gentle back\on any day, but where do my\winding feelings point?\I wonder what you see\before you?\We keep on running\and we seem like we're going to reach, but don't.\At that distance away from you. response:	Rain will fall again someday.
context: on any day, but where do my\winding feelings point?\I wonder what you see\before you?\We keep on running\and we seem like we're going to reach, but don't.\At that distance away from you.\Rain will fall again someday. response:	A slightly lonely rain
context: winding feelings point?\I wonder what you see\before you?\We keep on running\and we seem like we're going to reach, but don't.\At that distance away from you.\Rain will fall again someday.\A slightly lonely rain response:	will pour all around and spread
context: I wonder what you see\before you?\We keep on running\and we seem like we're going to reach, but don't.\At that distance away from you.\Rain will fall again someday.\A slightly lonely rain\will pour all around and spread response:	as if it's meant to soothe my heart.
context: before you?\We keep on running\and we seem like we're going to reach, but don't.\At that distance away from you.\Rain will fall again someday.\A slightly lonely rain\will pour all around and spread\as if it's meant to soothe my heart. response:	I'm always looking at your cute back
context: We keep on running\and we seem like we're going to reach, but don't.\At that distance away from you.\Rain will fall again someday.\A slightly lonely rain\will pour all around and spread\as if it's meant to soothe my heart.\I'm always looking at your cute back response:	but these winding feelings
context: and we seem like we're going to reach, but don't.\At that distance away from you.\Rain will fall again someday.\A slightly lonely rain\will pour all around and spread\as if it's meant to soothe my heart.\I'm always looking at your cute back\but these winding feelings response:	point me in the other direction.
context: At that distance away from you.\Rain will fall again someday.\A slightly lonely rain\will pour all around and spread\as if it's meant to soothe my heart.\I'm always looking at your cute back\but these winding feelings\point me in the other direction. response:	What am I waiting for
context: Rain will fall again someday.\A slightly lonely rain\will pour all around and spread\as if it's meant to soothe my heart.\I'm always looking at your cute back\but these winding feelings\point me in the other direction.\What am I waiting for response:	at the end of my search?
context: A slightly lonely rain\will pour all around and spread\as if it's meant to soothe my heart.\I'm always looking at your cute back\but these winding feelings\point me in the other direction.\What am I waiting for\at the end of my search? response:	We keep on running
context: will pour all around and spread\as if it's meant to soothe my heart.\I'm always looking at your cute back\but these winding feelings\point me in the other direction.\What am I waiting for\at the end of my search?\We keep on running response:	and we seem like we're going to reach, but don't.
context: as if it's meant to soothe my heart.\I'm always looking at your cute back\but these winding feelings\point me in the other direction.\What am I waiting for\at the end of my search?\We keep on running\and we seem like we're going to reach, but don't. response:	At that distance away from you.
context: I'm always looking at your cute back\but these winding feelings\point me in the other direction.\What am I waiting for\at the end of my search?\We keep on running\and we seem like we're going to reach, but don't.\At that distance away from you. response:	At that distance away from you.
context: but these winding feelings\point me in the other direction.\What am I waiting for\at the end of my search?\We keep on running\and we seem like we're going to reach, but don't.\At that distance away from you.\At that distance away from you. response:	At that distance away from you.
context: point me in the other direction.\What am I waiting for\at the end of my search?\We keep on running\and we seem like we're going to reach, but don't.\At that distance away from you.\At that distance away from you.\At that distance away from you. response:	At that distance away from you.
context: What am I waiting for\at the end of my search?\We keep on running\and we seem like we're going to reach, but don't.\At that distance away from you.\At that distance away from you.\At that distance away from you.\At that distance away from you. response:	Episode 20 Preview...
context: at the end of my search?\We keep on running\and we seem like we're going to reach, but don't.\At that distance away from you.\At that distance away from you.\At that distance away from you.\At that distance away from you.\Episode 20 Preview... response:	Please give me a chance...
context: We keep on running\and we seem like we're going to reach, but don't.\At that distance away from you.\At that distance away from you.\At that distance away from you.\At that distance away from you.\Episode 20 Preview...\Please give me a chance... response:	Let's try going out for just a month.
context: and we seem like we're going to reach, but don't.\At that distance away from you.\At that distance away from you.\At that distance away from you.\At that distance away from you.\Episode 20 Preview...\Please give me a chance...\Let's try going out for just a month. response:	Take-chan's first girlfriend!
context: At that distance away from you.\At that distance away from you.\At that distance away from you.\At that distance away from you.\Episode 20 Preview...\Please give me a chance...\Let's try going out for just a month.\Take-chan's first girlfriend! response:	Don't go out with some girl you don't even like!
context: At that distance away from you.\At that distance away from you.\At that distance away from you.\Episode 20 Preview...\Please give me a chance...\Let's try going out for just a month.\Take-chan's first girlfriend!\Don't go out with some girl you don't even like! response:	I don't want to hear that from you.
context: At that distance away from you.\At that distance away from you.\Episode 20 Preview...\Please give me a chance...\Let's try going out for just a month.\Take-chan's first girlfriend!\Don't go out with some girl you don't even like!\I don't want to hear that from you. response:	I want to hurry and become an adult...
context: At that distance away from you.\Episode 20 Preview...\Please give me a chance...\Let's try going out for just a month.\Take-chan's first girlfriend!\Don't go out with some girl you don't even like!\I don't want to hear that from you.\I want to hurry and become an adult... response:	If only... there were such a thing as eternity.
context: Episode 20 Preview...\Please give me a chance...\Let's try going out for just a month.\Take-chan's first girlfriend!\Don't go out with some girl you don't even like!\I don't want to hear that from you.\I want to hurry and become an adult...\If only... there were such a thing as eternity. response:	It does exist. I'm sure of it.
