context: Wh-What... What have you done? response:	King! Foolish king!
context: And my name's Tet.\Again?\How do you like my world?\Are you enjoying it?\Yeah. You've got good taste.\Our god insists on remaining a bystander. He could learn from you.\Really?\Our enemies can use magic, and we can't. response:	Our only remaining territory is one city.
context: Again?\How do you like my world?\Are you enjoying it?\Yeah. You've got good taste.\Our god insists on remaining a bystander. He could learn from you.\Really?\Our enemies can use magic, and we can't.\Our only remaining territory is one city. response:	Our situation is appallingly bad.
context: How do you like my world?\Are you enjoying it?\Yeah. You've got good taste.\Our god insists on remaining a bystander. He could learn from you.\Really?\Our enemies can use magic, and we can't.\Our only remaining territory is one city.\Our situation is appallingly bad. response:	And to protect the name of Blank, we can't lose a single game.
context: Are you enjoying it?\Yeah. You've got good taste.\Our god insists on remaining a bystander. He could learn from you.\Really?\Our enemies can use magic, and we can't.\Our only remaining territory is one city.\Our situation is appallingly bad.\And to protect the name of Blank, we can't lose a single game. response:	That's the world we're in.
context: Yeah. You've got good taste.\Our god insists on remaining a bystander. He could learn from you.\Really?\Our enemies can use magic, and we can't.\Our only remaining territory is one city.\Our situation is appallingly bad.\And to protect the name of Blank, we can't lose a single game.\That's the world we're in. response:	What do you think?
context: Our god insists on remaining a bystander. He could learn from you.\Really?\Our enemies can use magic, and we can't.\Our only remaining territory is one city.\Our situation is appallingly bad.\And to protect the name of Blank, we can't lose a single game.\That's the world we're in.\What do you think? response:	It's wonderful.
context: Really?\Our enemies can use magic, and we can't.\Our only remaining territory is one city.\Our situation is appallingly bad.\And to protect the name of Blank, we can't lose a single game.\That's the world we're in.\What do you think?\It's wonderful. response:	Right?
context: Our enemies can use magic, and we can't.\Our only remaining territory is one city.\Our situation is appallingly bad.\And to protect the name of Blank, we can't lose a single game.\That's the world we're in.\What do you think?\It's wonderful.\Right? response:	Looks like I was right to call you here!
context: Our only remaining territory is one city.\Our situation is appallingly bad.\And to protect the name of Blank, we can't lose a single game.\That's the world we're in.\What do you think?\It's wonderful.\Right?\Looks like I was right to call you here! response:	But I'm generally a bystander, too.
context: Our situation is appallingly bad.\And to protect the name of Blank, we can't lose a single game.\That's the world we're in.\What do you think?\It's wonderful.\Right?\Looks like I was right to call you here!\But I'm generally a bystander, too. response:	I don't favor any individual race.
context: And to protect the name of Blank, we can't lose a single game.\That's the world we're in.\What do you think?\It's wonderful.\Right?\Looks like I was right to call you here!\But I'm generally a bystander, too.\I don't favor any individual race. response:	But I told you before, didn't I?
context: That's the world we're in.\What do you think?\It's wonderful.\Right?\Looks like I was right to call you here!\But I'm generally a bystander, too.\I don't favor any individual race.\But I told you before, didn't I? response:	Everything in this world is decided by games.
context: What do you think?\It's wonderful.\Right?\Looks like I was right to call you here!\But I'm generally a bystander, too.\I don't favor any individual race.\But I told you before, didn't I?\Everything in this world is decided by games. response:	I see.
context: It's wonderful.\Right?\Looks like I was right to call you here!\But I'm generally a bystander, too.\I don't favor any individual race.\But I told you before, didn't I?\Everything in this world is decided by games.\I see. response:	In other words, even the title of One True God is decided by a game?
context: Right?\Looks like I was right to call you here!\But I'm generally a bystander, too.\I don't favor any individual race.\But I told you before, didn't I?\Everything in this world is decided by games.\I see.\In other words, even the title of One True God is decided by a game? response:	That's right.
context: Looks like I was right to call you here!\But I'm generally a bystander, too.\I don't favor any individual race.\But I told you before, didn't I?\Everything in this world is decided by games.\I see.\In other words, even the title of One True God is decided by a game?\That's right. response:	That's why I set it so there were exactly sixteen races.
context: But I'm generally a bystander, too.\I don't favor any individual race.\But I told you before, didn't I?\Everything in this world is decided by games.\I see.\In other words, even the title of One True God is decided by a game?\That's right.\That's why I set it so there were exactly sixteen races. response:	Each side on a chess board has sixteen pieces.
context: I don't favor any individual race.\But I told you before, didn't I?\Everything in this world is decided by games.\I see.\In other words, even the title of One True God is decided by a game?\That's right.\That's why I set it so there were exactly sixteen races.\Each side on a chess board has sixteen pieces. response:	In other words, defeating all the races
context: But I told you before, didn't I?\Everything in this world is decided by games.\I see.\In other words, even the title of One True God is decided by a game?\That's right.\That's why I set it so there were exactly sixteen races.\Each side on a chess board has sixteen pieces.\In other words, defeating all the races response:	gives you the right to challenge God, huh?
context: Everything in this world is decided by games.\I see.\In other words, even the title of One True God is decided by a game?\That's right.\That's why I set it so there were exactly sixteen races.\Each side on a chess board has sixteen pieces.\In other words, defeating all the races\gives you the right to challenge God, huh? response:	I love the way your brain works.
context: I see.\In other words, even the title of One True God is decided by a game?\That's right.\That's why I set it so there were exactly sixteen races.\Each side on a chess board has sixteen pieces.\In other words, defeating all the races\gives you the right to challenge God, huh?\I love the way your brain works. response:	You pick things up so fast, it's hard to believe you came from another world.
context: In other words, even the title of One True God is decided by a game?\That's right.\That's why I set it so there were exactly sixteen races.\Each side on a chess board has sixteen pieces.\In other words, defeating all the races\gives you the right to challenge God, huh?\I love the way your brain works.\You pick things up so fast, it's hard to believe you came from another world. response:	Thanks.
context: That's right.\That's why I set it so there were exactly sixteen races.\Each side on a chess board has sixteen pieces.\In other words, defeating all the races\gives you the right to challenge God, huh?\I love the way your brain works.\You pick things up so fast, it's hard to believe you came from another world.\Thanks. response:	But are you sure you should be smiling right now?
context: That's why I set it so there were exactly sixteen races.\Each side on a chess board has sixteen pieces.\In other words, defeating all the races\gives you the right to challenge God, huh?\I love the way your brain works.\You pick things up so fast, it's hard to believe you came from another world.\Thanks.\But are you sure you should be smiling right now? response:	It's Blank's policy to be 1 in whatever game we play.
context: Each side on a chess board has sixteen pieces.\In other words, defeating all the races\gives you the right to challenge God, huh?\I love the way your brain works.\You pick things up so fast, it's hard to believe you came from another world.\Thanks.\But are you sure you should be smiling right now?\It's Blank's policy to be 1 in whatever game we play. response:	That's why I was sure you'd try to win the right to challenge me.
context: In other words, defeating all the races\gives you the right to challenge God, huh?\I love the way your brain works.\You pick things up so fast, it's hard to believe you came from another world.\Thanks.\But are you sure you should be smiling right now?\It's Blank's policy to be 1 in whatever game we play.\That's why I was sure you'd try to win the right to challenge me. response:	Did you forget you lost to us at chess once already?
context: gives you the right to challenge God, huh?\I love the way your brain works.\You pick things up so fast, it's hard to believe you came from another world.\Thanks.\But are you sure you should be smiling right now?\It's Blank's policy to be 1 in whatever game we play.\That's why I was sure you'd try to win the right to challenge me.\Did you forget you lost to us at chess once already? response:	That's right.
context: I love the way your brain works.\You pick things up so fast, it's hard to believe you came from another world.\Thanks.\But are you sure you should be smiling right now?\It's Blank's policy to be 1 in whatever game we play.\That's why I was sure you'd try to win the right to challenge me.\Did you forget you lost to us at chess once already?\That's right. response:	But I won't lose next time.
context: You pick things up so fast, it's hard to believe you came from another world.\Thanks.\But are you sure you should be smiling right now?\It's Blank's policy to be 1 in whatever game we play.\That's why I was sure you'd try to win the right to challenge me.\Did you forget you lost to us at chess once already?\That's right.\But I won't lose next time. response:	Hey, God.
context: Thanks.\But are you sure you should be smiling right now?\It's Blank's policy to be 1 in whatever game we play.\That's why I was sure you'd try to win the right to challenge me.\Did you forget you lost to us at chess once already?\That's right.\But I won't lose next time.\Hey, God. response:	Call me Tet.
context: But are you sure you should be smiling right now?\It's Blank's policy to be 1 in whatever game we play.\That's why I was sure you'd try to win the right to challenge me.\Did you forget you lost to us at chess once already?\That's right.\But I won't lose next time.\Hey, God.\Call me Tet. response:	Okay, Tet.
context: It's Blank's policy to be 1 in whatever game we play.\That's why I was sure you'd try to win the right to challenge me.\Did you forget you lost to us at chess once already?\That's right.\But I won't lose next time.\Hey, God.\Call me Tet.\Okay, Tet. response:	You'd never lost before, had you?
context: That's why I was sure you'd try to win the right to challenge me.\Did you forget you lost to us at chess once already?\That's right.\But I won't lose next time.\Hey, God.\Call me Tet.\Okay, Tet.\You'd never lost before, had you? response:	The god of play was so very, very upset at his first loss, he just had to bring us here.
context: Did you forget you lost to us at chess once already?\That's right.\But I won't lose next time.\Hey, God.\Call me Tet.\Okay, Tet.\You'd never lost before, had you?\The god of play was so very, very upset at his first loss, he just had to bring us here. response:	Am I wrong?
context: That's right.\But I won't lose next time.\Hey, God.\Call me Tet.\Okay, Tet.\You'd never lost before, had you?\The god of play was so very, very upset at his first loss, he just had to bring us here.\Am I wrong? response:	Interesting.
context: But I won't lose next time.\Hey, God.\Call me Tet.\Okay, Tet.\You'd never lost before, had you?\The god of play was so very, very upset at his first loss, he just had to bring us here.\Am I wrong?\Interesting. response:	Why do you think so?
context: Hey, God.\Call me Tet.\Okay, Tet.\You'd never lost before, had you?\The god of play was so very, very upset at his first loss, he just had to bring us here.\Am I wrong?\Interesting.\Why do you think so? response:	Because I know exactly how you feel.
context: Call me Tet.\Okay, Tet.\You'd never lost before, had you?\The god of play was so very, very upset at his first loss, he just had to bring us here.\Am I wrong?\Interesting.\Why do you think so?\Because I know exactly how you feel. response:	Blank doesn't lose.
context: Okay, Tet.\You'd never lost before, had you?\The god of play was so very, very upset at his first loss, he just had to bring us here.\Am I wrong?\Interesting.\Why do you think so?\Because I know exactly how you feel.\Blank doesn't lose. response:	But we've both lost to each other many times.
context: You'd never lost before, had you?\The god of play was so very, very upset at his first loss, he just had to bring us here.\Am I wrong?\Interesting.\Why do you think so?\Because I know exactly how you feel.\Blank doesn't lose.\But we've both lost to each other many times. response:	You're not allowed to quit while you're ahead.
context: The god of play was so very, very upset at his first loss, he just had to bring us here.\Am I wrong?\Interesting.\Why do you think so?\Because I know exactly how you feel.\Blank doesn't lose.\But we've both lost to each other many times.\You're not allowed to quit while you're ahead. response:	I was right to choose you after all!
context: Am I wrong?\Interesting.\Why do you think so?\Because I know exactly how you feel.\Blank doesn't lose.\But we've both lost to each other many times.\You're not allowed to quit while you're ahead.\I was right to choose you after all! response:	That's right.
context: Interesting.\Why do you think so?\Because I know exactly how you feel.\Blank doesn't lose.\But we've both lost to each other many times.\You're not allowed to quit while you're ahead.\I was right to choose you after all!\That's right. response:	I won't let you quit while you're ahead.
context: Why do you think so?\Because I know exactly how you feel.\Blank doesn't lose.\But we've both lost to each other many times.\You're not allowed to quit while you're ahead.\I was right to choose you after all!\That's right.\I won't let you quit while you're ahead. response:	Next time, I'll win.
context: Because I know exactly how you feel.\Blank doesn't lose.\But we've both lost to each other many times.\You're not allowed to quit while you're ahead.\I was right to choose you after all!\That's right.\I won't let you quit while you're ahead.\Next time, I'll win. response:	That's the reason. Are you disappointed?
context: Blank doesn't lose.\But we've both lost to each other many times.\You're not allowed to quit while you're ahead.\I was right to choose you after all!\That's right.\I won't let you quit while you're ahead.\Next time, I'll win.\That's the reason. Are you disappointed? response:	Nope.
context: But we've both lost to each other many times.\You're not allowed to quit while you're ahead.\I was right to choose you after all!\That's right.\I won't let you quit while you're ahead.\Next time, I'll win.\That's the reason. Are you disappointed?\Nope. response:	I'm actually relieved it's not some noble reason like saving humanity.
context: You're not allowed to quit while you're ahead.\I was right to choose you after all!\That's right.\I won't let you quit while you're ahead.\Next time, I'll win.\That's the reason. Are you disappointed?\Nope.\I'm actually relieved it's not some noble reason like saving humanity. response:	Okay, I'm heading back.
context: I was right to choose you after all!\That's right.\I won't let you quit while you're ahead.\Next time, I'll win.\That's the reason. Are you disappointed?\Nope.\I'm actually relieved it's not some noble reason like saving humanity.\Okay, I'm heading back. response:	Bye-bye.
context: That's right.\I won't let you quit while you're ahead.\Next time, I'll win.\That's the reason. Are you disappointed?\Nope.\I'm actually relieved it's not some noble reason like saving humanity.\Okay, I'm heading back.\Bye-bye. response:	Hey, Tet!
context: I won't let you quit while you're ahead.\Next time, I'll win.\That's the reason. Are you disappointed?\Nope.\I'm actually relieved it's not some noble reason like saving humanity.\Okay, I'm heading back.\Bye-bye.\Hey, Tet! response:	Thanks for letting us be reborn.
context: Next time, I'll win.\That's the reason. Are you disappointed?\Nope.\I'm actually relieved it's not some noble reason like saving humanity.\Okay, I'm heading back.\Bye-bye.\Hey, Tet!\Thanks for letting us be reborn. response:	This is the world where we belong.
context: That's the reason. Are you disappointed?\Nope.\I'm actually relieved it's not some noble reason like saving humanity.\Okay, I'm heading back.\Bye-bye.\Hey, Tet!\Thanks for letting us be reborn.\This is the world where we belong. response:	Thank you, God.
context: Nope.\I'm actually relieved it's not some noble reason like saving humanity.\Okay, I'm heading back.\Bye-bye.\Hey, Tet!\Thanks for letting us be reborn.\This is the world where we belong.\Thank you, God. response:	See you soon. This time, on the chess board.
context: I'm actually relieved it's not some noble reason like saving humanity.\Okay, I'm heading back.\Bye-bye.\Hey, Tet!\Thanks for letting us be reborn.\This is the world where we belong.\Thank you, God.\See you soon. This time, on the chess board. response:	Isn't Tet...
context: Okay, I'm heading back.\Bye-bye.\Hey, Tet!\Thanks for letting us be reborn.\This is the world where we belong.\Thank you, God.\See you soon. This time, on the chess board.\Isn't Tet... response:	Sora! Shiro!
context: Bye-bye.\Hey, Tet!\Thanks for letting us be reborn.\This is the world where we belong.\Thank you, God.\See you soon. This time, on the chess board.\Isn't Tet...\Sora! Shiro! response:	Was that Tet the One True God?
context: Hey, Tet!\Thanks for letting us be reborn.\This is the world where we belong.\Thank you, God.\See you soon. This time, on the chess board.\Isn't Tet...\Sora! Shiro!\Was that Tet the One True God? response:	Yeah, why?
context: Thanks for letting us be reborn.\This is the world where we belong.\Thank you, God.\See you soon. This time, on the chess board.\Isn't Tet...\Sora! Shiro!\Was that Tet the One True God?\Yeah, why? response:	Wh-Wh-What's going on?
context: This is the world where we belong.\Thank you, God.\See you soon. This time, on the chess board.\Isn't Tet...\Sora! Shiro!\Was that Tet the One True God?\Yeah, why?\Wh-Wh-What's going on? response:	You said you beat him in a game, didn't you?
context: Thank you, God.\See you soon. This time, on the chess board.\Isn't Tet...\Sora! Shiro!\Was that Tet the One True God?\Yeah, why?\Wh-Wh-What's going on?\You said you beat him in a game, didn't you? response:	Forget about that. Just get us down from here.
context: See you soon. This time, on the chess board.\Isn't Tet...\Sora! Shiro!\Was that Tet the One True God?\Yeah, why?\Wh-Wh-What's going on?\You said you beat him in a game, didn't you?\Forget about that. Just get us down from here. response:	That doesn't matter right now!
context: Isn't Tet...\Sora! Shiro!\Was that Tet the One True God?\Yeah, why?\Wh-Wh-What's going on?\You said you beat him in a game, didn't you?\Forget about that. Just get us down from here.\That doesn't matter right now! response:	Once upon a time...
context: Sora! Shiro!\Was that Tet the One True God?\Yeah, why?\Wh-Wh-What's going on?\You said you beat him in a game, didn't you?\Forget about that. Just get us down from here.\That doesn't matter right now!\Once upon a time... response:	Conquer the World
context: Was that Tet the One True God?\Yeah, why?\Wh-Wh-What's going on?\You said you beat him in a game, didn't you?\Forget about that. Just get us down from here.\That doesn't matter right now!\Once upon a time...\Conquer the World response:	We'll start by conquering the world...
context: Yeah, why?\Wh-Wh-What's going on?\You said you beat him in a game, didn't you?\Forget about that. Just get us down from here.\That doesn't matter right now!\Once upon a time...\Conquer the World\We'll start by conquering the world... response:	And our ultimate goal is to beat God.
context: Wh-Wh-What's going on?\You said you beat him in a game, didn't you?\Forget about that. Just get us down from here.\That doesn't matter right now!\Once upon a time...\Conquer the World\We'll start by conquering the world...\And our ultimate goal is to beat God. response:	I'll tell you the story of the newest myth.
context: You said you beat him in a game, didn't you?\Forget about that. Just get us down from here.\That doesn't matter right now!\Once upon a time...\Conquer the World\We'll start by conquering the world...\And our ultimate goal is to beat God.\I'll tell you the story of the newest myth. response:	Weak Square
context: Forget about that. Just get us down from here.\That doesn't matter right now!\Once upon a time...\Conquer the World\We'll start by conquering the world...\And our ultimate goal is to beat God.\I'll tell you the story of the newest myth.\Weak Square response:	We sure had fun last night, didn't we?
context: That doesn't matter right now!\Once upon a time...\Conquer the World\We'll start by conquering the world...\And our ultimate goal is to beat God.\I'll tell you the story of the newest myth.\Weak Square\We sure had fun last night, didn't we? response:	Yeah! We were up all night playing games!
