context: I don't want you to hate me. response:	There you go, saying things like that.
context: Kanou. Thank you for your hard work.\As promised, I'll forgive you for everything.\Be careful on your way home.\Um, Prez!\Good work today.\Good work today, Usui-kun.\Where are we going? Could you put me down?\Why aren't you saying anything? response:	Hey- ow!
context: As promised, I'll forgive you for everything.\Be careful on your way home.\Um, Prez!\Good work today.\Good work today, Usui-kun.\Where are we going? Could you put me down?\Why aren't you saying anything?\Hey- ow! response:	Have you had enough?
context: Be careful on your way home.\Um, Prez!\Good work today.\Good work today, Usui-kun.\Where are we going? Could you put me down?\Why aren't you saying anything?\Hey- ow!\Have you had enough? response:	Of punishing him, that is.
context: Um, Prez!\Good work today.\Good work today, Usui-kun.\Where are we going? Could you put me down?\Why aren't you saying anything?\Hey- ow!\Have you had enough?\Of punishing him, that is. response:	Oh, yes, plenty.
context: Good work today.\Good work today, Usui-kun.\Where are we going? Could you put me down?\Why aren't you saying anything?\Hey- ow!\Have you had enough?\Of punishing him, that is.\Oh, yes, plenty. response:	Okay. Then can you thank me now?
context: Good work today, Usui-kun.\Where are we going? Could you put me down?\Why aren't you saying anything?\Hey- ow!\Have you had enough?\Of punishing him, that is.\Oh, yes, plenty.\Okay. Then can you thank me now? response:	You didn't come check on me at all. I'm so tired.
context: Where are we going? Could you put me down?\Why aren't you saying anything?\Hey- ow!\Have you had enough?\Of punishing him, that is.\Oh, yes, plenty.\Okay. Then can you thank me now?\You didn't come check on me at all. I'm so tired. response:	Oh! Thanks to you, it looks like the sports teams had a wonderful open house!
context: Why aren't you saying anything?\Hey- ow!\Have you had enough?\Of punishing him, that is.\Oh, yes, plenty.\Okay. Then can you thank me now?\You didn't come check on me at all. I'm so tired.\Oh! Thanks to you, it looks like the sports teams had a wonderful open house! response:	It's great! All thanks to you!
context: Hey- ow!\Have you had enough?\Of punishing him, that is.\Oh, yes, plenty.\Okay. Then can you thank me now?\You didn't come check on me at all. I'm so tired.\Oh! Thanks to you, it looks like the sports teams had a wonderful open house!\It's great! All thanks to you! response:	Not enough?
context: Have you had enough?\Of punishing him, that is.\Oh, yes, plenty.\Okay. Then can you thank me now?\You didn't come check on me at all. I'm so tired.\Oh! Thanks to you, it looks like the sports teams had a wonderful open house!\It's great! All thanks to you!\Not enough? response:	Completely unacceptable.
context: Of punishing him, that is.\Oh, yes, plenty.\Okay. Then can you thank me now?\You didn't come check on me at all. I'm so tired.\Oh! Thanks to you, it looks like the sports teams had a wonderful open house!\It's great! All thanks to you!\Not enough?\Completely unacceptable. response:	Can you do something that would make you happy if it were done to you?
context: Oh, yes, plenty.\Okay. Then can you thank me now?\You didn't come check on me at all. I'm so tired.\Oh! Thanks to you, it looks like the sports teams had a wonderful open house!\It's great! All thanks to you!\Not enough?\Completely unacceptable.\Can you do something that would make you happy if it were done to you? response:	Good work.
context: Okay. Then can you thank me now?\You didn't come check on me at all. I'm so tired.\Oh! Thanks to you, it looks like the sports teams had a wonderful open house!\It's great! All thanks to you!\Not enough?\Completely unacceptable.\Can you do something that would make you happy if it were done to you?\Good work. response:	Ayuzawa...
context: You didn't come check on me at all. I'm so tired.\Oh! Thanks to you, it looks like the sports teams had a wonderful open house!\It's great! All thanks to you!\Not enough?\Completely unacceptable.\Can you do something that would make you happy if it were done to you?\Good work.\Ayuzawa... response:	Can I jump you?
context: Oh! Thanks to you, it looks like the sports teams had a wonderful open house!\It's great! All thanks to you!\Not enough?\Completely unacceptable.\Can you do something that would make you happy if it were done to you?\Good work.\Ayuzawa...\Can I jump you? response:	You moron!
context: It's great! All thanks to you!\Not enough?\Completely unacceptable.\Can you do something that would make you happy if it were done to you?\Good work.\Ayuzawa...\Can I jump you?\You moron! response:	Yukimura-senpai.
context: Not enough?\Completely unacceptable.\Can you do something that would make you happy if it were done to you?\Good work.\Ayuzawa...\Can I jump you?\You moron!\Yukimura-senpai. response:	I seriously look up to you the most of all.
context: Completely unacceptable.\Can you do something that would make you happy if it were done to you?\Good work.\Ayuzawa...\Can I jump you?\You moron!\Yukimura-senpai.\I seriously look up to you the most of all. response:	Nobody noticed that you're a guy.
context: Can you do something that would make you happy if it were done to you?\Good work.\Ayuzawa...\Can I jump you?\You moron!\Yukimura-senpai.\I seriously look up to you the most of all.\Nobody noticed that you're a guy. response:	It's not like that, Kanou-kun! I want to change, but I can't find my uniform!
context: Good work.\Ayuzawa...\Can I jump you?\You moron!\Yukimura-senpai.\I seriously look up to you the most of all.\Nobody noticed that you're a guy.\It's not like that, Kanou-kun! I want to change, but I can't find my uniform! response:	We can stay awake surprisingly long if we're constantly doing something.
context: Ayuzawa...\Can I jump you?\You moron!\Yukimura-senpai.\I seriously look up to you the most of all.\Nobody noticed that you're a guy.\It's not like that, Kanou-kun! I want to change, but I can't find my uniform!\We can stay awake surprisingly long if we're constantly doing something. response:	Maybe Kanou-kun should have cast some other sort of hypnosis.
context: Can I jump you?\You moron!\Yukimura-senpai.\I seriously look up to you the most of all.\Nobody noticed that you're a guy.\It's not like that, Kanou-kun! I want to change, but I can't find my uniform!\We can stay awake surprisingly long if we're constantly doing something.\Maybe Kanou-kun should have cast some other sort of hypnosis. response:	She could go sleepless for a month.
context: You moron!\Yukimura-senpai.\I seriously look up to you the most of all.\Nobody noticed that you're a guy.\It's not like that, Kanou-kun! I want to change, but I can't find my uniform!\We can stay awake surprisingly long if we're constantly doing something.\Maybe Kanou-kun should have cast some other sort of hypnosis.\She could go sleepless for a month. response:	Thank you very much. Now excuse me.
context: Yukimura-senpai.\I seriously look up to you the most of all.\Nobody noticed that you're a guy.\It's not like that, Kanou-kun! I want to change, but I can't find my uniform!\We can stay awake surprisingly long if we're constantly doing something.\Maybe Kanou-kun should have cast some other sort of hypnosis.\She could go sleepless for a month.\Thank you very much. Now excuse me. response:	Hey, don't take it seriously, Kanou.
context: I seriously look up to you the most of all.\Nobody noticed that you're a guy.\It's not like that, Kanou-kun! I want to change, but I can't find my uniform!\We can stay awake surprisingly long if we're constantly doing something.\Maybe Kanou-kun should have cast some other sort of hypnosis.\She could go sleepless for a month.\Thank you very much. Now excuse me.\Hey, don't take it seriously, Kanou. response:	Tada.
context: Nobody noticed that you're a guy.\It's not like that, Kanou-kun! I want to change, but I can't find my uniform!\We can stay awake surprisingly long if we're constantly doing something.\Maybe Kanou-kun should have cast some other sort of hypnosis.\She could go sleepless for a month.\Thank you very much. Now excuse me.\Hey, don't take it seriously, Kanou.\Tada. response:	Wow, Suzuna?!
context: It's not like that, Kanou-kun! I want to change, but I can't find my uniform!\We can stay awake surprisingly long if we're constantly doing something.\Maybe Kanou-kun should have cast some other sort of hypnosis.\She could go sleepless for a month.\Thank you very much. Now excuse me.\Hey, don't take it seriously, Kanou.\Tada.\Wow, Suzuna?! response:	To change the topic here, next week will be a summer episode.
context: We can stay awake surprisingly long if we're constantly doing something.\Maybe Kanou-kun should have cast some other sort of hypnosis.\She could go sleepless for a month.\Thank you very much. Now excuse me.\Hey, don't take it seriously, Kanou.\Tada.\Wow, Suzuna?!\To change the topic here, next week will be a summer episode. response:	Misa-chan! The Maid Latte members will be going to the beach house!
context: Maybe Kanou-kun should have cast some other sort of hypnosis.\She could go sleepless for a month.\Thank you very much. Now excuse me.\Hey, don't take it seriously, Kanou.\Tada.\Wow, Suzuna?!\To change the topic here, next week will be a summer episode.\Misa-chan! The Maid Latte members will be going to the beach house! response:	Have your swimsuit ready, everyone!
context: She could go sleepless for a month.\Thank you very much. Now excuse me.\Hey, don't take it seriously, Kanou.\Tada.\Wow, Suzuna?!\To change the topic here, next week will be a summer episode.\Misa-chan! The Maid Latte members will be going to the beach house!\Have your swimsuit ready, everyone! response:	Okay!
context: Thank you very much. Now excuse me.\Hey, don't take it seriously, Kanou.\Tada.\Wow, Suzuna?!\To change the topic here, next week will be a summer episode.\Misa-chan! The Maid Latte members will be going to the beach house!\Have your swimsuit ready, everyone!\Okay! response:	Usui-kun, thanks for volunteering as bodyguard.
