context: There's no way he would like someone like me. response:	Why are you assuming you've lost?
context: H-How about Sevens?\It was just for a short while.\But I'm sure I fell in love with you because of that moment.\Futaro-kun, you might not believe me anymore,\but that moment...\That memory isn't a lie.\Ichika, you know...\When I saw them together, I couldn't keep my cool. response:	Before I knew it, I'd jumped on him.
context: It was just for a short while.\But I'm sure I fell in love with you because of that moment.\Futaro-kun, you might not believe me anymore,\but that moment...\That memory isn't a lie.\Ichika, you know...\When I saw them together, I couldn't keep my cool.\Before I knew it, I'd jumped on him. response:	Nino.
context: But I'm sure I fell in love with you because of that moment.\Futaro-kun, you might not believe me anymore,\but that moment...\That memory isn't a lie.\Ichika, you know...\When I saw them together, I couldn't keep my cool.\Before I knew it, I'd jumped on him.\Nino. response:	I kind of get how you feel now.
context: Futaro-kun, you might not believe me anymore,\but that moment...\That memory isn't a lie.\Ichika, you know...\When I saw them together, I couldn't keep my cool.\Before I knew it, I'd jumped on him.\Nino.\I kind of get how you feel now. response:	If things had happened at slightly different times,
context: but that moment...\That memory isn't a lie.\Ichika, you know...\When I saw them together, I couldn't keep my cool.\Before I knew it, I'd jumped on him.\Nino.\I kind of get how you feel now.\If things had happened at slightly different times, response:	our roles might've been reversed.
context: That memory isn't a lie.\Ichika, you know...\When I saw them together, I couldn't keep my cool.\Before I knew it, I'd jumped on him.\Nino.\I kind of get how you feel now.\If things had happened at slightly different times,\our roles might've been reversed. response:	I'm sorry for being so condescending.
context: Ichika, you know...\When I saw them together, I couldn't keep my cool.\Before I knew it, I'd jumped on him.\Nino.\I kind of get how you feel now.\If things had happened at slightly different times,\our roles might've been reversed.\I'm sorry for being so condescending. response:	That's not true.
context: When I saw them together, I couldn't keep my cool.\Before I knew it, I'd jumped on him.\Nino.\I kind of get how you feel now.\If things had happened at slightly different times,\our roles might've been reversed.\I'm sorry for being so condescending.\That's not true. response:	That's not true at all!
context: Before I knew it, I'd jumped on him.\Nino.\I kind of get how you feel now.\If things had happened at slightly different times,\our roles might've been reversed.\I'm sorry for being so condescending.\That's not true.\That's not true at all! response:	Thanks.
context: Nino.\I kind of get how you feel now.\If things had happened at slightly different times,\our roles might've been reversed.\I'm sorry for being so condescending.\That's not true.\That's not true at all!\Thanks. response:	But at the same time, I realized how stupid I am.
context: I kind of get how you feel now.\If things had happened at slightly different times,\our roles might've been reversed.\I'm sorry for being so condescending.\That's not true.\That's not true at all!\Thanks.\But at the same time, I realized how stupid I am. response:	You must have, too.
context: If things had happened at slightly different times,\our roles might've been reversed.\I'm sorry for being so condescending.\That's not true.\That's not true at all!\Thanks.\But at the same time, I realized how stupid I am.\You must have, too. response:	Miku refused to hold anything against you the whole time.
context: our roles might've been reversed.\I'm sorry for being so condescending.\That's not true.\That's not true at all!\Thanks.\But at the same time, I realized how stupid I am.\You must have, too.\Miku refused to hold anything against you the whole time. response:	Going behind each other's backs, dragging each other down...
context: I'm sorry for being so condescending.\That's not true.\That's not true at all!\Thanks.\But at the same time, I realized how stupid I am.\You must have, too.\Miku refused to hold anything against you the whole time.\Going behind each other's backs, dragging each other down... response:	We aren't getting anything out of fighting each other.
context: That's not true.\That's not true at all!\Thanks.\But at the same time, I realized how stupid I am.\You must have, too.\Miku refused to hold anything against you the whole time.\Going behind each other's backs, dragging each other down...\We aren't getting anything out of fighting each other. response:	We aren't enemies, are we?
context: That's not true at all!\Thanks.\But at the same time, I realized how stupid I am.\You must have, too.\Miku refused to hold anything against you the whole time.\Going behind each other's backs, dragging each other down...\We aren't getting anything out of fighting each other.\We aren't enemies, are we? response:	Let's go apologize to Miku.
context: Thanks.\But at the same time, I realized how stupid I am.\You must have, too.\Miku refused to hold anything against you the whole time.\Going behind each other's backs, dragging each other down...\We aren't getting anything out of fighting each other.\We aren't enemies, are we?\Let's go apologize to Miku. response:	I'm sure we can be on even better terms than before.
context: But at the same time, I realized how stupid I am.\You must have, too.\Miku refused to hold anything against you the whole time.\Going behind each other's backs, dragging each other down...\We aren't getting anything out of fighting each other.\We aren't enemies, are we?\Let's go apologize to Miku.\I'm sure we can be on even better terms than before. response:	We get to talk about something we all like, for once.
context: You must have, too.\Miku refused to hold anything against you the whole time.\Going behind each other's backs, dragging each other down...\We aren't getting anything out of fighting each other.\We aren't enemies, are we?\Let's go apologize to Miku.\I'm sure we can be on even better terms than before.\We get to talk about something we all like, for once. response:	And I love you...
context: Miku refused to hold anything against you the whole time.\Going behind each other's backs, dragging each other down...\We aren't getting anything out of fighting each other.\We aren't enemies, are we?\Let's go apologize to Miku.\I'm sure we can be on even better terms than before.\We get to talk about something we all like, for once.\And I love you... response:	Yeah.
context: Going behind each other's backs, dragging each other down...\We aren't getting anything out of fighting each other.\We aren't enemies, are we?\Let's go apologize to Miku.\I'm sure we can be on even better terms than before.\We get to talk about something we all like, for once.\And I love you...\Yeah. response:	I know.
context: We aren't getting anything out of fighting each other.\We aren't enemies, are we?\Let's go apologize to Miku.\I'm sure we can be on even better terms than before.\We get to talk about something we all like, for once.\And I love you...\Yeah.\I know. response:	But...
context: We aren't enemies, are we?\Let's go apologize to Miku.\I'm sure we can be on even better terms than before.\We get to talk about something we all like, for once.\And I love you...\Yeah.\I know.\But... response:	Yeah.
context: Let's go apologize to Miku.\I'm sure we can be on even better terms than before.\We get to talk about something we all like, for once.\And I love you...\Yeah.\I know.\But...\Yeah. response:	I really do love my family.
context: I'm sure we can be on even better terms than before.\We get to talk about something we all like, for once.\And I love you...\Yeah.\I know.\But...\Yeah.\I really do love my family. response:	Why are you here?!
context: We get to talk about something we all like, for once.\And I love you...\Yeah.\I know.\But...\Yeah.\I really do love my family.\Why are you here?! response:	You noticed, Miku?!
context: And I love you...\Yeah.\I know.\But...\Yeah.\I really do love my family.\Why are you here?!\You noticed, Miku?! response:	When?
context: Yeah.\I know.\But...\Yeah.\I really do love my family.\Why are you here?!\You noticed, Miku?!\When? response:	I knew it.
context: I know.\But...\Yeah.\I really do love my family.\Why are you here?!\You noticed, Miku?!\When?\I knew it. response:	I thought something was up since I heard Ichika and Nino's voices.
context: But...\Yeah.\I really do love my family.\Why are you here?!\You noticed, Miku?!\When?\I knew it.\I thought something was up since I heard Ichika and Nino's voices. response:	Wait, let me walk through this...
context: Yeah.\I really do love my family.\Why are you here?!\You noticed, Miku?!\When?\I knew it.\I thought something was up since I heard Ichika and Nino's voices.\Wait, let me walk through this... response:	Which means that I love you just now...
context: I really do love my family.\Why are you here?!\You noticed, Miku?!\When?\I knew it.\I thought something was up since I heard Ichika and Nino's voices.\Wait, let me walk through this...\Which means that I love you just now... response:	It was directed at my sisters hiding in there.
context: Why are you here?!\You noticed, Miku?!\When?\I knew it.\I thought something was up since I heard Ichika and Nino's voices.\Wait, let me walk through this...\Which means that I love you just now...\It was directed at my sisters hiding in there. response:	Did you think...
context: You noticed, Miku?!\When?\I knew it.\I thought something was up since I heard Ichika and Nino's voices.\Wait, let me walk through this...\Which means that I love you just now...\It was directed at my sisters hiding in there.\Did you think... response:	I was talking about you?
context: When?\I knew it.\I thought something was up since I heard Ichika and Nino's voices.\Wait, let me walk through this...\Which means that I love you just now...\It was directed at my sisters hiding in there.\Did you think...\I was talking about you? response:	Y-You're just messing with me!
context: I knew it.\I thought something was up since I heard Ichika and Nino's voices.\Wait, let me walk through this...\Which means that I love you just now...\It was directed at my sisters hiding in there.\Did you think...\I was talking about you?\Y-You're just messing with me! response:	Are you sure about that, Miku?
context: I thought something was up since I heard Ichika and Nino's voices.\Wait, let me walk through this...\Which means that I love you just now...\It was directed at my sisters hiding in there.\Did you think...\I was talking about you?\Y-You're just messing with me!\Are you sure about that, Miku? response:	You'd finally managed to tell him how you feel.
context: Wait, let me walk through this...\Which means that I love you just now...\It was directed at my sisters hiding in there.\Did you think...\I was talking about you?\Y-You're just messing with me!\Are you sure about that, Miku?\You'd finally managed to tell him how you feel. response:	It's fine.
context: Which means that I love you just now...\It was directed at my sisters hiding in there.\Did you think...\I was talking about you?\Y-You're just messing with me!\Are you sure about that, Miku?\You'd finally managed to tell him how you feel.\It's fine. response:	I'm not like a certain someone
context: It was directed at my sisters hiding in there.\Did you think...\I was talking about you?\Y-You're just messing with me!\Are you sure about that, Miku?\You'd finally managed to tell him how you feel.\It's fine.\I'm not like a certain someone response:	who's stupid enough to go charging in when I don't even stand a chance.
context: Did you think...\I was talking about you?\Y-You're just messing with me!\Are you sure about that, Miku?\You'd finally managed to tell him how you feel.\It's fine.\I'm not like a certain someone\who's stupid enough to go charging in when I don't even stand a chance. response:	Who are you calling stupid?
context: I was talking about you?\Y-You're just messing with me!\Are you sure about that, Miku?\You'd finally managed to tell him how you feel.\It's fine.\I'm not like a certain someone\who's stupid enough to go charging in when I don't even stand a chance.\Who are you calling stupid? response:	Besides, Futaro's not as dense as we think.
context: Y-You're just messing with me!\Are you sure about that, Miku?\You'd finally managed to tell him how you feel.\It's fine.\I'm not like a certain someone\who's stupid enough to go charging in when I don't even stand a chance.\Who are you calling stupid?\Besides, Futaro's not as dense as we think. response:	I should have known.
context: Are you sure about that, Miku?\You'd finally managed to tell him how you feel.\It's fine.\I'm not like a certain someone\who's stupid enough to go charging in when I don't even stand a chance.\Who are you calling stupid?\Besides, Futaro's not as dense as we think.\I should have known. response:	So, Yotsuba, thanks for the bread.
context: You'd finally managed to tell him how you feel.\It's fine.\I'm not like a certain someone\who's stupid enough to go charging in when I don't even stand a chance.\Who are you calling stupid?\Besides, Futaro's not as dense as we think.\I should have known.\So, Yotsuba, thanks for the bread. response:	I was worried for a while.
context: It's fine.\I'm not like a certain someone\who's stupid enough to go charging in when I don't even stand a chance.\Who are you calling stupid?\Besides, Futaro's not as dense as we think.\I should have known.\So, Yotsuba, thanks for the bread.\I was worried for a while. response:	Also, I think these are yours, right, Itsuki?
context: I'm not like a certain someone\who's stupid enough to go charging in when I don't even stand a chance.\Who are you calling stupid?\Besides, Futaro's not as dense as we think.\I should have known.\So, Yotsuba, thanks for the bread.\I was worried for a while.\Also, I think these are yours, right, Itsuki? response:	Thanks.
context: who's stupid enough to go charging in when I don't even stand a chance.\Who are you calling stupid?\Besides, Futaro's not as dense as we think.\I should have known.\So, Yotsuba, thanks for the bread.\I was worried for a while.\Also, I think these are yours, right, Itsuki?\Thanks. response:	I'm sorry.
context: Who are you calling stupid?\Besides, Futaro's not as dense as we think.\I should have known.\So, Yotsuba, thanks for the bread.\I was worried for a while.\Also, I think these are yours, right, Itsuki?\Thanks.\I'm sorry. response:	Nino.
context: Besides, Futaro's not as dense as we think.\I should have known.\So, Yotsuba, thanks for the bread.\I was worried for a while.\Also, I think these are yours, right, Itsuki?\Thanks.\I'm sorry.\Nino. response:	Don't bother. We're family.
context: I should have known.\So, Yotsuba, thanks for the bread.\I was worried for a while.\Also, I think these are yours, right, Itsuki?\Thanks.\I'm sorry.\Nino.\Don't bother. We're family. response:	Yeah.
context: So, Yotsuba, thanks for the bread.\I was worried for a while.\Also, I think these are yours, right, Itsuki?\Thanks.\I'm sorry.\Nino.\Don't bother. We're family.\Yeah. response:	Thanks.
context: I was worried for a while.\Also, I think these are yours, right, Itsuki?\Thanks.\I'm sorry.\Nino.\Don't bother. We're family.\Yeah.\Thanks. response:	And Ichi
context: Also, I think these are yours, right, Itsuki?\Thanks.\I'm sorry.\Nino.\Don't bother. We're family.\Yeah.\Thanks.\And Ichi response:	I'm sorry.
context: Thanks.\I'm sorry.\Nino.\Don't bother. We're family.\Yeah.\Thanks.\And Ichi\I'm sorry. response:	I'm sorry, Miku.
context: I'm sorry.\Nino.\Don't bother. We're family.\Yeah.\Thanks.\And Ichi\I'm sorry.\I'm sorry, Miku. response:	I'm really sorry.
context: Nino.\Don't bother. We're family.\Yeah.\Thanks.\And Ichi\I'm sorry.\I'm sorry, Miku.\I'm really sorry. response:	It's okay.
context: Don't bother. We're family.\Yeah.\Thanks.\And Ichi\I'm sorry.\I'm sorry, Miku.\I'm really sorry.\It's okay. response:	I guess falling in love is painful.
context: Yeah.\Thanks.\And Ichi\I'm sorry.\I'm sorry, Miku.\I'm really sorry.\It's okay.\I guess falling in love is painful. response:	Thanks, Ichika.
context: Thanks.\And Ichi\I'm sorry.\I'm sorry, Miku.\I'm really sorry.\It's okay.\I guess falling in love is painful.\Thanks, Ichika. response:	What they did and talked about from then until our meeting time
context: And Ichi\I'm sorry.\I'm sorry, Miku.\I'm really sorry.\It's okay.\I guess falling in love is painful.\Thanks, Ichika.\What they did and talked about from then until our meeting time response:	is something only they would know.
context: I'm sorry.\I'm sorry, Miku.\I'm really sorry.\It's okay.\I guess falling in love is painful.\Thanks, Ichika.\What they did and talked about from then until our meeting time\is something only they would know. response:	Futaro-kun.
context: I'm sorry, Miku.\I'm really sorry.\It's okay.\I guess falling in love is painful.\Thanks, Ichika.\What they did and talked about from then until our meeting time\is something only they would know.\Futaro-kun. response:	I caused you trouble, too.
context: I'm really sorry.\It's okay.\I guess falling in love is painful.\Thanks, Ichika.\What they did and talked about from then until our meeting time\is something only they would know.\Futaro-kun.\I caused you trouble, too. response:	Sorry.
context: It's okay.\I guess falling in love is painful.\Thanks, Ichika.\What they did and talked about from then until our meeting time\is something only they would know.\Futaro-kun.\I caused you trouble, too.\Sorry. response:	Well, uh...
context: I guess falling in love is painful.\Thanks, Ichika.\What they did and talked about from then until our meeting time\is something only they would know.\Futaro-kun.\I caused you trouble, too.\Sorry.\Well, uh... response:	I went too far yesterday.
context: Thanks, Ichika.\What they did and talked about from then until our meeting time\is something only they would know.\Futaro-kun.\I caused you trouble, too.\Sorry.\Well, uh...\I went too far yesterday. response:	I didn't even listen to what you had to say.
context: What they did and talked about from then until our meeting time\is something only they would know.\Futaro-kun.\I caused you trouble, too.\Sorry.\Well, uh...\I went too far yesterday.\I didn't even listen to what you had to say. response:	I regret it.
context: is something only they would know.\Futaro-kun.\I caused you trouble, too.\Sorry.\Well, uh...\I went too far yesterday.\I didn't even listen to what you had to say.\I regret it. response:	That's exactly right.
context: Futaro-kun.\I caused you trouble, too.\Sorry.\Well, uh...\I went too far yesterday.\I didn't even listen to what you had to say.\I regret it.\That's exactly right. response:	You're the worst, glaring at a girl like that.
context: I caused you trouble, too.\Sorry.\Well, uh...\I went too far yesterday.\I didn't even listen to what you had to say.\I regret it.\That's exactly right.\You're the worst, glaring at a girl like that. response:	Sorry.
context: Sorry.\Well, uh...\I went too far yesterday.\I didn't even listen to what you had to say.\I regret it.\That's exactly right.\You're the worst, glaring at a girl like that.\Sorry. response:	I was so sad, you know.
context: Well, uh...\I went too far yesterday.\I didn't even listen to what you had to say.\I regret it.\That's exactly right.\You're the worst, glaring at a girl like that.\Sorry.\I was so sad, you know. response:	Sorry.
context: I went too far yesterday.\I didn't even listen to what you had to say.\I regret it.\That's exactly right.\You're the worst, glaring at a girl like that.\Sorry.\I was so sad, you know.\Sorry. response:	I'm kidding.
context: I didn't even listen to what you had to say.\I regret it.\That's exactly right.\You're the worst, glaring at a girl like that.\Sorry.\I was so sad, you know.\Sorry.\I'm kidding. response:	It's all a lie.
context: I regret it.\That's exactly right.\You're the worst, glaring at a girl like that.\Sorry.\I was so sad, you know.\Sorry.\I'm kidding.\It's all a lie. response:	All?
context: That's exactly right.\You're the worst, glaring at a girl like that.\Sorry.\I was so sad, you know.\Sorry.\I'm kidding.\It's all a lie.\All? response:	All of it.
context: You're the worst, glaring at a girl like that.\Sorry.\I was so sad, you know.\Sorry.\I'm kidding.\It's all a lie.\All?\All of it. response:	Did you hear, Uesugi-kun?
context: Sorry.\I was so sad, you know.\Sorry.\I'm kidding.\It's all a lie.\All?\All of it.\Did you hear, Uesugi-kun? response:	About that sneak photographer.
context: I was so sad, you know.\Sorry.\I'm kidding.\It's all a lie.\All?\All of it.\Did you hear, Uesugi-kun?\About that sneak photographer. response:	Sorry, I screwed up.
context: Sorry.\I'm kidding.\It's all a lie.\All?\All of it.\Did you hear, Uesugi-kun?\About that sneak photographer.\Sorry, I screwed up. response:	So it was you.
context: I'm kidding.\It's all a lie.\All?\All of it.\Did you hear, Uesugi-kun?\About that sneak photographer.\Sorry, I screwed up.\So it was you. response:	I tried too hard.
context: It's all a lie.\All?\All of it.\Did you hear, Uesugi-kun?\About that sneak photographer.\Sorry, I screwed up.\So it was you.\I tried too hard. response:	It's fine.
context: All?\All of it.\Did you hear, Uesugi-kun?\About that sneak photographer.\Sorry, I screwed up.\So it was you.\I tried too hard.\It's fine. response:	I was the one who asked you, after all.
context: All of it.\Did you hear, Uesugi-kun?\About that sneak photographer.\Sorry, I screwed up.\So it was you.\I tried too hard.\It's fine.\I was the one who asked you, after all. response:	Okay, say cheese.
context: Did you hear, Uesugi-kun?\About that sneak photographer.\Sorry, I screwed up.\So it was you.\I tried too hard.\It's fine.\I was the one who asked you, after all.\Okay, say cheese. response:	Do you take the groom to be your wedded husband, to have and to hold from this day on,
context: About that sneak photographer.\Sorry, I screwed up.\So it was you.\I tried too hard.\It's fine.\I was the one who asked you, after all.\Okay, say cheese.\Do you take the groom to be your wedded husband, to have and to hold from this day on, response:	Oh, the kiss is coming up.
context: Sorry, I screwed up.\So it was you.\I tried too hard.\It's fine.\I was the one who asked you, after all.\Okay, say cheese.\Do you take the groom to be your wedded husband, to have and to hold from this day on,\Oh, the kiss is coming up. response:	for better for worse, for richer for poorer, in sickness and in health,
context: So it was you.\I tried too hard.\It's fine.\I was the one who asked you, after all.\Okay, say cheese.\Do you take the groom to be your wedded husband, to have and to hold from this day on,\Oh, the kiss is coming up.\for better for worse, for richer for poorer, in sickness and in health, response:	I bet they're nervous.
context: I tried too hard.\It's fine.\I was the one who asked you, after all.\Okay, say cheese.\Do you take the groom to be your wedded husband, to have and to hold from this day on,\Oh, the kiss is coming up.\for better for worse, for richer for poorer, in sickness and in health,\I bet they're nervous. response:	to love, cherish, and to obey, till death do you part?
context: It's fine.\I was the one who asked you, after all.\Okay, say cheese.\Do you take the groom to be your wedded husband, to have and to hold from this day on,\Oh, the kiss is coming up.\for better for worse, for richer for poorer, in sickness and in health,\I bet they're nervous.\to love, cherish, and to obey, till death do you part? response:	I do.
context: I was the one who asked you, after all.\Okay, say cheese.\Do you take the groom to be your wedded husband, to have and to hold from this day on,\Oh, the kiss is coming up.\for better for worse, for richer for poorer, in sickness and in health,\I bet they're nervous.\to love, cherish, and to obey, till death do you part?\I do. response:	You may now kiss the bride.
context: Okay, say cheese.\Do you take the groom to be your wedded husband, to have and to hold from this day on,\Oh, the kiss is coming up.\for better for worse, for richer for poorer, in sickness and in health,\I bet they're nervous.\to love, cherish, and to obey, till death do you part?\I do.\You may now kiss the bride. response:	I happened to hear, though...
context: Do you take the groom to be your wedded husband, to have and to hold from this day on,\Oh, the kiss is coming up.\for better for worse, for richer for poorer, in sickness and in health,\I bet they're nervous.\to love, cherish, and to obey, till death do you part?\I do.\You may now kiss the bride.\I happened to hear, though... response:	Five years ago, when we went to Grandpa's place,
context: Oh, the kiss is coming up.\for better for worse, for richer for poorer, in sickness and in health,\I bet they're nervous.\to love, cherish, and to obey, till death do you part?\I do.\You may now kiss the bride.\I happened to hear, though...\Five years ago, when we went to Grandpa's place, response:	the two already...
context: for better for worse, for richer for poorer, in sickness and in health,\I bet they're nervous.\to love, cherish, and to obey, till death do you part?\I do.\You may now kiss the bride.\I happened to hear, though...\Five years ago, when we went to Grandpa's place,\the two already... response:	Now I shouldn't have to worry about being fooled by them anymore.
context: I bet they're nervous.\to love, cherish, and to obey, till death do you part?\I do.\You may now kiss the bride.\I happened to hear, though...\Five years ago, when we went to Grandpa's place,\the two already...\Now I shouldn't have to worry about being fooled by them anymore. response:	What the...
context: to love, cherish, and to obey, till death do you part?\I do.\You may now kiss the bride.\I happened to hear, though...\Five years ago, when we went to Grandpa's place,\the two already...\Now I shouldn't have to worry about being fooled by them anymore.\What the... response:	Uh, seriously, what the...
context: I do.\You may now kiss the bride.\I happened to hear, though...\Five years ago, when we went to Grandpa's place,\the two already...\Now I shouldn't have to worry about being fooled by them anymore.\What the...\Uh, seriously, what the... response:	That was the day.
context: You may now kiss the bride.\I happened to hear, though...\Five years ago, when we went to Grandpa's place,\the two already...\Now I shouldn't have to worry about being fooled by them anymore.\What the...\Uh, seriously, what the...\That was the day. response:	That must have been the day
context: I happened to hear, though...\Five years ago, when we went to Grandpa's place,\the two already...\Now I shouldn't have to worry about being fooled by them anymore.\What the...\Uh, seriously, what the...\That was the day.\That must have been the day response:	that I started to feel she was special.
context: Five years ago, when we went to Grandpa's place,\the two already...\Now I shouldn't have to worry about being fooled by them anymore.\What the...\Uh, seriously, what the...\That was the day.\That must have been the day\that I started to feel she was special. response:	From that moment.
