context: Signs response:	Unread: Thank you for taking care of me
context: Weren't you the one who said that school isn't a place for trading chocolate?\I'm not trading. I'm just bringing it.\Right, Taiga?\Huh?\She's absent.\Takasu-kun too.\What's going on?\Did they catch a cold together? response:	More like a fever.
context: I'm not trading. I'm just bringing it.\Right, Taiga?\Huh?\She's absent.\Takasu-kun too.\What's going on?\Did they catch a cold together?\More like a fever. response:	Fight on! Fight on!
context: Right, Taiga?\Huh?\She's absent.\Takasu-kun too.\What's going on?\Did they catch a cold together?\More like a fever.\Fight on! Fight on! response:	Oohashi! Fight on! Fight on! Fight on...
context: Huh?\She's absent.\Takasu-kun too.\What's going on?\Did they catch a cold together?\More like a fever.\Fight on! Fight on!\Oohashi! Fight on! Fight on! Fight on... response:	Hey, seriously...
context: She's absent.\Takasu-kun too.\What's going on?\Did they catch a cold together?\More like a fever.\Fight on! Fight on!\Oohashi! Fight on! Fight on! Fight on...\Hey, seriously... response:	You're not going to see them off?
context: Takasu-kun too.\What's going on?\Did they catch a cold together?\More like a fever.\Fight on! Fight on!\Oohashi! Fight on! Fight on! Fight on...\Hey, seriously...\You're not going to see them off? response:	What? I can't hear you!
context: What's going on?\Did they catch a cold together?\More like a fever.\Fight on! Fight on!\Oohashi! Fight on! Fight on! Fight on...\Hey, seriously...\You're not going to see them off?\What? I can't hear you! response:	Regardless how strong a will she has,
context: Did they catch a cold together?\More like a fever.\Fight on! Fight on!\Oohashi! Fight on! Fight on! Fight on...\Hey, seriously...\You're not going to see them off?\What? I can't hear you!\Regardless how strong a will she has, response:	she broke down after being dumped by both Taiga and Takasu-kun.
context: More like a fever.\Fight on! Fight on!\Oohashi! Fight on! Fight on! Fight on...\Hey, seriously...\You're not going to see them off?\What? I can't hear you!\Regardless how strong a will she has,\she broke down after being dumped by both Taiga and Takasu-kun. response:	Why do I have to have a snowball fight with -
context: Fight on! Fight on!\Oohashi! Fight on! Fight on! Fight on...\Hey, seriously...\You're not going to see them off?\What? I can't hear you!\Regardless how strong a will she has,\she broke down after being dumped by both Taiga and Takasu-kun.\Why do I have to have a snowball fight with - response:	You bitch!
context: Oohashi! Fight on! Fight on! Fight on...\Hey, seriously...\You're not going to see them off?\What? I can't hear you!\Regardless how strong a will she has,\she broke down after being dumped by both Taiga and Takasu-kun.\Why do I have to have a snowball fight with -\You bitch! response:	Take this! Pure white sphere!
context: Hey, seriously...\You're not going to see them off?\What? I can't hear you!\Regardless how strong a will she has,\she broke down after being dumped by both Taiga and Takasu-kun.\Why do I have to have a snowball fight with -\You bitch!\Take this! Pure white sphere! response:	Since it's food for running away, I picked something more mature.
context: You're not going to see them off?\What? I can't hear you!\Regardless how strong a will she has,\she broke down after being dumped by both Taiga and Takasu-kun.\Why do I have to have a snowball fight with -\You bitch!\Take this! Pure white sphere!\Since it's food for running away, I picked something more mature. response:	Look, cigar chocolate, chicken wafers and -
context: What? I can't hear you!\Regardless how strong a will she has,\she broke down after being dumped by both Taiga and Takasu-kun.\Why do I have to have a snowball fight with -\You bitch!\Take this! Pure white sphere!\Since it's food for running away, I picked something more mature.\Look, cigar chocolate, chicken wafers and - response:	I've made lunch too.
context: Regardless how strong a will she has,\she broke down after being dumped by both Taiga and Takasu-kun.\Why do I have to have a snowball fight with -\You bitch!\Take this! Pure white sphere!\Since it's food for running away, I picked something more mature.\Look, cigar chocolate, chicken wafers and -\I've made lunch too. response:	Here.
context: she broke down after being dumped by both Taiga and Takasu-kun.\Why do I have to have a snowball fight with -\You bitch!\Take this! Pure white sphere!\Since it's food for running away, I picked something more mature.\Look, cigar chocolate, chicken wafers and -\I've made lunch too.\Here. response:	Shouldn't you buy lunch from train stations when you run away?
context: Why do I have to have a snowball fight with -\You bitch!\Take this! Pure white sphere!\Since it's food for running away, I picked something more mature.\Look, cigar chocolate, chicken wafers and -\I've made lunch too.\Here.\Shouldn't you buy lunch from train stations when you run away? response:	I'll eat it anyway.
context: You bitch!\Take this! Pure white sphere!\Since it's food for running away, I picked something more mature.\Look, cigar chocolate, chicken wafers and -\I've made lunch too.\Here.\Shouldn't you buy lunch from train stations when you run away?\I'll eat it anyway. response:	What about your mother?
context: Take this! Pure white sphere!\Since it's food for running away, I picked something more mature.\Look, cigar chocolate, chicken wafers and -\I've made lunch too.\Here.\Shouldn't you buy lunch from train stations when you run away?\I'll eat it anyway.\What about your mother? response:	She only cares about her own reputation.
context: Since it's food for running away, I picked something more mature.\Look, cigar chocolate, chicken wafers and -\I've made lunch too.\Here.\Shouldn't you buy lunch from train stations when you run away?\I'll eat it anyway.\What about your mother?\She only cares about her own reputation. response:	I don't think she'll make a big fuss out of it.
context: Look, cigar chocolate, chicken wafers and -\I've made lunch too.\Here.\Shouldn't you buy lunch from train stations when you run away?\I'll eat it anyway.\What about your mother?\She only cares about her own reputation.\I don't think she'll make a big fuss out of it. response:	Hey, what about Ya-chan?
context: I've made lunch too.\Here.\Shouldn't you buy lunch from train stations when you run away?\I'll eat it anyway.\What about your mother?\She only cares about her own reputation.\I don't think she'll make a big fuss out of it.\Hey, what about Ya-chan? response:	She's fine.
context: Here.\Shouldn't you buy lunch from train stations when you run away?\I'll eat it anyway.\What about your mother?\She only cares about her own reputation.\I don't think she'll make a big fuss out of it.\Hey, what about Ya-chan?\She's fine. response:	I'll only say it now because we're running away...
context: Shouldn't you buy lunch from train stations when you run away?\I'll eat it anyway.\What about your mother?\She only cares about her own reputation.\I don't think she'll make a big fuss out of it.\Hey, what about Ya-chan?\She's fine.\I'll only say it now because we're running away... response:	You know, when Ya-chan said we're a family of three,
context: I'll eat it anyway.\What about your mother?\She only cares about her own reputation.\I don't think she'll make a big fuss out of it.\Hey, what about Ya-chan?\She's fine.\I'll only say it now because we're running away...\You know, when Ya-chan said we're a family of three, response:	I was truly overjoyed!
context: What about your mother?\She only cares about her own reputation.\I don't think she'll make a big fuss out of it.\Hey, what about Ya-chan?\She's fine.\I'll only say it now because we're running away...\You know, when Ya-chan said we're a family of three,\I was truly overjoyed! response:	You know what my family is like.
context: She only cares about her own reputation.\I don't think she'll make a big fuss out of it.\Hey, what about Ya-chan?\She's fine.\I'll only say it now because we're running away...\You know, when Ya-chan said we're a family of three,\I was truly overjoyed!\You know what my family is like. response:	So when we're really becoming a family like this,
context: I don't think she'll make a big fuss out of it.\Hey, what about Ya-chan?\She's fine.\I'll only say it now because we're running away...\You know, when Ya-chan said we're a family of three,\I was truly overjoyed!\You know what my family is like.\So when we're really becoming a family like this, response:	will Ya-chan cry?
context: Hey, what about Ya-chan?\She's fine.\I'll only say it now because we're running away...\You know, when Ya-chan said we're a family of three,\I was truly overjoyed!\You know what my family is like.\So when we're really becoming a family like this,\will Ya-chan cry? response:	No, I don't mean that!
context: She's fine.\I'll only say it now because we're running away...\You know, when Ya-chan said we're a family of three,\I was truly overjoyed!\You know what my family is like.\So when we're really becoming a family like this,\will Ya-chan cry?\No, I don't mean that! response:	It won't be goodbye forever!
context: I'll only say it now because we're running away...\You know, when Ya-chan said we're a family of three,\I was truly overjoyed!\You know what my family is like.\So when we're really becoming a family like this,\will Ya-chan cry?\No, I don't mean that!\It won't be goodbye forever! response:	It's not that I don't want to run away with you...
context: You know, when Ya-chan said we're a family of three,\I was truly overjoyed!\You know what my family is like.\So when we're really becoming a family like this,\will Ya-chan cry?\No, I don't mean that!\It won't be goodbye forever!\It's not that I don't want to run away with you... response:	I think it's great, but...
context: I was truly overjoyed!\You know what my family is like.\So when we're really becoming a family like this,\will Ya-chan cry?\No, I don't mean that!\It won't be goodbye forever!\It's not that I don't want to run away with you...\I think it's great, but... response:	I guess.
context: You know what my family is like.\So when we're really becoming a family like this,\will Ya-chan cry?\No, I don't mean that!\It won't be goodbye forever!\It's not that I don't want to run away with you...\I think it's great, but...\I guess. response:	Listen, Taiga...
context: So when we're really becoming a family like this,\will Ya-chan cry?\No, I don't mean that!\It won't be goodbye forever!\It's not that I don't want to run away with you...\I think it's great, but...\I guess.\Listen, Taiga... response:	Dad!
context: will Ya-chan cry?\No, I don't mean that!\It won't be goodbye forever!\It's not that I don't want to run away with you...\I think it's great, but...\I guess.\Listen, Taiga...\Dad! response:	D-Dad!
context: No, I don't mean that!\It won't be goodbye forever!\It's not that I don't want to run away with you...\I think it's great, but...\I guess.\Listen, Taiga...\Dad!\D-Dad! response:	This is really...
context: It won't be goodbye forever!\It's not that I don't want to run away with you...\I think it's great, but...\I guess.\Listen, Taiga...\Dad!\D-Dad!\This is really... response:	Then, you must be...
context: It's not that I don't want to run away with you...\I think it's great, but...\I guess.\Listen, Taiga...\Dad!\D-Dad!\This is really...\Then, you must be... response:	Nice to meet you.
context: I think it's great, but...\I guess.\Listen, Taiga...\Dad!\D-Dad!\This is really...\Then, you must be...\Nice to meet you. response:	I'm your grandchild, Takasu Ryuuji.
context: I guess.\Listen, Taiga...\Dad!\D-Dad!\This is really...\Then, you must be...\Nice to meet you.\I'm your grandchild, Takasu Ryuuji. response:	Also, she's my wife.
context: Listen, Taiga...\Dad!\D-Dad!\This is really...\Then, you must be...\Nice to meet you.\I'm your grandchild, Takasu Ryuuji.\Also, she's my wife. response:	Also, I have a request.
context: Dad!\D-Dad!\This is really...\Then, you must be...\Nice to meet you.\I'm your grandchild, Takasu Ryuuji.\Also, she's my wife.\Also, I have a request. response:	We're not escaping, we're...
context: D-Dad!\This is really...\Then, you must be...\Nice to meet you.\I'm your grandchild, Takasu Ryuuji.\Also, she's my wife.\Also, I have a request.\We're not escaping, we're... response:	Ryuuji showed me his method of dealing with it.
context: This is really...\Then, you must be...\Nice to meet you.\I'm your grandchild, Takasu Ryuuji.\Also, she's my wife.\Also, I have a request.\We're not escaping, we're...\Ryuuji showed me his method of dealing with it. response:	Now it's my turn.
context: Then, you must be...\Nice to meet you.\I'm your grandchild, Takasu Ryuuji.\Also, she's my wife.\Also, I have a request.\We're not escaping, we're...\Ryuuji showed me his method of dealing with it.\Now it's my turn. response:	Hey, Ryuuji...
context: Nice to meet you.\I'm your grandchild, Takasu Ryuuji.\Also, she's my wife.\Also, I have a request.\We're not escaping, we're...\Ryuuji showed me his method of dealing with it.\Now it's my turn.\Hey, Ryuuji... response:	Don't laugh at me. Don't get mad at me.
