context: Auntie, are you really going to marry the Crown Prince? response:	I have to marry him sooner or later.
context: Yes.\It isn't that long, but it isn't short either.\Qian Qian has hidden out here in Qing Qiu for 70,000 years as well.\She safeguarded your body to await your return.\It's too damp and cold in here.\Let's leave this cave.\You must have had a hard time in the past 70,000 years?\My spirit was split into fragments response:	so it took me quite a lot of time to put them back together.
context: It isn't that long, but it isn't short either.\Qian Qian has hidden out here in Qing Qiu for 70,000 years as well.\She safeguarded your body to await your return.\It's too damp and cold in here.\Let's leave this cave.\You must have had a hard time in the past 70,000 years?\My spirit was split into fragments\so it took me quite a lot of time to put them back together. response:	Mo Yuan...
context: Qian Qian has hidden out here in Qing Qiu for 70,000 years as well.\She safeguarded your body to await your return.\It's too damp and cold in here.\Let's leave this cave.\You must have had a hard time in the past 70,000 years?\My spirit was split into fragments\so it took me quite a lot of time to put them back together.\Mo Yuan... response:	You're finally awake.
context: She safeguarded your body to await your return.\It's too damp and cold in here.\Let's leave this cave.\You must have had a hard time in the past 70,000 years?\My spirit was split into fragments\so it took me quite a lot of time to put them back together.\Mo Yuan...\You're finally awake. response:	Do you think the Bell of East Emperor could trap me without your spirit?
context: It's too damp and cold in here.\Let's leave this cave.\You must have had a hard time in the past 70,000 years?\My spirit was split into fragments\so it took me quite a lot of time to put them back together.\Mo Yuan...\You're finally awake.\Do you think the Bell of East Emperor could trap me without your spirit? response:	I just need a bit more time...
context: Let's leave this cave.\You must have had a hard time in the past 70,000 years?\My spirit was split into fragments\so it took me quite a lot of time to put them back together.\Mo Yuan...\You're finally awake.\Do you think the Bell of East Emperor could trap me without your spirit?\I just need a bit more time... response:	It won't take me too long.
context: You must have had a hard time in the past 70,000 years?\My spirit was split into fragments\so it took me quite a lot of time to put them back together.\Mo Yuan...\You're finally awake.\Do you think the Bell of East Emperor could trap me without your spirit?\I just need a bit more time...\It won't take me too long. response:	We will soon meet again.
context: My spirit was split into fragments\so it took me quite a lot of time to put them back together.\Mo Yuan...\You're finally awake.\Do you think the Bell of East Emperor could trap me without your spirit?\I just need a bit more time...\It won't take me too long.\We will soon meet again. response:	Master.
context: so it took me quite a lot of time to put them back together.\Mo Yuan...\You're finally awake.\Do you think the Bell of East Emperor could trap me without your spirit?\I just need a bit more time...\It won't take me too long.\We will soon meet again.\Master. response:	Zhe Yan.
context: Mo Yuan...\You're finally awake.\Do you think the Bell of East Emperor could trap me without your spirit?\I just need a bit more time...\It won't take me too long.\We will soon meet again.\Master.\Zhe Yan. response:	During the past 70,000 years when I was asleep
context: You're finally awake.\Do you think the Bell of East Emperor could trap me without your spirit?\I just need a bit more time...\It won't take me too long.\We will soon meet again.\Master.\Zhe Yan.\During the past 70,000 years when I was asleep response:	did anyone who looked identical to me appear?
context: Do you think the Bell of East Emperor could trap me without your spirit?\I just need a bit more time...\It won't take me too long.\We will soon meet again.\Master.\Zhe Yan.\During the past 70,000 years when I was asleep\did anyone who looked identical to me appear? response:	There is one such man.
context: I just need a bit more time...\It won't take me too long.\We will soon meet again.\Master.\Zhe Yan.\During the past 70,000 years when I was asleep\did anyone who looked identical to me appear?\There is one such man. response:	Your little disciple even knows him quite well.
context: It won't take me too long.\We will soon meet again.\Master.\Zhe Yan.\During the past 70,000 years when I was asleep\did anyone who looked identical to me appear?\There is one such man.\Your little disciple even knows him quite well. response:	Little Seventeenth, you know him?
context: We will soon meet again.\Master.\Zhe Yan.\During the past 70,000 years when I was asleep\did anyone who looked identical to me appear?\There is one such man.\Your little disciple even knows him quite well.\Little Seventeenth, you know him? response:	What is it?
context: Master.\Zhe Yan.\During the past 70,000 years when I was asleep\did anyone who looked identical to me appear?\There is one such man.\Your little disciple even knows him quite well.\Little Seventeenth, you know him?\What is it? response:	Only when it comes to Mo Yuan would you show some fear.
context: Zhe Yan.\During the past 70,000 years when I was asleep\did anyone who looked identical to me appear?\There is one such man.\Your little disciple even knows him quite well.\Little Seventeenth, you know him?\What is it?\Only when it comes to Mo Yuan would you show some fear. response:	Don't be shy. Tell him.
context: During the past 70,000 years when I was asleep\did anyone who looked identical to me appear?\There is one such man.\Your little disciple even knows him quite well.\Little Seventeenth, you know him?\What is it?\Only when it comes to Mo Yuan would you show some fear.\Don't be shy. Tell him. response:	The man you just mentioned...
context: did anyone who looked identical to me appear?\There is one such man.\Your little disciple even knows him quite well.\Little Seventeenth, you know him?\What is it?\Only when it comes to Mo Yuan would you show some fear.\Don't be shy. Tell him.\The man you just mentioned... response:	He's my fiance.
context: There is one such man.\Your little disciple even knows him quite well.\Little Seventeenth, you know him?\What is it?\Only when it comes to Mo Yuan would you show some fear.\Don't be shy. Tell him.\The man you just mentioned...\He's my fiance. response:	The Crown Prince of the Celestial Tribe.
context: Your little disciple even knows him quite well.\Little Seventeenth, you know him?\What is it?\Only when it comes to Mo Yuan would you show some fear.\Don't be shy. Tell him.\The man you just mentioned...\He's my fiance.\The Crown Prince of the Celestial Tribe. response:	Your fiance?
context: Little Seventeenth, you know him?\What is it?\Only when it comes to Mo Yuan would you show some fear.\Don't be shy. Tell him.\The man you just mentioned...\He's my fiance.\The Crown Prince of the Celestial Tribe.\Your fiance? response:	What is his name?
context: What is it?\Only when it comes to Mo Yuan would you show some fear.\Don't be shy. Tell him.\The man you just mentioned...\He's my fiance.\The Crown Prince of the Celestial Tribe.\Your fiance?\What is his name? response:	When was he born?
context: Only when it comes to Mo Yuan would you show some fear.\Don't be shy. Tell him.\The man you just mentioned...\He's my fiance.\The Crown Prince of the Celestial Tribe.\Your fiance?\What is his name?\When was he born? response:	His name is Ye Hua.
context: Don't be shy. Tell him.\The man you just mentioned...\He's my fiance.\The Crown Prince of the Celestial Tribe.\Your fiance?\What is his name?\When was he born?\His name is Ye Hua. response:	He was born about 70,000 years ago
context: The man you just mentioned...\He's my fiance.\The Crown Prince of the Celestial Tribe.\Your fiance?\What is his name?\When was he born?\His name is Ye Hua.\He was born about 70,000 years ago response:	when I brought your body out of Kunlun Mountain.
context: He's my fiance.\The Crown Prince of the Celestial Tribe.\Your fiance?\What is his name?\When was he born?\His name is Ye Hua.\He was born about 70,000 years ago\when I brought your body out of Kunlun Mountain. response:	Little Seventeenth.
context: The Crown Prince of the Celestial Tribe.\Your fiance?\What is his name?\When was he born?\His name is Ye Hua.\He was born about 70,000 years ago\when I brought your body out of Kunlun Mountain.\Little Seventeenth. response:	My twin brother is snatched away by you just like that.
context: Your fiance?\What is his name?\When was he born?\His name is Ye Hua.\He was born about 70,000 years ago\when I brought your body out of Kunlun Mountain.\Little Seventeenth.\My twin brother is snatched away by you just like that. response:	Why haven't I heard that you have a twin brother?
context: What is his name?\When was he born?\His name is Ye Hua.\He was born about 70,000 years ago\when I brought your body out of Kunlun Mountain.\Little Seventeenth.\My twin brother is snatched away by you just like that.\Why haven't I heard that you have a twin brother? response:	It's no wonder that you're surprised.
context: When was he born?\His name is Ye Hua.\He was born about 70,000 years ago\when I brought your body out of Kunlun Mountain.\Little Seventeenth.\My twin brother is snatched away by you just like that.\Why haven't I heard that you have a twin brother?\It's no wonder that you're surprised. response:	I only learned of it when Heavenly Father passed away.
context: His name is Ye Hua.\He was born about 70,000 years ago\when I brought your body out of Kunlun Mountain.\Little Seventeenth.\My twin brother is snatched away by you just like that.\Why haven't I heard that you have a twin brother?\It's no wonder that you're surprised.\I only learned of it when Heavenly Father passed away. response:	A golden lotus?
context: He was born about 70,000 years ago\when I brought your body out of Kunlun Mountain.\Little Seventeenth.\My twin brother is snatched away by you just like that.\Why haven't I heard that you have a twin brother?\It's no wonder that you're surprised.\I only learned of it when Heavenly Father passed away.\A golden lotus? response:	Heavenly Father...
context: when I brought your body out of Kunlun Mountain.\Little Seventeenth.\My twin brother is snatched away by you just like that.\Why haven't I heard that you have a twin brother?\It's no wonder that you're surprised.\I only learned of it when Heavenly Father passed away.\A golden lotus?\Heavenly Father... response:	I have to tell you a story first.
context: Little Seventeenth.\My twin brother is snatched away by you just like that.\Why haven't I heard that you have a twin brother?\It's no wonder that you're surprised.\I only learned of it when Heavenly Father passed away.\A golden lotus?\Heavenly Father...\I have to tell you a story first. response:	That year, the Four Pillars of Heaven and Earth collapsed.
context: My twin brother is snatched away by you just like that.\Why haven't I heard that you have a twin brother?\It's no wonder that you're surprised.\I only learned of it when Heavenly Father passed away.\A golden lotus?\Heavenly Father...\I have to tell you a story first.\That year, the Four Pillars of Heaven and Earth collapsed. response:	In order to hold up and repair those four pillars that supported the heavens
context: Why haven't I heard that you have a twin brother?\It's no wonder that you're surprised.\I only learned of it when Heavenly Father passed away.\A golden lotus?\Heavenly Father...\I have to tell you a story first.\That year, the Four Pillars of Heaven and Earth collapsed.\In order to hold up and repair those four pillars that supported the heavens response:	your mother nearly had a miscarriage.
context: It's no wonder that you're surprised.\I only learned of it when Heavenly Father passed away.\A golden lotus?\Heavenly Father...\I have to tell you a story first.\That year, the Four Pillars of Heaven and Earth collapsed.\In order to hold up and repair those four pillars that supported the heavens\your mother nearly had a miscarriage. response:	When she went into labor
context: I only learned of it when Heavenly Father passed away.\A golden lotus?\Heavenly Father...\I have to tell you a story first.\That year, the Four Pillars of Heaven and Earth collapsed.\In order to hold up and repair those four pillars that supported the heavens\your mother nearly had a miscarriage.\When she went into labor response:	she was supposed to give birth to twin sons
context: A golden lotus?\Heavenly Father...\I have to tell you a story first.\That year, the Four Pillars of Heaven and Earth collapsed.\In order to hold up and repair those four pillars that supported the heavens\your mother nearly had a miscarriage.\When she went into labor\she was supposed to give birth to twin sons response:	but she only managed to keep the eldest alive.
context: Heavenly Father...\I have to tell you a story first.\That year, the Four Pillars of Heaven and Earth collapsed.\In order to hold up and repair those four pillars that supported the heavens\your mother nearly had a miscarriage.\When she went into labor\she was supposed to give birth to twin sons\but she only managed to keep the eldest alive. response:	The younger twin was lost.
context: I have to tell you a story first.\That year, the Four Pillars of Heaven and Earth collapsed.\In order to hold up and repair those four pillars that supported the heavens\your mother nearly had a miscarriage.\When she went into labor\she was supposed to give birth to twin sons\but she only managed to keep the eldest alive.\The younger twin was lost. response:	You're that eldest twin.
context: That year, the Four Pillars of Heaven and Earth collapsed.\In order to hold up and repair those four pillars that supported the heavens\your mother nearly had a miscarriage.\When she went into labor\she was supposed to give birth to twin sons\but she only managed to keep the eldest alive.\The younger twin was lost.\You're that eldest twin. response:	I had a younger brother?
context: In order to hold up and repair those four pillars that supported the heavens\your mother nearly had a miscarriage.\When she went into labor\she was supposed to give birth to twin sons\but she only managed to keep the eldest alive.\The younger twin was lost.\You're that eldest twin.\I had a younger brother? response:	I felt guilty toward your brother.
context: your mother nearly had a miscarriage.\When she went into labor\she was supposed to give birth to twin sons\but she only managed to keep the eldest alive.\The younger twin was lost.\You're that eldest twin.\I had a younger brother?\I felt guilty toward your brother. response:	So I used up half of all my powers to create a celestial fetus.
context: When she went into labor\she was supposed to give birth to twin sons\but she only managed to keep the eldest alive.\The younger twin was lost.\You're that eldest twin.\I had a younger brother?\I felt guilty toward your brother.\So I used up half of all my powers to create a celestial fetus. response:	I turned that celestial fetus into a golden lotus.
context: she was supposed to give birth to twin sons\but she only managed to keep the eldest alive.\The younger twin was lost.\You're that eldest twin.\I had a younger brother?\I felt guilty toward your brother.\So I used up half of all my powers to create a celestial fetus.\I turned that celestial fetus into a golden lotus. response:	Now that I'll soon go into the realm of nothingness
context: but she only managed to keep the eldest alive.\The younger twin was lost.\You're that eldest twin.\I had a younger brother?\I felt guilty toward your brother.\So I used up half of all my powers to create a celestial fetus.\I turned that celestial fetus into a golden lotus.\Now that I'll soon go into the realm of nothingness response:	I'm entrusting your brother's celestial fetus to you.
context: The younger twin was lost.\You're that eldest twin.\I had a younger brother?\I felt guilty toward your brother.\So I used up half of all my powers to create a celestial fetus.\I turned that celestial fetus into a golden lotus.\Now that I'll soon go into the realm of nothingness\I'm entrusting your brother's celestial fetus to you. response:	You must nurse him in Kunlun Mountain's lotus pond.
context: You're that eldest twin.\I had a younger brother?\I felt guilty toward your brother.\So I used up half of all my powers to create a celestial fetus.\I turned that celestial fetus into a golden lotus.\Now that I'll soon go into the realm of nothingness\I'm entrusting your brother's celestial fetus to you.\You must nurse him in Kunlun Mountain's lotus pond. response:	Hopefully he shall one day be born into this world.
context: I had a younger brother?\I felt guilty toward your brother.\So I used up half of all my powers to create a celestial fetus.\I turned that celestial fetus into a golden lotus.\Now that I'll soon go into the realm of nothingness\I'm entrusting your brother's celestial fetus to you.\You must nurse him in Kunlun Mountain's lotus pond.\Hopefully he shall one day be born into this world. response:	The both of you are bonded by blood.
context: I felt guilty toward your brother.\So I used up half of all my powers to create a celestial fetus.\I turned that celestial fetus into a golden lotus.\Now that I'll soon go into the realm of nothingness\I'm entrusting your brother's celestial fetus to you.\You must nurse him in Kunlun Mountain's lotus pond.\Hopefully he shall one day be born into this world.\The both of you are bonded by blood. response:	That might give him a better chance of reviving him some day.
context: So I used up half of all my powers to create a celestial fetus.\I turned that celestial fetus into a golden lotus.\Now that I'll soon go into the realm of nothingness\I'm entrusting your brother's celestial fetus to you.\You must nurse him in Kunlun Mountain's lotus pond.\Hopefully he shall one day be born into this world.\The both of you are bonded by blood.\That might give him a better chance of reviving him some day. response:	Keep him safe.
context: I turned that celestial fetus into a golden lotus.\Now that I'll soon go into the realm of nothingness\I'm entrusting your brother's celestial fetus to you.\You must nurse him in Kunlun Mountain's lotus pond.\Hopefully he shall one day be born into this world.\The both of you are bonded by blood.\That might give him a better chance of reviving him some day.\Keep him safe. response:	Mo Yuan.
context: Now that I'll soon go into the realm of nothingness\I'm entrusting your brother's celestial fetus to you.\You must nurse him in Kunlun Mountain's lotus pond.\Hopefully he shall one day be born into this world.\The both of you are bonded by blood.\That might give him a better chance of reviving him some day.\Keep him safe.\Mo Yuan. response:	This is... my only wish.
context: I'm entrusting your brother's celestial fetus to you.\You must nurse him in Kunlun Mountain's lotus pond.\Hopefully he shall one day be born into this world.\The both of you are bonded by blood.\That might give him a better chance of reviving him some day.\Keep him safe.\Mo Yuan.\This is... my only wish. response:	Yes.
context: You must nurse him in Kunlun Mountain's lotus pond.\Hopefully he shall one day be born into this world.\The both of you are bonded by blood.\That might give him a better chance of reviving him some day.\Keep him safe.\Mo Yuan.\This is... my only wish.\Yes. response:	When I sacrificed my spirit to the Bell of East Emperor
context: Hopefully he shall one day be born into this world.\The both of you are bonded by blood.\That might give him a better chance of reviving him some day.\Keep him safe.\Mo Yuan.\This is... my only wish.\Yes.\When I sacrificed my spirit to the Bell of East Emperor response:	he was finally awakened.
context: The both of you are bonded by blood.\That might give him a better chance of reviving him some day.\Keep him safe.\Mo Yuan.\This is... my only wish.\Yes.\When I sacrificed my spirit to the Bell of East Emperor\he was finally awakened. response:	I only know that after Heavenly Father passed away
context: That might give him a better chance of reviving him some day.\Keep him safe.\Mo Yuan.\This is... my only wish.\Yes.\When I sacrificed my spirit to the Bell of East Emperor\he was finally awakened.\I only know that after Heavenly Father passed away response:	you've dedicated yourself to looking after that lotus.
context: Keep him safe.\Mo Yuan.\This is... my only wish.\Yes.\When I sacrificed my spirit to the Bell of East Emperor\he was finally awakened.\I only know that after Heavenly Father passed away\you've dedicated yourself to looking after that lotus. response:	I've never once suspected where it came from.
context: Mo Yuan.\This is... my only wish.\Yes.\When I sacrificed my spirit to the Bell of East Emperor\he was finally awakened.\I only know that after Heavenly Father passed away\you've dedicated yourself to looking after that lotus.\I've never once suspected where it came from. response:	It's no wonder.
context: This is... my only wish.\Yes.\When I sacrificed my spirit to the Bell of East Emperor\he was finally awakened.\I only know that after Heavenly Father passed away\you've dedicated yourself to looking after that lotus.\I've never once suspected where it came from.\It's no wonder. response:	That golden lotus withered when your soul and spirit vanished.
context: Yes.\When I sacrificed my spirit to the Bell of East Emperor\he was finally awakened.\I only know that after Heavenly Father passed away\you've dedicated yourself to looking after that lotus.\I've never once suspected where it came from.\It's no wonder.\That golden lotus withered when your soul and spirit vanished. response:	Soon afterwards, Consort Le Xu gave birth to Crown Prince Ye Hua.
context: When I sacrificed my spirit to the Bell of East Emperor\he was finally awakened.\I only know that after Heavenly Father passed away\you've dedicated yourself to looking after that lotus.\I've never once suspected where it came from.\It's no wonder.\That golden lotus withered when your soul and spirit vanished.\Soon afterwards, Consort Le Xu gave birth to Crown Prince Ye Hua. response:	No wonder when that lad was born
context: he was finally awakened.\I only know that after Heavenly Father passed away\you've dedicated yourself to looking after that lotus.\I've never once suspected where it came from.\It's no wonder.\That golden lotus withered when your soul and spirit vanished.\Soon afterwards, Consort Le Xu gave birth to Crown Prince Ye Hua.\No wonder when that lad was born response:	72 rainbow birds flew around the pillar for 81 days
context: I only know that after Heavenly Father passed away\you've dedicated yourself to looking after that lotus.\I've never once suspected where it came from.\It's no wonder.\That golden lotus withered when your soul and spirit vanished.\Soon afterwards, Consort Le Xu gave birth to Crown Prince Ye Hua.\No wonder when that lad was born\72 rainbow birds flew around the pillar for 81 days response:	and the misty clouds in the twilight appeared for three years.
context: you've dedicated yourself to looking after that lotus.\I've never once suspected where it came from.\It's no wonder.\That golden lotus withered when your soul and spirit vanished.\Soon afterwards, Consort Le Xu gave birth to Crown Prince Ye Hua.\No wonder when that lad was born\72 rainbow birds flew around the pillar for 81 days\and the misty clouds in the twilight appeared for three years. response:	He's actually High God Mo Yuan's twin brother.
context: I've never once suspected where it came from.\It's no wonder.\That golden lotus withered when your soul and spirit vanished.\Soon afterwards, Consort Le Xu gave birth to Crown Prince Ye Hua.\No wonder when that lad was born\72 rainbow birds flew around the pillar for 81 days\and the misty clouds in the twilight appeared for three years.\He's actually High God Mo Yuan's twin brother. response:	Indeed.
context: It's no wonder.\That golden lotus withered when your soul and spirit vanished.\Soon afterwards, Consort Le Xu gave birth to Crown Prince Ye Hua.\No wonder when that lad was born\72 rainbow birds flew around the pillar for 81 days\and the misty clouds in the twilight appeared for three years.\He's actually High God Mo Yuan's twin brother.\Indeed. response:	Only the twin brother of Mo Yuan and the son of Heavenly Father
context: That golden lotus withered when your soul and spirit vanished.\Soon afterwards, Consort Le Xu gave birth to Crown Prince Ye Hua.\No wonder when that lad was born\72 rainbow birds flew around the pillar for 81 days\and the misty clouds in the twilight appeared for three years.\He's actually High God Mo Yuan's twin brother.\Indeed.\Only the twin brother of Mo Yuan and the son of Heavenly Father response:	could be blessed with such a celebratory sight.
context: Soon afterwards, Consort Le Xu gave birth to Crown Prince Ye Hua.\No wonder when that lad was born\72 rainbow birds flew around the pillar for 81 days\and the misty clouds in the twilight appeared for three years.\He's actually High God Mo Yuan's twin brother.\Indeed.\Only the twin brother of Mo Yuan and the son of Heavenly Father\could be blessed with such a celebratory sight. response:	The records in the Nine Heavens stated clearly that
context: No wonder when that lad was born\72 rainbow birds flew around the pillar for 81 days\and the misty clouds in the twilight appeared for three years.\He's actually High God Mo Yuan's twin brother.\Indeed.\Only the twin brother of Mo Yuan and the son of Heavenly Father\could be blessed with such a celebratory sight.\The records in the Nine Heavens stated clearly that response:	Heavenly Father only had one son High God Mo Yuan.
context: 72 rainbow birds flew around the pillar for 81 days\and the misty clouds in the twilight appeared for three years.\He's actually High God Mo Yuan's twin brother.\Indeed.\Only the twin brother of Mo Yuan and the son of Heavenly Father\could be blessed with such a celebratory sight.\The records in the Nine Heavens stated clearly that\Heavenly Father only had one son High God Mo Yuan. response:	It seems that these historical records are not to be trusted.
context: and the misty clouds in the twilight appeared for three years.\He's actually High God Mo Yuan's twin brother.\Indeed.\Only the twin brother of Mo Yuan and the son of Heavenly Father\could be blessed with such a celebratory sight.\The records in the Nine Heavens stated clearly that\Heavenly Father only had one son High God Mo Yuan.\It seems that these historical records are not to be trusted. response:	Instead of reading those records, I might as well read Star Lord's stories.
context: He's actually High God Mo Yuan's twin brother.\Indeed.\Only the twin brother of Mo Yuan and the son of Heavenly Father\could be blessed with such a celebratory sight.\The records in the Nine Heavens stated clearly that\Heavenly Father only had one son High God Mo Yuan.\It seems that these historical records are not to be trusted.\Instead of reading those records, I might as well read Star Lord's stories. response:	Everyone said that Ye Hua resembles Master.
context: Indeed.\Only the twin brother of Mo Yuan and the son of Heavenly Father\could be blessed with such a celebratory sight.\The records in the Nine Heavens stated clearly that\Heavenly Father only had one son High God Mo Yuan.\It seems that these historical records are not to be trusted.\Instead of reading those records, I might as well read Star Lord's stories.\Everyone said that Ye Hua resembles Master. response:	I almost mistook him for Master as well when I first met him.
context: Only the twin brother of Mo Yuan and the son of Heavenly Father\could be blessed with such a celebratory sight.\The records in the Nine Heavens stated clearly that\Heavenly Father only had one son High God Mo Yuan.\It seems that these historical records are not to be trusted.\Instead of reading those records, I might as well read Star Lord's stories.\Everyone said that Ye Hua resembles Master.\I almost mistook him for Master as well when I first met him. response:	Yet no one could have known they were related in such a way.
context: could be blessed with such a celebratory sight.\The records in the Nine Heavens stated clearly that\Heavenly Father only had one son High God Mo Yuan.\It seems that these historical records are not to be trusted.\Instead of reading those records, I might as well read Star Lord's stories.\Everyone said that Ye Hua resembles Master.\I almost mistook him for Master as well when I first met him.\Yet no one could have known they were related in such a way. response:	Seventeenth.
context: The records in the Nine Heavens stated clearly that\Heavenly Father only had one son High God Mo Yuan.\It seems that these historical records are not to be trusted.\Instead of reading those records, I might as well read Star Lord's stories.\Everyone said that Ye Hua resembles Master.\I almost mistook him for Master as well when I first met him.\Yet no one could have known they were related in such a way.\Seventeenth. response:	I'd like to meet my twin brother.
context: Heavenly Father only had one son High God Mo Yuan.\It seems that these historical records are not to be trusted.\Instead of reading those records, I might as well read Star Lord's stories.\Everyone said that Ye Hua resembles Master.\I almost mistook him for Master as well when I first met him.\Yet no one could have known they were related in such a way.\Seventeenth.\I'd like to meet my twin brother. response:	How is he doing?
context: It seems that these historical records are not to be trusted.\Instead of reading those records, I might as well read Star Lord's stories.\Everyone said that Ye Hua resembles Master.\I almost mistook him for Master as well when I first met him.\Yet no one could have known they were related in such a way.\Seventeenth.\I'd like to meet my twin brother.\How is he doing? response:	Master.
context: Instead of reading those records, I might as well read Star Lord's stories.\Everyone said that Ye Hua resembles Master.\I almost mistook him for Master as well when I first met him.\Yet no one could have known they were related in such a way.\Seventeenth.\I'd like to meet my twin brother.\How is he doing?\Master. response:	You just woke up.
context: Everyone said that Ye Hua resembles Master.\I almost mistook him for Master as well when I first met him.\Yet no one could have known they were related in such a way.\Seventeenth.\I'd like to meet my twin brother.\How is he doing?\Master.\You just woke up. response:	You'll still need to meditate for some time
context: I almost mistook him for Master as well when I first met him.\Yet no one could have known they were related in such a way.\Seventeenth.\I'd like to meet my twin brother.\How is he doing?\Master.\You just woke up.\You'll still need to meditate for some time response:	to be restored to your original state.
context: Yet no one could have known they were related in such a way.\Seventeenth.\I'd like to meet my twin brother.\How is he doing?\Master.\You just woke up.\You'll still need to meditate for some time\to be restored to your original state. response:	Ye Hua is now in the Mortal Realm.
context: Seventeenth.\I'd like to meet my twin brother.\How is he doing?\Master.\You just woke up.\You'll still need to meditate for some time\to be restored to your original state.\Ye Hua is now in the Mortal Realm. response:	I can't locate him either.
context: I'd like to meet my twin brother.\How is he doing?\Master.\You just woke up.\You'll still need to meditate for some time\to be restored to your original state.\Ye Hua is now in the Mortal Realm.\I can't locate him either. response:	Why don't we wait till you're well recuperated
context: How is he doing?\Master.\You just woke up.\You'll still need to meditate for some time\to be restored to your original state.\Ye Hua is now in the Mortal Realm.\I can't locate him either.\Why don't we wait till you're well recuperated response:	and I'll bring him here to you?
context: Master.\You just woke up.\You'll still need to meditate for some time\to be restored to your original state.\Ye Hua is now in the Mortal Realm.\I can't locate him either.\Why don't we wait till you're well recuperated\and I'll bring him here to you? response:	That's good.
context: You just woke up.\You'll still need to meditate for some time\to be restored to your original state.\Ye Hua is now in the Mortal Realm.\I can't locate him either.\Why don't we wait till you're well recuperated\and I'll bring him here to you?\That's good. response:	I'll meditate in Kunlun Mountain to await his return.
context: You'll still need to meditate for some time\to be restored to your original state.\Ye Hua is now in the Mortal Realm.\I can't locate him either.\Why don't we wait till you're well recuperated\and I'll bring him here to you?\That's good.\I'll meditate in Kunlun Mountain to await his return. response:	Are all your seniors doing well?
context: to be restored to your original state.\Ye Hua is now in the Mortal Realm.\I can't locate him either.\Why don't we wait till you're well recuperated\and I'll bring him here to you?\That's good.\I'll meditate in Kunlun Mountain to await his return.\Are all your seniors doing well? response:	70,000 years ago after you passed away
context: Ye Hua is now in the Mortal Realm.\I can't locate him either.\Why don't we wait till you're well recuperated\and I'll bring him here to you?\That's good.\I'll meditate in Kunlun Mountain to await his return.\Are all your seniors doing well?\70,000 years ago after you passed away response:	your disciples searched for us for several thousand years.
context: I can't locate him either.\Why don't we wait till you're well recuperated\and I'll bring him here to you?\That's good.\I'll meditate in Kunlun Mountain to await his return.\Are all your seniors doing well?\70,000 years ago after you passed away\your disciples searched for us for several thousand years. response:	Then their families came and took them home one by one.
context: Why don't we wait till you're well recuperated\and I'll bring him here to you?\That's good.\I'll meditate in Kunlun Mountain to await his return.\Are all your seniors doing well?\70,000 years ago after you passed away\your disciples searched for us for several thousand years.\Then their families came and took them home one by one. response:	They went to fulfill their dutiful roles.
context: and I'll bring him here to you?\That's good.\I'll meditate in Kunlun Mountain to await his return.\Are all your seniors doing well?\70,000 years ago after you passed away\your disciples searched for us for several thousand years.\Then their families came and took them home one by one.\They went to fulfill their dutiful roles. response:	Kunlun Mountain is no longer what it used to be.
context: That's good.\I'll meditate in Kunlun Mountain to await his return.\Are all your seniors doing well?\70,000 years ago after you passed away\your disciples searched for us for several thousand years.\Then their families came and took them home one by one.\They went to fulfill their dutiful roles.\Kunlun Mountain is no longer what it used to be. response:	Moreover...
context: I'll meditate in Kunlun Mountain to await his return.\Are all your seniors doing well?\70,000 years ago after you passed away\your disciples searched for us for several thousand years.\Then their families came and took them home one by one.\They went to fulfill their dutiful roles.\Kunlun Mountain is no longer what it used to be.\Moreover... response:	I don't wish Master to see what Kunlun Mountain has become now.
context: Are all your seniors doing well?\70,000 years ago after you passed away\your disciples searched for us for several thousand years.\Then their families came and took them home one by one.\They went to fulfill their dutiful roles.\Kunlun Mountain is no longer what it used to be.\Moreover...\I don't wish Master to see what Kunlun Mountain has become now. response:	It doesn't matter.
context: 70,000 years ago after you passed away\your disciples searched for us for several thousand years.\Then their families came and took them home one by one.\They went to fulfill their dutiful roles.\Kunlun Mountain is no longer what it used to be.\Moreover...\I don't wish Master to see what Kunlun Mountain has become now.\It doesn't matter. response:	We'll set out toward Kunlun Mountain now.
context: your disciples searched for us for several thousand years.\Then their families came and took them home one by one.\They went to fulfill their dutiful roles.\Kunlun Mountain is no longer what it used to be.\Moreover...\I don't wish Master to see what Kunlun Mountain has become now.\It doesn't matter.\We'll set out toward Kunlun Mountain now. response:	Yes, Master.
context: Then their families came and took them home one by one.\They went to fulfill their dutiful roles.\Kunlun Mountain is no longer what it used to be.\Moreover...\I don't wish Master to see what Kunlun Mountain has become now.\It doesn't matter.\We'll set out toward Kunlun Mountain now.\Yes, Master. response:	What did you say?
context: They went to fulfill their dutiful roles.\Kunlun Mountain is no longer what it used to be.\Moreover...\I don't wish Master to see what Kunlun Mountain has become now.\It doesn't matter.\We'll set out toward Kunlun Mountain now.\Yes, Master.\What did you say? response:	Lord Dong Hua will meet his destined calamity?
context: Kunlun Mountain is no longer what it used to be.\Moreover...\I don't wish Master to see what Kunlun Mountain has become now.\It doesn't matter.\We'll set out toward Kunlun Mountain now.\Yes, Master.\What did you say?\Lord Dong Hua will meet his destined calamity? response:	Feng Jiu, look on the bright side.
context: Moreover...\I don't wish Master to see what Kunlun Mountain has become now.\It doesn't matter.\We'll set out toward Kunlun Mountain now.\Yes, Master.\What did you say?\Lord Dong Hua will meet his destined calamity?\Feng Jiu, look on the bright side. response:	Irregardless of their capability or ranks, all deities in the heavens
