context: Huh? response:	Doesn't it seem more crowded than usual?
context: May I have a word?\May I have a word?\May I have a word?\What do you want?\Could you take a seat after placing your order, please?\Okay, then get me a small iced coffee.\You can help yourself to that.\Then I'll order an apple pie too. response:	Be grateful and bring it here.
context: May I have a word?\May I have a word?\What do you want?\Could you take a seat after placing your order, please?\Okay, then get me a small iced coffee.\You can help yourself to that.\Then I'll order an apple pie too.\Be grateful and bring it here. response:	Ma'am
context: May I have a word?\What do you want?\Could you take a seat after placing your order, please?\Okay, then get me a small iced coffee.\You can help yourself to that.\Then I'll order an apple pie too.\Be grateful and bring it here.\Ma'am response:	You're Maou, right?
context: What do you want?\Could you take a seat after placing your order, please?\Okay, then get me a small iced coffee.\You can help yourself to that.\Then I'll order an apple pie too.\Be grateful and bring it here.\Ma'am\You're Maou, right? response:	You're not as charismatic as I expected you to be.
context: Could you take a seat after placing your order, please?\Okay, then get me a small iced coffee.\You can help yourself to that.\Then I'll order an apple pie too.\Be grateful and bring it here.\Ma'am\You're Maou, right?\You're not as charismatic as I expected you to be. response:	This place is a ghost town during the shift you're supervising too.
context: Okay, then get me a small iced coffee.\You can help yourself to that.\Then I'll order an apple pie too.\Be grateful and bring it here.\Ma'am\You're Maou, right?\You're not as charismatic as I expected you to be.\This place is a ghost town during the shift you're supervising too. response:	And what do you think you're saying?
context: You can help yourself to that.\Then I'll order an apple pie too.\Be grateful and bring it here.\Ma'am\You're Maou, right?\You're not as charismatic as I expected you to be.\This place is a ghost town during the shift you're supervising too.\And what do you think you're saying? response:	Who the hell do you think you are?!
context: Then I'll order an apple pie too.\Be grateful and bring it here.\Ma'am\You're Maou, right?\You're not as charismatic as I expected you to be.\This place is a ghost town during the shift you're supervising too.\And what do you think you're saying?\Who the hell do you think you are?! response:	Hey!
context: Be grateful and bring it here.\Ma'am\You're Maou, right?\You're not as charismatic as I expected you to be.\This place is a ghost town during the shift you're supervising too.\And what do you think you're saying?\Who the hell do you think you are?!\Hey! response:	Where are your manners?
context: Ma'am\You're Maou, right?\You're not as charismatic as I expected you to be.\This place is a ghost town during the shift you're supervising too.\And what do you think you're saying?\Who the hell do you think you are?!\Hey!\Where are your manners? response:	I'll send a complaint to your HQ about the terrible way you're treating me.
context: You're Maou, right?\You're not as charismatic as I expected you to be.\This place is a ghost town during the shift you're supervising too.\And what do you think you're saying?\Who the hell do you think you are?!\Hey!\Where are your manners?\I'll send a complaint to your HQ about the terrible way you're treating me. response:	Shut yer mouth.
context: You're not as charismatic as I expected you to be.\This place is a ghost town during the shift you're supervising too.\And what do you think you're saying?\Who the hell do you think you are?!\Hey!\Where are your manners?\I'll send a complaint to your HQ about the terrible way you're treating me.\Shut yer mouth. response:	Even customers need to play by the restaurant's rules.
context: This place is a ghost town during the shift you're supervising too.\And what do you think you're saying?\Who the hell do you think you are?!\Hey!\Where are your manners?\I'll send a complaint to your HQ about the terrible way you're treating me.\Shut yer mouth.\Even customers need to play by the restaurant's rules. response:	Who are you, anyway?
context: And what do you think you're saying?\Who the hell do you think you are?!\Hey!\Where are your manners?\I'll send a complaint to your HQ about the terrible way you're treating me.\Shut yer mouth.\Even customers need to play by the restaurant's rules.\Who are you, anyway? response:	I'm Suzuki Rika.
context: Who the hell do you think you are?!\Hey!\Where are your manners?\I'll send a complaint to your HQ about the terrible way you're treating me.\Shut yer mouth.\Even customers need to play by the restaurant's rules.\Who are you, anyway?\I'm Suzuki Rika. response:	Emi's colleague.
context: Hey!\Where are your manners?\I'll send a complaint to your HQ about the terrible way you're treating me.\Shut yer mouth.\Even customers need to play by the restaurant's rules.\Who are you, anyway?\I'm Suzuki Rika.\Emi's colleague. response:	Maou Sadao.
context: Where are your manners?\I'll send a complaint to your HQ about the terrible way you're treating me.\Shut yer mouth.\Even customers need to play by the restaurant's rules.\Who are you, anyway?\I'm Suzuki Rika.\Emi's colleague.\Maou Sadao. response:	I heard about you from these two and Ashiya.
context: I'll send a complaint to your HQ about the terrible way you're treating me.\Shut yer mouth.\Even customers need to play by the restaurant's rules.\Who are you, anyway?\I'm Suzuki Rika.\Emi's colleague.\Maou Sadao.\I heard about you from these two and Ashiya. response:	From Ashiya?
context: Shut yer mouth.\Even customers need to play by the restaurant's rules.\Who are you, anyway?\I'm Suzuki Rika.\Emi's colleague.\Maou Sadao.\I heard about you from these two and Ashiya.\From Ashiya? response:	When?
context: Even customers need to play by the restaurant's rules.\Who are you, anyway?\I'm Suzuki Rika.\Emi's colleague.\Maou Sadao.\I heard about you from these two and Ashiya.\From Ashiya?\When? response:	What did he tell you?
context: Who are you, anyway?\I'm Suzuki Rika.\Emi's colleague.\Maou Sadao.\I heard about you from these two and Ashiya.\From Ashiya?\When?\What did he tell you? response:	Let's just say Ashiya and Emi have very different views of you.
context: I'm Suzuki Rika.\Emi's colleague.\Maou Sadao.\I heard about you from these two and Ashiya.\From Ashiya?\When?\What did he tell you?\Let's just say Ashiya and Emi have very different views of you. response:	I had to see for myself what you're like.
context: Emi's colleague.\Maou Sadao.\I heard about you from these two and Ashiya.\From Ashiya?\When?\What did he tell you?\Let's just say Ashiya and Emi have very different views of you.\I had to see for myself what you're like. response:	I have no idea what you're saying,
context: Maou Sadao.\I heard about you from these two and Ashiya.\From Ashiya?\When?\What did he tell you?\Let's just say Ashiya and Emi have very different views of you.\I had to see for myself what you're like.\I have no idea what you're saying, response:	but are you one of those busybodies?
context: I heard about you from these two and Ashiya.\From Ashiya?\When?\What did he tell you?\Let's just say Ashiya and Emi have very different views of you.\I had to see for myself what you're like.\I have no idea what you're saying,\but are you one of those busybodies? response:	Aw, jeez.
context: From Ashiya?\When?\What did he tell you?\Let's just say Ashiya and Emi have very different views of you.\I had to see for myself what you're like.\I have no idea what you're saying,\but are you one of those busybodies?\Aw, jeez. response:	Customers aren't showing up, and now Emi's here...
context: When?\What did he tell you?\Let's just say Ashiya and Emi have very different views of you.\I had to see for myself what you're like.\I have no idea what you're saying,\but are you one of those busybodies?\Aw, jeez.\Customers aren't showing up, and now Emi's here... response:	You can't be like that, Maou.
context: What did he tell you?\Let's just say Ashiya and Emi have very different views of you.\I had to see for myself what you're like.\I have no idea what you're saying,\but are you one of those busybodies?\Aw, jeez.\Customers aren't showing up, and now Emi's here...\You can't be like that, Maou. response:	Yusa's an important customer too.
context: Let's just say Ashiya and Emi have very different views of you.\I had to see for myself what you're like.\I have no idea what you're saying,\but are you one of those busybodies?\Aw, jeez.\Customers aren't showing up, and now Emi's here...\You can't be like that, Maou.\Yusa's an important customer too. response:	Here you go! An iced coffee and a fresh apple pie!
context: I had to see for myself what you're like.\I have no idea what you're saying,\but are you one of those busybodies?\Aw, jeez.\Customers aren't showing up, and now Emi's here...\You can't be like that, Maou.\Yusa's an important customer too.\Here you go! An iced coffee and a fresh apple pie! response:	Sorry, Chiho.
context: I have no idea what you're saying,\but are you one of those busybodies?\Aw, jeez.\Customers aren't showing up, and now Emi's here...\You can't be like that, Maou.\Yusa's an important customer too.\Here you go! An iced coffee and a fresh apple pie!\Sorry, Chiho. response:	You had to do this because I was dealing with Maou.
context: but are you one of those busybodies?\Aw, jeez.\Customers aren't showing up, and now Emi's here...\You can't be like that, Maou.\Yusa's an important customer too.\Here you go! An iced coffee and a fresh apple pie!\Sorry, Chiho.\You had to do this because I was dealing with Maou. response:	No worries.
context: Aw, jeez.\Customers aren't showing up, and now Emi's here...\You can't be like that, Maou.\Yusa's an important customer too.\Here you go! An iced coffee and a fresh apple pie!\Sorry, Chiho.\You had to do this because I was dealing with Maou.\No worries. response:	I don't mind.
context: Customers aren't showing up, and now Emi's here...\You can't be like that, Maou.\Yusa's an important customer too.\Here you go! An iced coffee and a fresh apple pie!\Sorry, Chiho.\You had to do this because I was dealing with Maou.\No worries.\I don't mind. response:	Looks like you're working hard, Chiho.
context: You can't be like that, Maou.\Yusa's an important customer too.\Here you go! An iced coffee and a fresh apple pie!\Sorry, Chiho.\You had to do this because I was dealing with Maou.\No worries.\I don't mind.\Looks like you're working hard, Chiho. response:	Hello, Suzuno.
context: Yusa's an important customer too.\Here you go! An iced coffee and a fresh apple pie!\Sorry, Chiho.\You had to do this because I was dealing with Maou.\No worries.\I don't mind.\Looks like you're working hard, Chiho.\Hello, Suzuno. response:	Are you a friend of Yusa's, ma'am?
context: Here you go! An iced coffee and a fresh apple pie!\Sorry, Chiho.\You had to do this because I was dealing with Maou.\No worries.\I don't mind.\Looks like you're working hard, Chiho.\Hello, Suzuno.\Are you a friend of Yusa's, ma'am? response:	That's right.
context: Sorry, Chiho.\You had to do this because I was dealing with Maou.\No worries.\I don't mind.\Looks like you're working hard, Chiho.\Hello, Suzuno.\Are you a friend of Yusa's, ma'am?\That's right. response:	I'm Emi's colleague,
context: You had to do this because I was dealing with Maou.\No worries.\I don't mind.\Looks like you're working hard, Chiho.\Hello, Suzuno.\Are you a friend of Yusa's, ma'am?\That's right.\I'm Emi's colleague, response:	Suzuki Rika.
context: No worries.\I don't mind.\Looks like you're working hard, Chiho.\Hello, Suzuno.\Are you a friend of Yusa's, ma'am?\That's right.\I'm Emi's colleague,\Suzuki Rika. response:	I'm Sakaki Chiho.
context: I don't mind.\Looks like you're working hard, Chiho.\Hello, Suzuno.\Are you a friend of Yusa's, ma'am?\That's right.\I'm Emi's colleague,\Suzuki Rika.\I'm Sakaki Chiho. response:	Yusa's been helping me out a lot.
context: Looks like you're working hard, Chiho.\Hello, Suzuno.\Are you a friend of Yusa's, ma'am?\That's right.\I'm Emi's colleague,\Suzuki Rika.\I'm Sakaki Chiho.\Yusa's been helping me out a lot. response:	Cute...
context: Hello, Suzuno.\Are you a friend of Yusa's, ma'am?\That's right.\I'm Emi's colleague,\Suzuki Rika.\I'm Sakaki Chiho.\Yusa's been helping me out a lot.\Cute... response:	Pardon me?
context: Are you a friend of Yusa's, ma'am?\That's right.\I'm Emi's colleague,\Suzuki Rika.\I'm Sakaki Chiho.\Yusa's been helping me out a lot.\Cute...\Pardon me? response:	Cute!
context: That's right.\I'm Emi's colleague,\Suzuki Rika.\I'm Sakaki Chiho.\Yusa's been helping me out a lot.\Cute...\Pardon me?\Cute! response:	What's with this girl? She's so cute!
context: I'm Emi's colleague,\Suzuki Rika.\I'm Sakaki Chiho.\Yusa's been helping me out a lot.\Cute...\Pardon me?\Cute!\What's with this girl? She's so cute! response:	Hey! What do you think you're doing?
context: Suzuki Rika.\I'm Sakaki Chiho.\Yusa's been helping me out a lot.\Cute...\Pardon me?\Cute!\What's with this girl? She's so cute!\Hey! What do you think you're doing? response:	You're surrounded by way too many amazing people!
context: I'm Sakaki Chiho.\Yusa's been helping me out a lot.\Cute...\Pardon me?\Cute!\What's with this girl? She's so cute!\Hey! What do you think you're doing?\You're surrounded by way too many amazing people! response:	Well-mannered, with the right outlook toward work...
context: Yusa's been helping me out a lot.\Cute...\Pardon me?\Cute!\What's with this girl? She's so cute!\Hey! What do you think you're doing?\You're surrounded by way too many amazing people!\Well-mannered, with the right outlook toward work... response:	And cute too!
context: Cute...\Pardon me?\Cute!\What's with this girl? She's so cute!\Hey! What do you think you're doing?\You're surrounded by way too many amazing people!\Well-mannered, with the right outlook toward work...\And cute too! response:	This has to be against the rules!
context: Pardon me?\Cute!\What's with this girl? She's so cute!\Hey! What do you think you're doing?\You're surrounded by way too many amazing people!\Well-mannered, with the right outlook toward work...\And cute too!\This has to be against the rules! response:	What are you, a middle-aged drunk?!
context: Cute!\What's with this girl? She's so cute!\Hey! What do you think you're doing?\You're surrounded by way too many amazing people!\Well-mannered, with the right outlook toward work...\And cute too!\This has to be against the rules!\What are you, a middle-aged drunk?! response:	Oh, all right.
context: What's with this girl? She's so cute!\Hey! What do you think you're doing?\You're surrounded by way too many amazing people!\Well-mannered, with the right outlook toward work...\And cute too!\This has to be against the rules!\What are you, a middle-aged drunk?!\Oh, all right. response:	Sorry, Chiho.
context: Hey! What do you think you're doing?\You're surrounded by way too many amazing people!\Well-mannered, with the right outlook toward work...\And cute too!\This has to be against the rules!\What are you, a middle-aged drunk?!\Oh, all right.\Sorry, Chiho. response:	I got too excited.
context: You're surrounded by way too many amazing people!\Well-mannered, with the right outlook toward work...\And cute too!\This has to be against the rules!\What are you, a middle-aged drunk?!\Oh, all right.\Sorry, Chiho.\I got too excited. response:	It's okay...
context: Well-mannered, with the right outlook toward work...\And cute too!\This has to be against the rules!\What are you, a middle-aged drunk?!\Oh, all right.\Sorry, Chiho.\I got too excited.\It's okay... response:	I don't really know what happened, though...
context: And cute too!\This has to be against the rules!\What are you, a middle-aged drunk?!\Oh, all right.\Sorry, Chiho.\I got too excited.\It's okay...\I don't really know what happened, though... response:	Well?
context: This has to be against the rules!\What are you, a middle-aged drunk?!\Oh, all right.\Sorry, Chiho.\I got too excited.\It's okay...\I don't really know what happened, though...\Well? response:	What are you gonna do from now on?
context: What are you, a middle-aged drunk?!\Oh, all right.\Sorry, Chiho.\I got too excited.\It's okay...\I don't really know what happened, though...\Well?\What are you gonna do from now on? response:	Huh?
context: Oh, all right.\Sorry, Chiho.\I got too excited.\It's okay...\I don't really know what happened, though...\Well?\What are you gonna do from now on?\Huh? response:	You went and told Ashiya that you wouldn't go down without a fight.
context: Sorry, Chiho.\I got too excited.\It's okay...\I don't really know what happened, though...\Well?\What are you gonna do from now on?\Huh?\You went and told Ashiya that you wouldn't go down without a fight. response:	Let me make this clear.
context: I got too excited.\It's okay...\I don't really know what happened, though...\Well?\What are you gonna do from now on?\Huh?\You went and told Ashiya that you wouldn't go down without a fight.\Let me make this clear. response:	What I wanna see is how you work.
context: It's okay...\I don't really know what happened, though...\Well?\What are you gonna do from now on?\Huh?\You went and told Ashiya that you wouldn't go down without a fight.\Let me make this clear.\What I wanna see is how you work. response:	Seriously, what is with you?
context: I don't really know what happened, though...\Well?\What are you gonna do from now on?\Huh?\You went and told Ashiya that you wouldn't go down without a fight.\Let me make this clear.\What I wanna see is how you work.\Seriously, what is with you? response:	Be it Ashiya or Chiho,
context: Well?\What are you gonna do from now on?\Huh?\You went and told Ashiya that you wouldn't go down without a fight.\Let me make this clear.\What I wanna see is how you work.\Seriously, what is with you?\Be it Ashiya or Chiho, response:	there are a bunch of talented people around Emi.
context: What are you gonna do from now on?\Huh?\You went and told Ashiya that you wouldn't go down without a fight.\Let me make this clear.\What I wanna see is how you work.\Seriously, what is with you?\Be it Ashiya or Chiho,\there are a bunch of talented people around Emi. response:	Following that, you can't be as dim as you look.
context: Huh?\You went and told Ashiya that you wouldn't go down without a fight.\Let me make this clear.\What I wanna see is how you work.\Seriously, what is with you?\Be it Ashiya or Chiho,\there are a bunch of talented people around Emi.\Following that, you can't be as dim as you look. response:	So I look dim, do I?
context: You went and told Ashiya that you wouldn't go down without a fight.\Let me make this clear.\What I wanna see is how you work.\Seriously, what is with you?\Be it Ashiya or Chiho,\there are a bunch of talented people around Emi.\Following that, you can't be as dim as you look.\So I look dim, do I? response:	Wait, it's not just your looks, but your brain too?
context: Let me make this clear.\What I wanna see is how you work.\Seriously, what is with you?\Be it Ashiya or Chiho,\there are a bunch of talented people around Emi.\Following that, you can't be as dim as you look.\So I look dim, do I?\Wait, it's not just your looks, but your brain too? response:	Fine!
context: What I wanna see is how you work.\Seriously, what is with you?\Be it Ashiya or Chiho,\there are a bunch of talented people around Emi.\Following that, you can't be as dim as you look.\So I look dim, do I?\Wait, it's not just your looks, but your brain too?\Fine! response:	Sentucky has coupons? No big deal!
context: Seriously, what is with you?\Be it Ashiya or Chiho,\there are a bunch of talented people around Emi.\Following that, you can't be as dim as you look.\So I look dim, do I?\Wait, it's not just your looks, but your brain too?\Fine!\Sentucky has coupons? No big deal! response:	We'll take them on with flyers!
context: Be it Ashiya or Chiho,\there are a bunch of talented people around Emi.\Following that, you can't be as dim as you look.\So I look dim, do I?\Wait, it's not just your looks, but your brain too?\Fine!\Sentucky has coupons? No big deal!\We'll take them on with flyers! response:	Would you like a hamburger at MgRonald's?
context: there are a bunch of talented people around Emi.\Following that, you can't be as dim as you look.\So I look dim, do I?\Wait, it's not just your looks, but your brain too?\Fine!\Sentucky has coupons? No big deal!\We'll take them on with flyers!\Would you like a hamburger at MgRonald's? response:	Come right in!
context: Following that, you can't be as dim as you look.\So I look dim, do I?\Wait, it's not just your looks, but your brain too?\Fine!\Sentucky has coupons? No big deal!\We'll take them on with flyers!\Would you like a hamburger at MgRonald's?\Come right in! response:	It's no good.
context: So I look dim, do I?\Wait, it's not just your looks, but your brain too?\Fine!\Sentucky has coupons? No big deal!\We'll take them on with flyers!\Would you like a hamburger at MgRonald's?\Come right in!\It's no good. response:	What?!
context: Wait, it's not just your looks, but your brain too?\Fine!\Sentucky has coupons? No big deal!\We'll take them on with flyers!\Would you like a hamburger at MgRonald's?\Come right in!\It's no good.\What?! response:	In that case, let's show off how our stuff is easy to eat since it's boneless!
context: Fine!\Sentucky has coupons? No big deal!\We'll take them on with flyers!\Would you like a hamburger at MgRonald's?\Come right in!\It's no good.\What?!\In that case, let's show off how our stuff is easy to eat since it's boneless! response:	Would you like a Big Mag?
context: Sentucky has coupons? No big deal!\We'll take them on with flyers!\Would you like a hamburger at MgRonald's?\Come right in!\It's no good.\What?!\In that case, let's show off how our stuff is easy to eat since it's boneless!\Would you like a Big Mag? response:	It's boneless, so it's really easy to eat!
context: We'll take them on with flyers!\Would you like a hamburger at MgRonald's?\Come right in!\It's no good.\What?!\In that case, let's show off how our stuff is easy to eat since it's boneless!\Would you like a Big Mag?\It's boneless, so it's really easy to eat! response:	Why wouldn't a burger be boneless?
context: Would you like a hamburger at MgRonald's?\Come right in!\It's no good.\What?!\In that case, let's show off how our stuff is easy to eat since it's boneless!\Would you like a Big Mag?\It's boneless, so it's really easy to eat!\Why wouldn't a burger be boneless? response:	You sure say some funny things.
context: Come right in!\It's no good.\What?!\In that case, let's show off how our stuff is easy to eat since it's boneless!\Would you like a Big Mag?\It's boneless, so it's really easy to eat!\Why wouldn't a burger be boneless?\You sure say some funny things. response:	She's cute!
context: It's no good.\What?!\In that case, let's show off how our stuff is easy to eat since it's boneless!\Would you like a Big Mag?\It's boneless, so it's really easy to eat!\Why wouldn't a burger be boneless?\You sure say some funny things.\She's cute! response:	It's no good.
context: What?!\In that case, let's show off how our stuff is easy to eat since it's boneless!\Would you like a Big Mag?\It's boneless, so it's really easy to eat!\Why wouldn't a burger be boneless?\You sure say some funny things.\She's cute!\It's no good. response:	Figured.
context: In that case, let's show off how our stuff is easy to eat since it's boneless!\Would you like a Big Mag?\It's boneless, so it's really easy to eat!\Why wouldn't a burger be boneless?\You sure say some funny things.\She's cute!\It's no good.\Figured. response:	Kawachi!
context: Would you like a Big Mag?\It's boneless, so it's really easy to eat!\Why wouldn't a burger be boneless?\You sure say some funny things.\She's cute!\It's no good.\Figured.\Kawachi! response:	Now that it's come to this,
context: It's boneless, so it's really easy to eat!\Why wouldn't a burger be boneless?\You sure say some funny things.\She's cute!\It's no good.\Figured.\Kawachi!\Now that it's come to this, response:	I think it's time we start letting people who aren't customers use the washroom too.
context: Why wouldn't a burger be boneless?\You sure say some funny things.\She's cute!\It's no good.\Figured.\Kawachi!\Now that it's come to this,\I think it's time we start letting people who aren't customers use the washroom too. response:	What'll that accomplish?!
context: You sure say some funny things.\She's cute!\It's no good.\Figured.\Kawachi!\Now that it's come to this,\I think it's time we start letting people who aren't customers use the washroom too.\What'll that accomplish?! response:	This is hopeless.
context: She's cute!\It's no good.\Figured.\Kawachi!\Now that it's come to this,\I think it's time we start letting people who aren't customers use the washroom too.\What'll that accomplish?!\This is hopeless. response:	Is Maou around?
context: It's no good.\Figured.\Kawachi!\Now that it's come to this,\I think it's time we start letting people who aren't customers use the washroom too.\What'll that accomplish?!\This is hopeless.\Is Maou around? response:	Mr. Tawabe!
context: Figured.\Kawachi!\Now that it's come to this,\I think it's time we start letting people who aren't customers use the washroom too.\What'll that accomplish?!\This is hopeless.\Is Maou around?\Mr. Tawabe! response:	I've been waiting!
context: Kawachi!\Now that it's come to this,\I think it's time we start letting people who aren't customers use the washroom too.\What'll that accomplish?!\This is hopeless.\Is Maou around?\Mr. Tawabe!\I've been waiting! response:	I'm only doin' this'cause you asked.
context: Now that it's come to this,\I think it's time we start letting people who aren't customers use the washroom too.\What'll that accomplish?!\This is hopeless.\Is Maou around?\Mr. Tawabe!\I've been waiting!\I'm only doin' this'cause you asked. response:	Sorry I'm late.
context: I think it's time we start letting people who aren't customers use the washroom too.\What'll that accomplish?!\This is hopeless.\Is Maou around?\Mr. Tawabe!\I've been waiting!\I'm only doin' this'cause you asked.\Sorry I'm late. response:	Please, it's perfectly all right! You saved me!
context: What'll that accomplish?!\This is hopeless.\Is Maou around?\Mr. Tawabe!\I've been waiting!\I'm only doin' this'cause you asked.\Sorry I'm late.\Please, it's perfectly all right! You saved me! response:	Let me treat you to something.
context: This is hopeless.\Is Maou around?\Mr. Tawabe!\I've been waiting!\I'm only doin' this'cause you asked.\Sorry I'm late.\Please, it's perfectly all right! You saved me!\Let me treat you to something. response:	Nah, I delivered what I had to,
context: Is Maou around?\Mr. Tawabe!\I've been waiting!\I'm only doin' this'cause you asked.\Sorry I'm late.\Please, it's perfectly all right! You saved me!\Let me treat you to something.\Nah, I delivered what I had to, response:	and my wife made dinner for me, so I'll pass.
context: Mr. Tawabe!\I've been waiting!\I'm only doin' this'cause you asked.\Sorry I'm late.\Please, it's perfectly all right! You saved me!\Let me treat you to something.\Nah, I delivered what I had to,\and my wife made dinner for me, so I'll pass. response:	Until next time, then.
context: I've been waiting!\I'm only doin' this'cause you asked.\Sorry I'm late.\Please, it's perfectly all right! You saved me!\Let me treat you to something.\Nah, I delivered what I had to,\and my wife made dinner for me, so I'll pass.\Until next time, then. response:	Tell Kisaki I said hi.
context: I'm only doin' this'cause you asked.\Sorry I'm late.\Please, it's perfectly all right! You saved me!\Let me treat you to something.\Nah, I delivered what I had to,\and my wife made dinner for me, so I'll pass.\Until next time, then.\Tell Kisaki I said hi. response:	Wow, we got a great one!
context: Sorry I'm late.\Please, it's perfectly all right! You saved me!\Let me treat you to something.\Nah, I delivered what I had to,\and my wife made dinner for me, so I'll pass.\Until next time, then.\Tell Kisaki I said hi.\Wow, we got a great one! response:	Let's decorate it before the dinnertime rush!
context: Please, it's perfectly all right! You saved me!\Let me treat you to something.\Nah, I delivered what I had to,\and my wife made dinner for me, so I'll pass.\Until next time, then.\Tell Kisaki I said hi.\Wow, we got a great one!\Let's decorate it before the dinnertime rush! response:	Let's do it!
context: Let me treat you to something.\Nah, I delivered what I had to,\and my wife made dinner for me, so I'll pass.\Until next time, then.\Tell Kisaki I said hi.\Wow, we got a great one!\Let's decorate it before the dinnertime rush!\Let's do it! response:	Here you go, Maou.
context: Nah, I delivered what I had to,\and my wife made dinner for me, so I'll pass.\Until next time, then.\Tell Kisaki I said hi.\Wow, we got a great one!\Let's decorate it before the dinnertime rush!\Let's do it!\Here you go, Maou. response:	Do we have enough accessories?
context: and my wife made dinner for me, so I'll pass.\Until next time, then.\Tell Kisaki I said hi.\Wow, we got a great one!\Let's decorate it before the dinnertime rush!\Let's do it!\Here you go, Maou.\Do we have enough accessories? response:	Okay, then let's use the flyers.
context: Until next time, then.\Tell Kisaki I said hi.\Wow, we got a great one!\Let's decorate it before the dinnertime rush!\Let's do it!\Here you go, Maou.\Do we have enough accessories?\Okay, then let's use the flyers. response:	Can we really use these as decorations?
context: Tell Kisaki I said hi.\Wow, we got a great one!\Let's decorate it before the dinnertime rush!\Let's do it!\Here you go, Maou.\Do we have enough accessories?\Okay, then let's use the flyers.\Can we really use these as decorations? response:	I'm the shift supervisor. You have my permission.
context: Wow, we got a great one!\Let's decorate it before the dinnertime rush!\Let's do it!\Here you go, Maou.\Do we have enough accessories?\Okay, then let's use the flyers.\Can we really use these as decorations?\I'm the shift supervisor. You have my permission. response:	What's going on?
context: Let's decorate it before the dinnertime rush!\Let's do it!\Here you go, Maou.\Do we have enough accessories?\Okay, then let's use the flyers.\Can we really use these as decorations?\I'm the shift supervisor. You have my permission.\What's going on? response:	Since the Sasahata Tanabata festival's going on,
context: Let's do it!\Here you go, Maou.\Do we have enough accessories?\Okay, then let's use the flyers.\Can we really use these as decorations?\I'm the shift supervisor. You have my permission.\What's going on?\Since the Sasahata Tanabata festival's going on, response:	Maou came up with the idea of letting people write their wishes on strips of paper
context: Here you go, Maou.\Do we have enough accessories?\Okay, then let's use the flyers.\Can we really use these as decorations?\I'm the shift supervisor. You have my permission.\What's going on?\Since the Sasahata Tanabata festival's going on,\Maou came up with the idea of letting people write their wishes on strips of paper response:	and do the Tanabata decorations themselves.
context: Do we have enough accessories?\Okay, then let's use the flyers.\Can we really use these as decorations?\I'm the shift supervisor. You have my permission.\What's going on?\Since the Sasahata Tanabata festival's going on,\Maou came up with the idea of letting people write their wishes on strips of paper\and do the Tanabata decorations themselves. response:	He asked the manager to get HQ to approve his idea of giving people
context: Okay, then let's use the flyers.\Can we really use these as decorations?\I'm the shift supervisor. You have my permission.\What's going on?\Since the Sasahata Tanabata festival's going on,\Maou came up with the idea of letting people write their wishes on strips of paper\and do the Tanabata decorations themselves.\He asked the manager to get HQ to approve his idea of giving people response:	who made the decorations a small soda for free.
context: Can we really use these as decorations?\I'm the shift supervisor. You have my permission.\What's going on?\Since the Sasahata Tanabata festival's going on,\Maou came up with the idea of letting people write their wishes on strips of paper\and do the Tanabata decorations themselves.\He asked the manager to get HQ to approve his idea of giving people\who made the decorations a small soda for free. response:	He met Mr. Watanabe, the old man from earlier, while doing community service
context: I'm the shift supervisor. You have my permission.\What's going on?\Since the Sasahata Tanabata festival's going on,\Maou came up with the idea of letting people write their wishes on strips of paper\and do the Tanabata decorations themselves.\He asked the manager to get HQ to approve his idea of giving people\who made the decorations a small soda for free.\He met Mr. Watanabe, the old man from earlier, while doing community service response:	and asked him for some of his bamboo.
context: What's going on?\Since the Sasahata Tanabata festival's going on,\Maou came up with the idea of letting people write their wishes on strips of paper\and do the Tanabata decorations themselves.\He asked the manager to get HQ to approve his idea of giving people\who made the decorations a small soda for free.\He met Mr. Watanabe, the old man from earlier, while doing community service\and asked him for some of his bamboo. response:	The Overlord did community service?
context: Since the Sasahata Tanabata festival's going on,\Maou came up with the idea of letting people write their wishes on strips of paper\and do the Tanabata decorations themselves.\He asked the manager to get HQ to approve his idea of giving people\who made the decorations a small soda for free.\He met Mr. Watanabe, the old man from earlier, while doing community service\and asked him for some of his bamboo.\The Overlord did community service? response:	Of course, we don't know if this will get us anywhere,
context: Maou came up with the idea of letting people write their wishes on strips of paper\and do the Tanabata decorations themselves.\He asked the manager to get HQ to approve his idea of giving people\who made the decorations a small soda for free.\He met Mr. Watanabe, the old man from earlier, while doing community service\and asked him for some of his bamboo.\The Overlord did community service?\Of course, we don't know if this will get us anywhere, response:	but at least it's changed the mood here, right?
context: and do the Tanabata decorations themselves.\He asked the manager to get HQ to approve his idea of giving people\who made the decorations a small soda for free.\He met Mr. Watanabe, the old man from earlier, while doing community service\and asked him for some of his bamboo.\The Overlord did community service?\Of course, we don't know if this will get us anywhere,\but at least it's changed the mood here, right? response:	Hell, ain't he capable?
context: He asked the manager to get HQ to approve his idea of giving people\who made the decorations a small soda for free.\He met Mr. Watanabe, the old man from earlier, while doing community service\and asked him for some of his bamboo.\The Overlord did community service?\Of course, we don't know if this will get us anywhere,\but at least it's changed the mood here, right?\Hell, ain't he capable? response:	I'll admit he's enthusiastic about work.
context: who made the decorations a small soda for free.\He met Mr. Watanabe, the old man from earlier, while doing community service\and asked him for some of his bamboo.\The Overlord did community service?\Of course, we don't know if this will get us anywhere,\but at least it's changed the mood here, right?\Hell, ain't he capable?\I'll admit he's enthusiastic about work. response:	Huh?
