context: You left the Wulgaru to deliver that information to Earth? response:	We meet again!
context: I can't stand that man's attitude...\Is there a problem?\It sounded as though you were talking about me.\Hardly! I was merely saying that I am eager\to see the lamata you picked out, Pleguzes!\We are all aware of how you are a true master of the shikaara!\Alas, even I miss my target on occasion.\I may stab my allies in the back by mistake while on the hunting grounds. response:	I am sorry that I was late, Brother.
context: Is there a problem?\It sounded as though you were talking about me.\Hardly! I was merely saying that I am eager\to see the lamata you picked out, Pleguzes!\We are all aware of how you are a true master of the shikaara!\Alas, even I miss my target on occasion.\I may stab my allies in the back by mistake while on the hunting grounds.\I am sorry that I was late, Brother. response:	I just arrived a moment ago.
context: It sounded as though you were talking about me.\Hardly! I was merely saying that I am eager\to see the lamata you picked out, Pleguzes!\We are all aware of how you are a true master of the shikaara!\Alas, even I miss my target on occasion.\I may stab my allies in the back by mistake while on the hunting grounds.\I am sorry that I was late, Brother.\I just arrived a moment ago. response:	Tell us about this lamata that you have taken an interest in.
context: Hardly! I was merely saying that I am eager\to see the lamata you picked out, Pleguzes!\We are all aware of how you are a true master of the shikaara!\Alas, even I miss my target on occasion.\I may stab my allies in the back by mistake while on the hunting grounds.\I am sorry that I was late, Brother.\I just arrived a moment ago.\Tell us about this lamata that you have taken an interest in. response:	I cannot do that.
context: to see the lamata you picked out, Pleguzes!\We are all aware of how you are a true master of the shikaara!\Alas, even I miss my target on occasion.\I may stab my allies in the back by mistake while on the hunting grounds.\I am sorry that I was late, Brother.\I just arrived a moment ago.\Tell us about this lamata that you have taken an interest in.\I cannot do that. response:	What?!
context: We are all aware of how you are a true master of the shikaara!\Alas, even I miss my target on occasion.\I may stab my allies in the back by mistake while on the hunting grounds.\I am sorry that I was late, Brother.\I just arrived a moment ago.\Tell us about this lamata that you have taken an interest in.\I cannot do that.\What?! response:	What is the meaning of this, Jiart?
context: Alas, even I miss my target on occasion.\I may stab my allies in the back by mistake while on the hunting grounds.\I am sorry that I was late, Brother.\I just arrived a moment ago.\Tell us about this lamata that you have taken an interest in.\I cannot do that.\What?!\What is the meaning of this, Jiart? response:	That is my lamata.
context: I may stab my allies in the back by mistake while on the hunting grounds.\I am sorry that I was late, Brother.\I just arrived a moment ago.\Tell us about this lamata that you have taken an interest in.\I cannot do that.\What?!\What is the meaning of this, Jiart?\That is my lamata. response:	I believe it would be best if everyone selected their own.
context: I am sorry that I was late, Brother.\I just arrived a moment ago.\Tell us about this lamata that you have taken an interest in.\I cannot do that.\What?!\What is the meaning of this, Jiart?\That is my lamata.\I believe it would be best if everyone selected their own. response:	You're hogging him!
context: I just arrived a moment ago.\Tell us about this lamata that you have taken an interest in.\I cannot do that.\What?!\What is the meaning of this, Jiart?\That is my lamata.\I believe it would be best if everyone selected their own.\You're hogging him! response:	According to my reports, there were a total of five units
context: Tell us about this lamata that you have taken an interest in.\I cannot do that.\What?!\What is the meaning of this, Jiart?\That is my lamata.\I believe it would be best if everyone selected their own.\You're hogging him!\According to my reports, there were a total of five units response:	that put up a good show.
context: I cannot do that.\What?!\What is the meaning of this, Jiart?\That is my lamata.\I believe it would be best if everyone selected their own.\You're hogging him!\According to my reports, there were a total of five units\that put up a good show. response:	I have nothing to say.
context: What?!\What is the meaning of this, Jiart?\That is my lamata.\I believe it would be best if everyone selected their own.\You're hogging him!\According to my reports, there were a total of five units\that put up a good show.\I have nothing to say. response:	Each may shikaara to his own taste, yes?
context: What is the meaning of this, Jiart?\That is my lamata.\I believe it would be best if everyone selected their own.\You're hogging him!\According to my reports, there were a total of five units\that put up a good show.\I have nothing to say.\Each may shikaara to his own taste, yes? response:	After all, there are some who do not enjoy working together as a group.
context: That is my lamata.\I believe it would be best if everyone selected their own.\You're hogging him!\According to my reports, there were a total of five units\that put up a good show.\I have nothing to say.\Each may shikaara to his own taste, yes?\After all, there are some who do not enjoy working together as a group. response:	Y-you're referring to what I said the other day!
context: I believe it would be best if everyone selected their own.\You're hogging him!\According to my reports, there were a total of five units\that put up a good show.\I have nothing to say.\Each may shikaara to his own taste, yes?\After all, there are some who do not enjoy working together as a group.\Y-you're referring to what I said the other day! response:	H-how did you hear about that?!
context: You're hogging him!\According to my reports, there were a total of five units\that put up a good show.\I have nothing to say.\Each may shikaara to his own taste, yes?\After all, there are some who do not enjoy working together as a group.\Y-you're referring to what I said the other day!\H-how did you hear about that?! response:	Very well. Do as you will.
context: According to my reports, there were a total of five units\that put up a good show.\I have nothing to say.\Each may shikaara to his own taste, yes?\After all, there are some who do not enjoy working together as a group.\Y-you're referring to what I said the other day!\H-how did you hear about that?!\Very well. Do as you will. response:	King Galkie!
context: that put up a good show.\I have nothing to say.\Each may shikaara to his own taste, yes?\After all, there are some who do not enjoy working together as a group.\Y-you're referring to what I said the other day!\H-how did you hear about that?!\Very well. Do as you will.\King Galkie! response:	You have my gratitude, Brother.
context: I have nothing to say.\Each may shikaara to his own taste, yes?\After all, there are some who do not enjoy working together as a group.\Y-you're referring to what I said the other day!\H-how did you hear about that?!\Very well. Do as you will.\King Galkie!\You have my gratitude, Brother. response:	However, if you refuse to tell us anything,
context: Each may shikaara to his own taste, yes?\After all, there are some who do not enjoy working together as a group.\Y-you're referring to what I said the other day!\H-how did you hear about that?!\Very well. Do as you will.\King Galkie!\You have my gratitude, Brother.\However, if you refuse to tell us anything, response:	there is a chance that someone else may steal your lamata.
context: After all, there are some who do not enjoy working together as a group.\Y-you're referring to what I said the other day!\H-how did you hear about that?!\Very well. Do as you will.\King Galkie!\You have my gratitude, Brother.\However, if you refuse to tell us anything,\there is a chance that someone else may steal your lamata. response:	Bear that in mind.
context: Y-you're referring to what I said the other day!\H-how did you hear about that?!\Very well. Do as you will.\King Galkie!\You have my gratitude, Brother.\However, if you refuse to tell us anything,\there is a chance that someone else may steal your lamata.\Bear that in mind. response:	But of course.
context: H-how did you hear about that?!\Very well. Do as you will.\King Galkie!\You have my gratitude, Brother.\However, if you refuse to tell us anything,\there is a chance that someone else may steal your lamata.\Bear that in mind.\But of course. response:	If he is easily devoured by a small fish in the sea,
context: Very well. Do as you will.\King Galkie!\You have my gratitude, Brother.\However, if you refuse to tell us anything,\there is a chance that someone else may steal your lamata.\Bear that in mind.\But of course.\If he is easily devoured by a small fish in the sea, response:	then he must also be a small fish.
context: King Galkie!\You have my gratitude, Brother.\However, if you refuse to tell us anything,\there is a chance that someone else may steal your lamata.\Bear that in mind.\But of course.\If he is easily devoured by a small fish in the sea,\then he must also be a small fish. response:	It would simply prove that he was not worthy to be my lamata.
context: You have my gratitude, Brother.\However, if you refuse to tell us anything,\there is a chance that someone else may steal your lamata.\Bear that in mind.\But of course.\If he is easily devoured by a small fish in the sea,\then he must also be a small fish.\It would simply prove that he was not worthy to be my lamata. response:	But I doubt such concern is necessary.
context: However, if you refuse to tell us anything,\there is a chance that someone else may steal your lamata.\Bear that in mind.\But of course.\If he is easily devoured by a small fish in the sea,\then he must also be a small fish.\It would simply prove that he was not worthy to be my lamata.\But I doubt such concern is necessary. response:	My lamata will not prove to be an easy kill.
context: there is a chance that someone else may steal your lamata.\Bear that in mind.\But of course.\If he is easily devoured by a small fish in the sea,\then he must also be a small fish.\It would simply prove that he was not worthy to be my lamata.\But I doubt such concern is necessary.\My lamata will not prove to be an easy kill. response:	Is there anything else that you have to say?
context: Bear that in mind.\But of course.\If he is easily devoured by a small fish in the sea,\then he must also be a small fish.\It would simply prove that he was not worthy to be my lamata.\But I doubt such concern is necessary.\My lamata will not prove to be an easy kill.\Is there anything else that you have to say? response:	Your Majesty! It is a trifling matter,
context: But of course.\If he is easily devoured by a small fish in the sea,\then he must also be a small fish.\It would simply prove that he was not worthy to be my lamata.\But I doubt such concern is necessary.\My lamata will not prove to be an easy kill.\Is there anything else that you have to say?\Your Majesty! It is a trifling matter, response:	but we have decoded the primitive creatures' transmissions.
context: If he is easily devoured by a small fish in the sea,\then he must also be a small fish.\It would simply prove that he was not worthy to be my lamata.\But I doubt such concern is necessary.\My lamata will not prove to be an easy kill.\Is there anything else that you have to say?\Your Majesty! It is a trifling matter,\but we have decoded the primitive creatures' transmissions. response:	Apparently the creatures refer to themselves as Earthlings.
context: then he must also be a small fish.\It would simply prove that he was not worthy to be my lamata.\But I doubt such concern is necessary.\My lamata will not prove to be an easy kill.\Is there anything else that you have to say?\Your Majesty! It is a trifling matter,\but we have decoded the primitive creatures' transmissions.\Apparently the creatures refer to themselves as Earthlings. response:	So they possess enough intelligence to give meaning to their existence, huh?
context: It would simply prove that he was not worthy to be my lamata.\But I doubt such concern is necessary.\My lamata will not prove to be an easy kill.\Is there anything else that you have to say?\Your Majesty! It is a trifling matter,\but we have decoded the primitive creatures' transmissions.\Apparently the creatures refer to themselves as Earthlings.\So they possess enough intelligence to give meaning to their existence, huh? response:	Fascinating!
context: But I doubt such concern is necessary.\My lamata will not prove to be an easy kill.\Is there anything else that you have to say?\Your Majesty! It is a trifling matter,\but we have decoded the primitive creatures' transmissions.\Apparently the creatures refer to themselves as Earthlings.\So they possess enough intelligence to give meaning to their existence, huh?\Fascinating! response:	In that case, why don't we call them Earthlings as well?
context: My lamata will not prove to be an easy kill.\Is there anything else that you have to say?\Your Majesty! It is a trifling matter,\but we have decoded the primitive creatures' transmissions.\Apparently the creatures refer to themselves as Earthlings.\So they possess enough intelligence to give meaning to their existence, huh?\Fascinating!\In that case, why don't we call them Earthlings as well? response:	But we have never done something like that in the past!
context: Is there anything else that you have to say?\Your Majesty! It is a trifling matter,\but we have decoded the primitive creatures' transmissions.\Apparently the creatures refer to themselves as Earthlings.\So they possess enough intelligence to give meaning to their existence, huh?\Fascinating!\In that case, why don't we call them Earthlings as well?\But we have never done something like that in the past! response:	Don't be so rigid!
context: Your Majesty! It is a trifling matter,\but we have decoded the primitive creatures' transmissions.\Apparently the creatures refer to themselves as Earthlings.\So they possess enough intelligence to give meaning to their existence, huh?\Fascinating!\In that case, why don't we call them Earthlings as well?\But we have never done something like that in the past!\Don't be so rigid! response:	It has been ages since we came across such wonderful lamata.
context: but we have decoded the primitive creatures' transmissions.\Apparently the creatures refer to themselves as Earthlings.\So they possess enough intelligence to give meaning to their existence, huh?\Fascinating!\In that case, why don't we call them Earthlings as well?\But we have never done something like that in the past!\Don't be so rigid!\It has been ages since we came across such wonderful lamata. response:	We should treat them with respect in our interactions.
context: Apparently the creatures refer to themselves as Earthlings.\So they possess enough intelligence to give meaning to their existence, huh?\Fascinating!\In that case, why don't we call them Earthlings as well?\But we have never done something like that in the past!\Don't be so rigid!\It has been ages since we came across such wonderful lamata.\We should treat them with respect in our interactions. response:	Now then, what will you do to entertain me next, Earthlings?
context: So they possess enough intelligence to give meaning to their existence, huh?\Fascinating!\In that case, why don't we call them Earthlings as well?\But we have never done something like that in the past!\Don't be so rigid!\It has been ages since we came across such wonderful lamata.\We should treat them with respect in our interactions.\Now then, what will you do to entertain me next, Earthlings? response:	I apologize for leaving during the middle of our meeting yesterday.
context: Fascinating!\In that case, why don't we call them Earthlings as well?\But we have never done something like that in the past!\Don't be so rigid!\It has been ages since we came across such wonderful lamata.\We should treat them with respect in our interactions.\Now then, what will you do to entertain me next, Earthlings?\I apologize for leaving during the middle of our meeting yesterday. response:	Did you receive unfortunate news?
context: In that case, why don't we call them Earthlings as well?\But we have never done something like that in the past!\Don't be so rigid!\It has been ages since we came across such wonderful lamata.\We should treat them with respect in our interactions.\Now then, what will you do to entertain me next, Earthlings?\I apologize for leaving during the middle of our meeting yesterday.\Did you receive unfortunate news? response:	No, but it was an urgent message.
context: But we have never done something like that in the past!\Don't be so rigid!\It has been ages since we came across such wonderful lamata.\We should treat them with respect in our interactions.\Now then, what will you do to entertain me next, Earthlings?\I apologize for leaving during the middle of our meeting yesterday.\Did you receive unfortunate news?\No, but it was an urgent message. response:	We have found a Wulgaru craft on Mars.
context: Don't be so rigid!\It has been ages since we came across such wonderful lamata.\We should treat them with respect in our interactions.\Now then, what will you do to entertain me next, Earthlings?\I apologize for leaving during the middle of our meeting yesterday.\Did you receive unfortunate news?\No, but it was an urgent message.\We have found a Wulgaru craft on Mars. response:	Operation: Ares
