context: It's not a dream. response:	It's not a joke.
context: Knock it off, Kimari!\Shirase-chan, are you asleep?\I was wondering about something...\Do you know the captain?\How could you tell?\Just had a feeling.\She and my mother knew each other in high school.\She went to Antarctica with my mother. response:	She came home.
context: Shirase-chan, are you asleep?\I was wondering about something...\Do you know the captain?\How could you tell?\Just had a feeling.\She and my mother knew each other in high school.\She went to Antarctica with my mother.\She came home. response:	My mother didn't.
context: I was wondering about something...\Do you know the captain?\How could you tell?\Just had a feeling.\She and my mother knew each other in high school.\She went to Antarctica with my mother.\She came home.\My mother didn't. response:	That's all.
context: Do you know the captain?\How could you tell?\Just had a feeling.\She and my mother knew each other in high school.\She went to Antarctica with my mother.\She came home.\My mother didn't.\That's all. response:	Because... my mother is waiting there.
context: How could you tell?\Just had a feeling.\She and my mother knew each other in high school.\She went to Antarctica with my mother.\She came home.\My mother didn't.\That's all.\Because... my mother is waiting there. response:	What a big sky!
context: Just had a feeling.\She and my mother knew each other in high school.\She went to Antarctica with my mother.\She came home.\My mother didn't.\That's all.\Because... my mother is waiting there.\What a big sky! response:	Where's the North Star?
context: She and my mother knew each other in high school.\She went to Antarctica with my mother.\She came home.\My mother didn't.\That's all.\Because... my mother is waiting there.\What a big sky!\Where's the North Star? response:	Um, were supposed to trace something from the Big Dipper, aren't we?
context: She went to Antarctica with my mother.\She came home.\My mother didn't.\That's all.\Because... my mother is waiting there.\What a big sky!\Where's the North Star?\Um, were supposed to trace something from the Big Dipper, aren't we? response:	I thought it was Cassiopeia.
context: She came home.\My mother didn't.\That's all.\Because... my mother is waiting there.\What a big sky!\Where's the North Star?\Um, were supposed to trace something from the Big Dipper, aren't we?\I thought it was Cassiopeia. response:	What's the South Star?
context: My mother didn't.\That's all.\Because... my mother is waiting there.\What a big sky!\Where's the North Star?\Um, were supposed to trace something from the Big Dipper, aren't we?\I thought it was Cassiopeia.\What's the South Star? response:	South Star? Is there one?
context: That's all.\Because... my mother is waiting there.\What a big sky!\Where's the North Star?\Um, were supposed to trace something from the Big Dipper, aren't we?\I thought it was Cassiopeia.\What's the South Star?\South Star? Is there one? response:	There is, but you can't see it as clearly, I've heard.
context: Because... my mother is waiting there.\What a big sky!\Where's the North Star?\Um, were supposed to trace something from the Big Dipper, aren't we?\I thought it was Cassiopeia.\What's the South Star?\South Star? Is there one?\There is, but you can't see it as clearly, I've heard. response:	Which is it?
context: What a big sky!\Where's the North Star?\Um, were supposed to trace something from the Big Dipper, aren't we?\I thought it was Cassiopeia.\What's the South Star?\South Star? Is there one?\There is, but you can't see it as clearly, I've heard.\Which is it? response:	You can't see it from here, duh.
context: Where's the North Star?\Um, were supposed to trace something from the Big Dipper, aren't we?\I thought it was Cassiopeia.\What's the South Star?\South Star? Is there one?\There is, but you can't see it as clearly, I've heard.\Which is it?\You can't see it from here, duh. response:	Never think the stars you see are all the stars there are.
context: Um, were supposed to trace something from the Big Dipper, aren't we?\I thought it was Cassiopeia.\What's the South Star?\South Star? Is there one?\There is, but you can't see it as clearly, I've heard.\Which is it?\You can't see it from here, duh.\Never think the stars you see are all the stars there are. response:	Another of your sayings, Hinata-chan?
context: I thought it was Cassiopeia.\What's the South Star?\South Star? Is there one?\There is, but you can't see it as clearly, I've heard.\Which is it?\You can't see it from here, duh.\Never think the stars you see are all the stars there are.\Another of your sayings, Hinata-chan? response:	Yeah, that one kinda sucked, huh?
context: What's the South Star?\South Star? Is there one?\There is, but you can't see it as clearly, I've heard.\Which is it?\You can't see it from here, duh.\Never think the stars you see are all the stars there are.\Another of your sayings, Hinata-chan?\Yeah, that one kinda sucked, huh? response:	This is Syowa Station. Aurora Team, do you read me? Over.
context: South Star? Is there one?\There is, but you can't see it as clearly, I've heard.\Which is it?\You can't see it from here, duh.\Never think the stars you see are all the stars there are.\Another of your sayings, Hinata-chan?\Yeah, that one kinda sucked, huh?\This is Syowa Station. Aurora Team, do you read me? Over. response:	We got it!
context: There is, but you can't see it as clearly, I've heard.\Which is it?\You can't see it from here, duh.\Never think the stars you see are all the stars there are.\Another of your sayings, Hinata-chan?\Yeah, that one kinda sucked, huh?\This is Syowa Station. Aurora Team, do you read me? Over.\We got it! response:	This is Aurora Team, Miyake.
context: Which is it?\You can't see it from here, duh.\Never think the stars you see are all the stars there are.\Another of your sayings, Hinata-chan?\Yeah, that one kinda sucked, huh?\This is Syowa Station. Aurora Team, do you read me? Over.\We got it!\This is Aurora Team, Miyake. response:	We read you loud and clear. Over.
context: You can't see it from here, duh.\Never think the stars you see are all the stars there are.\Another of your sayings, Hinata-chan?\Yeah, that one kinda sucked, huh?\This is Syowa Station. Aurora Team, do you read me? Over.\We got it!\This is Aurora Team, Miyake.\We read you loud and clear. Over. response:	This is your regular check-in.
context: Never think the stars you see are all the stars there are.\Another of your sayings, Hinata-chan?\Yeah, that one kinda sucked, huh?\This is Syowa Station. Aurora Team, do you read me? Over.\We got it!\This is Aurora Team, Miyake.\We read you loud and clear. Over.\This is your regular check-in. response:	Is everything all right there? Over.
context: Another of your sayings, Hinata-chan?\Yeah, that one kinda sucked, huh?\This is Syowa Station. Aurora Team, do you read me? Over.\We got it!\This is Aurora Team, Miyake.\We read you loud and clear. Over.\This is your regular check-in.\Is everything all right there? Over. response:	Four members of Aurora Team.
context: Yeah, that one kinda sucked, huh?\This is Syowa Station. Aurora Team, do you read me? Over.\We got it!\This is Aurora Team, Miyake.\We read you loud and clear. Over.\This is your regular check-in.\Is everything all right there? Over.\Four members of Aurora Team. response:	All personnel and equipment accounted for. Over.
context: This is Syowa Station. Aurora Team, do you read me? Over.\We got it!\This is Aurora Team, Miyake.\We read you loud and clear. Over.\This is your regular check-in.\Is everything all right there? Over.\Four members of Aurora Team.\All personnel and equipment accounted for. Over. response:	Understood.
context: We got it!\This is Aurora Team, Miyake.\We read you loud and clear. Over.\This is your regular check-in.\Is everything all right there? Over.\Four members of Aurora Team.\All personnel and equipment accounted for. Over.\Understood. response:	It gets cold around dawn, so watch your body temperature.
context: This is Aurora Team, Miyake.\We read you loud and clear. Over.\This is your regular check-in.\Is everything all right there? Over.\Four members of Aurora Team.\All personnel and equipment accounted for. Over.\Understood.\It gets cold around dawn, so watch your body temperature. response:	This concludes your regular check-in.
context: We read you loud and clear. Over.\This is your regular check-in.\Is everything all right there? Over.\Four members of Aurora Team.\All personnel and equipment accounted for. Over.\Understood.\It gets cold around dawn, so watch your body temperature.\This concludes your regular check-in. response:	Be safe.
context: This is your regular check-in.\Is everything all right there? Over.\Four members of Aurora Team.\All personnel and equipment accounted for. Over.\Understood.\It gets cold around dawn, so watch your body temperature.\This concludes your regular check-in.\Be safe. response:	Be safe!
context: Is everything all right there? Over.\Four members of Aurora Team.\All personnel and equipment accounted for. Over.\Understood.\It gets cold around dawn, so watch your body temperature.\This concludes your regular check-in.\Be safe.\Be safe! response:	She really did contact us!
context: Four members of Aurora Team.\All personnel and equipment accounted for. Over.\Understood.\It gets cold around dawn, so watch your body temperature.\This concludes your regular check-in.\Be safe.\Be safe!\She really did contact us! response:	I almost forgot!
context: All personnel and equipment accounted for. Over.\Understood.\It gets cold around dawn, so watch your body temperature.\This concludes your regular check-in.\Be safe.\Be safe!\She really did contact us!\I almost forgot! response:	New Message
context: Understood.\It gets cold around dawn, so watch your body temperature.\This concludes your regular check-in.\Be safe.\Be safe!\She really did contact us!\I almost forgot!\New Message response:	To: Mom
context: It gets cold around dawn, so watch your body temperature.\This concludes your regular check-in.\Be safe.\Be safe!\She really did contact us!\I almost forgot!\New Message\To: Mom response:	Subj: Dear Mom
context: This concludes your regular check-in.\Be safe.\Be safe!\She really did contact us!\I almost forgot!\New Message\To: Mom\Subj: Dear Mom response:	Mailbox
context: Be safe.\Be safe!\She really did contact us!\I almost forgot!\New Message\To: Mom\Subj: Dear Mom\Mailbox response:	Receipt
context: Be safe!\She really did contact us!\I almost forgot!\New Message\To: Mom\Subj: Dear Mom\Mailbox\Receipt response:	Favorites
context: She really did contact us!\I almost forgot!\New Message\To: Mom\Subj: Dear Mom\Mailbox\Receipt\Favorites response:	So cold...
context: I almost forgot!\New Message\To: Mom\Subj: Dear Mom\Mailbox\Receipt\Favorites\So cold... response:	Hey...
context: New Message\To: Mom\Subj: Dear Mom\Mailbox\Receipt\Favorites\So cold...\Hey... response:	Is there something there?
context: To: Mom\Subj: Dear Mom\Mailbox\Receipt\Favorites\So cold...\Hey...\Is there something there? response:	What was Shirase-chan's mom like?
context: Subj: Dear Mom\Mailbox\Receipt\Favorites\So cold...\Hey...\Is there something there?\What was Shirase-chan's mom like? response:	All I can say about her is that she was very strange.
context: Mailbox\Receipt\Favorites\So cold...\Hey...\Is there something there?\What was Shirase-chan's mom like?\All I can say about her is that she was very strange. response:	Was she like Shirase-chan?
context: Receipt\Favorites\So cold...\Hey...\Is there something there?\What was Shirase-chan's mom like?\All I can say about her is that she was very strange.\Was she like Shirase-chan? response:	I don't know. I don't know her daughter very well.
context: Favorites\So cold...\Hey...\Is there something there?\What was Shirase-chan's mom like?\All I can say about her is that she was very strange.\Was she like Shirase-chan?\I don't know. I don't know her daughter very well. response:	But in stubbornness and conviction, she's her spitting image.
context: So cold...\Hey...\Is there something there?\What was Shirase-chan's mom like?\All I can say about her is that she was very strange.\Was she like Shirase-chan?\I don't know. I don't know her daughter very well.\But in stubbornness and conviction, she's her spitting image. response:	She's trouble.
context: Hey...\Is there something there?\What was Shirase-chan's mom like?\All I can say about her is that she was very strange.\Was she like Shirase-chan?\I don't know. I don't know her daughter very well.\But in stubbornness and conviction, she's her spitting image.\She's trouble. response:	Isn't trouble just the best?
context: Is there something there?\What was Shirase-chan's mom like?\All I can say about her is that she was very strange.\Was she like Shirase-chan?\I don't know. I don't know her daughter very well.\But in stubbornness and conviction, she's her spitting image.\She's trouble.\Isn't trouble just the best? response:	A personality like yours will do well in Antarctica.
context: What was Shirase-chan's mom like?\All I can say about her is that she was very strange.\Was she like Shirase-chan?\I don't know. I don't know her daughter very well.\But in stubbornness and conviction, she's her spitting image.\She's trouble.\Isn't trouble just the best?\A personality like yours will do well in Antarctica. response:	Really?
context: All I can say about her is that she was very strange.\Was she like Shirase-chan?\I don't know. I don't know her daughter very well.\But in stubbornness and conviction, she's her spitting image.\She's trouble.\Isn't trouble just the best?\A personality like yours will do well in Antarctica.\Really? response:	Why do you want to go to Antarctica?
context: Was she like Shirase-chan?\I don't know. I don't know her daughter very well.\But in stubbornness and conviction, she's her spitting image.\She's trouble.\Isn't trouble just the best?\A personality like yours will do well in Antarctica.\Really?\Why do you want to go to Antarctica? response:	Did she invite you?
context: I don't know. I don't know her daughter very well.\But in stubbornness and conviction, she's her spitting image.\She's trouble.\Isn't trouble just the best?\A personality like yours will do well in Antarctica.\Really?\Why do you want to go to Antarctica?\Did she invite you? response:	Yeah...
context: But in stubbornness and conviction, she's her spitting image.\She's trouble.\Isn't trouble just the best?\A personality like yours will do well in Antarctica.\Really?\Why do you want to go to Antarctica?\Did she invite you?\Yeah... response:	But I'm the one who made the decision.
context: She's trouble.\Isn't trouble just the best?\A personality like yours will do well in Antarctica.\Really?\Why do you want to go to Antarctica?\Did she invite you?\Yeah...\But I'm the one who made the decision. response:	That I wanted to go with her.
context: Isn't trouble just the best?\A personality like yours will do well in Antarctica.\Really?\Why do you want to go to Antarctica?\Did she invite you?\Yeah...\But I'm the one who made the decision.\That I wanted to go with her. response:	That I didn't want my high school years to end the way they were going.
context: A personality like yours will do well in Antarctica.\Really?\Why do you want to go to Antarctica?\Did she invite you?\Yeah...\But I'm the one who made the decision.\That I wanted to go with her.\That I didn't want my high school years to end the way they were going. response:	That I wanted to go somewhere that's not here.
context: Really?\Why do you want to go to Antarctica?\Did she invite you?\Yeah...\But I'm the one who made the decision.\That I wanted to go with her.\That I didn't want my high school years to end the way they were going.\That I wanted to go somewhere that's not here. response:	I see.
context: Why do you want to go to Antarctica?\Did she invite you?\Yeah...\But I'm the one who made the decision.\That I wanted to go with her.\That I didn't want my high school years to end the way they were going.\That I wanted to go somewhere that's not here.\I see. response:	But then I met Hinata-chan and Yuzuki-chan,
context: Did she invite you?\Yeah...\But I'm the one who made the decision.\That I wanted to go with her.\That I didn't want my high school years to end the way they were going.\That I wanted to go somewhere that's not here.\I see.\But then I met Hinata-chan and Yuzuki-chan, response:	and I got to hear how the members of the expedition felt,
context: Yeah...\But I'm the one who made the decision.\That I wanted to go with her.\That I didn't want my high school years to end the way they were going.\That I wanted to go somewhere that's not here.\I see.\But then I met Hinata-chan and Yuzuki-chan,\and I got to hear how the members of the expedition felt, response:	and I learned stuff about you and Shirase-chan, and now...
context: But I'm the one who made the decision.\That I wanted to go with her.\That I didn't want my high school years to end the way they were going.\That I wanted to go somewhere that's not here.\I see.\But then I met Hinata-chan and Yuzuki-chan,\and I got to hear how the members of the expedition felt,\and I learned stuff about you and Shirase-chan, and now... response:	It's not just somewhere to me.
context: That I wanted to go with her.\That I didn't want my high school years to end the way they were going.\That I wanted to go somewhere that's not here.\I see.\But then I met Hinata-chan and Yuzuki-chan,\and I got to hear how the members of the expedition felt,\and I learned stuff about you and Shirase-chan, and now...\It's not just somewhere to me. response:	It's Antarctica!
context: That I didn't want my high school years to end the way they were going.\That I wanted to go somewhere that's not here.\I see.\But then I met Hinata-chan and Yuzuki-chan,\and I got to hear how the members of the expedition felt,\and I learned stuff about you and Shirase-chan, and now...\It's not just somewhere to me.\It's Antarctica! response:	I'm gonna go to Antarctica with all of you...
context: That I wanted to go somewhere that's not here.\I see.\But then I met Hinata-chan and Yuzuki-chan,\and I got to hear how the members of the expedition felt,\and I learned stuff about you and Shirase-chan, and now...\It's not just somewhere to me.\It's Antarctica!\I'm gonna go to Antarctica with all of you... response:	Everyone, wake up!
context: I see.\But then I met Hinata-chan and Yuzuki-chan,\and I got to hear how the members of the expedition felt,\and I learned stuff about you and Shirase-chan, and now...\It's not just somewhere to me.\It's Antarctica!\I'm gonna go to Antarctica with all of you...\Everyone, wake up! response:	What is it?!
context: But then I met Hinata-chan and Yuzuki-chan,\and I got to hear how the members of the expedition felt,\and I learned stuff about you and Shirase-chan, and now...\It's not just somewhere to me.\It's Antarctica!\I'm gonna go to Antarctica with all of you...\Everyone, wake up!\What is it?! response:	I'm not a morning person...
context: and I got to hear how the members of the expedition felt,\and I learned stuff about you and Shirase-chan, and now...\It's not just somewhere to me.\It's Antarctica!\I'm gonna go to Antarctica with all of you...\Everyone, wake up!\What is it?!\I'm not a morning person... response:	Just get up already! You, too, Shirase-chan!
context: and I learned stuff about you and Shirase-chan, and now...\It's not just somewhere to me.\It's Antarctica!\I'm gonna go to Antarctica with all of you...\Everyone, wake up!\What is it?!\I'm not a morning person...\Just get up already! You, too, Shirase-chan! response:	Hurry! Hurry!
context: It's not just somewhere to me.\It's Antarctica!\I'm gonna go to Antarctica with all of you...\Everyone, wake up!\What is it?!\I'm not a morning person...\Just get up already! You, too, Shirase-chan!\Hurry! Hurry! response:	I wanna go with all of you.
context: It's Antarctica!\I'm gonna go to Antarctica with all of you...\Everyone, wake up!\What is it?!\I'm not a morning person...\Just get up already! You, too, Shirase-chan!\Hurry! Hurry!\I wanna go with all of you. response:	I wanna find the South Star with all of you.
context: I'm gonna go to Antarctica with all of you...\Everyone, wake up!\What is it?!\I'm not a morning person...\Just get up already! You, too, Shirase-chan!\Hurry! Hurry!\I wanna go with all of you.\I wanna find the South Star with all of you. response:	I wanna see auroras, eat shaved ice,
context: Everyone, wake up!\What is it?!\I'm not a morning person...\Just get up already! You, too, Shirase-chan!\Hurry! Hurry!\I wanna go with all of you.\I wanna find the South Star with all of you.\I wanna see auroras, eat shaved ice, response:	and take pictures with penguins!
context: What is it?!\I'm not a morning person...\Just get up already! You, too, Shirase-chan!\Hurry! Hurry!\I wanna go with all of you.\I wanna find the South Star with all of you.\I wanna see auroras, eat shaved ice,\and take pictures with penguins! response:	We've got to go!
context: I'm not a morning person...\Just get up already! You, too, Shirase-chan!\Hurry! Hurry!\I wanna go with all of you.\I wanna find the South Star with all of you.\I wanna see auroras, eat shaved ice,\and take pictures with penguins!\We've got to go! response:	Yeah!
context: Just get up already! You, too, Shirase-chan!\Hurry! Hurry!\I wanna go with all of you.\I wanna find the South Star with all of you.\I wanna see auroras, eat shaved ice,\and take pictures with penguins!\We've got to go!\Yeah! response:	Kimari
