context: You're such a slowpoke, Rita. response:	Alright, everyone, stay where you are and listen.
context: Are ALL of you quitting?\No!\I still have so much to learn! Don't go!\They didn't even say goodbye!\Stay with us forever, Priscilla!\All of you, be quiet!\We've had people quit before, remember?\I'm sure they have their reasons. response:	Thank you, Marilla.
context: No!\I still have so much to learn! Don't go!\They didn't even say goodbye!\Stay with us forever, Priscilla!\All of you, be quiet!\We've had people quit before, remember?\I'm sure they have their reasons.\Thank you, Marilla. response:	It's nothing. Forcing you to stay would only make us all uncomfortable.
context: I still have so much to learn! Don't go!\They didn't even say goodbye!\Stay with us forever, Priscilla!\All of you, be quiet!\We've had people quit before, remember?\I'm sure they have their reasons.\Thank you, Marilla.\It's nothing. Forcing you to stay would only make us all uncomfortable. response:	And so, about your new foreman...
context: They didn't even say goodbye!\Stay with us forever, Priscilla!\All of you, be quiet!\We've had people quit before, remember?\I'm sure they have their reasons.\Thank you, Marilla.\It's nothing. Forcing you to stay would only make us all uncomfortable.\And so, about your new foreman... response:	I was hoping I could ask you, Marilla.
context: Stay with us forever, Priscilla!\All of you, be quiet!\We've had people quit before, remember?\I'm sure they have their reasons.\Thank you, Marilla.\It's nothing. Forcing you to stay would only make us all uncomfortable.\And so, about your new foreman...\I was hoping I could ask you, Marilla. response:	What?!
context: All of you, be quiet!\We've had people quit before, remember?\I'm sure they have their reasons.\Thank you, Marilla.\It's nothing. Forcing you to stay would only make us all uncomfortable.\And so, about your new foreman...\I was hoping I could ask you, Marilla.\What?! response:	Really?
context: We've had people quit before, remember?\I'm sure they have their reasons.\Thank you, Marilla.\It's nothing. Forcing you to stay would only make us all uncomfortable.\And so, about your new foreman...\I was hoping I could ask you, Marilla.\What?!\Really? response:	Marilla? Our foreman? Then we've nothing to worry about!
context: I'm sure they have their reasons.\Thank you, Marilla.\It's nothing. Forcing you to stay would only make us all uncomfortable.\And so, about your new foreman...\I was hoping I could ask you, Marilla.\What?!\Really?\Marilla? Our foreman? Then we've nothing to worry about! response:	No, no, no! Wait a minute! Just hold on!
context: Thank you, Marilla.\It's nothing. Forcing you to stay would only make us all uncomfortable.\And so, about your new foreman...\I was hoping I could ask you, Marilla.\What?!\Really?\Marilla? Our foreman? Then we've nothing to worry about!\No, no, no! Wait a minute! Just hold on! response:	No! I can't be foreman!
context: It's nothing. Forcing you to stay would only make us all uncomfortable.\And so, about your new foreman...\I was hoping I could ask you, Marilla.\What?!\Really?\Marilla? Our foreman? Then we've nothing to worry about!\No, no, no! Wait a minute! Just hold on!\No! I can't be foreman! response:	Then who else could I ask to do it?
context: And so, about your new foreman...\I was hoping I could ask you, Marilla.\What?!\Really?\Marilla? Our foreman? Then we've nothing to worry about!\No, no, no! Wait a minute! Just hold on!\No! I can't be foreman!\Then who else could I ask to do it? response:	If Marilla won't do it, I will!
context: I was hoping I could ask you, Marilla.\What?!\Really?\Marilla? Our foreman? Then we've nothing to worry about!\No, no, no! Wait a minute! Just hold on!\No! I can't be foreman!\Then who else could I ask to do it?\If Marilla won't do it, I will! response:	And I'll give everyone three lunch breaks!
context: What?!\Really?\Marilla? Our foreman? Then we've nothing to worry about!\No, no, no! Wait a minute! Just hold on!\No! I can't be foreman!\Then who else could I ask to do it?\If Marilla won't do it, I will!\And I'll give everyone three lunch breaks! response:	Then I volunteer!
context: Really?\Marilla? Our foreman? Then we've nothing to worry about!\No, no, no! Wait a minute! Just hold on!\No! I can't be foreman!\Then who else could I ask to do it?\If Marilla won't do it, I will!\And I'll give everyone three lunch breaks!\Then I volunteer! response:	I'll double our wages!
context: Marilla? Our foreman? Then we've nothing to worry about!\No, no, no! Wait a minute! Just hold on!\No! I can't be foreman!\Then who else could I ask to do it?\If Marilla won't do it, I will!\And I'll give everyone three lunch breaks!\Then I volunteer!\I'll double our wages! response:	I'll turn the mill into a flower garden!
context: No, no, no! Wait a minute! Just hold on!\No! I can't be foreman!\Then who else could I ask to do it?\If Marilla won't do it, I will!\And I'll give everyone three lunch breaks!\Then I volunteer!\I'll double our wages!\I'll turn the mill into a flower garden! response:	Fine! I'll do it!
context: No! I can't be foreman!\Then who else could I ask to do it?\If Marilla won't do it, I will!\And I'll give everyone three lunch breaks!\Then I volunteer!\I'll double our wages!\I'll turn the mill into a flower garden!\Fine! I'll do it! response:	Hooray!
context: Then who else could I ask to do it?\If Marilla won't do it, I will!\And I'll give everyone three lunch breaks!\Then I volunteer!\I'll double our wages!\I'll turn the mill into a flower garden!\Fine! I'll do it!\Hooray! response:	We're counting on you, Marilla!
context: If Marilla won't do it, I will!\And I'll give everyone three lunch breaks!\Then I volunteer!\I'll double our wages!\I'll turn the mill into a flower garden!\Fine! I'll do it!\Hooray!\We're counting on you, Marilla! response:	Foreman Marilla!
context: And I'll give everyone three lunch breaks!\Then I volunteer!\I'll double our wages!\I'll turn the mill into a flower garden!\Fine! I'll do it!\Hooray!\We're counting on you, Marilla!\Foreman Marilla! response:	But I won't be as forgiving as Priscilla!
context: Then I volunteer!\I'll double our wages!\I'll turn the mill into a flower garden!\Fine! I'll do it!\Hooray!\We're counting on you, Marilla!\Foreman Marilla!\But I won't be as forgiving as Priscilla! response:	Get ready to work!
context: I'll double our wages!\I'll turn the mill into a flower garden!\Fine! I'll do it!\Hooray!\We're counting on you, Marilla!\Foreman Marilla!\But I won't be as forgiving as Priscilla!\Get ready to work! response:	Yes, ma'am!
context: I'll turn the mill into a flower garden!\Fine! I'll do it!\Hooray!\We're counting on you, Marilla!\Foreman Marilla!\But I won't be as forgiving as Priscilla!\Get ready to work!\Yes, ma'am! response:	Priscilla!
context: Fine! I'll do it!\Hooray!\We're counting on you, Marilla!\Foreman Marilla!\But I won't be as forgiving as Priscilla!\Get ready to work!\Yes, ma'am!\Priscilla! response:	Would you tell Chieko something for me?
context: Hooray!\We're counting on you, Marilla!\Foreman Marilla!\But I won't be as forgiving as Priscilla!\Get ready to work!\Yes, ma'am!\Priscilla!\Would you tell Chieko something for me? response:	I don't really know what's going on in her life...
context: We're counting on you, Marilla!\Foreman Marilla!\But I won't be as forgiving as Priscilla!\Get ready to work!\Yes, ma'am!\Priscilla!\Would you tell Chieko something for me?\I don't really know what's going on in her life... response:	But, um...
context: Foreman Marilla!\But I won't be as forgiving as Priscilla!\Get ready to work!\Yes, ma'am!\Priscilla!\Would you tell Chieko something for me?\I don't really know what's going on in her life...\But, um... response:	Tell her, Don't let it beat you.
context: But I won't be as forgiving as Priscilla!\Get ready to work!\Yes, ma'am!\Priscilla!\Would you tell Chieko something for me?\I don't really know what's going on in her life...\But, um...\Tell her, Don't let it beat you. response:	I will.
context: Get ready to work!\Yes, ma'am!\Priscilla!\Would you tell Chieko something for me?\I don't really know what's going on in her life...\But, um...\Tell her, Don't let it beat you.\I will. response:	You think the girls at the laundry mill will get on without us?
context: Yes, ma'am!\Priscilla!\Would you tell Chieko something for me?\I don't really know what's going on in her life...\But, um...\Tell her, Don't let it beat you.\I will.\You think the girls at the laundry mill will get on without us? response:	I do.
context: Priscilla!\Would you tell Chieko something for me?\I don't really know what's going on in her life...\But, um...\Tell her, Don't let it beat you.\I will.\You think the girls at the laundry mill will get on without us?\I do. response:	They are now strong enough.
context: Would you tell Chieko something for me?\I don't really know what's going on in her life...\But, um...\Tell her, Don't let it beat you.\I will.\You think the girls at the laundry mill will get on without us?\I do.\They are now strong enough. response:	I'm certain they'll be fine.
context: I don't really know what's going on in her life...\But, um...\Tell her, Don't let it beat you.\I will.\You think the girls at the laundry mill will get on without us?\I do.\They are now strong enough.\I'm certain they'll be fine. response:	Let's go.
context: But, um...\Tell her, Don't let it beat you.\I will.\You think the girls at the laundry mill will get on without us?\I do.\They are now strong enough.\I'm certain they'll be fine.\Let's go. response:	Yes, ma'am.
