context: That was loud. response:	Haru, are you okay?
context: Haru-chan is an amazing swimmer.\He doesn't use theory.\No calculation, either.\He has something much stronger\that I do not.\Much stronger...\Can I...\Can I learn to swim like that? response:	You haven't given up yet?
context: He doesn't use theory.\No calculation, either.\He has something much stronger\that I do not.\Much stronger...\Can I...\Can I learn to swim like that?\You haven't given up yet? response:	Of course not.
context: No calculation, either.\He has something much stronger\that I do not.\Much stronger...\Can I...\Can I learn to swim like that?\You haven't given up yet?\Of course not. response:	But it looks like Rei-chan...
context: He has something much stronger\that I do not.\Much stronger...\Can I...\Can I learn to swim like that?\You haven't given up yet?\Of course not.\But it looks like Rei-chan... response:	Ryugazaki!
context: that I do not.\Much stronger...\Can I...\Can I learn to swim like that?\You haven't given up yet?\Of course not.\But it looks like Rei-chan...\Ryugazaki! response:	Yes!
context: Much stronger...\Can I...\Can I learn to swim like that?\You haven't given up yet?\Of course not.\But it looks like Rei-chan...\Ryugazaki!\Yes! response:	No theory... No calculation...
context: Can I...\Can I learn to swim like that?\You haven't given up yet?\Of course not.\But it looks like Rei-chan...\Ryugazaki!\Yes!\No theory... No calculation... response:	Be free!
context: Can I learn to swim like that?\You haven't given up yet?\Of course not.\But it looks like Rei-chan...\Ryugazaki!\Yes!\No theory... No calculation...\Be free! response:	What?!
context: You haven't given up yet?\Of course not.\But it looks like Rei-chan...\Ryugazaki!\Yes!\No theory... No calculation...\Be free!\What?! response:	He fell.
context: Of course not.\But it looks like Rei-chan...\Ryugazaki!\Yes!\No theory... No calculation...\Be free!\What?!\He fell. response:	Huh? He's coming over here.
context: But it looks like Rei-chan...\Ryugazaki!\Yes!\No theory... No calculation...\Be free!\What?!\He fell.\Huh? He's coming over here. response:	I want to be like you, Nanase-senpai.
context: Ryugazaki!\Yes!\No theory... No calculation...\Be free!\What?!\He fell.\Huh? He's coming over here.\I want to be like you, Nanase-senpai. response:	What do you mean?
context: Yes!\No theory... No calculation...\Be free!\What?!\He fell.\Huh? He's coming over here.\I want to be like you, Nanase-senpai.\What do you mean? response:	I want that kind of freedom.
context: No theory... No calculation...\Be free!\What?!\He fell.\Huh? He's coming over here.\I want to be like you, Nanase-senpai.\What do you mean?\I want that kind of freedom. response:	It's not freedom.
context: Be free!\What?!\He fell.\Huh? He's coming over here.\I want to be like you, Nanase-senpai.\What do you mean?\I want that kind of freedom.\It's not freedom. response:	It's freestyle.
context: What?!\He fell.\Huh? He's coming over here.\I want to be like you, Nanase-senpai.\What do you mean?\I want that kind of freedom.\It's not freedom.\It's freestyle. response:	Fr-Freestyle...
context: He fell.\Huh? He's coming over here.\I want to be like you, Nanase-senpai.\What do you mean?\I want that kind of freedom.\It's not freedom.\It's freestyle.\Fr-Freestyle... response:	Anyway, I would like to formally
context: Huh? He's coming over here.\I want to be like you, Nanase-senpai.\What do you mean?\I want that kind of freedom.\It's not freedom.\It's freestyle.\Fr-Freestyle...\Anyway, I would like to formally response:	join the swim club!
context: I want to be like you, Nanase-senpai.\What do you mean?\I want that kind of freedom.\It's not freedom.\It's freestyle.\Fr-Freestyle...\Anyway, I would like to formally\join the swim club! response:	What? Really?
context: What do you mean?\I want that kind of freedom.\It's not freedom.\It's freestyle.\Fr-Freestyle...\Anyway, I would like to formally\join the swim club!\What? Really? response:	If you want to swim, go ahead.
context: I want that kind of freedom.\It's not freedom.\It's freestyle.\Fr-Freestyle...\Anyway, I would like to formally\join the swim club!\What? Really?\If you want to swim, go ahead. response:	That's that, then!
context: It's not freedom.\It's freestyle.\Fr-Freestyle...\Anyway, I would like to formally\join the swim club!\What? Really?\If you want to swim, go ahead.\That's that, then! response:	Yep!
context: It's freestyle.\Fr-Freestyle...\Anyway, I would like to formally\join the swim club!\What? Really?\If you want to swim, go ahead.\That's that, then!\Yep! response:	Haru-chan!
context: Fr-Freestyle...\Anyway, I would like to formally\join the swim club!\What? Really?\If you want to swim, go ahead.\That's that, then!\Yep!\Haru-chan! response:	However, you were the one who initially invited me to join.
context: Anyway, I would like to formally\join the swim club!\What? Really?\If you want to swim, go ahead.\That's that, then!\Yep!\Haru-chan!\However, you were the one who initially invited me to join. response:	I expect you to take responsibility,
context: join the swim club!\What? Really?\If you want to swim, go ahead.\That's that, then!\Yep!\Haru-chan!\However, you were the one who initially invited me to join.\I expect you to take responsibility, response:	Nagisa-kun.
context: What? Really?\If you want to swim, go ahead.\That's that, then!\Yep!\Haru-chan!\However, you were the one who initially invited me to join.\I expect you to take responsibility,\Nagisa-kun. response:	Sure! You can count on me!
context: If you want to swim, go ahead.\That's that, then!\Yep!\Haru-chan!\However, you were the one who initially invited me to join.\I expect you to take responsibility,\Nagisa-kun.\Sure! You can count on me! response:	Hey! Watch it!
context: That's that, then!\Yep!\Haru-chan!\However, you were the one who initially invited me to join.\I expect you to take responsibility,\Nagisa-kun.\Sure! You can count on me!\Hey! Watch it! response:	Hey, so why can't you swim, Rei-chan?
context: Yep!\Haru-chan!\However, you were the one who initially invited me to join.\I expect you to take responsibility,\Nagisa-kun.\Sure! You can count on me!\Hey! Watch it!\Hey, so why can't you swim, Rei-chan? response:	That's a foolish question.
context: Haru-chan!\However, you were the one who initially invited me to join.\I expect you to take responsibility,\Nagisa-kun.\Sure! You can count on me!\Hey! Watch it!\Hey, so why can't you swim, Rei-chan?\That's a foolish question. response:	The fluid mechanics of human physiology show that...
context: However, you were the one who initially invited me to join.\I expect you to take responsibility,\Nagisa-kun.\Sure! You can count on me!\Hey! Watch it!\Hey, so why can't you swim, Rei-chan?\That's a foolish question.\The fluid mechanics of human physiology show that... response:	Enough of that complicated stuff.
context: I expect you to take responsibility,\Nagisa-kun.\Sure! You can count on me!\Hey! Watch it!\Hey, so why can't you swim, Rei-chan?\That's a foolish question.\The fluid mechanics of human physiology show that...\Enough of that complicated stuff. response:	I'll show you what to do.
context: Nagisa-kun.\Sure! You can count on me!\Hey! Watch it!\Hey, so why can't you swim, Rei-chan?\That's a foolish question.\The fluid mechanics of human physiology show that...\Enough of that complicated stuff.\I'll show you what to do. response:	Come with me.
context: Sure! You can count on me!\Hey! Watch it!\Hey, so why can't you swim, Rei-chan?\That's a foolish question.\The fluid mechanics of human physiology show that...\Enough of that complicated stuff.\I'll show you what to do.\Come with me. response:	Haru-chan's fired up!
context: Hey! Watch it!\Hey, so why can't you swim, Rei-chan?\That's a foolish question.\The fluid mechanics of human physiology show that...\Enough of that complicated stuff.\I'll show you what to do.\Come with me.\Haru-chan's fired up! response:	This is how you hold a carving knife.
context: Hey, so why can't you swim, Rei-chan?\That's a foolish question.\The fluid mechanics of human physiology show that...\Enough of that complicated stuff.\I'll show you what to do.\Come with me.\Haru-chan's fired up!\This is how you hold a carving knife. response:	He's teaching him how to make Iwatobi-chans.
context: That's a foolish question.\The fluid mechanics of human physiology show that...\Enough of that complicated stuff.\I'll show you what to do.\Come with me.\Haru-chan's fired up!\This is how you hold a carving knife.\He's teaching him how to make Iwatobi-chans. response:	You're not done with those yet?!
context: The fluid mechanics of human physiology show that...\Enough of that complicated stuff.\I'll show you what to do.\Come with me.\Haru-chan's fired up!\This is how you hold a carving knife.\He's teaching him how to make Iwatobi-chans.\You're not done with those yet?! response:	Next time: Captive Butterfly.
context: Enough of that complicated stuff.\I'll show you what to do.\Come with me.\Haru-chan's fired up!\This is how you hold a carving knife.\He's teaching him how to make Iwatobi-chans.\You're not done with those yet?!\Next time: Captive Butterfly. response:	Captive Butterfly!
context: I'll show you what to do.\Come with me.\Haru-chan's fired up!\This is how you hold a carving knife.\He's teaching him how to make Iwatobi-chans.\You're not done with those yet?!\Next time: Captive Butterfly.\Captive Butterfly! response:	That's easy enough.
context: Come with me.\Haru-chan's fired up!\This is how you hold a carving knife.\He's teaching him how to make Iwatobi-chans.\You're not done with those yet?!\Next time: Captive Butterfly.\Captive Butterfly!\That's easy enough. response:	I'll have the theory down by next week.
