context: This baby came very strangely. response:	In just a few days, it's ready for birth.
context: Doesn't she know that I came?\She knows.\But as the ruler of eastern Qing Qiu\she has to put her people first.\Training and ascending as soon as possible\is a part of her duty as a ruler.\You're right, but I've been waiting here for her for a month.\I've never even seen her face. response:	Isn't that ridiculous?
context: She knows.\But as the ruler of eastern Qing Qiu\she has to put her people first.\Training and ascending as soon as possible\is a part of her duty as a ruler.\You're right, but I've been waiting here for her for a month.\I've never even seen her face.\Isn't that ridiculous? response:	Your Highness, please have some fruit.
context: But as the ruler of eastern Qing Qiu\she has to put her people first.\Training and ascending as soon as possible\is a part of her duty as a ruler.\You're right, but I've been waiting here for her for a month.\I've never even seen her face.\Isn't that ridiculous?\Your Highness, please have some fruit. response:	I just bought these.
context: she has to put her people first.\Training and ascending as soon as possible\is a part of her duty as a ruler.\You're right, but I've been waiting here for her for a month.\I've never even seen her face.\Isn't that ridiculous?\Your Highness, please have some fruit.\I just bought these. response:	Second Prince treats Shao Xing pretty well.
context: Training and ascending as soon as possible\is a part of her duty as a ruler.\You're right, but I've been waiting here for her for a month.\I've never even seen her face.\Isn't that ridiculous?\Your Highness, please have some fruit.\I just bought these.\Second Prince treats Shao Xing pretty well. response:	That's good. I don't have to deal with him.
context: is a part of her duty as a ruler.\You're right, but I've been waiting here for her for a month.\I've never even seen her face.\Isn't that ridiculous?\Your Highness, please have some fruit.\I just bought these.\Second Prince treats Shao Xing pretty well.\That's good. I don't have to deal with him. response:	Second Prince.
context: You're right, but I've been waiting here for her for a month.\I've never even seen her face.\Isn't that ridiculous?\Your Highness, please have some fruit.\I just bought these.\Second Prince treats Shao Xing pretty well.\That's good. I don't have to deal with him.\Second Prince. response:	In the Nine Heavens, I am the most favored prince.
context: I've never even seen her face.\Isn't that ridiculous?\Your Highness, please have some fruit.\I just bought these.\Second Prince treats Shao Xing pretty well.\That's good. I don't have to deal with him.\Second Prince.\In the Nine Heavens, I am the most favored prince. response:	If Your Highness really wants to be with me
context: Isn't that ridiculous?\Your Highness, please have some fruit.\I just bought these.\Second Prince treats Shao Xing pretty well.\That's good. I don't have to deal with him.\Second Prince.\In the Nine Heavens, I am the most favored prince.\If Your Highness really wants to be with me response:	then please honorably break off your arranged marriage with Aunt.
context: Your Highness, please have some fruit.\I just bought these.\Second Prince treats Shao Xing pretty well.\That's good. I don't have to deal with him.\Second Prince.\In the Nine Heavens, I am the most favored prince.\If Your Highness really wants to be with me\then please honorably break off your arranged marriage with Aunt. response:	She is my savior, and treats me really well.
context: I just bought these.\Second Prince treats Shao Xing pretty well.\That's good. I don't have to deal with him.\Second Prince.\In the Nine Heavens, I am the most favored prince.\If Your Highness really wants to be with me\then please honorably break off your arranged marriage with Aunt.\She is my savior, and treats me really well. response:	I can't just leave with you.
context: Second Prince treats Shao Xing pretty well.\That's good. I don't have to deal with him.\Second Prince.\In the Nine Heavens, I am the most favored prince.\If Your Highness really wants to be with me\then please honorably break off your arranged marriage with Aunt.\She is my savior, and treats me really well.\I can't just leave with you. response:	Bai Qian does treat you well.
context: That's good. I don't have to deal with him.\Second Prince.\In the Nine Heavens, I am the most favored prince.\If Your Highness really wants to be with me\then please honorably break off your arranged marriage with Aunt.\She is my savior, and treats me really well.\I can't just leave with you.\Bai Qian does treat you well. response:	She even gave you Lord of Numinous Treasure's
context: Second Prince.\In the Nine Heavens, I am the most favored prince.\If Your Highness really wants to be with me\then please honorably break off your arranged marriage with Aunt.\She is my savior, and treats me really well.\I can't just leave with you.\Bai Qian does treat you well.\She even gave you Lord of Numinous Treasure's response:	Cloud Clearing Fan for protection.
context: In the Nine Heavens, I am the most favored prince.\If Your Highness really wants to be with me\then please honorably break off your arranged marriage with Aunt.\She is my savior, and treats me really well.\I can't just leave with you.\Bai Qian does treat you well.\She even gave you Lord of Numinous Treasure's\Cloud Clearing Fan for protection. response:	Do you know what kind of person Lord of Numinous Treasure is?
context: If Your Highness really wants to be with me\then please honorably break off your arranged marriage with Aunt.\She is my savior, and treats me really well.\I can't just leave with you.\Bai Qian does treat you well.\She even gave you Lord of Numinous Treasure's\Cloud Clearing Fan for protection.\Do you know what kind of person Lord of Numinous Treasure is? response:	I don't know.
context: then please honorably break off your arranged marriage with Aunt.\She is my savior, and treats me really well.\I can't just leave with you.\Bai Qian does treat you well.\She even gave you Lord of Numinous Treasure's\Cloud Clearing Fan for protection.\Do you know what kind of person Lord of Numinous Treasure is?\I don't know. response:	He is the last disciple of Lord Yuan Shi.
context: She is my savior, and treats me really well.\I can't just leave with you.\Bai Qian does treat you well.\She even gave you Lord of Numinous Treasure's\Cloud Clearing Fan for protection.\Do you know what kind of person Lord of Numinous Treasure is?\I don't know.\He is the last disciple of Lord Yuan Shi. response:	No, that's not right.
context: I can't just leave with you.\Bai Qian does treat you well.\She even gave you Lord of Numinous Treasure's\Cloud Clearing Fan for protection.\Do you know what kind of person Lord of Numinous Treasure is?\I don't know.\He is the last disciple of Lord Yuan Shi.\No, that's not right. response:	He's not the last disciple.
context: Bai Qian does treat you well.\She even gave you Lord of Numinous Treasure's\Cloud Clearing Fan for protection.\Do you know what kind of person Lord of Numinous Treasure is?\I don't know.\He is the last disciple of Lord Yuan Shi.\No, that's not right.\He's not the last disciple. response:	I forgot.
context: She even gave you Lord of Numinous Treasure's\Cloud Clearing Fan for protection.\Do you know what kind of person Lord of Numinous Treasure is?\I don't know.\He is the last disciple of Lord Yuan Shi.\No, that's not right.\He's not the last disciple.\I forgot. response:	My nephew Ye Hua is actually Lord Yuan Shi's last disciple.
context: Cloud Clearing Fan for protection.\Do you know what kind of person Lord of Numinous Treasure is?\I don't know.\He is the last disciple of Lord Yuan Shi.\No, that's not right.\He's not the last disciple.\I forgot.\My nephew Ye Hua is actually Lord Yuan Shi's last disciple. response:	The name Ye Hua...
context: Do you know what kind of person Lord of Numinous Treasure is?\I don't know.\He is the last disciple of Lord Yuan Shi.\No, that's not right.\He's not the last disciple.\I forgot.\My nephew Ye Hua is actually Lord Yuan Shi's last disciple.\The name Ye Hua... response:	I've heard Fourth Uncle and Zhe Yan talk about it.
context: I don't know.\He is the last disciple of Lord Yuan Shi.\No, that's not right.\He's not the last disciple.\I forgot.\My nephew Ye Hua is actually Lord Yuan Shi's last disciple.\The name Ye Hua...\I've heard Fourth Uncle and Zhe Yan talk about it. response:	But speaking of that fan
context: He is the last disciple of Lord Yuan Shi.\No, that's not right.\He's not the last disciple.\I forgot.\My nephew Ye Hua is actually Lord Yuan Shi's last disciple.\The name Ye Hua...\I've heard Fourth Uncle and Zhe Yan talk about it.\But speaking of that fan response:	I've heard that Lord of Numinous Treasure gave it to someone.
context: No, that's not right.\He's not the last disciple.\I forgot.\My nephew Ye Hua is actually Lord Yuan Shi's last disciple.\The name Ye Hua...\I've heard Fourth Uncle and Zhe Yan talk about it.\But speaking of that fan\I've heard that Lord of Numinous Treasure gave it to someone. response:	But how did Bai Qian end up with it?
context: He's not the last disciple.\I forgot.\My nephew Ye Hua is actually Lord Yuan Shi's last disciple.\The name Ye Hua...\I've heard Fourth Uncle and Zhe Yan talk about it.\But speaking of that fan\I've heard that Lord of Numinous Treasure gave it to someone.\But how did Bai Qian end up with it? response:	I heard Aunt say that
context: I forgot.\My nephew Ye Hua is actually Lord Yuan Shi's last disciple.\The name Ye Hua...\I've heard Fourth Uncle and Zhe Yan talk about it.\But speaking of that fan\I've heard that Lord of Numinous Treasure gave it to someone.\But how did Bai Qian end up with it?\I heard Aunt say that response:	Lord of Numinous Treasure gave this fan
context: My nephew Ye Hua is actually Lord Yuan Shi's last disciple.\The name Ye Hua...\I've heard Fourth Uncle and Zhe Yan talk about it.\But speaking of that fan\I've heard that Lord of Numinous Treasure gave it to someone.\But how did Bai Qian end up with it?\I heard Aunt say that\Lord of Numinous Treasure gave this fan response:	to the high immortal Si Yin from Kunlun Mountain.
context: The name Ye Hua...\I've heard Fourth Uncle and Zhe Yan talk about it.\But speaking of that fan\I've heard that Lord of Numinous Treasure gave it to someone.\But how did Bai Qian end up with it?\I heard Aunt say that\Lord of Numinous Treasure gave this fan\to the high immortal Si Yin from Kunlun Mountain. response:	Later, Si Yin gave it as a birthday gift to Zhe Yan
context: I've heard Fourth Uncle and Zhe Yan talk about it.\But speaking of that fan\I've heard that Lord of Numinous Treasure gave it to someone.\But how did Bai Qian end up with it?\I heard Aunt say that\Lord of Numinous Treasure gave this fan\to the high immortal Si Yin from Kunlun Mountain.\Later, Si Yin gave it as a birthday gift to Zhe Yan response:	so he sent it over to the Peach Tree Woods.
context: But speaking of that fan\I've heard that Lord of Numinous Treasure gave it to someone.\But how did Bai Qian end up with it?\I heard Aunt say that\Lord of Numinous Treasure gave this fan\to the high immortal Si Yin from Kunlun Mountain.\Later, Si Yin gave it as a birthday gift to Zhe Yan\so he sent it over to the Peach Tree Woods. response:	And then, this cloud clearing fan ended up with Aunt.
context: I've heard that Lord of Numinous Treasure gave it to someone.\But how did Bai Qian end up with it?\I heard Aunt say that\Lord of Numinous Treasure gave this fan\to the high immortal Si Yin from Kunlun Mountain.\Later, Si Yin gave it as a birthday gift to Zhe Yan\so he sent it over to the Peach Tree Woods.\And then, this cloud clearing fan ended up with Aunt. response:	It went through a lot.
context: But how did Bai Qian end up with it?\I heard Aunt say that\Lord of Numinous Treasure gave this fan\to the high immortal Si Yin from Kunlun Mountain.\Later, Si Yin gave it as a birthday gift to Zhe Yan\so he sent it over to the Peach Tree Woods.\And then, this cloud clearing fan ended up with Aunt.\It went through a lot. response:	Later, Aunt gave it to me for another reason.
context: I heard Aunt say that\Lord of Numinous Treasure gave this fan\to the high immortal Si Yin from Kunlun Mountain.\Later, Si Yin gave it as a birthday gift to Zhe Yan\so he sent it over to the Peach Tree Woods.\And then, this cloud clearing fan ended up with Aunt.\It went through a lot.\Later, Aunt gave it to me for another reason. response:	So it was Si Yin.
context: Lord of Numinous Treasure gave this fan\to the high immortal Si Yin from Kunlun Mountain.\Later, Si Yin gave it as a birthday gift to Zhe Yan\so he sent it over to the Peach Tree Woods.\And then, this cloud clearing fan ended up with Aunt.\It went through a lot.\Later, Aunt gave it to me for another reason.\So it was Si Yin. response:	Let's not talk about others.
context: to the high immortal Si Yin from Kunlun Mountain.\Later, Si Yin gave it as a birthday gift to Zhe Yan\so he sent it over to the Peach Tree Woods.\And then, this cloud clearing fan ended up with Aunt.\It went through a lot.\Later, Aunt gave it to me for another reason.\So it was Si Yin.\Let's not talk about others. response:	Shao Xing, listen to me.
context: Later, Si Yin gave it as a birthday gift to Zhe Yan\so he sent it over to the Peach Tree Woods.\And then, this cloud clearing fan ended up with Aunt.\It went through a lot.\Later, Aunt gave it to me for another reason.\So it was Si Yin.\Let's not talk about others.\Shao Xing, listen to me. response:	My marriage with Bai Qian was arranged by Celestial Lord and Fox King.
context: so he sent it over to the Peach Tree Woods.\And then, this cloud clearing fan ended up with Aunt.\It went through a lot.\Later, Aunt gave it to me for another reason.\So it was Si Yin.\Let's not talk about others.\Shao Xing, listen to me.\My marriage with Bai Qian was arranged by Celestial Lord and Fox King. response:	So we must take our time and come up with a way.
context: And then, this cloud clearing fan ended up with Aunt.\It went through a lot.\Later, Aunt gave it to me for another reason.\So it was Si Yin.\Let's not talk about others.\Shao Xing, listen to me.\My marriage with Bai Qian was arranged by Celestial Lord and Fox King.\So we must take our time and come up with a way. response:	Since you were young, you've had a sad life without any family or friends.
context: It went through a lot.\Later, Aunt gave it to me for another reason.\So it was Si Yin.\Let's not talk about others.\Shao Xing, listen to me.\My marriage with Bai Qian was arranged by Celestial Lord and Fox King.\So we must take our time and come up with a way.\Since you were young, you've had a sad life without any family or friends. response:	Even though Bai Qian took you in
context: Later, Aunt gave it to me for another reason.\So it was Si Yin.\Let's not talk about others.\Shao Xing, listen to me.\My marriage with Bai Qian was arranged by Celestial Lord and Fox King.\So we must take our time and come up with a way.\Since you were young, you've had a sad life without any family or friends.\Even though Bai Qian took you in response:	you can't always stay by her side.
context: So it was Si Yin.\Let's not talk about others.\Shao Xing, listen to me.\My marriage with Bai Qian was arranged by Celestial Lord and Fox King.\So we must take our time and come up with a way.\Since you were young, you've had a sad life without any family or friends.\Even though Bai Qian took you in\you can't always stay by her side. response:	According to Qing Qiu's rules
context: Let's not talk about others.\Shao Xing, listen to me.\My marriage with Bai Qian was arranged by Celestial Lord and Fox King.\So we must take our time and come up with a way.\Since you were young, you've had a sad life without any family or friends.\Even though Bai Qian took you in\you can't always stay by her side.\According to Qing Qiu's rules response:	if you get married, she has to be the one to arrange it for you.
context: Shao Xing, listen to me.\My marriage with Bai Qian was arranged by Celestial Lord and Fox King.\So we must take our time and come up with a way.\Since you were young, you've had a sad life without any family or friends.\Even though Bai Qian took you in\you can't always stay by her side.\According to Qing Qiu's rules\if you get married, she has to be the one to arrange it for you. response:	Do you want to spend the rest of your life with a man you don't know?
context: My marriage with Bai Qian was arranged by Celestial Lord and Fox King.\So we must take our time and come up with a way.\Since you were young, you've had a sad life without any family or friends.\Even though Bai Qian took you in\you can't always stay by her side.\According to Qing Qiu's rules\if you get married, she has to be the one to arrange it for you.\Do you want to spend the rest of your life with a man you don't know? response:	No! I won't marry any other man.
context: So we must take our time and come up with a way.\Since you were young, you've had a sad life without any family or friends.\Even though Bai Qian took you in\you can't always stay by her side.\According to Qing Qiu's rules\if you get married, she has to be the one to arrange it for you.\Do you want to spend the rest of your life with a man you don't know?\No! I won't marry any other man. response:	Since Your Highess is the one in my heart
context: Since you were young, you've had a sad life without any family or friends.\Even though Bai Qian took you in\you can't always stay by her side.\According to Qing Qiu's rules\if you get married, she has to be the one to arrange it for you.\Do you want to spend the rest of your life with a man you don't know?\No! I won't marry any other man.\Since Your Highess is the one in my heart response:	I will stay by your side even if it's just as a servant.
context: Even though Bai Qian took you in\you can't always stay by her side.\According to Qing Qiu's rules\if you get married, she has to be the one to arrange it for you.\Do you want to spend the rest of your life with a man you don't know?\No! I won't marry any other man.\Since Your Highess is the one in my heart\I will stay by your side even if it's just as a servant. response:	Since you think that way, then why delay it?
context: you can't always stay by her side.\According to Qing Qiu's rules\if you get married, she has to be the one to arrange it for you.\Do you want to spend the rest of your life with a man you don't know?\No! I won't marry any other man.\Since Your Highess is the one in my heart\I will stay by your side even if it's just as a servant.\Since you think that way, then why delay it? response:	Let's go. Come with me to the Celestial Palace now.
context: According to Qing Qiu's rules\if you get married, she has to be the one to arrange it for you.\Do you want to spend the rest of your life with a man you don't know?\No! I won't marry any other man.\Since Your Highess is the one in my heart\I will stay by your side even if it's just as a servant.\Since you think that way, then why delay it?\Let's go. Come with me to the Celestial Palace now. response:	Second Prince.
context: if you get married, she has to be the one to arrange it for you.\Do you want to spend the rest of your life with a man you don't know?\No! I won't marry any other man.\Since Your Highess is the one in my heart\I will stay by your side even if it's just as a servant.\Since you think that way, then why delay it?\Let's go. Come with me to the Celestial Palace now.\Second Prince. response:	You and I have already been together for a month.
context: Do you want to spend the rest of your life with a man you don't know?\No! I won't marry any other man.\Since Your Highess is the one in my heart\I will stay by your side even if it's just as a servant.\Since you think that way, then why delay it?\Let's go. Come with me to the Celestial Palace now.\Second Prince.\You and I have already been together for a month. response:	Can't you tell how I feel about you?
context: No! I won't marry any other man.\Since Your Highess is the one in my heart\I will stay by your side even if it's just as a servant.\Since you think that way, then why delay it?\Let's go. Come with me to the Celestial Palace now.\Second Prince.\You and I have already been together for a month.\Can't you tell how I feel about you? response:	But I can't betray Aunt.
context: Since Your Highess is the one in my heart\I will stay by your side even if it's just as a servant.\Since you think that way, then why delay it?\Let's go. Come with me to the Celestial Palace now.\Second Prince.\You and I have already been together for a month.\Can't you tell how I feel about you?\But I can't betray Aunt. response:	I've never even seen her.
context: I will stay by your side even if it's just as a servant.\Since you think that way, then why delay it?\Let's go. Come with me to the Celestial Palace now.\Second Prince.\You and I have already been together for a month.\Can't you tell how I feel about you?\But I can't betray Aunt.\I've never even seen her. response:	How is this betraying her?
context: Since you think that way, then why delay it?\Let's go. Come with me to the Celestial Palace now.\Second Prince.\You and I have already been together for a month.\Can't you tell how I feel about you?\But I can't betray Aunt.\I've never even seen her.\How is this betraying her? response:	We're just binded by an arranged marriage.
context: Let's go. Come with me to the Celestial Palace now.\Second Prince.\You and I have already been together for a month.\Can't you tell how I feel about you?\But I can't betray Aunt.\I've never even seen her.\How is this betraying her?\We're just binded by an arranged marriage. response:	Think about it.
context: Second Prince.\You and I have already been together for a month.\Can't you tell how I feel about you?\But I can't betray Aunt.\I've never even seen her.\How is this betraying her?\We're just binded by an arranged marriage.\Think about it. response:	If it wasn't because she wouldn't meet with me this whole month
context: You and I have already been together for a month.\Can't you tell how I feel about you?\But I can't betray Aunt.\I've never even seen her.\How is this betraying her?\We're just binded by an arranged marriage.\Think about it.\If it wasn't because she wouldn't meet with me this whole month response:	I wouldn't have had the chance to get to know you at Qing Qiu Fox Den.
context: Can't you tell how I feel about you?\But I can't betray Aunt.\I've never even seen her.\How is this betraying her?\We're just binded by an arranged marriage.\Think about it.\If it wasn't because she wouldn't meet with me this whole month\I wouldn't have had the chance to get to know you at Qing Qiu Fox Den. response:	Isn't this fate?
context: But I can't betray Aunt.\I've never even seen her.\How is this betraying her?\We're just binded by an arranged marriage.\Think about it.\If it wasn't because she wouldn't meet with me this whole month\I wouldn't have had the chance to get to know you at Qing Qiu Fox Den.\Isn't this fate? response:	I will protect you from now on.
context: I've never even seen her.\How is this betraying her?\We're just binded by an arranged marriage.\Think about it.\If it wasn't because she wouldn't meet with me this whole month\I wouldn't have had the chance to get to know you at Qing Qiu Fox Den.\Isn't this fate?\I will protect you from now on. response:	I won't let you be a servant.
context: How is this betraying her?\We're just binded by an arranged marriage.\Think about it.\If it wasn't because she wouldn't meet with me this whole month\I wouldn't have had the chance to get to know you at Qing Qiu Fox Den.\Isn't this fate?\I will protect you from now on.\I won't let you be a servant. response:	I will marry you.
context: We're just binded by an arranged marriage.\Think about it.\If it wasn't because she wouldn't meet with me this whole month\I wouldn't have had the chance to get to know you at Qing Qiu Fox Den.\Isn't this fate?\I will protect you from now on.\I won't let you be a servant.\I will marry you. response:	I will see you out on behalf of Aunt.
context: Think about it.\If it wasn't because she wouldn't meet with me this whole month\I wouldn't have had the chance to get to know you at Qing Qiu Fox Den.\Isn't this fate?\I will protect you from now on.\I won't let you be a servant.\I will marry you.\I will see you out on behalf of Aunt. response:	We've finally gotten rid of that VIP.
context: If it wasn't because she wouldn't meet with me this whole month\I wouldn't have had the chance to get to know you at Qing Qiu Fox Den.\Isn't this fate?\I will protect you from now on.\I won't let you be a servant.\I will marry you.\I will see you out on behalf of Aunt.\We've finally gotten rid of that VIP. response:	Shao Xing, hurry and tidy up.
context: I wouldn't have had the chance to get to know you at Qing Qiu Fox Den.\Isn't this fate?\I will protect you from now on.\I won't let you be a servant.\I will marry you.\I will see you out on behalf of Aunt.\We've finally gotten rid of that VIP.\Shao Xing, hurry and tidy up. response:	I'll go to the Peach Tree Woods to get Aunt.
context: Isn't this fate?\I will protect you from now on.\I won't let you be a servant.\I will marry you.\I will see you out on behalf of Aunt.\We've finally gotten rid of that VIP.\Shao Xing, hurry and tidy up.\I'll go to the Peach Tree Woods to get Aunt. response:	Shao Xing?
context: I will protect you from now on.\I won't let you be a servant.\I will marry you.\I will see you out on behalf of Aunt.\We've finally gotten rid of that VIP.\Shao Xing, hurry and tidy up.\I'll go to the Peach Tree Woods to get Aunt.\Shao Xing? response:	Shao Xing?
context: I won't let you be a servant.\I will marry you.\I will see you out on behalf of Aunt.\We've finally gotten rid of that VIP.\Shao Xing, hurry and tidy up.\I'll go to the Peach Tree Woods to get Aunt.\Shao Xing?\Shao Xing? response:	Where did she go?
context: I will marry you.\I will see you out on behalf of Aunt.\We've finally gotten rid of that VIP.\Shao Xing, hurry and tidy up.\I'll go to the Peach Tree Woods to get Aunt.\Shao Xing?\Shao Xing?\Where did she go? response:	Second Prince.
context: I will see you out on behalf of Aunt.\We've finally gotten rid of that VIP.\Shao Xing, hurry and tidy up.\I'll go to the Peach Tree Woods to get Aunt.\Shao Xing?\Shao Xing?\Where did she go?\Second Prince. response:	Second Uncle.
context: We've finally gotten rid of that VIP.\Shao Xing, hurry and tidy up.\I'll go to the Peach Tree Woods to get Aunt.\Shao Xing?\Shao Xing?\Where did she go?\Second Prince.\Second Uncle. response:	Crown Prince.
context: Shao Xing, hurry and tidy up.\I'll go to the Peach Tree Woods to get Aunt.\Shao Xing?\Shao Xing?\Where did she go?\Second Prince.\Second Uncle.\Crown Prince. response:	Has Heavenly Lord been back to the Palace in the past few days?
context: I'll go to the Peach Tree Woods to get Aunt.\Shao Xing?\Shao Xing?\Where did she go?\Second Prince.\Second Uncle.\Crown Prince.\Has Heavenly Lord been back to the Palace in the past few days? response:	I heard he came back today.
context: Shao Xing?\Shao Xing?\Where did she go?\Second Prince.\Second Uncle.\Crown Prince.\Has Heavenly Lord been back to the Palace in the past few days?\I heard he came back today. response:	Third Uncle.
context: Shao Xing?\Where did she go?\Second Prince.\Second Uncle.\Crown Prince.\Has Heavenly Lord been back to the Palace in the past few days?\I heard he came back today.\Third Uncle. response:	You wanted to see me?
context: Where did she go?\Second Prince.\Second Uncle.\Crown Prince.\Has Heavenly Lord been back to the Palace in the past few days?\I heard he came back today.\Third Uncle.\You wanted to see me? response:	The memos to the emperor the past few days
context: Second Prince.\Second Uncle.\Crown Prince.\Has Heavenly Lord been back to the Palace in the past few days?\I heard he came back today.\Third Uncle.\You wanted to see me?\The memos to the emperor the past few days response:	all talk about disasters in Zhong Rong State.
context: Second Uncle.\Crown Prince.\Has Heavenly Lord been back to the Palace in the past few days?\I heard he came back today.\Third Uncle.\You wanted to see me?\The memos to the emperor the past few days\all talk about disasters in Zhong Rong State. response:	I was wondering if you knew anything about the Scarlet Flame Golden Tiger.
context: Crown Prince.\Has Heavenly Lord been back to the Palace in the past few days?\I heard he came back today.\Third Uncle.\You wanted to see me?\The memos to the emperor the past few days\all talk about disasters in Zhong Rong State.\I was wondering if you knew anything about the Scarlet Flame Golden Tiger. response:	Huh?
context: Has Heavenly Lord been back to the Palace in the past few days?\I heard he came back today.\Third Uncle.\You wanted to see me?\The memos to the emperor the past few days\all talk about disasters in Zhong Rong State.\I was wondering if you knew anything about the Scarlet Flame Golden Tiger.\Huh? response:	Scarlet Flame Golden Tiger was Qing Cang's underling.
context: I heard he came back today.\Third Uncle.\You wanted to see me?\The memos to the emperor the past few days\all talk about disasters in Zhong Rong State.\I was wondering if you knew anything about the Scarlet Flame Golden Tiger.\Huh?\Scarlet Flame Golden Tiger was Qing Cang's underling. response:	After Qing Cang was sealed in the Bell of the Eastern Emperor 70,000 years ago
context: Third Uncle.\You wanted to see me?\The memos to the emperor the past few days\all talk about disasters in Zhong Rong State.\I was wondering if you knew anything about the Scarlet Flame Golden Tiger.\Huh?\Scarlet Flame Golden Tiger was Qing Cang's underling.\After Qing Cang was sealed in the Bell of the Eastern Emperor 70,000 years ago response:	he disappeared without a trace.
context: You wanted to see me?\The memos to the emperor the past few days\all talk about disasters in Zhong Rong State.\I was wondering if you knew anything about the Scarlet Flame Golden Tiger.\Huh?\Scarlet Flame Golden Tiger was Qing Cang's underling.\After Qing Cang was sealed in the Bell of the Eastern Emperor 70,000 years ago\he disappeared without a trace. response:	He only reappeared today at Mount Junji of the Far East in Zhong Rong State.
context: The memos to the emperor the past few days\all talk about disasters in Zhong Rong State.\I was wondering if you knew anything about the Scarlet Flame Golden Tiger.\Huh?\Scarlet Flame Golden Tiger was Qing Cang's underling.\After Qing Cang was sealed in the Bell of the Eastern Emperor 70,000 years ago\he disappeared without a trace.\He only reappeared today at Mount Junji of the Far East in Zhong Rong State. response:	This beast is fierce, belligerent, and recklessly wreaks havoc.
context: all talk about disasters in Zhong Rong State.\I was wondering if you knew anything about the Scarlet Flame Golden Tiger.\Huh?\Scarlet Flame Golden Tiger was Qing Cang's underling.\After Qing Cang was sealed in the Bell of the Eastern Emperor 70,000 years ago\he disappeared without a trace.\He only reappeared today at Mount Junji of the Far East in Zhong Rong State.\This beast is fierce, belligerent, and recklessly wreaks havoc. response:	Not only has he caused Zhong Rong State to be in a ten year drought
context: I was wondering if you knew anything about the Scarlet Flame Golden Tiger.\Huh?\Scarlet Flame Golden Tiger was Qing Cang's underling.\After Qing Cang was sealed in the Bell of the Eastern Emperor 70,000 years ago\he disappeared without a trace.\He only reappeared today at Mount Junji of the Far East in Zhong Rong State.\This beast is fierce, belligerent, and recklessly wreaks havoc.\Not only has he caused Zhong Rong State to be in a ten year drought response:	but he also captured Zhong Rong State's queen.
context: Huh?\Scarlet Flame Golden Tiger was Qing Cang's underling.\After Qing Cang was sealed in the Bell of the Eastern Emperor 70,000 years ago\he disappeared without a trace.\He only reappeared today at Mount Junji of the Far East in Zhong Rong State.\This beast is fierce, belligerent, and recklessly wreaks havoc.\Not only has he caused Zhong Rong State to be in a ten year drought\but he also captured Zhong Rong State's queen. response:	The king was so ashamed that he killed himself.
context: Scarlet Flame Golden Tiger was Qing Cang's underling.\After Qing Cang was sealed in the Bell of the Eastern Emperor 70,000 years ago\he disappeared without a trace.\He only reappeared today at Mount Junji of the Far East in Zhong Rong State.\This beast is fierce, belligerent, and recklessly wreaks havoc.\Not only has he caused Zhong Rong State to be in a ten year drought\but he also captured Zhong Rong State's queen.\The king was so ashamed that he killed himself. response:	What a pity. Then?
context: After Qing Cang was sealed in the Bell of the Eastern Emperor 70,000 years ago\he disappeared without a trace.\He only reappeared today at Mount Junji of the Far East in Zhong Rong State.\This beast is fierce, belligerent, and recklessly wreaks havoc.\Not only has he caused Zhong Rong State to be in a ten year drought\but he also captured Zhong Rong State's queen.\The king was so ashamed that he killed himself.\What a pity. Then? response:	That king was an immortal appointed by Dong Hua Dijun.
context: he disappeared without a trace.\He only reappeared today at Mount Junji of the Far East in Zhong Rong State.\This beast is fierce, belligerent, and recklessly wreaks havoc.\Not only has he caused Zhong Rong State to be in a ten year drought\but he also captured Zhong Rong State's queen.\The king was so ashamed that he killed himself.\What a pity. Then?\That king was an immortal appointed by Dong Hua Dijun. response:	He came to Celestial Palace after death
context: He only reappeared today at Mount Junji of the Far East in Zhong Rong State.\This beast is fierce, belligerent, and recklessly wreaks havoc.\Not only has he caused Zhong Rong State to be in a ten year drought\but he also captured Zhong Rong State's queen.\The king was so ashamed that he killed himself.\What a pity. Then?\That king was an immortal appointed by Dong Hua Dijun.\He came to Celestial Palace after death response:	and told us all the details of Scarlet Flame Golden Tiger's evil.
context: This beast is fierce, belligerent, and recklessly wreaks havoc.\Not only has he caused Zhong Rong State to be in a ten year drought\but he also captured Zhong Rong State's queen.\The king was so ashamed that he killed himself.\What a pity. Then?\That king was an immortal appointed by Dong Hua Dijun.\He came to Celestial Palace after death\and told us all the details of Scarlet Flame Golden Tiger's evil. response:	You wanted to see me because of this?
context: Not only has he caused Zhong Rong State to be in a ten year drought\but he also captured Zhong Rong State's queen.\The king was so ashamed that he killed himself.\What a pity. Then?\That king was an immortal appointed by Dong Hua Dijun.\He came to Celestial Palace after death\and told us all the details of Scarlet Flame Golden Tiger's evil.\You wanted to see me because of this? response:	From when you turned 50,000, you've gone through all the memos to the emporer.
context: but he also captured Zhong Rong State's queen.\The king was so ashamed that he killed himself.\What a pity. Then?\That king was an immortal appointed by Dong Hua Dijun.\He came to Celestial Palace after death\and told us all the details of Scarlet Flame Golden Tiger's evil.\You wanted to see me because of this?\From when you turned 50,000, you've gone through all the memos to the emporer. response:	You never spoke much to me.
context: The king was so ashamed that he killed himself.\What a pity. Then?\That king was an immortal appointed by Dong Hua Dijun.\He came to Celestial Palace after death\and told us all the details of Scarlet Flame Golden Tiger's evil.\You wanted to see me because of this?\From when you turned 50,000, you've gone through all the memos to the emporer.\You never spoke much to me. response:	What's with you today?
