context: You were late today, Ebata. response:	I apologize.
context: G-Gee, I'm not sure.\We can't go home yet.\He's far too involved in this to call him an outsider.\I'll allow Uesugi-kun back into the home,\and ask him to continue tutoring.\But he'll be working alongside a professional tutor.\He'll be acting as her support.\But we're all working so hard. response:	Do you even suppose, if Uesugi-kun was brought back in as your tutor as before,
context: We can't go home yet.\He's far too involved in this to call him an outsider.\I'll allow Uesugi-kun back into the home,\and ask him to continue tutoring.\But he'll be working alongside a professional tutor.\He'll be acting as her support.\But we're all working so hard.\Do you even suppose, if Uesugi-kun was brought back in as your tutor as before, response:	that Yotsuba-kun could earn a passing grade?
context: He's far too involved in this to call him an outsider.\I'll allow Uesugi-kun back into the home,\and ask him to continue tutoring.\But he'll be working alongside a professional tutor.\He'll be acting as her support.\But we're all working so hard.\Do you even suppose, if Uesugi-kun was brought back in as your tutor as before,\that Yotsuba-kun could earn a passing grade? response:	From what I've seen of her grades in the second term, I have very little hope.
context: I'll allow Uesugi-kun back into the home,\and ask him to continue tutoring.\But he'll be working alongside a professional tutor.\He'll be acting as her support.\But we're all working so hard.\Do you even suppose, if Uesugi-kun was brought back in as your tutor as before,\that Yotsuba-kun could earn a passing grade?\From what I've seen of her grades in the second term, I have very little hope. response:	No.
context: and ask him to continue tutoring.\But he'll be working alongside a professional tutor.\He'll be acting as her support.\But we're all working so hard.\Do you even suppose, if Uesugi-kun was brought back in as your tutor as before,\that Yotsuba-kun could earn a passing grade?\From what I've seen of her grades in the second term, I have very little hope.\No. response:	You'll only make things worse if you go.
context: But he'll be working alongside a professional tutor.\He'll be acting as her support.\But we're all working so hard.\Do you even suppose, if Uesugi-kun was brought back in as your tutor as before,\that Yotsuba-kun could earn a passing grade?\From what I've seen of her grades in the second term, I have very little hope.\No.\You'll only make things worse if you go. response:	But...
context: He'll be acting as her support.\But we're all working so hard.\Do you even suppose, if Uesugi-kun was brought back in as your tutor as before,\that Yotsuba-kun could earn a passing grade?\From what I've seen of her grades in the second term, I have very little hope.\No.\You'll only make things worse if you go.\But... response:	Y-You're right.
context: But we're all working so hard.\Do you even suppose, if Uesugi-kun was brought back in as your tutor as before,\that Yotsuba-kun could earn a passing grade?\From what I've seen of her grades in the second term, I have very little hope.\No.\You'll only make things worse if you go.\But...\Y-You're right. response:	We'll have a better chance with two tutors.
context: Do you even suppose, if Uesugi-kun was brought back in as your tutor as before,\that Yotsuba-kun could earn a passing grade?\From what I've seen of her grades in the second term, I have very little hope.\No.\You'll only make things worse if you go.\But...\Y-You're right.\We'll have a better chance with two tutors. response:	We can do it.
context: that Yotsuba-kun could earn a passing grade?\From what I've seen of her grades in the second term, I have very little hope.\No.\You'll only make things worse if you go.\But...\Y-You're right.\We'll have a better chance with two tutors.\We can do it. response:	Yotsuba!
context: From what I've seen of her grades in the second term, I have very little hope.\No.\You'll only make things worse if you go.\But...\Y-You're right.\We'll have a better chance with two tutors.\We can do it.\Yotsuba! response:	Uesugi-san and the five of us can do it.
context: No.\You'll only make things worse if you go.\But...\Y-You're right.\We'll have a better chance with two tutors.\We can do it.\Yotsuba!\Uesugi-san and the five of us can do it. response:	I want the six of us to pull it off.
context: You'll only make things worse if you go.\But...\Y-You're right.\We'll have a better chance with two tutors.\We can do it.\Yotsuba!\Uesugi-san and the five of us can do it.\I want the six of us to pull it off. response:	So please, believe in us.
context: But...\Y-You're right.\We'll have a better chance with two tutors.\We can do it.\Yotsuba!\Uesugi-san and the five of us can do it.\I want the six of us to pull it off.\So please, believe in us. response:	We won't make the same mistake again.
context: Y-You're right.\We'll have a better chance with two tutors.\We can do it.\Yotsuba!\Uesugi-san and the five of us can do it.\I want the six of us to pull it off.\So please, believe in us.\We won't make the same mistake again. response:	And if you do?
context: We'll have a better chance with two tutors.\We can do it.\Yotsuba!\Uesugi-san and the five of us can do it.\I want the six of us to pull it off.\So please, believe in us.\We won't make the same mistake again.\And if you do? response:	I would rather not say this out loud,
context: We can do it.\Yotsuba!\Uesugi-san and the five of us can do it.\I want the six of us to pull it off.\So please, believe in us.\We won't make the same mistake again.\And if you do?\I would rather not say this out loud, response:	but I've made an arrangement with an acquaintance
context: Yotsuba!\Uesugi-san and the five of us can do it.\I want the six of us to pull it off.\So please, believe in us.\We won't make the same mistake again.\And if you do?\I would rather not say this out loud,\but I've made an arrangement with an acquaintance response:	who is a board member at a high school that would allow you to enroll as third-years.
context: Uesugi-san and the five of us can do it.\I want the six of us to pull it off.\So please, believe in us.\We won't make the same mistake again.\And if you do?\I would rather not say this out loud,\but I've made an arrangement with an acquaintance\who is a board member at a high school that would allow you to enroll as third-years. response:	If you fail on the next exam, I'll have you transfer to that school.
context: I want the six of us to pull it off.\So please, believe in us.\We won't make the same mistake again.\And if you do?\I would rather not say this out loud,\but I've made an arrangement with an acquaintance\who is a board member at a high school that would allow you to enroll as third-years.\If you fail on the next exam, I'll have you transfer to that school. response:	If you insist on doing things your way, the responsibility is all yours.
context: So please, believe in us.\We won't make the same mistake again.\And if you do?\I would rather not say this out loud,\but I've made an arrangement with an acquaintance\who is a board member at a high school that would allow you to enroll as third-years.\If you fail on the next exam, I'll have you transfer to that school.\If you insist on doing things your way, the responsibility is all yours. response:	I hope you understand.
context: We won't make the same mistake again.\And if you do?\I would rather not say this out loud,\but I've made an arrangement with an acquaintance\who is a board member at a high school that would allow you to enroll as third-years.\If you fail on the next exam, I'll have you transfer to that school.\If you insist on doing things your way, the responsibility is all yours.\I hope you understand. response:	Understood.
context: And if you do?\I would rather not say this out loud,\but I've made an arrangement with an acquaintance\who is a board member at a high school that would allow you to enroll as third-years.\If you fail on the next exam, I'll have you transfer to that school.\If you insist on doing things your way, the responsibility is all yours.\I hope you understand.\Understood. response:	I knew you would, Itsuki-kun.
context: I would rather not say this out loud,\but I've made an arrangement with an acquaintance\who is a board member at a high school that would allow you to enroll as third-years.\If you fail on the next exam, I'll have you transfer to that school.\If you insist on doing things your way, the responsibility is all yours.\I hope you understand.\Understood.\I knew you would, Itsuki-kun. response:	Then I'll finalize the arrangements.
context: but I've made an arrangement with an acquaintance\who is a board member at a high school that would allow you to enroll as third-years.\If you fail on the next exam, I'll have you transfer to that school.\If you insist on doing things your way, the responsibility is all yours.\I hope you understand.\Understood.\I knew you would, Itsuki-kun.\Then I'll finalize the arrangements. response:	No.
context: who is a board member at a high school that would allow you to enroll as third-years.\If you fail on the next exam, I'll have you transfer to that school.\If you insist on doing things your way, the responsibility is all yours.\I hope you understand.\Understood.\I knew you would, Itsuki-kun.\Then I'll finalize the arrangements.\No. response:	We'll accept the condition that we transfer schools if we don't make it.
context: If you fail on the next exam, I'll have you transfer to that school.\If you insist on doing things your way, the responsibility is all yours.\I hope you understand.\Understood.\I knew you would, Itsuki-kun.\Then I'll finalize the arrangements.\No.\We'll accept the condition that we transfer schools if we don't make it. response:	I'm sorry I'm not an amenable, understanding, intelligent child.
context: If you insist on doing things your way, the responsibility is all yours.\I hope you understand.\Understood.\I knew you would, Itsuki-kun.\Then I'll finalize the arrangements.\No.\We'll accept the condition that we transfer schools if we don't make it.\I'm sorry I'm not an amenable, understanding, intelligent child. response:	It seems that the duty of a parent is to hear the selfish demands of their children.
context: I hope you understand.\Understood.\I knew you would, Itsuki-kun.\Then I'll finalize the arrangements.\No.\We'll accept the condition that we transfer schools if we don't make it.\I'm sorry I'm not an amenable, understanding, intelligent child.\It seems that the duty of a parent is to hear the selfish demands of their children. response:	And it's also the duty of a parent to scold their selfishness.
context: Understood.\I knew you would, Itsuki-kun.\Then I'll finalize the arrangements.\No.\We'll accept the condition that we transfer schools if we don't make it.\I'm sorry I'm not an amenable, understanding, intelligent child.\It seems that the duty of a parent is to hear the selfish demands of their children.\And it's also the duty of a parent to scold their selfishness. response:	This is your last chance.
context: I knew you would, Itsuki-kun.\Then I'll finalize the arrangements.\No.\We'll accept the condition that we transfer schools if we don't make it.\I'm sorry I'm not an amenable, understanding, intelligent child.\It seems that the duty of a parent is to hear the selfish demands of their children.\And it's also the duty of a parent to scold their selfishness.\This is your last chance. response:	The Last Exam
context: Then I'll finalize the arrangements.\No.\We'll accept the condition that we transfer schools if we don't make it.\I'm sorry I'm not an amenable, understanding, intelligent child.\It seems that the duty of a parent is to hear the selfish demands of their children.\And it's also the duty of a parent to scold their selfishness.\This is your last chance.\The Last Exam response:	The Last Exam.
