context: Don't try to remember. response:	He doesn't
context: No, we aren't partners anymore.\We aren't doing lessons very often anymore, so I can't deny that.\But I've been hired to tutor until you guys graduate.\Until then, as your tutor, I'll...\We're through with that.\Let's put an end to this relationship.\Huh?\What are you talking about? response:	Tell me what's going on!
context: We aren't doing lessons very often anymore, so I can't deny that.\But I've been hired to tutor until you guys graduate.\Until then, as your tutor, I'll...\We're through with that.\Let's put an end to this relationship.\Huh?\What are you talking about?\Tell me what's going on! response:	Ow.
context: But I've been hired to tutor until you guys graduate.\Until then, as your tutor, I'll...\We're through with that.\Let's put an end to this relationship.\Huh?\What are you talking about?\Tell me what's going on!\Ow. response:	Did your father tell you to do this?
context: Until then, as your tutor, I'll...\We're through with that.\Let's put an end to this relationship.\Huh?\What are you talking about?\Tell me what's going on!\Ow.\Did your father tell you to do this? response:	Why would you say that now?
context: We're through with that.\Let's put an end to this relationship.\Huh?\What are you talking about?\Tell me what's going on!\Ow.\Did your father tell you to do this?\Why would you say that now? response:	Old man...
context: Let's put an end to this relationship.\Huh?\What are you talking about?\Tell me what's going on!\Ow.\Did your father tell you to do this?\Why would you say that now?\Old man... response:	I thought you were dead.
context: Huh?\What are you talking about?\Tell me what's going on!\Ow.\Did your father tell you to do this?\Why would you say that now?\Old man...\I thought you were dead. response:	Huh? Say what?
context: What are you talking about?\Tell me what's going on!\Ow.\Did your father tell you to do this?\Why would you say that now?\Old man...\I thought you were dead.\Huh? Say what? response:	Don't you dare lay a hand on my granddaughter.
context: Tell me what's going on!\Ow.\Did your father tell you to do this?\Why would you say that now?\Old man...\I thought you were dead.\Huh? Say what?\Don't you dare lay a hand on my granddaughter. response:	I'll kill you.
context: Ow.\Did your father tell you to do this?\Why would you say that now?\Old man...\I thought you were dead.\Huh? Say what?\Don't you dare lay a hand on my granddaughter.\I'll kill you. response:	Screw this noise.
context: Did your father tell you to do this?\Why would you say that now?\Old man...\I thought you were dead.\Huh? Say what?\Don't you dare lay a hand on my granddaughter.\I'll kill you.\Screw this noise. response:	I want to go home.
context: Why would you say that now?\Old man...\I thought you were dead.\Huh? Say what?\Don't you dare lay a hand on my granddaughter.\I'll kill you.\Screw this noise.\I want to go home. response:	Onii-chan!
context: Old man...\I thought you were dead.\Huh? Say what?\Don't you dare lay a hand on my granddaughter.\I'll kill you.\Screw this noise.\I want to go home.\Onii-chan! response:	It's morning!
context: I thought you were dead.\Huh? Say what?\Don't you dare lay a hand on my granddaughter.\I'll kill you.\Screw this noise.\I want to go home.\Onii-chan!\It's morning! response:	Wake up!
context: Huh? Say what?\Don't you dare lay a hand on my granddaughter.\I'll kill you.\Screw this noise.\I want to go home.\Onii-chan!\It's morning!\Wake up! response:	What?
context: Don't you dare lay a hand on my granddaughter.\I'll kill you.\Screw this noise.\I want to go home.\Onii-chan!\It's morning!\Wake up!\What? response:	Let me keep sleeping.
context: I'll kill you.\Screw this noise.\I want to go home.\Onii-chan!\It's morning!\Wake up!\What?\Let me keep sleeping. response:	I'm going to sleep forever and fly off into the future.
context: Screw this noise.\I want to go home.\Onii-chan!\It's morning!\Wake up!\What?\Let me keep sleeping.\I'm going to sleep forever and fly off into the future. response:	Jeez.
context: I want to go home.\Onii-chan!\It's morning!\Wake up!\What?\Let me keep sleeping.\I'm going to sleep forever and fly off into the future.\Jeez. response:	Hello?
context: Onii-chan!\It's morning!\Wake up!\What?\Let me keep sleeping.\I'm going to sleep forever and fly off into the future.\Jeez.\Hello? response:	Onii-chan's flying off into the future.
context: It's morning!\Wake up!\What?\Let me keep sleeping.\I'm going to sleep forever and fly off into the future.\Jeez.\Hello?\Onii-chan's flying off into the future. response:	Sorry to disappoint you, Itsuki-san.
context: Wake up!\What?\Let me keep sleeping.\I'm going to sleep forever and fly off into the future.\Jeez.\Hello?\Onii-chan's flying off into the future.\Sorry to disappoint you, Itsuki-san. response:	Good morning!
context: What?\Let me keep sleeping.\I'm going to sleep forever and fly off into the future.\Jeez.\Hello?\Onii-chan's flying off into the future.\Sorry to disappoint you, Itsuki-san.\Good morning! response:	Itsuki! What was that about yesterday?
context: Let me keep sleeping.\I'm going to sleep forever and fly off into the future.\Jeez.\Hello?\Onii-chan's flying off into the future.\Sorry to disappoint you, Itsuki-san.\Good morning!\Itsuki! What was that about yesterday? response:	That's what I'd like to ask you!
context: I'm going to sleep forever and fly off into the future.\Jeez.\Hello?\Onii-chan's flying off into the future.\Sorry to disappoint you, Itsuki-san.\Good morning!\Itsuki! What was that about yesterday?\That's what I'd like to ask you! response:	Why didn't you come to the courtyard?
context: Jeez.\Hello?\Onii-chan's flying off into the future.\Sorry to disappoint you, Itsuki-san.\Good morning!\Itsuki! What was that about yesterday?\That's what I'd like to ask you!\Why didn't you come to the courtyard? response:	Hey, what's going on?
context: Hello?\Onii-chan's flying off into the future.\Sorry to disappoint you, Itsuki-san.\Good morning!\Itsuki! What was that about yesterday?\That's what I'd like to ask you!\Why didn't you come to the courtyard?\Hey, what's going on? response:	Give me a second.
context: Onii-chan's flying off into the future.\Sorry to disappoint you, Itsuki-san.\Good morning!\Itsuki! What was that about yesterday?\That's what I'd like to ask you!\Why didn't you come to the courtyard?\Hey, what's going on?\Give me a second. response:	Let's meet up to talk.
context: Sorry to disappoint you, Itsuki-san.\Good morning!\Itsuki! What was that about yesterday?\That's what I'd like to ask you!\Why didn't you come to the courtyard?\Hey, what's going on?\Give me a second.\Let's meet up to talk. response:	I would love to, but we're being watched carefully to make sure we don't see you.
context: Good morning!\Itsuki! What was that about yesterday?\That's what I'd like to ask you!\Why didn't you come to the courtyard?\Hey, what's going on?\Give me a second.\Let's meet up to talk.\I would love to, but we're being watched carefully to make sure we don't see you. response:	I don't think I can get out.
context: Itsuki! What was that about yesterday?\That's what I'd like to ask you!\Why didn't you come to the courtyard?\Hey, what's going on?\Give me a second.\Let's meet up to talk.\I would love to, but we're being watched carefully to make sure we don't see you.\I don't think I can get out. response:	There's a good place, then.
context: That's what I'd like to ask you!\Why didn't you come to the courtyard?\Hey, what's going on?\Give me a second.\Let's meet up to talk.\I would love to, but we're being watched carefully to make sure we don't see you.\I don't think I can get out.\There's a good place, then. response:	Demiglace.
context: Why didn't you come to the courtyard?\Hey, what's going on?\Give me a second.\Let's meet up to talk.\I would love to, but we're being watched carefully to make sure we don't see you.\I don't think I can get out.\There's a good place, then.\Demiglace. response:	H-Hamburg steak.
context: Hey, what's going on?\Give me a second.\Let's meet up to talk.\I would love to, but we're being watched carefully to make sure we don't see you.\I don't think I can get out.\There's a good place, then.\Demiglace.\H-Hamburg steak. response:	Okay, seems like you're the real Itsuki this time.
context: Give me a second.\Let's meet up to talk.\I would love to, but we're being watched carefully to make sure we don't see you.\I don't think I can get out.\There's a good place, then.\Demiglace.\H-Hamburg steak.\Okay, seems like you're the real Itsuki this time. response:	Yesterday, I met you at the front desk, and I was told to stop tutoring.
context: Let's meet up to talk.\I would love to, but we're being watched carefully to make sure we don't see you.\I don't think I can get out.\There's a good place, then.\Demiglace.\H-Hamburg steak.\Okay, seems like you're the real Itsuki this time.\Yesterday, I met you at the front desk, and I was told to stop tutoring. response:	So that wasn't you, then, was it?
context: I would love to, but we're being watched carefully to make sure we don't see you.\I don't think I can get out.\There's a good place, then.\Demiglace.\H-Hamburg steak.\Okay, seems like you're the real Itsuki this time.\Yesterday, I met you at the front desk, and I was told to stop tutoring.\So that wasn't you, then, was it? response:	It wasn't.
context: I don't think I can get out.\There's a good place, then.\Demiglace.\H-Hamburg steak.\Okay, seems like you're the real Itsuki this time.\Yesterday, I met you at the front desk, and I was told to stop tutoring.\So that wasn't you, then, was it?\It wasn't. response:	It could only have been one of my sisters.
context: There's a good place, then.\Demiglace.\H-Hamburg steak.\Okay, seems like you're the real Itsuki this time.\Yesterday, I met you at the front desk, and I was told to stop tutoring.\So that wasn't you, then, was it?\It wasn't.\It could only have been one of my sisters. response:	It's settled, then.
context: Demiglace.\H-Hamburg steak.\Okay, seems like you're the real Itsuki this time.\Yesterday, I met you at the front desk, and I was told to stop tutoring.\So that wasn't you, then, was it?\It wasn't.\It could only have been one of my sisters.\It's settled, then. response:	One of them is rejecting me.
context: H-Hamburg steak.\Okay, seems like you're the real Itsuki this time.\Yesterday, I met you at the front desk, and I was told to stop tutoring.\So that wasn't you, then, was it?\It wasn't.\It could only have been one of my sisters.\It's settled, then.\One of them is rejecting me. response:	Did any of them seem suspicious?
context: Okay, seems like you're the real Itsuki this time.\Yesterday, I met you at the front desk, and I was told to stop tutoring.\So that wasn't you, then, was it?\It wasn't.\It could only have been one of my sisters.\It's settled, then.\One of them is rejecting me.\Did any of them seem suspicious? response:	Why did they disguise themselves as you?
context: Yesterday, I met you at the front desk, and I was told to stop tutoring.\So that wasn't you, then, was it?\It wasn't.\It could only have been one of my sisters.\It's settled, then.\One of them is rejecting me.\Did any of them seem suspicious?\Why did they disguise themselves as you? response:	Oh, about that...
context: So that wasn't you, then, was it?\It wasn't.\It could only have been one of my sisters.\It's settled, then.\One of them is rejecting me.\Did any of them seem suspicious?\Why did they disguise themselves as you?\Oh, about that... response:	Wow.
context: It wasn't.\It could only have been one of my sisters.\It's settled, then.\One of them is rejecting me.\Did any of them seem suspicious?\Why did they disguise themselves as you?\Oh, about that...\Wow. response:	We seem to bump into each other in the bath a lot.
context: It could only have been one of my sisters.\It's settled, then.\One of them is rejecting me.\Did any of them seem suspicious?\Why did they disguise themselves as you?\Oh, about that...\Wow.\We seem to bump into each other in the bath a lot. response:	Nino?!
context: It's settled, then.\One of them is rejecting me.\Did any of them seem suspicious?\Why did they disguise themselves as you?\Oh, about that...\Wow.\We seem to bump into each other in the bath a lot.\Nino?! response:	Why...
context: One of them is rejecting me.\Did any of them seem suspicious?\Why did they disguise themselves as you?\Oh, about that...\Wow.\We seem to bump into each other in the bath a lot.\Nino?!\Why... response:	Since we're here together...
context: Did any of them seem suspicious?\Why did they disguise themselves as you?\Oh, about that...\Wow.\We seem to bump into each other in the bath a lot.\Nino?!\Why...\Since we're here together... response:	Want me to wash you or something?
context: Why did they disguise themselves as you?\Oh, about that...\Wow.\We seem to bump into each other in the bath a lot.\Nino?!\Why...\Since we're here together...\Want me to wash you or something? response:	H-Hang on a second!
context: Oh, about that...\Wow.\We seem to bump into each other in the bath a lot.\Nino?!\Why...\Since we're here together...\Want me to wash you or something?\H-Hang on a second! response:	Let me ask you one thing...
context: Wow.\We seem to bump into each other in the bath a lot.\Nino?!\Why...\Since we're here together...\Want me to wash you or something?\H-Hang on a second!\Let me ask you one thing... response:	Who are you?
context: We seem to bump into each other in the bath a lot.\Nino?!\Why...\Since we're here together...\Want me to wash you or something?\H-Hang on a second!\Let me ask you one thing...\Who are you? response:	You aren't Itsuki...
context: Nino?!\Why...\Since we're here together...\Want me to wash you or something?\H-Hang on a second!\Let me ask you one thing...\Who are you?\You aren't Itsuki... response:	Which means...
context: Why...\Since we're here together...\Want me to wash you or something?\H-Hang on a second!\Let me ask you one thing...\Who are you?\You aren't Itsuki...\Which means... response:	No, wait...
context: Since we're here together...\Want me to wash you or something?\H-Hang on a second!\Let me ask you one thing...\Who are you?\You aren't Itsuki...\Which means...\No, wait... response:	Jerk!
context: Want me to wash you or something?\H-Hang on a second!\Let me ask you one thing...\Who are you?\You aren't Itsuki...\Which means...\No, wait...\Jerk! response:	Mixed baths
context: H-Hang on a second!\Let me ask you one thing...\Who are you?\You aren't Itsuki...\Which means...\No, wait...\Jerk!\Mixed baths response:	I worked up all my courage for nothing.
context: Let me ask you one thing...\Who are you?\You aren't Itsuki...\Which means...\No, wait...\Jerk!\Mixed baths\I worked up all my courage for nothing. response:	Screw him!
context: Who are you?\You aren't Itsuki...\Which means...\No, wait...\Jerk!\Mixed baths\I worked up all my courage for nothing.\Screw him! response:	You were absolutely in the wrong there.
context: You aren't Itsuki...\Which means...\No, wait...\Jerk!\Mixed baths\I worked up all my courage for nothing.\Screw him!\You were absolutely in the wrong there. response:	That's crazy.
context: Which means...\No, wait...\Jerk!\Mixed baths\I worked up all my courage for nothing.\Screw him!\You were absolutely in the wrong there.\That's crazy. response:	You all look the same.
context: No, wait...\Jerk!\Mixed baths\I worked up all my courage for nothing.\Screw him!\You were absolutely in the wrong there.\That's crazy.\You all look the same. response:	I don't think we're the same in every way.
context: Jerk!\Mixed baths\I worked up all my courage for nothing.\Screw him!\You were absolutely in the wrong there.\That's crazy.\You all look the same.\I don't think we're the same in every way. response:	We're able to tell ourselves apart, after all.
context: Mixed baths\I worked up all my courage for nothing.\Screw him!\You were absolutely in the wrong there.\That's crazy.\You all look the same.\I don't think we're the same in every way.\We're able to tell ourselves apart, after all. response:	I'm sure you could, too.
context: I worked up all my courage for nothing.\Screw him!\You were absolutely in the wrong there.\That's crazy.\You all look the same.\I don't think we're the same in every way.\We're able to tell ourselves apart, after all.\I'm sure you could, too. response:	All you need is love!
context: Screw him!\You were absolutely in the wrong there.\That's crazy.\You all look the same.\I don't think we're the same in every way.\We're able to tell ourselves apart, after all.\I'm sure you could, too.\All you need is love! response:	Here we go again with your crazy theories.
context: You were absolutely in the wrong there.\That's crazy.\You all look the same.\I don't think we're the same in every way.\We're able to tell ourselves apart, after all.\I'm sure you could, too.\All you need is love!\Here we go again with your crazy theories. response:	I'm baffled, though.
context: That's crazy.\You all look the same.\I don't think we're the same in every way.\We're able to tell ourselves apart, after all.\I'm sure you could, too.\All you need is love!\Here we go again with your crazy theories.\I'm baffled, though. response:	Nino used to hate you so much.
context: You all look the same.\I don't think we're the same in every way.\We're able to tell ourselves apart, after all.\I'm sure you could, too.\All you need is love!\Here we go again with your crazy theories.\I'm baffled, though.\Nino used to hate you so much. response:	What could have changed?
context: I don't think we're the same in every way.\We're able to tell ourselves apart, after all.\I'm sure you could, too.\All you need is love!\Here we go again with your crazy theories.\I'm baffled, though.\Nino used to hate you so much.\What could have changed? response:	So that was Nino.
context: We're able to tell ourselves apart, after all.\I'm sure you could, too.\All you need is love!\Here we go again with your crazy theories.\I'm baffled, though.\Nino used to hate you so much.\What could have changed?\So that was Nino. response:	It's not just Nino.
context: I'm sure you could, too.\All you need is love!\Here we go again with your crazy theories.\I'm baffled, though.\Nino used to hate you so much.\What could have changed?\So that was Nino.\It's not just Nino. response:	Ichika, Miku, Yotsuba...
context: All you need is love!\Here we go again with your crazy theories.\I'm baffled, though.\Nino used to hate you so much.\What could have changed?\So that was Nino.\It's not just Nino.\Ichika, Miku, Yotsuba... response:	They've all been a bit weird since spring break started.
context: Here we go again with your crazy theories.\I'm baffled, though.\Nino used to hate you so much.\What could have changed?\So that was Nino.\It's not just Nino.\Ichika, Miku, Yotsuba...\They've all been a bit weird since spring break started. response:	I called you out last night to ask about that.
context: I'm baffled, though.\Nino used to hate you so much.\What could have changed?\So that was Nino.\It's not just Nino.\Ichika, Miku, Yotsuba...\They've all been a bit weird since spring break started.\I called you out last night to ask about that. response:	Can you think of a reason?
context: Nino used to hate you so much.\What could have changed?\So that was Nino.\It's not just Nino.\Ichika, Miku, Yotsuba...\They've all been a bit weird since spring break started.\I called you out last night to ask about that.\Can you think of a reason? response:	I guess I wasn't just imagining things when I noticed they've been acting odd.
context: What could have changed?\So that was Nino.\It's not just Nino.\Ichika, Miku, Yotsuba...\They've all been a bit weird since spring break started.\I called you out last night to ask about that.\Can you think of a reason?\I guess I wasn't just imagining things when I noticed they've been acting odd. response:	I have no idea.
context: So that was Nino.\It's not just Nino.\Ichika, Miku, Yotsuba...\They've all been a bit weird since spring break started.\I called you out last night to ask about that.\Can you think of a reason?\I guess I wasn't just imagining things when I noticed they've been acting odd.\I have no idea. response:	Our top priority is solving the Fake Itsuki question.
context: It's not just Nino.\Ichika, Miku, Yotsuba...\They've all been a bit weird since spring break started.\I called you out last night to ask about that.\Can you think of a reason?\I guess I wasn't just imagining things when I noticed they've been acting odd.\I have no idea.\Our top priority is solving the Fake Itsuki question. response:	Unless we can figure out what she's really thinking,
context: Ichika, Miku, Yotsuba...\They've all been a bit weird since spring break started.\I called you out last night to ask about that.\Can you think of a reason?\I guess I wasn't just imagining things when I noticed they've been acting odd.\I have no idea.\Our top priority is solving the Fake Itsuki question.\Unless we can figure out what she's really thinking, response:	I may really be fired as your tutor.
context: They've all been a bit weird since spring break started.\I called you out last night to ask about that.\Can you think of a reason?\I guess I wasn't just imagining things when I noticed they've been acting odd.\I have no idea.\Our top priority is solving the Fake Itsuki question.\Unless we can figure out what she's really thinking,\I may really be fired as your tutor. response:	You're right.
context: I called you out last night to ask about that.\Can you think of a reason?\I guess I wasn't just imagining things when I noticed they've been acting odd.\I have no idea.\Our top priority is solving the Fake Itsuki question.\Unless we can figure out what she's really thinking,\I may really be fired as your tutor.\You're right. response:	Though, there is something Fake Itsuki said that I agree with.
context: Can you think of a reason?\I guess I wasn't just imagining things when I noticed they've been acting odd.\I have no idea.\Our top priority is solving the Fake Itsuki question.\Unless we can figure out what she's really thinking,\I may really be fired as your tutor.\You're right.\Though, there is something Fake Itsuki said that I agree with. response:	I don't know what she's after.
context: I guess I wasn't just imagining things when I noticed they've been acting odd.\I have no idea.\Our top priority is solving the Fake Itsuki question.\Unless we can figure out what she's really thinking,\I may really be fired as your tutor.\You're right.\Though, there is something Fake Itsuki said that I agree with.\I don't know what she's after. response:	But we aren't partners working toward the same goal anymore.
context: I have no idea.\Our top priority is solving the Fake Itsuki question.\Unless we can figure out what she's really thinking,\I may really be fired as your tutor.\You're right.\Though, there is something Fake Itsuki said that I agree with.\I don't know what she's after.\But we aren't partners working toward the same goal anymore. response:	Our many days spent studying for exams together,
context: Our top priority is solving the Fake Itsuki question.\Unless we can figure out what she's really thinking,\I may really be fired as your tutor.\You're right.\Though, there is something Fake Itsuki said that I agree with.\I don't know what she's after.\But we aren't partners working toward the same goal anymore.\Our many days spent studying for exams together, response:	going to the fireworks festival, school camp, last year's end, and New Year's...
context: Unless we can figure out what she's really thinking,\I may really be fired as your tutor.\You're right.\Though, there is something Fake Itsuki said that I agree with.\I don't know what she's after.\But we aren't partners working toward the same goal anymore.\Our many days spent studying for exams together,\going to the fireworks festival, school camp, last year's end, and New Year's... response:	We've shared so much time together now.
context: I may really be fired as your tutor.\You're right.\Though, there is something Fake Itsuki said that I agree with.\I don't know what she's after.\But we aren't partners working toward the same goal anymore.\Our many days spent studying for exams together,\going to the fireworks festival, school camp, last year's end, and New Year's...\We've shared so much time together now. response:	Wouldn't you say we're friends at this point?
context: You're right.\Though, there is something Fake Itsuki said that I agree with.\I don't know what she's after.\But we aren't partners working toward the same goal anymore.\Our many days spent studying for exams together,\going to the fireworks festival, school camp, last year's end, and New Year's...\We've shared so much time together now.\Wouldn't you say we're friends at this point? response:	Let's see...
context: Though, there is something Fake Itsuki said that I agree with.\I don't know what she's after.\But we aren't partners working toward the same goal anymore.\Our many days spent studying for exams together,\going to the fireworks festival, school camp, last year's end, and New Year's...\We've shared so much time together now.\Wouldn't you say we're friends at this point?\Let's see... response:	At the very most,
context: I don't know what she's after.\But we aren't partners working toward the same goal anymore.\Our many days spent studying for exams together,\going to the fireworks festival, school camp, last year's end, and New Year's...\We've shared so much time together now.\Wouldn't you say we're friends at this point?\Let's see...\At the very most, response:	we're complete strangers.
context: But we aren't partners working toward the same goal anymore.\Our many days spent studying for exams together,\going to the fireworks festival, school camp, last year's end, and New Year's...\We've shared so much time together now.\Wouldn't you say we're friends at this point?\Let's see...\At the very most,\we're complete strangers. response:	You say that so unironically.
context: Our many days spent studying for exams together,\going to the fireworks festival, school camp, last year's end, and New Year's...\We've shared so much time together now.\Wouldn't you say we're friends at this point?\Let's see...\At the very most,\we're complete strangers.\You say that so unironically. response:	My family vacation's ruined.
context: going to the fireworks festival, school camp, last year's end, and New Year's...\We've shared so much time together now.\Wouldn't you say we're friends at this point?\Let's see...\At the very most,\we're complete strangers.\You say that so unironically.\My family vacation's ruined. response:	Let's do this, then.
context: We've shared so much time together now.\Wouldn't you say we're friends at this point?\Let's see...\At the very most,\we're complete strangers.\You say that so unironically.\My family vacation's ruined.\Let's do this, then. response:	I'll hear you guys out.
context: Wouldn't you say we're friends at this point?\Let's see...\At the very most,\we're complete strangers.\You say that so unironically.\My family vacation's ruined.\Let's do this, then.\I'll hear you guys out. response:	Episode 8
context: Let's see...\At the very most,\we're complete strangers.\You say that so unironically.\My family vacation's ruined.\Let's do this, then.\I'll hear you guys out.\Episode 8 response:	Scrambled Eggs
context: At the very most,\we're complete strangers.\You say that so unironically.\My family vacation's ruined.\Let's do this, then.\I'll hear you guys out.\Episode 8\Scrambled Eggs response:	Scrambled Eggs.
