context: Komachi's Present List response:	Book card Gift cards Large appliances.
context: Yes.\And what brings you out at this hour?\I just had... some stuff.\I see.\You're helping with Isshiki-san's request, aren't you?\Oh... Well, yeah, as it turned out...\You didn't need to lie like that.\I wasn't exactly lying. response:	That was one of the reasons.
context: And what brings you out at this hour?\I just had... some stuff.\I see.\You're helping with Isshiki-san's request, aren't you?\Oh... Well, yeah, as it turned out...\You didn't need to lie like that.\I wasn't exactly lying.\That was one of the reasons. response:	That's true. It wasn't a lie.
context: I just had... some stuff.\I see.\You're helping with Isshiki-san's request, aren't you?\Oh... Well, yeah, as it turned out...\You didn't need to lie like that.\I wasn't exactly lying.\That was one of the reasons.\That's true. It wasn't a lie. response:	Sorry I acted on my own.
context: I see.\You're helping with Isshiki-san's request, aren't you?\Oh... Well, yeah, as it turned out...\You didn't need to lie like that.\I wasn't exactly lying.\That was one of the reasons.\That's true. It wasn't a lie.\Sorry I acted on my own. response:	I don't mind that.
context: You're helping with Isshiki-san's request, aren't you?\Oh... Well, yeah, as it turned out...\You didn't need to lie like that.\I wasn't exactly lying.\That was one of the reasons.\That's true. It wasn't a lie.\Sorry I acted on my own.\I don't mind that. response:	It's not as if I can do anything where
context: Oh... Well, yeah, as it turned out...\You didn't need to lie like that.\I wasn't exactly lying.\That was one of the reasons.\That's true. It wasn't a lie.\Sorry I acted on my own.\I don't mind that.\It's not as if I can do anything where response:	your individual actions are concerned,
context: You didn't need to lie like that.\I wasn't exactly lying.\That was one of the reasons.\That's true. It wasn't a lie.\Sorry I acted on my own.\I don't mind that.\It's not as if I can do anything where\your individual actions are concerned, response:	nor do I have the right to.
context: I wasn't exactly lying.\That was one of the reasons.\That's true. It wasn't a lie.\Sorry I acted on my own.\I don't mind that.\It's not as if I can do anything where\your individual actions are concerned,\nor do I have the right to. response:	Or...
context: That was one of the reasons.\That's true. It wasn't a lie.\Sorry I acted on my own.\I don't mind that.\It's not as if I can do anything where\your individual actions are concerned,\nor do I have the right to.\Or... response:	Do you need my permission?
context: That's true. It wasn't a lie.\Sorry I acted on my own.\I don't mind that.\It's not as if I can do anything where\your individual actions are concerned,\nor do I have the right to.\Or...\Do you need my permission? response:	No, I was just checking.
context: Sorry I acted on my own.\I don't mind that.\It's not as if I can do anything where\your individual actions are concerned,\nor do I have the right to.\Or...\Do you need my permission?\No, I was just checking. response:	Really? Then was there any need to apologize?
context: I don't mind that.\It's not as if I can do anything where\your individual actions are concerned,\nor do I have the right to.\Or...\Do you need my permission?\No, I was just checking.\Really? Then was there any need to apologize? response:	Besides, I'm sure Isshiki-san feels more comfortable
context: It's not as if I can do anything where\your individual actions are concerned,\nor do I have the right to.\Or...\Do you need my permission?\No, I was just checking.\Really? Then was there any need to apologize?\Besides, I'm sure Isshiki-san feels more comfortable response:	working with you alone.
context: your individual actions are concerned,\nor do I have the right to.\Or...\Do you need my permission?\No, I was just checking.\Really? Then was there any need to apologize?\Besides, I'm sure Isshiki-san feels more comfortable\working with you alone. response:	I believe you can solve this on your own.
context: nor do I have the right to.\Or...\Do you need my permission?\No, I was just checking.\Really? Then was there any need to apologize?\Besides, I'm sure Isshiki-san feels more comfortable\working with you alone.\I believe you can solve this on your own. response:	You always have before.
context: Or...\Do you need my permission?\No, I was just checking.\Really? Then was there any need to apologize?\Besides, I'm sure Isshiki-san feels more comfortable\working with you alone.\I believe you can solve this on your own.\You always have before. response:	I'm not solving anything.
context: Do you need my permission?\No, I was just checking.\Really? Then was there any need to apologize?\Besides, I'm sure Isshiki-san feels more comfortable\working with you alone.\I believe you can solve this on your own.\You always have before.\I'm not solving anything. response:	And I'm only doing this alone because I am alone.
context: No, I was just checking.\Really? Then was there any need to apologize?\Besides, I'm sure Isshiki-san feels more comfortable\working with you alone.\I believe you can solve this on your own.\You always have before.\I'm not solving anything.\And I'm only doing this alone because I am alone. response:	Same goes for you, doesn't it?
context: Really? Then was there any need to apologize?\Besides, I'm sure Isshiki-san feels more comfortable\working with you alone.\I believe you can solve this on your own.\You always have before.\I'm not solving anything.\And I'm only doing this alone because I am alone.\Same goes for you, doesn't it? response:	For me...
context: Besides, I'm sure Isshiki-san feels more comfortable\working with you alone.\I believe you can solve this on your own.\You always have before.\I'm not solving anything.\And I'm only doing this alone because I am alone.\Same goes for you, doesn't it?\For me... response:	No.
context: working with you alone.\I believe you can solve this on your own.\You always have before.\I'm not solving anything.\And I'm only doing this alone because I am alone.\Same goes for you, doesn't it?\For me...\No. response:	Maybe I only thought I had it all together,
context: I believe you can solve this on your own.\You always have before.\I'm not solving anything.\And I'm only doing this alone because I am alone.\Same goes for you, doesn't it?\For me...\No.\Maybe I only thought I had it all together, response:	that I understood everything.
context: You always have before.\I'm not solving anything.\And I'm only doing this alone because I am alone.\Same goes for you, doesn't it?\For me...\No.\Maybe I only thought I had it all together,\that I understood everything. response:	Listen, Yukinoshita...
context: I'm not solving anything.\And I'm only doing this alone because I am alone.\Same goes for you, doesn't it?\For me...\No.\Maybe I only thought I had it all together,\that I understood everything.\Listen, Yukinoshita... response:	Why don't you take a break from the club?
context: And I'm only doing this alone because I am alone.\Same goes for you, doesn't it?\For me...\No.\Maybe I only thought I had it all together,\that I understood everything.\Listen, Yukinoshita...\Why don't you take a break from the club? response:	If you're only staying out of consideration for us, it's not necessary.
context: Same goes for you, doesn't it?\For me...\No.\Maybe I only thought I had it all together,\that I understood everything.\Listen, Yukinoshita...\Why don't you take a break from the club?\If you're only staying out of consideration for us, it's not necessary. response:	I'm not showing consideration or anything.
context: For me...\No.\Maybe I only thought I had it all together,\that I understood everything.\Listen, Yukinoshita...\Why don't you take a break from the club?\If you're only staying out of consideration for us, it's not necessary.\I'm not showing consideration or anything. response:	You always have been.
context: No.\Maybe I only thought I had it all together,\that I understood everything.\Listen, Yukinoshita...\Why don't you take a break from the club?\If you're only staying out of consideration for us, it's not necessary.\I'm not showing consideration or anything.\You always have been. response:	Ever since back then.
context: Maybe I only thought I had it all together,\that I understood everything.\Listen, Yukinoshita...\Why don't you take a break from the club?\If you're only staying out of consideration for us, it's not necessary.\I'm not showing consideration or anything.\You always have been.\Ever since back then. response:	So...
context: that I understood everything.\Listen, Yukinoshita...\Why don't you take a break from the club?\If you're only staying out of consideration for us, it's not necessary.\I'm not showing consideration or anything.\You always have been.\Ever since back then.\So... response:	But you don't need to push yourself anymore.
context: Listen, Yukinoshita...\Why don't you take a break from the club?\If you're only staying out of consideration for us, it's not necessary.\I'm not showing consideration or anything.\You always have been.\Ever since back then.\So...\But you don't need to push yourself anymore. response:	If you were to break down, that'd be all there was to it.
context: Why don't you take a break from the club?\If you're only staying out of consideration for us, it's not necessary.\I'm not showing consideration or anything.\You always have been.\Ever since back then.\So...\But you don't need to push yourself anymore.\If you were to break down, that'd be all there was to it. response:	Am I wrong?
context: If you're only staying out of consideration for us, it's not necessary.\I'm not showing consideration or anything.\You always have been.\Ever since back then.\So...\But you don't need to push yourself anymore.\If you were to break down, that'd be all there was to it.\Am I wrong? response:	You don't have to force yourself to attend anymore.
context: I'm not showing consideration or anything.\You always have been.\Ever since back then.\So...\But you don't need to push yourself anymore.\If you were to break down, that'd be all there was to it.\Am I wrong?\You don't have to force yourself to attend anymore. response:	Yet, That Room Continues
context: You always have been.\Ever since back then.\So...\But you don't need to push yourself anymore.\If you were to break down, that'd be all there was to it.\Am I wrong?\You don't have to force yourself to attend anymore.\Yet, That Room Continues response:	to Play Out the Endless Days.
context: Ever since back then.\So...\But you don't need to push yourself anymore.\If you were to break down, that'd be all there was to it.\Am I wrong?\You don't have to force yourself to attend anymore.\Yet, That Room Continues\to Play Out the Endless Days. response:	08 But Still, Hikigaya Hachiman Is...
context: So...\But you don't need to push yourself anymore.\If you were to break down, that'd be all there was to it.\Am I wrong?\You don't have to force yourself to attend anymore.\Yet, That Room Continues\to Play Out the Endless Days.\08 But Still, Hikigaya Hachiman Is... response:	We should start verifying the agenda of our next meeting.
context: But you don't need to push yourself anymore.\If you were to break down, that'd be all there was to it.\Am I wrong?\You don't have to force yourself to attend anymore.\Yet, That Room Continues\to Play Out the Endless Days.\08 But Still, Hikigaya Hachiman Is...\We should start verifying the agenda of our next meeting. response:	Agenda! That's totally important!
context: If you were to break down, that'd be all there was to it.\Am I wrong?\You don't have to force yourself to attend anymore.\Yet, That Room Continues\to Play Out the Endless Days.\08 But Still, Hikigaya Hachiman Is...\We should start verifying the agenda of our next meeting.\Agenda! That's totally important! response:	We can share our schedules on the cloud, right?
context: Am I wrong?\You don't have to force yourself to attend anymore.\Yet, That Room Continues\to Play Out the Endless Days.\08 But Still, Hikigaya Hachiman Is...\We should start verifying the agenda of our next meeting.\Agenda! That's totally important!\We can share our schedules on the cloud, right? response:	Cloud! That sounds totally strong!
context: You don't have to force yourself to attend anymore.\Yet, That Room Continues\to Play Out the Endless Days.\08 But Still, Hikigaya Hachiman Is...\We should start verifying the agenda of our next meeting.\Agenda! That's totally important!\We can share our schedules on the cloud, right?\Cloud! That sounds totally strong! response:	We can upload our resumes, too.
context: Yet, That Room Continues\to Play Out the Endless Days.\08 But Still, Hikigaya Hachiman Is...\We should start verifying the agenda of our next meeting.\Agenda! That's totally important!\We can share our schedules on the cloud, right?\Cloud! That sounds totally strong!\We can upload our resumes, too. response:	Resume! That sounds delicious!
context: to Play Out the Endless Days.\08 But Still, Hikigaya Hachiman Is...\We should start verifying the agenda of our next meeting.\Agenda! That's totally important!\We can share our schedules on the cloud, right?\Cloud! That sounds totally strong!\We can upload our resumes, too.\Resume! That sounds delicious! response:	We'll give ourselves a buffer...
context: 08 But Still, Hikigaya Hachiman Is...\We should start verifying the agenda of our next meeting.\Agenda! That's totally important!\We can share our schedules on the cloud, right?\Cloud! That sounds totally strong!\We can upload our resumes, too.\Resume! That sounds delicious!\We'll give ourselves a buffer... response:	Buffer! I totally want one of those!
context: We should start verifying the agenda of our next meeting.\Agenda! That's totally important!\We can share our schedules on the cloud, right?\Cloud! That sounds totally strong!\We can upload our resumes, too.\Resume! That sounds delicious!\We'll give ourselves a buffer...\Buffer! I totally want one of those! response:	Good. I think everything's decided.
context: Agenda! That's totally important!\We can share our schedules on the cloud, right?\Cloud! That sounds totally strong!\We can upload our resumes, too.\Resume! That sounds delicious!\We'll give ourselves a buffer...\Buffer! I totally want one of those!\Good. I think everything's decided. response:	Okay, let's brainstorm and commit to results.
context: We can share our schedules on the cloud, right?\Cloud! That sounds totally strong!\We can upload our resumes, too.\Resume! That sounds delicious!\We'll give ourselves a buffer...\Buffer! I totally want one of those!\Good. I think everything's decided.\Okay, let's brainstorm and commit to results. response:	Commit to results! That'll work!
context: Cloud! That sounds totally strong!\We can upload our resumes, too.\Resume! That sounds delicious!\We'll give ourselves a buffer...\Buffer! I totally want one of those!\Good. I think everything's decided.\Okay, let's brainstorm and commit to results.\Commit to results! That'll work! response:	So, what should we talk about?
context: We can upload our resumes, too.\Resume! That sounds delicious!\We'll give ourselves a buffer...\Buffer! I totally want one of those!\Good. I think everything's decided.\Okay, let's brainstorm and commit to results.\Commit to results! That'll work!\So, what should we talk about? response:	Huh?
context: Resume! That sounds delicious!\We'll give ourselves a buffer...\Buffer! I totally want one of those!\Good. I think everything's decided.\Okay, let's brainstorm and commit to results.\Commit to results! That'll work!\So, what should we talk about?\Huh? response:	Huh?
