context: Felt-sama, thank you for gracing us with your presence. response:	Reinhard...
context: Roswaal and I will return to the mansion tomorrow.\You will stay in the capital to recover.\Wait a minute.\Huh?\Wasn't that our agreement?\But wait a\You came to the capital so Felis could heal your exhausted gate.\No, wait a minute! response:	How can you suddenly... I...
context: You will stay in the capital to recover.\Wait a minute.\Huh?\Wasn't that our agreement?\But wait a\You came to the capital so Felis could heal your exhausted gate.\No, wait a minute!\How can you suddenly... I... response:	Because...
context: Wait a minute.\Huh?\Wasn't that our agreement?\But wait a\You came to the capital so Felis could heal your exhausted gate.\No, wait a minute!\How can you suddenly... I...\Because... response:	When I'm with you, you always push yourself to do the impossible.
context: Huh?\Wasn't that our agreement?\But wait a\You came to the capital so Felis could heal your exhausted gate.\No, wait a minute!\How can you suddenly... I...\Because...\When I'm with you, you always push yourself to do the impossible. response:	That's not what I'm saying... I just
context: Wasn't that our agreement?\But wait a\You came to the capital so Felis could heal your exhausted gate.\No, wait a minute!\How can you suddenly... I...\Because...\When I'm with you, you always push yourself to do the impossible.\That's not what I'm saying... I just response:	Just?
context: But wait a\You came to the capital so Felis could heal your exhausted gate.\No, wait a minute!\How can you suddenly... I...\Because...\When I'm with you, you always push yourself to do the impossible.\That's not what I'm saying... I just\Just? response:	I just wanted to do something for you, so I...
context: You came to the capital so Felis could heal your exhausted gate.\No, wait a minute!\How can you suddenly... I...\Because...\When I'm with you, you always push yourself to do the impossible.\That's not what I'm saying... I just\Just?\I just wanted to do something for you, so I... response:	For me?
context: No, wait a minute!\How can you suddenly... I...\Because...\When I'm with you, you always push yourself to do the impossible.\That's not what I'm saying... I just\Just?\I just wanted to do something for you, so I...\For me? response:	It was for you, wasn't it?
context: How can you suddenly... I...\Because...\When I'm with you, you always push yourself to do the impossible.\That's not what I'm saying... I just\Just?\I just wanted to do something for you, so I...\For me?\It was for you, wasn't it? response:	No... I just wanted to do something for you
context: Because...\When I'm with you, you always push yourself to do the impossible.\That's not what I'm saying... I just\Just?\I just wanted to do something for you, so I...\For me?\It was for you, wasn't it?\No... I just wanted to do something for you response:	Stop telling lies about how everything is for my sake!
context: When I'm with you, you always push yourself to do the impossible.\That's not what I'm saying... I just\Just?\I just wanted to do something for you, so I...\For me?\It was for you, wasn't it?\No... I just wanted to do something for you\Stop telling lies about how everything is for my sake! response:	Coming to the castle, fighting Julius, using magic...
context: That's not what I'm saying... I just\Just?\I just wanted to do something for you, so I...\For me?\It was for you, wasn't it?\No... I just wanted to do something for you\Stop telling lies about how everything is for my sake!\Coming to the castle, fighting Julius, using magic... response:	Are you saying that was all for me?
context: Just?\I just wanted to do something for you, so I...\For me?\It was for you, wasn't it?\No... I just wanted to do something for you\Stop telling lies about how everything is for my sake!\Coming to the castle, fighting Julius, using magic...\Are you saying that was all for me? response:	I never asked you to do any of that!
context: I just wanted to do something for you, so I...\For me?\It was for you, wasn't it?\No... I just wanted to do something for you\Stop telling lies about how everything is for my sake!\Coming to the castle, fighting Julius, using magic...\Are you saying that was all for me?\I never asked you to do any of that! response:	Hey, do you remember what I asked you to do?
context: For me?\It was for you, wasn't it?\No... I just wanted to do something for you\Stop telling lies about how everything is for my sake!\Coming to the castle, fighting Julius, using magic...\Are you saying that was all for me?\I never asked you to do any of that!\Hey, do you remember what I asked you to do? response:	I asked you to wait at the lodging with Rem.
context: It was for you, wasn't it?\No... I just wanted to do something for you\Stop telling lies about how everything is for my sake!\Coming to the castle, fighting Julius, using magic...\Are you saying that was all for me?\I never asked you to do any of that!\Hey, do you remember what I asked you to do?\I asked you to wait at the lodging with Rem. response:	I asked you not to use magic because using more would endanger you.
context: No... I just wanted to do something for you\Stop telling lies about how everything is for my sake!\Coming to the castle, fighting Julius, using magic...\Are you saying that was all for me?\I never asked you to do any of that!\Hey, do you remember what I asked you to do?\I asked you to wait at the lodging with Rem.\I asked you not to use magic because using more would endanger you. response:	I'm sorry I didn't do as you asked.
context: Stop telling lies about how everything is for my sake!\Coming to the castle, fighting Julius, using magic...\Are you saying that was all for me?\I never asked you to do any of that!\Hey, do you remember what I asked you to do?\I asked you to wait at the lodging with Rem.\I asked you not to use magic because using more would endanger you.\I'm sorry I didn't do as you asked. response:	B-But you're wrong. You're wrong!
context: Coming to the castle, fighting Julius, using magic...\Are you saying that was all for me?\I never asked you to do any of that!\Hey, do you remember what I asked you to do?\I asked you to wait at the lodging with Rem.\I asked you not to use magic because using more would endanger you.\I'm sorry I didn't do as you asked.\B-But you're wrong. You're wrong! response:	You won't believe me, Emilia?
context: Are you saying that was all for me?\I never asked you to do any of that!\Hey, do you remember what I asked you to do?\I asked you to wait at the lodging with Rem.\I asked you not to use magic because using more would endanger you.\I'm sorry I didn't do as you asked.\B-But you're wrong. You're wrong!\You won't believe me, Emilia? response:	I want to.
context: I never asked you to do any of that!\Hey, do you remember what I asked you to do?\I asked you to wait at the lodging with Rem.\I asked you not to use magic because using more would endanger you.\I'm sorry I didn't do as you asked.\B-But you're wrong. You're wrong!\You won't believe me, Emilia?\I want to. response:	I want to believe you, Subaru.
context: Hey, do you remember what I asked you to do?\I asked you to wait at the lodging with Rem.\I asked you not to use magic because using more would endanger you.\I'm sorry I didn't do as you asked.\B-But you're wrong. You're wrong!\You won't believe me, Emilia?\I want to.\I want to believe you, Subaru. response:	I want to...
context: I asked you to wait at the lodging with Rem.\I asked you not to use magic because using more would endanger you.\I'm sorry I didn't do as you asked.\B-But you're wrong. You're wrong!\You won't believe me, Emilia?\I want to.\I want to believe you, Subaru.\I want to... response:	But you're the one who won't give me a reason to!
context: I asked you not to use magic because using more would endanger you.\I'm sorry I didn't do as you asked.\B-But you're wrong. You're wrong!\You won't believe me, Emilia?\I want to.\I want to believe you, Subaru.\I want to...\But you're the one who won't give me a reason to! response:	You promised me...
context: I'm sorry I didn't do as you asked.\B-But you're wrong. You're wrong!\You won't believe me, Emilia?\I want to.\I want to believe you, Subaru.\I want to...\But you're the one who won't give me a reason to!\You promised me... response:	But just like that, you threw it away, and came all the way here!
context: B-But you're wrong. You're wrong!\You won't believe me, Emilia?\I want to.\I want to believe you, Subaru.\I want to...\But you're the one who won't give me a reason to!\You promised me...\But just like that, you threw it away, and came all the way here! response:	You won't keep your promise to me,
context: You won't believe me, Emilia?\I want to.\I want to believe you, Subaru.\I want to...\But you're the one who won't give me a reason to!\You promised me...\But just like that, you threw it away, and came all the way here!\You won't keep your promise to me, response:	and you ask me to believe you?
context: I want to.\I want to believe you, Subaru.\I want to...\But you're the one who won't give me a reason to!\You promised me...\But just like that, you threw it away, and came all the way here!\You won't keep your promise to me,\and you ask me to believe you? response:	I can't do that! I can't!
context: I want to believe you, Subaru.\I want to...\But you're the one who won't give me a reason to!\You promised me...\But just like that, you threw it away, and came all the way here!\You won't keep your promise to me,\and you ask me to believe you?\I can't do that! I can't! response:	Hey, Subaru...
context: I want to...\But you're the one who won't give me a reason to!\You promised me...\But just like that, you threw it away, and came all the way here!\You won't keep your promise to me,\and you ask me to believe you?\I can't do that! I can't!\Hey, Subaru... response:	Why do you keep trying to help me like this?
context: But you're the one who won't give me a reason to!\You promised me...\But just like that, you threw it away, and came all the way here!\You won't keep your promise to me,\and you ask me to believe you?\I can't do that! I can't!\Hey, Subaru...\Why do you keep trying to help me like this? response:	Because you helped me...
context: You promised me...\But just like that, you threw it away, and came all the way here!\You won't keep your promise to me,\and you ask me to believe you?\I can't do that! I can't!\Hey, Subaru...\Why do you keep trying to help me like this?\Because you helped me... response:	Yes.
context: But just like that, you threw it away, and came all the way here!\You won't keep your promise to me,\and you ask me to believe you?\I can't do that! I can't!\Hey, Subaru...\Why do you keep trying to help me like this?\Because you helped me...\Yes. response:	You don't even realize
context: You won't keep your promise to me,\and you ask me to believe you?\I can't do that! I can't!\Hey, Subaru...\Why do you keep trying to help me like this?\Because you helped me...\Yes.\You don't even realize response:	how the things you've done for me have saved me.
context: and you ask me to believe you?\I can't do that! I can't!\Hey, Subaru...\Why do you keep trying to help me like this?\Because you helped me...\Yes.\You don't even realize\how the things you've done for me have saved me. response:	No, I don't, Subaru.
context: I can't do that! I can't!\Hey, Subaru...\Why do you keep trying to help me like this?\Because you helped me...\Yes.\You don't even realize\how the things you've done for me have saved me.\No, I don't, Subaru. response:	I don't expect you to...
context: Hey, Subaru...\Why do you keep trying to help me like this?\Because you helped me...\Yes.\You don't even realize\how the things you've done for me have saved me.\No, I don't, Subaru.\I don't expect you to... response:	But it's true! You saved me!
context: Why do you keep trying to help me like this?\Because you helped me...\Yes.\You don't even realize\how the things you've done for me have saved me.\No, I don't, Subaru.\I don't expect you to...\But it's true! You saved me! response:	So everything I've done has been to repay you.
context: Because you helped me...\Yes.\You don't even realize\how the things you've done for me have saved me.\No, I don't, Subaru.\I don't expect you to...\But it's true! You saved me!\So everything I've done has been to repay you. response:	I told you, I don't understand!
context: Yes.\You don't even realize\how the things you've done for me have saved me.\No, I don't, Subaru.\I don't expect you to...\But it's true! You saved me!\So everything I've done has been to repay you.\I told you, I don't understand! response:	Maybe you don't, but please listen to me!
context: You don't even realize\how the things you've done for me have saved me.\No, I don't, Subaru.\I don't expect you to...\But it's true! You saved me!\So everything I've done has been to repay you.\I told you, I don't understand!\Maybe you don't, but please listen to me! response:	It's the truth!
context: how the things you've done for me have saved me.\No, I don't, Subaru.\I don't expect you to...\But it's true! You saved me!\So everything I've done has been to repay you.\I told you, I don't understand!\Maybe you don't, but please listen to me!\It's the truth! response:	You were the...
context: No, I don't, Subaru.\I don't expect you to...\But it's true! You saved me!\So everything I've done has been to repay you.\I told you, I don't understand!\Maybe you don't, but please listen to me!\It's the truth!\You were the... response:	When I first came to this world, you were
context: I don't expect you to...\But it's true! You saved me!\So everything I've done has been to repay you.\I told you, I don't understand!\Maybe you don't, but please listen to me!\It's the truth!\You were the...\When I first came to this world, you were response:	Once again, you won't tell me anything.
context: But it's true! You saved me!\So everything I've done has been to repay you.\I told you, I don't understand!\Maybe you don't, but please listen to me!\It's the truth!\You were the...\When I first came to this world, you were\Once again, you won't tell me anything. response:	Why won't you understand?
context: So everything I've done has been to repay you.\I told you, I don't understand!\Maybe you don't, but please listen to me!\It's the truth!\You were the...\When I first came to this world, you were\Once again, you won't tell me anything.\Why won't you understand? response:	I thought
context: I told you, I don't understand!\Maybe you don't, but please listen to me!\It's the truth!\You were the...\When I first came to this world, you were\Once again, you won't tell me anything.\Why won't you understand?\I thought response:	if anyone could understand...
context: Maybe you don't, but please listen to me!\It's the truth!\You were the...\When I first came to this world, you were\Once again, you won't tell me anything.\Why won't you understand?\I thought\if anyone could understand... response:	it'd be you.
context: It's the truth!\You were the...\When I first came to this world, you were\Once again, you won't tell me anything.\Why won't you understand?\I thought\if anyone could understand...\it'd be you. response:	The version of me that lives within you must be amazing.
context: You were the...\When I first came to this world, you were\Once again, you won't tell me anything.\Why won't you understand?\I thought\if anyone could understand...\it'd be you.\The version of me that lives within you must be amazing. response:	She can understand everything,
context: When I first came to this world, you were\Once again, you won't tell me anything.\Why won't you understand?\I thought\if anyone could understand...\it'd be you.\The version of me that lives within you must be amazing.\She can understand everything, response:	even if you don't explain it to her.
context: Once again, you won't tell me anything.\Why won't you understand?\I thought\if anyone could understand...\it'd be you.\The version of me that lives within you must be amazing.\She can understand everything,\even if you don't explain it to her. response:	She can feel all your pain, sadness, and anger as her own.
context: Why won't you understand?\I thought\if anyone could understand...\it'd be you.\The version of me that lives within you must be amazing.\She can understand everything,\even if you don't explain it to her.\She can feel all your pain, sadness, and anger as her own. response:	I can't understand if you don't tell me, Subaru.
context: I thought\if anyone could understand...\it'd be you.\The version of me that lives within you must be amazing.\She can understand everything,\even if you don't explain it to her.\She can feel all your pain, sadness, and anger as her own.\I can't understand if you don't tell me, Subaru. response:	I've...
context: if anyone could understand...\it'd be you.\The version of me that lives within you must be amazing.\She can understand everything,\even if you don't explain it to her.\She can feel all your pain, sadness, and anger as her own.\I can't understand if you don't tell me, Subaru.\I've... response:	All this time,
context: it'd be you.\The version of me that lives within you must be amazing.\She can understand everything,\even if you don't explain it to her.\She can feel all your pain, sadness, and anger as her own.\I can't understand if you don't tell me, Subaru.\I've...\All this time, response:	haven't I made everything work out all right?!
context: The version of me that lives within you must be amazing.\She can understand everything,\even if you don't explain it to her.\She can feel all your pain, sadness, and anger as her own.\I can't understand if you don't tell me, Subaru.\I've...\All this time,\haven't I made everything work out all right?! response:	When your insignia was stolen, I saved you from an insane killer at the loot house!
context: She can understand everything,\even if you don't explain it to her.\She can feel all your pain, sadness, and anger as her own.\I can't understand if you don't tell me, Subaru.\I've...\All this time,\haven't I made everything work out all right?!\When your insignia was stolen, I saved you from an insane killer at the loot house! response:	I risked my life!
context: even if you don't explain it to her.\She can feel all your pain, sadness, and anger as her own.\I can't understand if you don't tell me, Subaru.\I've...\All this time,\haven't I made everything work out all right?!\When your insignia was stolen, I saved you from an insane killer at the loot house!\I risked my life! response:	All because you were important to me!
context: She can feel all your pain, sadness, and anger as her own.\I can't understand if you don't tell me, Subaru.\I've...\All this time,\haven't I made everything work out all right?!\When your insignia was stolen, I saved you from an insane killer at the loot house!\I risked my life!\All because you were important to me! response:	At the mansion, too.
context: I can't understand if you don't tell me, Subaru.\I've...\All this time,\haven't I made everything work out all right?!\When your insignia was stolen, I saved you from an insane killer at the loot house!\I risked my life!\All because you were important to me!\At the mansion, too. response:	Things worked out because of me.
context: I've...\All this time,\haven't I made everything work out all right?!\When your insignia was stolen, I saved you from an insane killer at the loot house!\I risked my life!\All because you were important to me!\At the mansion, too.\Things worked out because of me. response:	Without me, it would've been a lot worse.
context: All this time,\haven't I made everything work out all right?!\When your insignia was stolen, I saved you from an insane killer at the loot house!\I risked my life!\All because you were important to me!\At the mansion, too.\Things worked out because of me.\Without me, it would've been a lot worse. response:	All of it, all of it, all of it!
context: haven't I made everything work out all right?!\When your insignia was stolen, I saved you from an insane killer at the loot house!\I risked my life!\All because you were important to me!\At the mansion, too.\Things worked out because of me.\Without me, it would've been a lot worse.\All of it, all of it, all of it! response:	All of it was because I was there!
context: When your insignia was stolen, I saved you from an insane killer at the loot house!\I risked my life!\All because you were important to me!\At the mansion, too.\Things worked out because of me.\Without me, it would've been a lot worse.\All of it, all of it, all of it!\All of it was because I was there! response:	You should have a greater debt to me than you could ever repay!
context: I risked my life!\All because you were important to me!\At the mansion, too.\Things worked out because of me.\Without me, it would've been a lot worse.\All of it, all of it, all of it!\All of it was because I was there!\You should have a greater debt to me than you could ever repay! response:	You're right.
context: All because you were important to me!\At the mansion, too.\Things worked out because of me.\Without me, it would've been a lot worse.\All of it, all of it, all of it!\All of it was because I was there!\You should have a greater debt to me than you could ever repay!\You're right. response:	I owe you so many debts, Subaru.
context: At the mansion, too.\Things worked out because of me.\Without me, it would've been a lot worse.\All of it, all of it, all of it!\All of it was because I was there!\You should have a greater debt to me than you could ever repay!\You're right.\I owe you so many debts, Subaru. response:	Yeah, that's right! That's why I...
context: Things worked out because of me.\Without me, it would've been a lot worse.\All of it, all of it, all of it!\All of it was because I was there!\You should have a greater debt to me than you could ever repay!\You're right.\I owe you so many debts, Subaru.\Yeah, that's right! That's why I... response:	So I'll repay all of them now.
context: Without me, it would've been a lot worse.\All of it, all of it, all of it!\All of it was because I was there!\You should have a greater debt to me than you could ever repay!\You're right.\I owe you so many debts, Subaru.\Yeah, that's right! That's why I...\So I'll repay all of them now. response:	And we'll end this.
context: All of it, all of it, all of it!\All of it was because I was there!\You should have a greater debt to me than you could ever repay!\You're right.\I owe you so many debts, Subaru.\Yeah, that's right! That's why I...\So I'll repay all of them now.\And we'll end this. response:	You've done enough, Natsuki Subaru.
context: All of it was because I was there!\You should have a greater debt to me than you could ever repay!\You're right.\I owe you so many debts, Subaru.\Yeah, that's right! That's why I...\So I'll repay all of them now.\And we'll end this.\You've done enough, Natsuki Subaru. response:	You know, I had hopes for you.
context: You should have a greater debt to me than you could ever repay!\You're right.\I owe you so many debts, Subaru.\Yeah, that's right! That's why I...\So I'll repay all of them now.\And we'll end this.\You've done enough, Natsuki Subaru.\You know, I had hopes for you. response:	I thought maybe you...
context: You're right.\I owe you so many debts, Subaru.\Yeah, that's right! That's why I...\So I'll repay all of them now.\And we'll end this.\You've done enough, Natsuki Subaru.\You know, I had hopes for you.\I thought maybe you... response:	That only you wouldn't give me special treatment.
context: I owe you so many debts, Subaru.\Yeah, that's right! That's why I...\So I'll repay all of them now.\And we'll end this.\You've done enough, Natsuki Subaru.\You know, I had hopes for you.\I thought maybe you...\That only you wouldn't give me special treatment. response:	That you'd look at me
context: Yeah, that's right! That's why I...\So I'll repay all of them now.\And we'll end this.\You've done enough, Natsuki Subaru.\You know, I had hopes for you.\I thought maybe you...\That only you wouldn't give me special treatment.\That you'd look at me response:	in the same, exact way you look at everyone else.
context: So I'll repay all of them now.\And we'll end this.\You've done enough, Natsuki Subaru.\You know, I had hopes for you.\I thought maybe you...\That only you wouldn't give me special treatment.\That you'd look at me\in the same, exact way you look at everyone else. response:	I can't do that.
context: And we'll end this.\You've done enough, Natsuki Subaru.\You know, I had hopes for you.\I thought maybe you...\That only you wouldn't give me special treatment.\That you'd look at me\in the same, exact way you look at everyone else.\I can't do that. response:	I can't look at you the way I look at others.
context: You've done enough, Natsuki Subaru.\You know, I had hopes for you.\I thought maybe you...\That only you wouldn't give me special treatment.\That you'd look at me\in the same, exact way you look at everyone else.\I can't do that.\I can't look at you the way I look at others. response:	It's impossible.
context: You know, I had hopes for you.\I thought maybe you...\That only you wouldn't give me special treatment.\That you'd look at me\in the same, exact way you look at everyone else.\I can't do that.\I can't look at you the way I look at others.\It's impossible. response:	Self-Proclaimed Knight Natsuki Su baru
