context: - You may be dismissed. - Yes. response:	Fourth Brother?
context: Qian Qian...\Yes?\If one day, someone took your eyes...\Would you forgive him?\Who would dare take my eyes?\What if that man is me?\You?\If you really take my eyes, it'll be over between us. response:	You must remember to keep that Soul-gathering Lamp lit for three days.
context: Yes?\If one day, someone took your eyes...\Would you forgive him?\Who would dare take my eyes?\What if that man is me?\You?\If you really take my eyes, it'll be over between us.\You must remember to keep that Soul-gathering Lamp lit for three days. response:	You can't be even one hour short.
context: If one day, someone took your eyes...\Would you forgive him?\Who would dare take my eyes?\What if that man is me?\You?\If you really take my eyes, it'll be over between us.\You must remember to keep that Soul-gathering Lamp lit for three days.\You can't be even one hour short. response:	You can't use magical powers.
context: Would you forgive him?\Who would dare take my eyes?\What if that man is me?\You?\If you really take my eyes, it'll be over between us.\You must remember to keep that Soul-gathering Lamp lit for three days.\You can't be even one hour short.\You can't use magical powers. response:	You have to watch it yourself.
context: Who would dare take my eyes?\What if that man is me?\You?\If you really take my eyes, it'll be over between us.\You must remember to keep that Soul-gathering Lamp lit for three days.\You can't be even one hour short.\You can't use magical powers.\You have to watch it yourself. response:	I know.
context: What if that man is me?\You?\If you really take my eyes, it'll be over between us.\You must remember to keep that Soul-gathering Lamp lit for three days.\You can't be even one hour short.\You can't use magical powers.\You have to watch it yourself.\I know. response:	I will be careful. Don't worry.
context: You?\If you really take my eyes, it'll be over between us.\You must remember to keep that Soul-gathering Lamp lit for three days.\You can't be even one hour short.\You can't use magical powers.\You have to watch it yourself.\I know.\I will be careful. Don't worry. response:	Sleep well.
context: If you really take my eyes, it'll be over between us.\You must remember to keep that Soul-gathering Lamp lit for three days.\You can't be even one hour short.\You can't use magical powers.\You have to watch it yourself.\I know.\I will be careful. Don't worry.\Sleep well. response:	When I'm gone, you mustn't leave these bamboo woods.
context: You must remember to keep that Soul-gathering Lamp lit for three days.\You can't be even one hour short.\You can't use magical powers.\You have to watch it yourself.\I know.\I will be careful. Don't worry.\Sleep well.\When I'm gone, you mustn't leave these bamboo woods. response:	All right.
context: You can't be even one hour short.\You can't use magical powers.\You have to watch it yourself.\I know.\I will be careful. Don't worry.\Sleep well.\When I'm gone, you mustn't leave these bamboo woods.\All right. response:	If you're lonely, call my name in the mirror.
context: You can't use magical powers.\You have to watch it yourself.\I know.\I will be careful. Don't worry.\Sleep well.\When I'm gone, you mustn't leave these bamboo woods.\All right.\If you're lonely, call my name in the mirror. response:	But you must remember not to leave this place.
context: You have to watch it yourself.\I know.\I will be careful. Don't worry.\Sleep well.\When I'm gone, you mustn't leave these bamboo woods.\All right.\If you're lonely, call my name in the mirror.\But you must remember not to leave this place. response:	All right.
context: I know.\I will be careful. Don't worry.\Sleep well.\When I'm gone, you mustn't leave these bamboo woods.\All right.\If you're lonely, call my name in the mirror.\But you must remember not to leave this place.\All right. response:	Why does this mortal look so much like me?
context: I will be careful. Don't worry.\Sleep well.\When I'm gone, you mustn't leave these bamboo woods.\All right.\If you're lonely, call my name in the mirror.\But you must remember not to leave this place.\All right.\Why does this mortal look so much like me? response:	Ye Hua! Ye Hua!
context: Sleep well.\When I'm gone, you mustn't leave these bamboo woods.\All right.\If you're lonely, call my name in the mirror.\But you must remember not to leave this place.\All right.\Why does this mortal look so much like me?\Ye Hua! Ye Hua! response:	Ye Hua! Ye Hua...
context: When I'm gone, you mustn't leave these bamboo woods.\All right.\If you're lonely, call my name in the mirror.\But you must remember not to leave this place.\All right.\Why does this mortal look so much like me?\Ye Hua! Ye Hua!\Ye Hua! Ye Hua... response:	Ye Hua!
context: All right.\If you're lonely, call my name in the mirror.\But you must remember not to leave this place.\All right.\Why does this mortal look so much like me?\Ye Hua! Ye Hua!\Ye Hua! Ye Hua...\Ye Hua! response:	Didn't your husband tell you not to leave the woods?
context: If you're lonely, call my name in the mirror.\But you must remember not to leave this place.\All right.\Why does this mortal look so much like me?\Ye Hua! Ye Hua!\Ye Hua! Ye Hua...\Ye Hua!\Didn't your husband tell you not to leave the woods? response:	Ye Hua!
context: But you must remember not to leave this place.\All right.\Why does this mortal look so much like me?\Ye Hua! Ye Hua!\Ye Hua! Ye Hua...\Ye Hua!\Didn't your husband tell you not to leave the woods?\Ye Hua! response:	What's wrong with me recently?
context: All right.\Why does this mortal look so much like me?\Ye Hua! Ye Hua!\Ye Hua! Ye Hua...\Ye Hua!\Didn't your husband tell you not to leave the woods?\Ye Hua!\What's wrong with me recently? response:	I've been having such weird dreams.
context: Why does this mortal look so much like me?\Ye Hua! Ye Hua!\Ye Hua! Ye Hua...\Ye Hua!\Didn't your husband tell you not to leave the woods?\Ye Hua!\What's wrong with me recently?\I've been having such weird dreams. response:	Isn't this my room?
context: Ye Hua! Ye Hua!\Ye Hua! Ye Hua...\Ye Hua!\Didn't your husband tell you not to leave the woods?\Ye Hua!\What's wrong with me recently?\I've been having such weird dreams.\Isn't this my room? response:	Did Ye Hua bring me back here?
context: Ye Hua! Ye Hua...\Ye Hua!\Didn't your husband tell you not to leave the woods?\Ye Hua!\What's wrong with me recently?\I've been having such weird dreams.\Isn't this my room?\Did Ye Hua bring me back here? response:	Since Ye Hua and I share a mutual affection
context: Ye Hua!\Didn't your husband tell you not to leave the woods?\Ye Hua!\What's wrong with me recently?\I've been having such weird dreams.\Isn't this my room?\Did Ye Hua bring me back here?\Since Ye Hua and I share a mutual affection response:	the engagement can't be called off now.
context: Didn't your husband tell you not to leave the woods?\Ye Hua!\What's wrong with me recently?\I've been having such weird dreams.\Isn't this my room?\Did Ye Hua bring me back here?\Since Ye Hua and I share a mutual affection\the engagement can't be called off now. response:	- Emissary. - Emissary.
context: Ye Hua!\What's wrong with me recently?\I've been having such weird dreams.\Isn't this my room?\Did Ye Hua bring me back here?\Since Ye Hua and I share a mutual affection\the engagement can't be called off now.\- Emissary. - Emissary. response:	Is the Crown Prince awake?
context: What's wrong with me recently?\I've been having such weird dreams.\Isn't this my room?\Did Ye Hua bring me back here?\Since Ye Hua and I share a mutual affection\the engagement can't be called off now.\- Emissary. - Emissary.\Is the Crown Prince awake? response:	Emissary, His Highness has returned to the Celestial Palace.
context: I've been having such weird dreams.\Isn't this my room?\Did Ye Hua bring me back here?\Since Ye Hua and I share a mutual affection\the engagement can't be called off now.\- Emissary. - Emissary.\Is the Crown Prince awake?\Emissary, His Highness has returned to the Celestial Palace. response:	He's really busy.
context: Isn't this my room?\Did Ye Hua bring me back here?\Since Ye Hua and I share a mutual affection\the engagement can't be called off now.\- Emissary. - Emissary.\Is the Crown Prince awake?\Emissary, His Highness has returned to the Celestial Palace.\He's really busy. response:	Did he say when he will return?
context: Did Ye Hua bring me back here?\Since Ye Hua and I share a mutual affection\the engagement can't be called off now.\- Emissary. - Emissary.\Is the Crown Prince awake?\Emissary, His Highness has returned to the Celestial Palace.\He's really busy.\Did he say when he will return? response:	He didn't say.
context: Since Ye Hua and I share a mutual affection\the engagement can't be called off now.\- Emissary. - Emissary.\Is the Crown Prince awake?\Emissary, His Highness has returned to the Celestial Palace.\He's really busy.\Did he say when he will return?\He didn't say. response:	Aunt, Feng Jiu has returned.
context: the engagement can't be called off now.\- Emissary. - Emissary.\Is the Crown Prince awake?\Emissary, His Highness has returned to the Celestial Palace.\He's really busy.\Did he say when he will return?\He didn't say.\Aunt, Feng Jiu has returned. response:	My Xiao Jiu has finally returned?
context: - Emissary. - Emissary.\Is the Crown Prince awake?\Emissary, His Highness has returned to the Celestial Palace.\He's really busy.\Did he say when he will return?\He didn't say.\Aunt, Feng Jiu has returned.\My Xiao Jiu has finally returned? response:	How did it go?
context: Is the Crown Prince awake?\Emissary, His Highness has returned to the Celestial Palace.\He's really busy.\Did he say when he will return?\He didn't say.\Aunt, Feng Jiu has returned.\My Xiao Jiu has finally returned?\How did it go? response:	Did you manage to repay Lord Dong Hua's kindness?
context: Emissary, His Highness has returned to the Celestial Palace.\He's really busy.\Did he say when he will return?\He didn't say.\Aunt, Feng Jiu has returned.\My Xiao Jiu has finally returned?\How did it go?\Did you manage to repay Lord Dong Hua's kindness? response:	I did do my part but I don't know if I've repaid it all.
context: He's really busy.\Did he say when he will return?\He didn't say.\Aunt, Feng Jiu has returned.\My Xiao Jiu has finally returned?\How did it go?\Did you manage to repay Lord Dong Hua's kindness?\I did do my part but I don't know if I've repaid it all. response:	It seems that my little lass is really hurt this time.
context: Did he say when he will return?\He didn't say.\Aunt, Feng Jiu has returned.\My Xiao Jiu has finally returned?\How did it go?\Did you manage to repay Lord Dong Hua's kindness?\I did do my part but I don't know if I've repaid it all.\It seems that my little lass is really hurt this time. response:	Where are you hurt?
context: He didn't say.\Aunt, Feng Jiu has returned.\My Xiao Jiu has finally returned?\How did it go?\Did you manage to repay Lord Dong Hua's kindness?\I did do my part but I don't know if I've repaid it all.\It seems that my little lass is really hurt this time.\Where are you hurt? response:	Is it here?
context: Aunt, Feng Jiu has returned.\My Xiao Jiu has finally returned?\How did it go?\Did you manage to repay Lord Dong Hua's kindness?\I did do my part but I don't know if I've repaid it all.\It seems that my little lass is really hurt this time.\Where are you hurt?\Is it here? response:	Auntie...
context: My Xiao Jiu has finally returned?\How did it go?\Did you manage to repay Lord Dong Hua's kindness?\I did do my part but I don't know if I've repaid it all.\It seems that my little lass is really hurt this time.\Where are you hurt?\Is it here?\Auntie... response:	You do know it all.
context: How did it go?\Did you manage to repay Lord Dong Hua's kindness?\I did do my part but I don't know if I've repaid it all.\It seems that my little lass is really hurt this time.\Where are you hurt?\Is it here?\Auntie...\You do know it all. response:	All right, hush now...
context: Did you manage to repay Lord Dong Hua's kindness?\I did do my part but I don't know if I've repaid it all.\It seems that my little lass is really hurt this time.\Where are you hurt?\Is it here?\Auntie...\You do know it all.\All right, hush now... response:	The divine fungal grass shouldn't exist in the world anymore.
context: I did do my part but I don't know if I've repaid it all.\It seems that my little lass is really hurt this time.\Where are you hurt?\Is it here?\Auntie...\You do know it all.\All right, hush now...\The divine fungal grass shouldn't exist in the world anymore. response:	I'm willing to go and destroy it.
context: It seems that my little lass is really hurt this time.\Where are you hurt?\Is it here?\Auntie...\You do know it all.\All right, hush now...\The divine fungal grass shouldn't exist in the world anymore.\I'm willing to go and destroy it. response:	Ye Hua, even if the grass isn't destroyed no one can get it easily.
context: Where are you hurt?\Is it here?\Auntie...\You do know it all.\All right, hush now...\The divine fungal grass shouldn't exist in the world anymore.\I'm willing to go and destroy it.\Ye Hua, even if the grass isn't destroyed no one can get it easily. response:	Why bother wasting your effort on such a matter?
context: Is it here?\Auntie...\You do know it all.\All right, hush now...\The divine fungal grass shouldn't exist in the world anymore.\I'm willing to go and destroy it.\Ye Hua, even if the grass isn't destroyed no one can get it easily.\Why bother wasting your effort on such a matter? response:	The longer some things are left in this world
context: Auntie...\You do know it all.\All right, hush now...\The divine fungal grass shouldn't exist in the world anymore.\I'm willing to go and destroy it.\Ye Hua, even if the grass isn't destroyed no one can get it easily.\Why bother wasting your effort on such a matter?\The longer some things are left in this world response:	the more possible it is that they can cause damage.
context: You do know it all.\All right, hush now...\The divine fungal grass shouldn't exist in the world anymore.\I'm willing to go and destroy it.\Ye Hua, even if the grass isn't destroyed no one can get it easily.\Why bother wasting your effort on such a matter?\The longer some things are left in this world\the more possible it is that they can cause damage. response:	You have a point.
context: All right, hush now...\The divine fungal grass shouldn't exist in the world anymore.\I'm willing to go and destroy it.\Ye Hua, even if the grass isn't destroyed no one can get it easily.\Why bother wasting your effort on such a matter?\The longer some things are left in this world\the more possible it is that they can cause damage.\You have a point. response:	Ye Hua, my stamina is failing.
context: The divine fungal grass shouldn't exist in the world anymore.\I'm willing to go and destroy it.\Ye Hua, even if the grass isn't destroyed no one can get it easily.\Why bother wasting your effort on such a matter?\The longer some things are left in this world\the more possible it is that they can cause damage.\You have a point.\Ye Hua, my stamina is failing. response:	I'm prepared to pass the throne over to you
context: I'm willing to go and destroy it.\Ye Hua, even if the grass isn't destroyed no one can get it easily.\Why bother wasting your effort on such a matter?\The longer some things are left in this world\the more possible it is that they can cause damage.\You have a point.\Ye Hua, my stamina is failing.\I'm prepared to pass the throne over to you response:	but I have yet to find a good time to do it.
context: Ye Hua, even if the grass isn't destroyed no one can get it easily.\Why bother wasting your effort on such a matter?\The longer some things are left in this world\the more possible it is that they can cause damage.\You have a point.\Ye Hua, my stamina is failing.\I'm prepared to pass the throne over to you\but I have yet to find a good time to do it. response:	If you can defeat the four mystical beasts...
context: Why bother wasting your effort on such a matter?\The longer some things are left in this world\the more possible it is that they can cause damage.\You have a point.\Ye Hua, my stamina is failing.\I'm prepared to pass the throne over to you\but I have yet to find a good time to do it.\If you can defeat the four mystical beasts... response:	Sure, I'll send you to destroy the divine fungal grass to prevent further trouble.
context: The longer some things are left in this world\the more possible it is that they can cause damage.\You have a point.\Ye Hua, my stamina is failing.\I'm prepared to pass the throne over to you\but I have yet to find a good time to do it.\If you can defeat the four mystical beasts...\Sure, I'll send you to destroy the divine fungal grass to prevent further trouble. response:	Thank you, Heavenly Lord.
context: the more possible it is that they can cause damage.\You have a point.\Ye Hua, my stamina is failing.\I'm prepared to pass the throne over to you\but I have yet to find a good time to do it.\If you can defeat the four mystical beasts...\Sure, I'll send you to destroy the divine fungal grass to prevent further trouble.\Thank you, Heavenly Lord. response:	Take 30,000 celestial soldiers with you.
context: You have a point.\Ye Hua, my stamina is failing.\I'm prepared to pass the throne over to you\but I have yet to find a good time to do it.\If you can defeat the four mystical beasts...\Sure, I'll send you to destroy the divine fungal grass to prevent further trouble.\Thank you, Heavenly Lord.\Take 30,000 celestial soldiers with you. response:	I intend to go alone.
context: Ye Hua, my stamina is failing.\I'm prepared to pass the throne over to you\but I have yet to find a good time to do it.\If you can defeat the four mystical beasts...\Sure, I'll send you to destroy the divine fungal grass to prevent further trouble.\Thank you, Heavenly Lord.\Take 30,000 celestial soldiers with you.\I intend to go alone. response:	You wish to go alone?
context: I'm prepared to pass the throne over to you\but I have yet to find a good time to do it.\If you can defeat the four mystical beasts...\Sure, I'll send you to destroy the divine fungal grass to prevent further trouble.\Thank you, Heavenly Lord.\Take 30,000 celestial soldiers with you.\I intend to go alone.\You wish to go alone? response:	Yes.
context: but I have yet to find a good time to do it.\If you can defeat the four mystical beasts...\Sure, I'll send you to destroy the divine fungal grass to prevent further trouble.\Thank you, Heavenly Lord.\Take 30,000 celestial soldiers with you.\I intend to go alone.\You wish to go alone?\Yes. response:	I wish to carry out the task quietly.
context: If you can defeat the four mystical beasts...\Sure, I'll send you to destroy the divine fungal grass to prevent further trouble.\Thank you, Heavenly Lord.\Take 30,000 celestial soldiers with you.\I intend to go alone.\You wish to go alone?\Yes.\I wish to carry out the task quietly. response:	It will only cause trouble should this be made known to others.
context: Sure, I'll send you to destroy the divine fungal grass to prevent further trouble.\Thank you, Heavenly Lord.\Take 30,000 celestial soldiers with you.\I intend to go alone.\You wish to go alone?\Yes.\I wish to carry out the task quietly.\It will only cause trouble should this be made known to others. response:	After all, the divine fungal grass is a malicious magical plant.
context: Thank you, Heavenly Lord.\Take 30,000 celestial soldiers with you.\I intend to go alone.\You wish to go alone?\Yes.\I wish to carry out the task quietly.\It will only cause trouble should this be made known to others.\After all, the divine fungal grass is a malicious magical plant. response:	Many others might secretly covet it.
context: Take 30,000 celestial soldiers with you.\I intend to go alone.\You wish to go alone?\Yes.\I wish to carry out the task quietly.\It will only cause trouble should this be made known to others.\After all, the divine fungal grass is a malicious magical plant.\Many others might secretly covet it. response:	What about the four mystical beasts?
context: I intend to go alone.\You wish to go alone?\Yes.\I wish to carry out the task quietly.\It will only cause trouble should this be made known to others.\After all, the divine fungal grass is a malicious magical plant.\Many others might secretly covet it.\What about the four mystical beasts? response:	Can you tackle them?
context: You wish to go alone?\Yes.\I wish to carry out the task quietly.\It will only cause trouble should this be made known to others.\After all, the divine fungal grass is a malicious magical plant.\Many others might secretly covet it.\What about the four mystical beasts?\Can you tackle them? response:	I am to be the next Heavenly Lord.
context: Yes.\I wish to carry out the task quietly.\It will only cause trouble should this be made known to others.\After all, the divine fungal grass is a malicious magical plant.\Many others might secretly covet it.\What about the four mystical beasts?\Can you tackle them?\I am to be the next Heavenly Lord. response:	If I can't even tackle four mystical beasts
context: I wish to carry out the task quietly.\It will only cause trouble should this be made known to others.\After all, the divine fungal grass is a malicious magical plant.\Many others might secretly covet it.\What about the four mystical beasts?\Can you tackle them?\I am to be the next Heavenly Lord.\If I can't even tackle four mystical beasts response:	how can I win over all the immortals of the realms?
context: It will only cause trouble should this be made known to others.\After all, the divine fungal grass is a malicious magical plant.\Many others might secretly covet it.\What about the four mystical beasts?\Can you tackle them?\I am to be the next Heavenly Lord.\If I can't even tackle four mystical beasts\how can I win over all the immortals of the realms? response:	I need only three days to accomplish this task.
context: After all, the divine fungal grass is a malicious magical plant.\Many others might secretly covet it.\What about the four mystical beasts?\Can you tackle them?\I am to be the next Heavenly Lord.\If I can't even tackle four mystical beasts\how can I win over all the immortals of the realms?\I need only three days to accomplish this task. response:	All right, three days it is.
context: Many others might secretly covet it.\What about the four mystical beasts?\Can you tackle them?\I am to be the next Heavenly Lord.\If I can't even tackle four mystical beasts\how can I win over all the immortals of the realms?\I need only three days to accomplish this task.\All right, three days it is. response:	I'll await your victorious return.
context: What about the four mystical beasts?\Can you tackle them?\I am to be the next Heavenly Lord.\If I can't even tackle four mystical beasts\how can I win over all the immortals of the realms?\I need only three days to accomplish this task.\All right, three days it is.\I'll await your victorious return. response:	Yes.
context: Can you tackle them?\I am to be the next Heavenly Lord.\If I can't even tackle four mystical beasts\how can I win over all the immortals of the realms?\I need only three days to accomplish this task.\All right, three days it is.\I'll await your victorious return.\Yes. response:	Emissary?
context: I am to be the next Heavenly Lord.\If I can't even tackle four mystical beasts\how can I win over all the immortals of the realms?\I need only three days to accomplish this task.\All right, three days it is.\I'll await your victorious return.\Yes.\Emissary? response:	Si Yin?
context: If I can't even tackle four mystical beasts\how can I win over all the immortals of the realms?\I need only three days to accomplish this task.\All right, three days it is.\I'll await your victorious return.\Yes.\Emissary?\Si Yin? response:	She's a woman. How could she be Seventeenth?
context: how can I win over all the immortals of the realms?\I need only three days to accomplish this task.\All right, three days it is.\I'll await your victorious return.\Yes.\Emissary?\Si Yin?\She's a woman. How could she be Seventeenth? response:	Could she be Xuan Nu?
context: I need only three days to accomplish this task.\All right, three days it is.\I'll await your victorious return.\Yes.\Emissary?\Si Yin?\She's a woman. How could she be Seventeenth?\Could she be Xuan Nu? response:	Speak up!
context: All right, three days it is.\I'll await your victorious return.\Yes.\Emissary?\Si Yin?\She's a woman. How could she be Seventeenth?\Could she be Xuan Nu?\Speak up! response:	What are you doing in the West Sea?
context: I'll await your victorious return.\Yes.\Emissary?\Si Yin?\She's a woman. How could she be Seventeenth?\Could she be Xuan Nu?\Speak up!\What are you doing in the West Sea? response:	Senior...
context: Yes.\Emissary?\Si Yin?\She's a woman. How could she be Seventeenth?\Could she be Xuan Nu?\Speak up!\What are you doing in the West Sea?\Senior... response:	I am Seventeenth.
context: Emissary?\Si Yin?\She's a woman. How could she be Seventeenth?\Could she be Xuan Nu?\Speak up!\What are you doing in the West Sea?\Senior...\I am Seventeenth. response:	You really are Seventeenth?
context: Si Yin?\She's a woman. How could she be Seventeenth?\Could she be Xuan Nu?\Speak up!\What are you doing in the West Sea?\Senior...\I am Seventeenth.\You really are Seventeenth? response:	You're Seventeenth?
context: She's a woman. How could she be Seventeenth?\Could she be Xuan Nu?\Speak up!\What are you doing in the West Sea?\Senior...\I am Seventeenth.\You really are Seventeenth?\You're Seventeenth? response:	I was too naughty then and I took Master's body with me.
context: Could she be Xuan Nu?\Speak up!\What are you doing in the West Sea?\Senior...\I am Seventeenth.\You really are Seventeenth?\You're Seventeenth?\I was too naughty then and I took Master's body with me. response:	I was too ashamed to see all of my seniors.
context: Speak up!\What are you doing in the West Sea?\Senior...\I am Seventeenth.\You really are Seventeenth?\You're Seventeenth?\I was too naughty then and I took Master's body with me.\I was too ashamed to see all of my seniors. response:	Seventeenth, you've kept us searching.
context: What are you doing in the West Sea?\Senior...\I am Seventeenth.\You really are Seventeenth?\You're Seventeenth?\I was too naughty then and I took Master's body with me.\I was too ashamed to see all of my seniors.\Seventeenth, you've kept us searching. response:	70,000 years and I've finally found you.
context: Senior...\I am Seventeenth.\You really are Seventeenth?\You're Seventeenth?\I was too naughty then and I took Master's body with me.\I was too ashamed to see all of my seniors.\Seventeenth, you've kept us searching.\70,000 years and I've finally found you. response:	Senior...
context: I am Seventeenth.\You really are Seventeenth?\You're Seventeenth?\I was too naughty then and I took Master's body with me.\I was too ashamed to see all of my seniors.\Seventeenth, you've kept us searching.\70,000 years and I've finally found you.\Senior... response:	Why would you disguise yourself as a woman?
context: You really are Seventeenth?\You're Seventeenth?\I was too naughty then and I took Master's body with me.\I was too ashamed to see all of my seniors.\Seventeenth, you've kept us searching.\70,000 years and I've finally found you.\Senior...\Why would you disguise yourself as a woman? response:	The maids said that Zhe Yan's emissary is staying here.
context: You're Seventeenth?\I was too naughty then and I took Master's body with me.\I was too ashamed to see all of my seniors.\Seventeenth, you've kept us searching.\70,000 years and I've finally found you.\Senior...\Why would you disguise yourself as a woman?\The maids said that Zhe Yan's emissary is staying here. response:	Could that be you?
context: I was too naughty then and I took Master's body with me.\I was too ashamed to see all of my seniors.\Seventeenth, you've kept us searching.\70,000 years and I've finally found you.\Senior...\Why would you disguise yourself as a woman?\The maids said that Zhe Yan's emissary is staying here.\Could that be you? response:	You've been in Ten-mile Peach Tree Woods for the past 70,000 years?
context: I was too ashamed to see all of my seniors.\Seventeenth, you've kept us searching.\70,000 years and I've finally found you.\Senior...\Why would you disguise yourself as a woman?\The maids said that Zhe Yan's emissary is staying here.\Could that be you?\You've been in Ten-mile Peach Tree Woods for the past 70,000 years? response:	I've always been a girl.
context: Seventeenth, you've kept us searching.\70,000 years and I've finally found you.\Senior...\Why would you disguise yourself as a woman?\The maids said that Zhe Yan's emissary is staying here.\Could that be you?\You've been in Ten-mile Peach Tree Woods for the past 70,000 years?\I've always been a girl. response:	I only disguised myself as a man to train in Kunlun Mountain.
context: 70,000 years and I've finally found you.\Senior...\Why would you disguise yourself as a woman?\The maids said that Zhe Yan's emissary is staying here.\Could that be you?\You've been in Ten-mile Peach Tree Woods for the past 70,000 years?\I've always been a girl.\I only disguised myself as a man to train in Kunlun Mountain. response:	What?
context: Senior...\Why would you disguise yourself as a woman?\The maids said that Zhe Yan's emissary is staying here.\Could that be you?\You've been in Ten-mile Peach Tree Woods for the past 70,000 years?\I've always been a girl.\I only disguised myself as a man to train in Kunlun Mountain.\What? response:	I'm Qing Qiu Fox King Bai Zhi's youngest daughter, Bai Qian.
context: Why would you disguise yourself as a woman?\The maids said that Zhe Yan's emissary is staying here.\Could that be you?\You've been in Ten-mile Peach Tree Woods for the past 70,000 years?\I've always been a girl.\I only disguised myself as a man to train in Kunlun Mountain.\What?\I'm Qing Qiu Fox King Bai Zhi's youngest daughter, Bai Qian. response:	I've deceived my seniors and Master.
context: The maids said that Zhe Yan's emissary is staying here.\Could that be you?\You've been in Ten-mile Peach Tree Woods for the past 70,000 years?\I've always been a girl.\I only disguised myself as a man to train in Kunlun Mountain.\What?\I'm Qing Qiu Fox King Bai Zhi's youngest daughter, Bai Qian.\I've deceived my seniors and Master. response:	This is all my fault.
context: Could that be you?\You've been in Ten-mile Peach Tree Woods for the past 70,000 years?\I've always been a girl.\I only disguised myself as a man to train in Kunlun Mountain.\What?\I'm Qing Qiu Fox King Bai Zhi's youngest daughter, Bai Qian.\I've deceived my seniors and Master.\This is all my fault. response:	- You really are a woman? - Yes.
context: You've been in Ten-mile Peach Tree Woods for the past 70,000 years?\I've always been a girl.\I only disguised myself as a man to train in Kunlun Mountain.\What?\I'm Qing Qiu Fox King Bai Zhi's youngest daughter, Bai Qian.\I've deceived my seniors and Master.\This is all my fault.\- You really are a woman? - Yes. response:	You... you deceived us for so long.
context: I've always been a girl.\I only disguised myself as a man to train in Kunlun Mountain.\What?\I'm Qing Qiu Fox King Bai Zhi's youngest daughter, Bai Qian.\I've deceived my seniors and Master.\This is all my fault.\- You really are a woman? - Yes.\You... you deceived us for so long. response:	Qing Qiu's Bai Qian...
context: I only disguised myself as a man to train in Kunlun Mountain.\What?\I'm Qing Qiu Fox King Bai Zhi's youngest daughter, Bai Qian.\I've deceived my seniors and Master.\This is all my fault.\- You really are a woman? - Yes.\You... you deceived us for so long.\Qing Qiu's Bai Qian... response:	Qing Qiu's Bai Qian...
context: What?\I'm Qing Qiu Fox King Bai Zhi's youngest daughter, Bai Qian.\I've deceived my seniors and Master.\This is all my fault.\- You really are a woman? - Yes.\You... you deceived us for so long.\Qing Qiu's Bai Qian...\Qing Qiu's Bai Qian... response:	No wonder hundreds of years ago
context: I'm Qing Qiu Fox King Bai Zhi's youngest daughter, Bai Qian.\I've deceived my seniors and Master.\This is all my fault.\- You really are a woman? - Yes.\You... you deceived us for so long.\Qing Qiu's Bai Qian...\Qing Qiu's Bai Qian...\No wonder hundreds of years ago response:	when Qing Cang was said to break out of the bell once again
context: I've deceived my seniors and Master.\This is all my fault.\- You really are a woman? - Yes.\You... you deceived us for so long.\Qing Qiu's Bai Qian...\Qing Qiu's Bai Qian...\No wonder hundreds of years ago\when Qing Cang was said to break out of the bell once again response:	it was Qing Qiu's Bai Qian who sealed him up.
context: This is all my fault.\- You really are a woman? - Yes.\You... you deceived us for so long.\Qing Qiu's Bai Qian...\Qing Qiu's Bai Qian...\No wonder hundreds of years ago\when Qing Cang was said to break out of the bell once again\it was Qing Qiu's Bai Qian who sealed him up. response:	She brought peace to the realms once more.
context: - You really are a woman? - Yes.\You... you deceived us for so long.\Qing Qiu's Bai Qian...\Qing Qiu's Bai Qian...\No wonder hundreds of years ago\when Qing Cang was said to break out of the bell once again\it was Qing Qiu's Bai Qian who sealed him up.\She brought peace to the realms once more. response:	Only a disciple of Kunlun Mountain could have done that.
context: You... you deceived us for so long.\Qing Qiu's Bai Qian...\Qing Qiu's Bai Qian...\No wonder hundreds of years ago\when Qing Cang was said to break out of the bell once again\it was Qing Qiu's Bai Qian who sealed him up.\She brought peace to the realms once more.\Only a disciple of Kunlun Mountain could have done that. response:	Good! Well done!
context: Qing Qiu's Bai Qian...\Qing Qiu's Bai Qian...\No wonder hundreds of years ago\when Qing Cang was said to break out of the bell once again\it was Qing Qiu's Bai Qian who sealed him up.\She brought peace to the realms once more.\Only a disciple of Kunlun Mountain could have done that.\Good! Well done! response:	Seventeenth, answer me.
context: Qing Qiu's Bai Qian...\No wonder hundreds of years ago\when Qing Cang was said to break out of the bell once again\it was Qing Qiu's Bai Qian who sealed him up.\She brought peace to the realms once more.\Only a disciple of Kunlun Mountain could have done that.\Good! Well done!\Seventeenth, answer me. response:	Where is Master's body?
context: No wonder hundreds of years ago\when Qing Cang was said to break out of the bell once again\it was Qing Qiu's Bai Qian who sealed him up.\She brought peace to the realms once more.\Only a disciple of Kunlun Mountain could have done that.\Good! Well done!\Seventeenth, answer me.\Where is Master's body? response:	Do you know that the divine energy has soared in Kunlun Mountain?
context: when Qing Cang was said to break out of the bell once again\it was Qing Qiu's Bai Qian who sealed him up.\She brought peace to the realms once more.\Only a disciple of Kunlun Mountain could have done that.\Good! Well done!\Seventeenth, answer me.\Where is Master's body?\Do you know that the divine energy has soared in Kunlun Mountain? response:	It's a sign that Master will soon return.
context: it was Qing Qiu's Bai Qian who sealed him up.\She brought peace to the realms once more.\Only a disciple of Kunlun Mountain could have done that.\Good! Well done!\Seventeenth, answer me.\Where is Master's body?\Do you know that the divine energy has soared in Kunlun Mountain?\It's a sign that Master will soon return. response:	There are signs in Kunlun Mountain already?
