context: Maccachin stole some buns, and they got stuck in his throat. response:	Victor!
context: and everyone who loves skating...\This is for you.\This isn't enough love!\A quadruple Lutz.\Nailed it!\It's not just that I land all the jumps with ease.\They're integrated into the overall performance, are they not?\A triple flip, single loop, and triple Salchow. response:	Amazing.
context: This is for you.\This isn't enough love!\A quadruple Lutz.\Nailed it!\It's not just that I land all the jumps with ease.\They're integrated into the overall performance, are they not?\A triple flip, single loop, and triple Salchow.\Amazing. response:	A superb jump combination!
context: This isn't enough love!\A quadruple Lutz.\Nailed it!\It's not just that I land all the jumps with ease.\They're integrated into the overall performance, are they not?\A triple flip, single loop, and triple Salchow.\Amazing.\A superb jump combination! response:	Hey, judges!
context: A quadruple Lutz.\Nailed it!\It's not just that I land all the jumps with ease.\They're integrated into the overall performance, are they not?\A triple flip, single loop, and triple Salchow.\Amazing.\A superb jump combination!\Hey, judges! response:	This is JJ!
context: Nailed it!\It's not just that I land all the jumps with ease.\They're integrated into the overall performance, are they not?\A triple flip, single loop, and triple Salchow.\Amazing.\A superb jump combination!\Hey, judges!\This is JJ! response:	His last jump will be a quad.
context: It's not just that I land all the jumps with ease.\They're integrated into the overall performance, are they not?\A triple flip, single loop, and triple Salchow.\Amazing.\A superb jump combination!\Hey, judges!\This is JJ!\His last jump will be a quad. response:	So far, there have been no mistakes.
context: They're integrated into the overall performance, are they not?\A triple flip, single loop, and triple Salchow.\Amazing.\A superb jump combination!\Hey, judges!\This is JJ!\His last jump will be a quad.\So far, there have been no mistakes. response:	Let's go!
context: A triple flip, single loop, and triple Salchow.\Amazing.\A superb jump combination!\Hey, judges!\This is JJ!\His last jump will be a quad.\So far, there have been no mistakes.\Let's go! response:	A quadruple toe loop.
context: Amazing.\A superb jump combination!\Hey, judges!\This is JJ!\His last jump will be a quad.\So far, there have been no mistakes.\Let's go!\A quadruple toe loop. response:	He's landed all his jumps!
context: A superb jump combination!\Hey, judges!\This is JJ!\His last jump will be a quad.\So far, there have been no mistakes.\Let's go!\A quadruple toe loop.\He's landed all his jumps! response:	JJ will take first in the free skate, as well.
context: Hey, judges!\This is JJ!\His last jump will be a quad.\So far, there have been no mistakes.\Let's go!\A quadruple toe loop.\He's landed all his jumps!\JJ will take first in the free skate, as well. response:	Yuri Plisetsky will place second,
context: This is JJ!\His last jump will be a quad.\So far, there have been no mistakes.\Let's go!\A quadruple toe loop.\He's landed all his jumps!\JJ will take first in the free skate, as well.\Yuri Plisetsky will place second, response:	with Michele Crispino in third.
context: His last jump will be a quad.\So far, there have been no mistakes.\Let's go!\A quadruple toe loop.\He's landed all his jumps!\JJ will take first in the free skate, as well.\Yuri Plisetsky will place second,\with Michele Crispino in third. response:	Katsuki Yuri will be fourth.
context: So far, there have been no mistakes.\Let's go!\A quadruple toe loop.\He's landed all his jumps!\JJ will take first in the free skate, as well.\Yuri Plisetsky will place second,\with Michele Crispino in third.\Katsuki Yuri will be fourth. response:	When you total both competition scores,
context: Let's go!\A quadruple toe loop.\He's landed all his jumps!\JJ will take first in the free skate, as well.\Yuri Plisetsky will place second,\with Michele Crispino in third.\Katsuki Yuri will be fourth.\When you total both competition scores, response:	Michele and Katsuki have the same overall score.
context: A quadruple toe loop.\He's landed all his jumps!\JJ will take first in the free skate, as well.\Yuri Plisetsky will place second,\with Michele Crispino in third.\Katsuki Yuri will be fourth.\When you total both competition scores,\Michele and Katsuki have the same overall score. response:	Since we're tied in points,
context: He's landed all his jumps!\JJ will take first in the free skate, as well.\Yuri Plisetsky will place second,\with Michele Crispino in third.\Katsuki Yuri will be fourth.\When you total both competition scores,\Michele and Katsuki have the same overall score.\Since we're tied in points, response:	I can squeak into the Final because I placed second in the Cup of China.
context: JJ will take first in the free skate, as well.\Yuri Plisetsky will place second,\with Michele Crispino in third.\Katsuki Yuri will be fourth.\When you total both competition scores,\Michele and Katsuki have the same overall score.\Since we're tied in points,\I can squeak into the Final because I placed second in the Cup of China. response:	The Rostelecom Cup is over.
context: Yuri Plisetsky will place second,\with Michele Crispino in third.\Katsuki Yuri will be fourth.\When you total both competition scores,\Michele and Katsuki have the same overall score.\Since we're tied in points,\I can squeak into the Final because I placed second in the Cup of China.\The Rostelecom Cup is over. response:	The final six who will advance to the Grand Prix Final are
context: with Michele Crispino in third.\Katsuki Yuri will be fourth.\When you total both competition scores,\Michele and Katsuki have the same overall score.\Since we're tied in points,\I can squeak into the Final because I placed second in the Cup of China.\The Rostelecom Cup is over.\The final six who will advance to the Grand Prix Final are response:	the three who had basically been confirmed already...
context: Katsuki Yuri will be fourth.\When you total both competition scores,\Michele and Katsuki have the same overall score.\Since we're tied in points,\I can squeak into the Final because I placed second in the Cup of China.\The Rostelecom Cup is over.\The final six who will advance to the Grand Prix Final are\the three who had basically been confirmed already... response:	JJ, who cemented his win with another high score,
context: When you total both competition scores,\Michele and Katsuki have the same overall score.\Since we're tied in points,\I can squeak into the Final because I placed second in the Cup of China.\The Rostelecom Cup is over.\The final six who will advance to the Grand Prix Final are\the three who had basically been confirmed already...\JJ, who cemented his win with another high score, response:	Yurio, who finished second, and...
context: Michele and Katsuki have the same overall score.\Since we're tied in points,\I can squeak into the Final because I placed second in the Cup of China.\The Rostelecom Cup is over.\The final six who will advance to the Grand Prix Final are\the three who had basically been confirmed already...\JJ, who cemented his win with another high score,\Yurio, who finished second, and... response:	Man, I'm tired.
context: Since we're tied in points,\I can squeak into the Final because I placed second in the Cup of China.\The Rostelecom Cup is over.\The final six who will advance to the Grand Prix Final are\the three who had basically been confirmed already...\JJ, who cemented his win with another high score,\Yurio, who finished second, and...\Man, I'm tired. response:	You don't have to come support me at the Women's Free Skate tomorrow, Mickey.
context: I can squeak into the Final because I placed second in the Cup of China.\The Rostelecom Cup is over.\The final six who will advance to the Grand Prix Final are\the three who had basically been confirmed already...\JJ, who cemented his win with another high score,\Yurio, who finished second, and...\Man, I'm tired.\You don't have to come support me at the Women's Free Skate tomorrow, Mickey. response:	Can't I at least cheer you on?
context: The Rostelecom Cup is over.\The final six who will advance to the Grand Prix Final are\the three who had basically been confirmed already...\JJ, who cemented his win with another high score,\Yurio, who finished second, and...\Man, I'm tired.\You don't have to come support me at the Women's Free Skate tomorrow, Mickey.\Can't I at least cheer you on? response:	You'd just rush right to the kiss and cry again.
context: The final six who will advance to the Grand Prix Final are\the three who had basically been confirmed already...\JJ, who cemented his win with another high score,\Yurio, who finished second, and...\Man, I'm tired.\You don't have to come support me at the Women's Free Skate tomorrow, Mickey.\Can't I at least cheer you on?\You'd just rush right to the kiss and cry again. response:	Yuri, congrats on qualifying for the Grand Prix Final!
context: the three who had basically been confirmed already...\JJ, who cemented his win with another high score,\Yurio, who finished second, and...\Man, I'm tired.\You don't have to come support me at the Women's Free Skate tomorrow, Mickey.\Can't I at least cheer you on?\You'd just rush right to the kiss and cry again.\Yuri, congrats on qualifying for the Grand Prix Final! response:	I knew you'd make it.
context: JJ, who cemented his win with another high score,\Yurio, who finished second, and...\Man, I'm tired.\You don't have to come support me at the Women's Free Skate tomorrow, Mickey.\Can't I at least cheer you on?\You'd just rush right to the kiss and cry again.\Yuri, congrats on qualifying for the Grand Prix Final!\I knew you'd make it. response:	Sala!
context: Yurio, who finished second, and...\Man, I'm tired.\You don't have to come support me at the Women's Free Skate tomorrow, Mickey.\Can't I at least cheer you on?\You'd just rush right to the kiss and cry again.\Yuri, congrats on qualifying for the Grand Prix Final!\I knew you'd make it.\Sala! response:	Thanks.
context: Man, I'm tired.\You don't have to come support me at the Women's Free Skate tomorrow, Mickey.\Can't I at least cheer you on?\You'd just rush right to the kiss and cry again.\Yuri, congrats on qualifying for the Grand Prix Final!\I knew you'd make it.\Sala!\Thanks. response:	What are you doing?!
context: You don't have to come support me at the Women's Free Skate tomorrow, Mickey.\Can't I at least cheer you on?\You'd just rush right to the kiss and cry again.\Yuri, congrats on qualifying for the Grand Prix Final!\I knew you'd make it.\Sala!\Thanks.\What are you doing?! response:	Huh?
context: Can't I at least cheer you on?\You'd just rush right to the kiss and cry again.\Yuri, congrats on qualifying for the Grand Prix Final!\I knew you'd make it.\Sala!\Thanks.\What are you doing?!\Huh? response:	Was that Mickey screaming?
context: You'd just rush right to the kiss and cry again.\Yuri, congrats on qualifying for the Grand Prix Final!\I knew you'd make it.\Sala!\Thanks.\What are you doing?!\Huh?\Was that Mickey screaming? response:	What's this? A hugging competition?
context: Yuri, congrats on qualifying for the Grand Prix Final!\I knew you'd make it.\Sala!\Thanks.\What are you doing?!\Huh?\Was that Mickey screaming?\What's this? A hugging competition? response:	JJ is
context: I knew you'd make it.\Sala!\Thanks.\What are you doing?!\Huh?\Was that Mickey screaming?\What's this? A hugging competition?\JJ is response:	Huh?!
context: Sala!\Thanks.\What are you doing?!\Huh?\Was that Mickey screaming?\What's this? A hugging competition?\JJ is\Huh?! response:	Stay away from me!
context: Thanks.\What are you doing?!\Huh?\Was that Mickey screaming?\What's this? A hugging competition?\JJ is\Huh?!\Stay away from me! response:	I'm this close to the peak of my competitive figure skating career.
context: What are you doing?!\Huh?\Was that Mickey screaming?\What's this? A hugging competition?\JJ is\Huh?!\Stay away from me!\I'm this close to the peak of my competitive figure skating career. response:	I really want the gold now.
context: Huh?\Was that Mickey screaming?\What's this? A hugging competition?\JJ is\Huh?!\Stay away from me!\I'm this close to the peak of my competitive figure skating career.\I really want the gold now. response:	The Grand Prix Final will be my last chance.
context: Was that Mickey screaming?\What's this? A hugging competition?\JJ is\Huh?!\Stay away from me!\I'm this close to the peak of my competitive figure skating career.\I really want the gold now.\The Grand Prix Final will be my last chance. response:	Even if I don't win gold,
context: What's this? A hugging competition?\JJ is\Huh?!\Stay away from me!\I'm this close to the peak of my competitive figure skating career.\I really want the gold now.\The Grand Prix Final will be my last chance.\Even if I don't win gold, response:	I'll have Victor step down as coach after the Grand Prix Final, and...
context: JJ is\Huh?!\Stay away from me!\I'm this close to the peak of my competitive figure skating career.\I really want the gold now.\The Grand Prix Final will be my last chance.\Even if I don't win gold,\I'll have Victor step down as coach after the Grand Prix Final, and... response:	There you are, pork cutlet bowl.
context: Huh?!\Stay away from me!\I'm this close to the peak of my competitive figure skating career.\I really want the gold now.\The Grand Prix Final will be my last chance.\Even if I don't win gold,\I'll have Victor step down as coach after the Grand Prix Final, and...\There you are, pork cutlet bowl. response:	You made me look for you.
context: Stay away from me!\I'm this close to the peak of my competitive figure skating career.\I really want the gold now.\The Grand Prix Final will be my last chance.\Even if I don't win gold,\I'll have Victor step down as coach after the Grand Prix Final, and...\There you are, pork cutlet bowl.\You made me look for you. response:	Oh, Yurio...
context: I'm this close to the peak of my competitive figure skating career.\I really want the gold now.\The Grand Prix Final will be my last chance.\Even if I don't win gold,\I'll have Victor step down as coach after the Grand Prix Final, and...\There you are, pork cutlet bowl.\You made me look for you.\Oh, Yurio... response:	What was that earlier?
context: I really want the gold now.\The Grand Prix Final will be my last chance.\Even if I don't win gold,\I'll have Victor step down as coach after the Grand Prix Final, and...\There you are, pork cutlet bowl.\You made me look for you.\Oh, Yurio...\What was that earlier? response:	Stop creeping me out!
context: The Grand Prix Final will be my last chance.\Even if I don't win gold,\I'll have Victor step down as coach after the Grand Prix Final, and...\There you are, pork cutlet bowl.\You made me look for you.\Oh, Yurio...\What was that earlier?\Stop creeping me out! response:	And what was that free skate, anyway?
context: Even if I don't win gold,\I'll have Victor step down as coach after the Grand Prix Final, and...\There you are, pork cutlet bowl.\You made me look for you.\Oh, Yurio...\What was that earlier?\Stop creeping me out!\And what was that free skate, anyway? response:	You can make the excuse that you couldn't do your best because Victor wasn't there,
context: I'll have Victor step down as coach after the Grand Prix Final, and...\There you are, pork cutlet bowl.\You made me look for you.\Oh, Yurio...\What was that earlier?\Stop creeping me out!\And what was that free skate, anyway?\You can make the excuse that you couldn't do your best because Victor wasn't there, response:	but I was in top form and earned a new personal best,
context: There you are, pork cutlet bowl.\You made me look for you.\Oh, Yurio...\What was that earlier?\Stop creeping me out!\And what was that free skate, anyway?\You can make the excuse that you couldn't do your best because Victor wasn't there,\but I was in top form and earned a new personal best, response:	only to lose to JJ again!
context: You made me look for you.\Oh, Yurio...\What was that earlier?\Stop creeping me out!\And what was that free skate, anyway?\You can make the excuse that you couldn't do your best because Victor wasn't there,\but I was in top form and earned a new personal best,\only to lose to JJ again! response:	You have no right to feel more down than me, pork cutlet bowl!
context: Oh, Yurio...\What was that earlier?\Stop creeping me out!\And what was that free skate, anyway?\You can make the excuse that you couldn't do your best because Victor wasn't there,\but I was in top form and earned a new personal best,\only to lose to JJ again!\You have no right to feel more down than me, pork cutlet bowl! response:	You can have it.
context: What was that earlier?\Stop creeping me out!\And what was that free skate, anyway?\You can make the excuse that you couldn't do your best because Victor wasn't there,\but I was in top form and earned a new personal best,\only to lose to JJ again!\You have no right to feel more down than me, pork cutlet bowl!\You can have it. response:	It's almost your birthday, right?
context: Stop creeping me out!\And what was that free skate, anyway?\You can make the excuse that you couldn't do your best because Victor wasn't there,\but I was in top form and earned a new personal best,\only to lose to JJ again!\You have no right to feel more down than me, pork cutlet bowl!\You can have it.\It's almost your birthday, right? response:	Huh?
context: And what was that free skate, anyway?\You can make the excuse that you couldn't do your best because Victor wasn't there,\but I was in top form and earned a new personal best,\only to lose to JJ again!\You have no right to feel more down than me, pork cutlet bowl!\You can have it.\It's almost your birthday, right?\Huh? response:	Pirozhki?
context: You can make the excuse that you couldn't do your best because Victor wasn't there,\but I was in top form and earned a new personal best,\only to lose to JJ again!\You have no right to feel more down than me, pork cutlet bowl!\You can have it.\It's almost your birthday, right?\Huh?\Pirozhki? response:	Eat.
context: but I was in top form and earned a new personal best,\only to lose to JJ again!\You have no right to feel more down than me, pork cutlet bowl!\You can have it.\It's almost your birthday, right?\Huh?\Pirozhki?\Eat. response:	Huh? Right here?
context: only to lose to JJ again!\You have no right to feel more down than me, pork cutlet bowl!\You can have it.\It's almost your birthday, right?\Huh?\Pirozhki?\Eat.\Huh? Right here? response:	Eat!
context: You have no right to feel more down than me, pork cutlet bowl!\You can have it.\It's almost your birthday, right?\Huh?\Pirozhki?\Eat.\Huh? Right here?\Eat! response:	There's rice in this...
context: You can have it.\It's almost your birthday, right?\Huh?\Pirozhki?\Eat.\Huh? Right here?\Eat!\There's rice in this... response:	Pork cutlet and egg, too.
context: It's almost your birthday, right?\Huh?\Pirozhki?\Eat.\Huh? Right here?\Eat!\There's rice in this...\Pork cutlet and egg, too. response:	It's a pork cutlet bowl!
context: Huh?\Pirozhki?\Eat.\Huh? Right here?\Eat!\There's rice in this...\Pork cutlet and egg, too.\It's a pork cutlet bowl! response:	That's right!
context: Pirozhki?\Eat.\Huh? Right here?\Eat!\There's rice in this...\Pork cutlet and egg, too.\It's a pork cutlet bowl!\That's right! response:	My grandpa made them himself!
context: Eat.\Huh? Right here?\Eat!\There's rice in this...\Pork cutlet and egg, too.\It's a pork cutlet bowl!\That's right!\My grandpa made them himself! response:	Great, aren't they?
context: Huh? Right here?\Eat!\There's rice in this...\Pork cutlet and egg, too.\It's a pork cutlet bowl!\That's right!\My grandpa made them himself!\Great, aren't they? response:	Yeah!
context: Eat!\There's rice in this...\Pork cutlet and egg, too.\It's a pork cutlet bowl!\That's right!\My grandpa made them himself!\Great, aren't they?\Yeah! response:	They're vkusno!
context: There's rice in this...\Pork cutlet and egg, too.\It's a pork cutlet bowl!\That's right!\My grandpa made them himself!\Great, aren't they?\Yeah!\They're vkusno! response:	Fukuoka Airport International Terminal
context: Pork cutlet and egg, too.\It's a pork cutlet bowl!\That's right!\My grandpa made them himself!\Great, aren't they?\Yeah!\They're vkusno!\Fukuoka Airport International Terminal response:	I have a lot I want to tell you, Victor.
context: It's a pork cutlet bowl!\That's right!\My grandpa made them himself!\Great, aren't they?\Yeah!\They're vkusno!\Fukuoka Airport International Terminal\I have a lot I want to tell you, Victor. response:	What do I say first?
context: That's right!\My grandpa made them himself!\Great, aren't they?\Yeah!\They're vkusno!\Fukuoka Airport International Terminal\I have a lot I want to tell you, Victor.\What do I say first? response:	Yuri...
context: My grandpa made them himself!\Great, aren't they?\Yeah!\They're vkusno!\Fukuoka Airport International Terminal\I have a lot I want to tell you, Victor.\What do I say first?\Yuri... response:	I've been thinking about what I can do as your coach from now on.
context: Great, aren't they?\Yeah!\They're vkusno!\Fukuoka Airport International Terminal\I have a lot I want to tell you, Victor.\What do I say first?\Yuri...\I've been thinking about what I can do as your coach from now on. response:	Me, too.
context: Yeah!\They're vkusno!\Fukuoka Airport International Terminal\I have a lot I want to tell you, Victor.\What do I say first?\Yuri...\I've been thinking about what I can do as your coach from now on.\Me, too. response:	Please be my coach until I retire!
context: They're vkusno!\Fukuoka Airport International Terminal\I have a lot I want to tell you, Victor.\What do I say first?\Yuri...\I've been thinking about what I can do as your coach from now on.\Me, too.\Please be my coach until I retire! response:	It's almost like a marriage proposal.
context: Fukuoka Airport International Terminal\I have a lot I want to tell you, Victor.\What do I say first?\Yuri...\I've been thinking about what I can do as your coach from now on.\Me, too.\Please be my coach until I retire!\It's almost like a marriage proposal. response:	I wish you'd never retire.
context: I have a lot I want to tell you, Victor.\What do I say first?\Yuri...\I've been thinking about what I can do as your coach from now on.\Me, too.\Please be my coach until I retire!\It's almost like a marriage proposal.\I wish you'd never retire. response:	Let's win gold together at the Grand Prix Final.
context: What do I say first?\Yuri...\I've been thinking about what I can do as your coach from now on.\Me, too.\Please be my coach until I retire!\It's almost like a marriage proposal.\I wish you'd never retire.\Let's win gold together at the Grand Prix Final. response:	To Be Continued!!!
context: Yuri...\I've been thinking about what I can do as your coach from now on.\Me, too.\Please be my coach until I retire!\It's almost like a marriage proposal.\I wish you'd never retire.\Let's win gold together at the Grand Prix Final.\To Be Continued!!! response:	Yay! I'm finally on vacation!
context: I've been thinking about what I can do as your coach from now on.\Me, too.\Please be my coach until I retire!\It's almost like a marriage proposal.\I wish you'd never retire.\Let's win gold together at the Grand Prix Final.\To Be Continued!!!\Yay! I'm finally on vacation! response:	Where's my swimsuit?
context: Me, too.\Please be my coach until I retire!\It's almost like a marriage proposal.\I wish you'd never retire.\Let's win gold together at the Grand Prix Final.\To Be Continued!!!\Yay! I'm finally on vacation!\Where's my swimsuit? response:	It may be a resort, but it's the middle of winter!
context: Please be my coach until I retire!\It's almost like a marriage proposal.\I wish you'd never retire.\Let's win gold together at the Grand Prix Final.\To Be Continued!!!\Yay! I'm finally on vacation!\Where's my swimsuit?\It may be a resort, but it's the middle of winter! response:	Oh, right. It's almost Christmas.
context: It's almost like a marriage proposal.\I wish you'd never retire.\Let's win gold together at the Grand Prix Final.\To Be Continued!!!\Yay! I'm finally on vacation!\Where's my swimsuit?\It may be a resort, but it's the middle of winter!\Oh, right. It's almost Christmas. response:	What are you going to give me, Yuri?
context: I wish you'd never retire.\Let's win gold together at the Grand Prix Final.\To Be Continued!!!\Yay! I'm finally on vacation!\Where's my swimsuit?\It may be a resort, but it's the middle of winter!\Oh, right. It's almost Christmas.\What are you going to give me, Yuri? response:	Something round and golden.
context: Let's win gold together at the Grand Prix Final.\To Be Continued!!!\Yay! I'm finally on vacation!\Where's my swimsuit?\It may be a resort, but it's the middle of winter!\Oh, right. It's almost Christmas.\What are you going to give me, Yuri?\Something round and golden. response:	Wow!
context: To Be Continued!!!\Yay! I'm finally on vacation!\Where's my swimsuit?\It may be a resort, but it's the middle of winter!\Oh, right. It's almost Christmas.\What are you going to give me, Yuri?\Something round and golden.\Wow! response:	Tenth Skate Gotta Supercharge It! Pre-Grand Prix Final Special!
context: Yay! I'm finally on vacation!\Where's my swimsuit?\It may be a resort, but it's the middle of winter!\Oh, right. It's almost Christmas.\What are you going to give me, Yuri?\Something round and golden.\Wow!\Tenth Skate Gotta Supercharge It! Pre-Grand Prix Final Special! response:	Gotta Supercharge It!
context: Where's my swimsuit?\It may be a resort, but it's the middle of winter!\Oh, right. It's almost Christmas.\What are you going to give me, Yuri?\Something round and golden.\Wow!\Tenth Skate Gotta Supercharge It! Pre-Grand Prix Final Special!\Gotta Supercharge It! response:	Pre-Grand Prix Final Special!
