context: The Black Lizard... response:	The Black Lizard...
context: Oh, and despite his appearance, he's 26 years old.\What?\The reason why everyone at the Agency respects Rampo-san\is because they know his Ultra-Deduction isn't an ability.\I'd heard of it, myself,\but I only witnessed its power first-hand today.\To tell you the truth,\while he was using his Ultra-Deduction ability today, response:	I was secretly pinching his hair behind him.
context: What?\The reason why everyone at the Agency respects Rampo-san\is because they know his Ultra-Deduction isn't an ability.\I'd heard of it, myself,\but I only witnessed its power first-hand today.\To tell you the truth,\while he was using his Ultra-Deduction ability today,\I was secretly pinching his hair behind him. response:	As you well know,
context: The reason why everyone at the Agency respects Rampo-san\is because they know his Ultra-Deduction isn't an ability.\I'd heard of it, myself,\but I only witnessed its power first-hand today.\To tell you the truth,\while he was using his Ultra-Deduction ability today,\I was secretly pinching his hair behind him.\As you well know, response:	I can neutralize anyone's ability if I touch them... I'm anti-gifted.
context: is because they know his Ultra-Deduction isn't an ability.\I'd heard of it, myself,\but I only witnessed its power first-hand today.\To tell you the truth,\while he was using his Ultra-Deduction ability today,\I was secretly pinching his hair behind him.\As you well know,\I can neutralize anyone's ability if I touch them... I'm anti-gifted. response:	No gifted can ever use their ability while I am touching any part of them,
context: I'd heard of it, myself,\but I only witnessed its power first-hand today.\To tell you the truth,\while he was using his Ultra-Deduction ability today,\I was secretly pinching his hair behind him.\As you well know,\I can neutralize anyone's ability if I touch them... I'm anti-gifted.\No gifted can ever use their ability while I am touching any part of them, response:	no matter how strong their powers may be.
context: but I only witnessed its power first-hand today.\To tell you the truth,\while he was using his Ultra-Deduction ability today,\I was secretly pinching his hair behind him.\As you well know,\I can neutralize anyone's ability if I touch them... I'm anti-gifted.\No gifted can ever use their ability while I am touching any part of them,\no matter how strong their powers may be. response:	In other words,
context: To tell you the truth,\while he was using his Ultra-Deduction ability today,\I was secretly pinching his hair behind him.\As you well know,\I can neutralize anyone's ability if I touch them... I'm anti-gifted.\No gifted can ever use their ability while I am touching any part of them,\no matter how strong their powers may be.\In other words, response:	his Ultra-Deduction is not an ability.
context: while he was using his Ultra-Deduction ability today,\I was secretly pinching his hair behind him.\As you well know,\I can neutralize anyone's ability if I touch them... I'm anti-gifted.\No gifted can ever use their ability while I am touching any part of them,\no matter how strong their powers may be.\In other words,\his Ultra-Deduction is not an ability. response:	It's not?
context: I was secretly pinching his hair behind him.\As you well know,\I can neutralize anyone's ability if I touch them... I'm anti-gifted.\No gifted can ever use their ability while I am touching any part of them,\no matter how strong their powers may be.\In other words,\his Ultra-Deduction is not an ability.\It's not? response:	Then how'd he...
context: As you well know,\I can neutralize anyone's ability if I touch them... I'm anti-gifted.\No gifted can ever use their ability while I am touching any part of them,\no matter how strong their powers may be.\In other words,\his Ultra-Deduction is not an ability.\It's not?\Then how'd he... response:	It's just deduction, pure and simple.
context: I can neutralize anyone's ability if I touch them... I'm anti-gifted.\No gifted can ever use their ability while I am touching any part of them,\no matter how strong their powers may be.\In other words,\his Ultra-Deduction is not an ability.\It's not?\Then how'd he...\It's just deduction, pure and simple. response:	But how?
context: No gifted can ever use their ability while I am touching any part of them,\no matter how strong their powers may be.\In other words,\his Ultra-Deduction is not an ability.\It's not?\Then how'd he...\It's just deduction, pure and simple.\But how? response:	He figured out who the killer was in such a short amount of time!
context: no matter how strong their powers may be.\In other words,\his Ultra-Deduction is not an ability.\It's not?\Then how'd he...\It's just deduction, pure and simple.\But how?\He figured out who the killer was in such a short amount of time! response:	Is mere deduction enough to make such a thing possible?
context: In other words,\his Ultra-Deduction is not an ability.\It's not?\Then how'd he...\It's just deduction, pure and simple.\But how?\He figured out who the killer was in such a short amount of time!\Is mere deduction enough to make such a thing possible? response:	Right.
context: his Ultra-Deduction is not an ability.\It's not?\Then how'd he...\It's just deduction, pure and simple.\But how?\He figured out who the killer was in such a short amount of time!\Is mere deduction enough to make such a thing possible?\Right. response:	I could tell, too, actually.
context: It's not?\Then how'd he...\It's just deduction, pure and simple.\But how?\He figured out who the killer was in such a short amount of time!\Is mere deduction enough to make such a thing possible?\Right.\I could tell, too, actually. response:	Remember what Sergeant Sugimoto said?
context: Then how'd he...\It's just deduction, pure and simple.\But how?\He figured out who the killer was in such a short amount of time!\Is mere deduction enough to make such a thing possible?\Right.\I could tell, too, actually.\Remember what Sergeant Sugimoto said? response:	Shooting two extra rounds into the body just for that?
context: It's just deduction, pure and simple.\But how?\He figured out who the killer was in such a short amount of time!\Is mere deduction enough to make such a thing possible?\Right.\I could tell, too, actually.\Remember what Sergeant Sugimoto said?\Shooting two extra rounds into the body just for that? response:	Illustration
context: But how?\He figured out who the killer was in such a short amount of time!\Is mere deduction enough to make such a thing possible?\Right.\I could tell, too, actually.\Remember what Sergeant Sugimoto said?\Shooting two extra rounds into the body just for that?\Illustration response:	Anyone who saw a body with three gunshot wounds
context: He figured out who the killer was in such a short amount of time!\Is mere deduction enough to make such a thing possible?\Right.\I could tell, too, actually.\Remember what Sergeant Sugimoto said?\Shooting two extra rounds into the body just for that?\Illustration\Anyone who saw a body with three gunshot wounds response:	would assume they were fired at the same time.
context: Is mere deduction enough to make such a thing possible?\Right.\I could tell, too, actually.\Remember what Sergeant Sugimoto said?\Shooting two extra rounds into the body just for that?\Illustration\Anyone who saw a body with three gunshot wounds\would assume they were fired at the same time. response:	Oh...
context: Right.\I could tell, too, actually.\Remember what Sergeant Sugimoto said?\Shooting two extra rounds into the body just for that?\Illustration\Anyone who saw a body with three gunshot wounds\would assume they were fired at the same time.\Oh... response:	In other words,
context: I could tell, too, actually.\Remember what Sergeant Sugimoto said?\Shooting two extra rounds into the body just for that?\Illustration\Anyone who saw a body with three gunshot wounds\would assume they were fired at the same time.\Oh...\In other words, response:	he knew that the victim had perished from the first shot.
context: Remember what Sergeant Sugimoto said?\Shooting two extra rounds into the body just for that?\Illustration\Anyone who saw a body with three gunshot wounds\would assume they were fired at the same time.\Oh...\In other words,\he knew that the victim had perished from the first shot. response:	How could he have known that before an autopsy?
context: Shooting two extra rounds into the body just for that?\Illustration\Anyone who saw a body with three gunshot wounds\would assume they were fired at the same time.\Oh...\In other words,\he knew that the victim had perished from the first shot.\How could he have known that before an autopsy? response:	Only if he was the killer...
context: Illustration\Anyone who saw a body with three gunshot wounds\would assume they were fired at the same time.\Oh...\In other words,\he knew that the victim had perished from the first shot.\How could he have known that before an autopsy?\Only if he was the killer... response:	But Rampo-san also knew when it happened...
context: Anyone who saw a body with three gunshot wounds\would assume they were fired at the same time.\Oh...\In other words,\he knew that the victim had perished from the first shot.\How could he have known that before an autopsy?\Only if he was the killer...\But Rampo-san also knew when it happened... response:	Early yesterday morning.
context: would assume they were fired at the same time.\Oh...\In other words,\he knew that the victim had perished from the first shot.\How could he have known that before an autopsy?\Only if he was the killer...\But Rampo-san also knew when it happened...\Early yesterday morning. response:	That's because the body was still in good condition.
context: Oh...\In other words,\he knew that the victim had perished from the first shot.\How could he have known that before an autopsy?\Only if he was the killer...\But Rampo-san also knew when it happened...\Early yesterday morning.\That's because the body was still in good condition. response:	So, at most, it'd only been floating in the river for a day.
context: In other words,\he knew that the victim had perished from the first shot.\How could he have known that before an autopsy?\Only if he was the killer...\But Rampo-san also knew when it happened...\Early yesterday morning.\That's because the body was still in good condition.\So, at most, it'd only been floating in the river for a day. response:	Yesterday was Tuesday, a weekday.
context: he knew that the victim had perished from the first shot.\How could he have known that before an autopsy?\Only if he was the killer...\But Rampo-san also knew when it happened...\Early yesterday morning.\That's because the body was still in good condition.\So, at most, it'd only been floating in the river for a day.\Yesterday was Tuesday, a weekday. response:	But the victim wasn't wearing any makeup.
context: How could he have known that before an autopsy?\Only if he was the killer...\But Rampo-san also knew when it happened...\Early yesterday morning.\That's because the body was still in good condition.\So, at most, it'd only been floating in the river for a day.\Yesterday was Tuesday, a weekday.\But the victim wasn't wearing any makeup. response:	A detective working long hours, often late into the night,
context: Only if he was the killer...\But Rampo-san also knew when it happened...\Early yesterday morning.\That's because the body was still in good condition.\So, at most, it'd only been floating in the river for a day.\Yesterday was Tuesday, a weekday.\But the victim wasn't wearing any makeup.\A detective working long hours, often late into the night, response:	would only be like that on a weekday
context: But Rampo-san also knew when it happened...\Early yesterday morning.\That's because the body was still in good condition.\So, at most, it'd only been floating in the river for a day.\Yesterday was Tuesday, a weekday.\But the victim wasn't wearing any makeup.\A detective working long hours, often late into the night,\would only be like that on a weekday response:	if the murder had occurred in the early morning.
context: Early yesterday morning.\That's because the body was still in good condition.\So, at most, it'd only been floating in the river for a day.\Yesterday was Tuesday, a weekday.\But the victim wasn't wearing any makeup.\A detective working long hours, often late into the night,\would only be like that on a weekday\if the murder had occurred in the early morning. response:	I see.
context: That's because the body was still in good condition.\So, at most, it'd only been floating in the river for a day.\Yesterday was Tuesday, a weekday.\But the victim wasn't wearing any makeup.\A detective working long hours, often late into the night,\would only be like that on a weekday\if the murder had occurred in the early morning.\I see. response:	But how did he know about the crime scene's location,
context: So, at most, it'd only been floating in the river for a day.\Yesterday was Tuesday, a weekday.\But the victim wasn't wearing any makeup.\A detective working long hours, often late into the night,\would only be like that on a weekday\if the murder had occurred in the early morning.\I see.\But how did he know about the crime scene's location, response:	and that she was threatened with a gun?
context: Yesterday was Tuesday, a weekday.\But the victim wasn't wearing any makeup.\A detective working long hours, often late into the night,\would only be like that on a weekday\if the murder had occurred in the early morning.\I see.\But how did he know about the crime scene's location,\and that she was threatened with a gun? response:	That, I don't know.
context: But the victim wasn't wearing any makeup.\A detective working long hours, often late into the night,\would only be like that on a weekday\if the murder had occurred in the early morning.\I see.\But how did he know about the crime scene's location,\and that she was threatened with a gun?\That, I don't know. response:	Rampo-san probably caught a lot more details than I could hope to.
context: A detective working long hours, often late into the night,\would only be like that on a weekday\if the murder had occurred in the early morning.\I see.\But how did he know about the crime scene's location,\and that she was threatened with a gun?\That, I don't know.\Rampo-san probably caught a lot more details than I could hope to. response:	That's true.
context: would only be like that on a weekday\if the murder had occurred in the early morning.\I see.\But how did he know about the crime scene's location,\and that she was threatened with a gun?\That, I don't know.\Rampo-san probably caught a lot more details than I could hope to.\That's true. response:	He even guessed her final words.
context: if the murder had occurred in the early morning.\I see.\But how did he know about the crime scene's location,\and that she was threatened with a gun?\That, I don't know.\Rampo-san probably caught a lot more details than I could hope to.\That's true.\He even guessed her final words. response:	Oh, that.
context: I see.\But how did he know about the crime scene's location,\and that she was threatened with a gun?\That, I don't know.\Rampo-san probably caught a lot more details than I could hope to.\That's true.\He even guessed her final words.\Oh, that. response:	She supposedly wasn't seeing anyone,
context: But how did he know about the crime scene's location,\and that she was threatened with a gun?\That, I don't know.\Rampo-san probably caught a lot more details than I could hope to.\That's true.\He even guessed her final words.\Oh, that.\She supposedly wasn't seeing anyone, response:	but her wristwatch was an overseas brand-name item.
context: and that she was threatened with a gun?\That, I don't know.\Rampo-san probably caught a lot more details than I could hope to.\That's true.\He even guessed her final words.\Oh, that.\She supposedly wasn't seeing anyone,\but her wristwatch was an overseas brand-name item. response:	It's not something a single woman would buy for herself.
context: That, I don't know.\Rampo-san probably caught a lot more details than I could hope to.\That's true.\He even guessed her final words.\Oh, that.\She supposedly wasn't seeing anyone,\but her wristwatch was an overseas brand-name item.\It's not something a single woman would buy for herself. response:	And Sergeant Sugimoto's watch was the men's version of the same model.
context: Rampo-san probably caught a lot more details than I could hope to.\That's true.\He even guessed her final words.\Oh, that.\She supposedly wasn't seeing anyone,\but her wristwatch was an overseas brand-name item.\It's not something a single woman would buy for herself.\And Sergeant Sugimoto's watch was the men's version of the same model. response:	Then they were...
context: That's true.\He even guessed her final words.\Oh, that.\She supposedly wasn't seeing anyone,\but her wristwatch was an overseas brand-name item.\It's not something a single woman would buy for herself.\And Sergeant Sugimoto's watch was the men's version of the same model.\Then they were... response:	She went to see him early in the morning when he reached out,
context: He even guessed her final words.\Oh, that.\She supposedly wasn't seeing anyone,\but her wristwatch was an overseas brand-name item.\It's not something a single woman would buy for herself.\And Sergeant Sugimoto's watch was the men's version of the same model.\Then they were...\She went to see him early in the morning when he reached out, response:	without bothering to put on makeup.
context: Oh, that.\She supposedly wasn't seeing anyone,\but her wristwatch was an overseas brand-name item.\It's not something a single woman would buy for herself.\And Sergeant Sugimoto's watch was the men's version of the same model.\Then they were...\She went to see him early in the morning when he reached out,\without bothering to put on makeup. response:	And their watches are of the same model...
context: She supposedly wasn't seeing anyone,\but her wristwatch was an overseas brand-name item.\It's not something a single woman would buy for herself.\And Sergeant Sugimoto's watch was the men's version of the same model.\Then they were...\She went to see him early in the morning when he reached out,\without bothering to put on makeup.\And their watches are of the same model... response:	They were dating.
context: but her wristwatch was an overseas brand-name item.\It's not something a single woman would buy for herself.\And Sergeant Sugimoto's watch was the men's version of the same model.\Then they were...\She went to see him early in the morning when he reached out,\without bothering to put on makeup.\And their watches are of the same model...\They were dating. response:	That's why he couldn't kick her head in,
context: It's not something a single woman would buy for herself.\And Sergeant Sugimoto's watch was the men's version of the same model.\Then they were...\She went to see him early in the morning when he reached out,\without bothering to put on makeup.\And their watches are of the same model...\They were dating.\That's why he couldn't kick her head in, response:	even though he knew it wouldn't look like the Mafia's work.
context: And Sergeant Sugimoto's watch was the men's version of the same model.\Then they were...\She went to see him early in the morning when he reached out,\without bothering to put on makeup.\And their watches are of the same model...\They were dating.\That's why he couldn't kick her head in,\even though he knew it wouldn't look like the Mafia's work. response:	The ability to see through all that
context: Then they were...\She went to see him early in the morning when he reached out,\without bothering to put on makeup.\And their watches are of the same model...\They were dating.\That's why he couldn't kick her head in,\even though he knew it wouldn't look like the Mafia's work.\The ability to see through all that response:	would be par for the course if it were an actual ability.
context: She went to see him early in the morning when he reached out,\without bothering to put on makeup.\And their watches are of the same model...\They were dating.\That's why he couldn't kick her head in,\even though he knew it wouldn't look like the Mafia's work.\The ability to see through all that\would be par for the course if it were an actual ability. response:	Nothing more, nothing less.
context: without bothering to put on makeup.\And their watches are of the same model...\They were dating.\That's why he couldn't kick her head in,\even though he knew it wouldn't look like the Mafia's work.\The ability to see through all that\would be par for the course if it were an actual ability.\Nothing more, nothing less. response:	But if it's due to his personal powers of deduction, that's a different story.
context: And their watches are of the same model...\They were dating.\That's why he couldn't kick her head in,\even though he knew it wouldn't look like the Mafia's work.\The ability to see through all that\would be par for the course if it were an actual ability.\Nothing more, nothing less.\But if it's due to his personal powers of deduction, that's a different story. response:	He's solved dozens of cases in the past.
context: They were dating.\That's why he couldn't kick her head in,\even though he knew it wouldn't look like the Mafia's work.\The ability to see through all that\would be par for the course if it were an actual ability.\Nothing more, nothing less.\But if it's due to his personal powers of deduction, that's a different story.\He's solved dozens of cases in the past. response:	In every case,
context: That's why he couldn't kick her head in,\even though he knew it wouldn't look like the Mafia's work.\The ability to see through all that\would be par for the course if it were an actual ability.\Nothing more, nothing less.\But if it's due to his personal powers of deduction, that's a different story.\He's solved dozens of cases in the past.\In every case, response:	he was able to instantly determine the truth of the matter with the slimmest of leads.
context: even though he knew it wouldn't look like the Mafia's work.\The ability to see through all that\would be par for the course if it were an actual ability.\Nothing more, nothing less.\But if it's due to his personal powers of deduction, that's a different story.\He's solved dozens of cases in the past.\In every case,\he was able to instantly determine the truth of the matter with the slimmest of leads. response:	He's never been wrong, either.
context: The ability to see through all that\would be par for the course if it were an actual ability.\Nothing more, nothing less.\But if it's due to his personal powers of deduction, that's a different story.\He's solved dozens of cases in the past.\In every case,\he was able to instantly determine the truth of the matter with the slimmest of leads.\He's never been wrong, either. response:	What a great man.
context: would be par for the course if it were an actual ability.\Nothing more, nothing less.\But if it's due to his personal powers of deduction, that's a different story.\He's solved dozens of cases in the past.\In every case,\he was able to instantly determine the truth of the matter with the slimmest of leads.\He's never been wrong, either.\What a great man. response:	Hey, guide!
context: Nothing more, nothing less.\But if it's due to his personal powers of deduction, that's a different story.\He's solved dozens of cases in the past.\In every case,\he was able to instantly determine the truth of the matter with the slimmest of leads.\He's never been wrong, either.\What a great man.\Hey, guide! response:	I can't find my way back to the Agency on my own, you know!
context: But if it's due to his personal powers of deduction, that's a different story.\He's solved dozens of cases in the past.\In every case,\he was able to instantly determine the truth of the matter with the slimmest of leads.\He's never been wrong, either.\What a great man.\Hey, guide!\I can't find my way back to the Agency on my own, you know! response:	I think I kind of get it now...
context: He's solved dozens of cases in the past.\In every case,\he was able to instantly determine the truth of the matter with the slimmest of leads.\He's never been wrong, either.\What a great man.\Hey, guide!\I can't find my way back to the Agency on my own, you know!\I think I kind of get it now... response:	Why everyone at the Agency trusts Rampo-san so much.
context: In every case,\he was able to instantly determine the truth of the matter with the slimmest of leads.\He's never been wrong, either.\What a great man.\Hey, guide!\I can't find my way back to the Agency on my own, you know!\I think I kind of get it now...\Why everyone at the Agency trusts Rampo-san so much. response:	All's well that's well for me!
context: he was able to instantly determine the truth of the matter with the slimmest of leads.\He's never been wrong, either.\What a great man.\Hey, guide!\I can't find my way back to the Agency on my own, you know!\I think I kind of get it now...\Why everyone at the Agency trusts Rampo-san so much.\All's well that's well for me! response:	All's Well That's Well For Me
context: He's never been wrong, either.\What a great man.\Hey, guide!\I can't find my way back to the Agency on my own, you know!\I think I kind of get it now...\Why everyone at the Agency trusts Rampo-san so much.\All's well that's well for me!\All's Well That's Well For Me response:	Rampo
context: What a great man.\Hey, guide!\I can't find my way back to the Agency on my own, you know!\I think I kind of get it now...\Why everyone at the Agency trusts Rampo-san so much.\All's well that's well for me!\All's Well That's Well For Me\Rampo response:	What is the Ideal?
context: Hey, guide!\I can't find my way back to the Agency on my own, you know!\I think I kind of get it now...\Why everyone at the Agency trusts Rampo-san so much.\All's well that's well for me!\All's Well That's Well For Me\Rampo\What is the Ideal? response:	Ideal
context: I can't find my way back to the Agency on my own, you know!\I think I kind of get it now...\Why everyone at the Agency trusts Rampo-san so much.\All's well that's well for me!\All's Well That's Well For Me\Rampo\What is the Ideal?\Ideal response:	There are any number of answers to that question.
context: I think I kind of get it now...\Why everyone at the Agency trusts Rampo-san so much.\All's well that's well for me!\All's Well That's Well For Me\Rampo\What is the Ideal?\Ideal\There are any number of answers to that question. response:	It is words,
context: Why everyone at the Agency trusts Rampo-san so much.\All's well that's well for me!\All's Well That's Well For Me\Rampo\What is the Ideal?\Ideal\There are any number of answers to that question.\It is words, response:	it is thought.
context: All's well that's well for me!\All's Well That's Well For Me\Rampo\What is the Ideal?\Ideal\There are any number of answers to that question.\It is words,\it is thought. response:	From a moving plan scheduled five years from now
context: All's Well That's Well For Me\Rampo\What is the Ideal?\Ideal\There are any number of answers to that question.\It is words,\it is thought.\From a moving plan scheduled five years from now response:	to tonight's dinner menu,
context: Rampo\What is the Ideal?\Ideal\There are any number of answers to that question.\It is words,\it is thought.\From a moving plan scheduled five years from now\to tonight's dinner menu, response:	this notebook has everything in life written out in exacting detail.
context: What is the Ideal?\Ideal\There are any number of answers to that question.\It is words,\it is thought.\From a moving plan scheduled five years from now\to tonight's dinner menu,\this notebook has everything in life written out in exacting detail. response:	It represents the entirety of my ideals!
context: Ideal\There are any number of answers to that question.\It is words,\it is thought.\From a moving plan scheduled five years from now\to tonight's dinner menu,\this notebook has everything in life written out in exacting detail.\It represents the entirety of my ideals! response:	But you really shouldn't show anyone
context: There are any number of answers to that question.\It is words,\it is thought.\From a moving plan scheduled five years from now\to tonight's dinner menu,\this notebook has everything in life written out in exacting detail.\It represents the entirety of my ideals!\But you really shouldn't show anyone response:	the page where you've written about who would be the ideal woman.
context: It is words,\it is thought.\From a moving plan scheduled five years from now\to tonight's dinner menu,\this notebook has everything in life written out in exacting detail.\It represents the entirety of my ideals!\But you really shouldn't show anyone\the page where you've written about who would be the ideal woman. response:	Episode 6 The Azure Messenger
context: it is thought.\From a moving plan scheduled five years from now\to tonight's dinner menu,\this notebook has everything in life written out in exacting detail.\It represents the entirety of my ideals!\But you really shouldn't show anyone\the page where you've written about who would be the ideal woman.\Episode 6 The Azure Messenger response:	The Azure Messenger.
context: From a moving plan scheduled five years from now\to tonight's dinner menu,\this notebook has everything in life written out in exacting detail.\It represents the entirety of my ideals!\But you really shouldn't show anyone\the page where you've written about who would be the ideal woman.\Episode 6 The Azure Messenger\The Azure Messenger. response:	What's so bad about looking for an ideal woman?!
