context: We will now begin the second phase of the footman audition. response:	There is only one assignment in this second phase.
context: What are you looking at?!\You're like a punk that gets pissed at people who make eye contact.\Shut up! Look outside the window or something!\Yes, yes.\I owe him one again.\He's mean to me, sexually harasses me, and makes me think he's screwed up,\But he's always there for me when it counts.\On the other hand, I can't do anything. response:	I'm sorry.
context: You're like a punk that gets pissed at people who make eye contact.\Shut up! Look outside the window or something!\Yes, yes.\I owe him one again.\He's mean to me, sexually harasses me, and makes me think he's screwed up,\But he's always there for me when it counts.\On the other hand, I can't do anything.\I'm sorry. response:	I feel like I'm totally depending on you.
context: Shut up! Look outside the window or something!\Yes, yes.\I owe him one again.\He's mean to me, sexually harasses me, and makes me think he's screwed up,\But he's always there for me when it counts.\On the other hand, I can't do anything.\I'm sorry.\I feel like I'm totally depending on you. response:	I've wanted to repay the favors you've done for me, but I can't at all.
context: Yes, yes.\I owe him one again.\He's mean to me, sexually harasses me, and makes me think he's screwed up,\But he's always there for me when it counts.\On the other hand, I can't do anything.\I'm sorry.\I feel like I'm totally depending on you.\I've wanted to repay the favors you've done for me, but I can't at all. response:	In the end, this is all I can do.
context: I owe him one again.\He's mean to me, sexually harasses me, and makes me think he's screwed up,\But he's always there for me when it counts.\On the other hand, I can't do anything.\I'm sorry.\I feel like I'm totally depending on you.\I've wanted to repay the favors you've done for me, but I can't at all.\In the end, this is all I can do. response:	I'm so hopeless.
context: He's mean to me, sexually harasses me, and makes me think he's screwed up,\But he's always there for me when it counts.\On the other hand, I can't do anything.\I'm sorry.\I feel like I'm totally depending on you.\I've wanted to repay the favors you've done for me, but I can't at all.\In the end, this is all I can do.\I'm so hopeless. response:	You're so sly, Ayuzawa.
context: But he's always there for me when it counts.\On the other hand, I can't do anything.\I'm sorry.\I feel like I'm totally depending on you.\I've wanted to repay the favors you've done for me, but I can't at all.\In the end, this is all I can do.\I'm so hopeless.\You're so sly, Ayuzawa. response:	In what way?!
context: On the other hand, I can't do anything.\I'm sorry.\I feel like I'm totally depending on you.\I've wanted to repay the favors you've done for me, but I can't at all.\In the end, this is all I can do.\I'm so hopeless.\You're so sly, Ayuzawa.\In what way?! response:	I'm actually relying on you quite a bit, too.
context: I'm sorry.\I feel like I'm totally depending on you.\I've wanted to repay the favors you've done for me, but I can't at all.\In the end, this is all I can do.\I'm so hopeless.\You're so sly, Ayuzawa.\In what way?!\I'm actually relying on you quite a bit, too. response:	You're lying!
context: I feel like I'm totally depending on you.\I've wanted to repay the favors you've done for me, but I can't at all.\In the end, this is all I can do.\I'm so hopeless.\You're so sly, Ayuzawa.\In what way?!\I'm actually relying on you quite a bit, too.\You're lying! response:	No, I'm not.
context: I've wanted to repay the favors you've done for me, but I can't at all.\In the end, this is all I can do.\I'm so hopeless.\You're so sly, Ayuzawa.\In what way?!\I'm actually relying on you quite a bit, too.\You're lying!\No, I'm not. response:	Someone like you is perfect for me.
context: In the end, this is all I can do.\I'm so hopeless.\You're so sly, Ayuzawa.\In what way?!\I'm actually relying on you quite a bit, too.\You're lying!\No, I'm not.\Someone like you is perfect for me. response:	Perfect? Who do you think you are?
context: I'm so hopeless.\You're so sly, Ayuzawa.\In what way?!\I'm actually relying on you quite a bit, too.\You're lying!\No, I'm not.\Someone like you is perfect for me.\Perfect? Who do you think you are? response:	Stupid Usui.
context: You're so sly, Ayuzawa.\In what way?!\I'm actually relying on you quite a bit, too.\You're lying!\No, I'm not.\Someone like you is perfect for me.\Perfect? Who do you think you are?\Stupid Usui. response:	What's up with this?
context: In what way?!\I'm actually relying on you quite a bit, too.\You're lying!\No, I'm not.\Someone like you is perfect for me.\Perfect? Who do you think you are?\Stupid Usui.\What's up with this? response:	You piss me off.
context: I'm actually relying on you quite a bit, too.\You're lying!\No, I'm not.\Someone like you is perfect for me.\Perfect? Who do you think you are?\Stupid Usui.\What's up with this?\You piss me off. response:	That wasn't fair, Prez.
context: You're lying!\No, I'm not.\Someone like you is perfect for me.\Perfect? Who do you think you are?\Stupid Usui.\What's up with this?\You piss me off.\That wasn't fair, Prez. response:	What wasn't?
context: No, I'm not.\Someone like you is perfect for me.\Perfect? Who do you think you are?\Stupid Usui.\What's up with this?\You piss me off.\That wasn't fair, Prez.\What wasn't? response:	Don't blame me for everything.
context: Someone like you is perfect for me.\Perfect? Who do you think you are?\Stupid Usui.\What's up with this?\You piss me off.\That wasn't fair, Prez.\What wasn't?\Don't blame me for everything. response:	Stop being ambiguous!
context: Perfect? Who do you think you are?\Stupid Usui.\What's up with this?\You piss me off.\That wasn't fair, Prez.\What wasn't?\Don't blame me for everything.\Stop being ambiguous! response:	Kanou-kun! How come you passed the audition and I didn't?
context: Stupid Usui.\What's up with this?\You piss me off.\That wasn't fair, Prez.\What wasn't?\Don't blame me for everything.\Stop being ambiguous!\Kanou-kun! How come you passed the audition and I didn't? response:	I don't know.
context: What's up with this?\You piss me off.\That wasn't fair, Prez.\What wasn't?\Don't blame me for everything.\Stop being ambiguous!\Kanou-kun! How come you passed the audition and I didn't?\I don't know. response:	We're a pair, so why did I fail?
context: You piss me off.\That wasn't fair, Prez.\What wasn't?\Don't blame me for everything.\Stop being ambiguous!\Kanou-kun! How come you passed the audition and I didn't?\I don't know.\We're a pair, so why did I fail? response:	I don't know.
context: That wasn't fair, Prez.\What wasn't?\Don't blame me for everything.\Stop being ambiguous!\Kanou-kun! How come you passed the audition and I didn't?\I don't know.\We're a pair, so why did I fail?\I don't know. response:	Is that Usui-san standing over there?
context: What wasn't?\Don't blame me for everything.\Stop being ambiguous!\Kanou-kun! How come you passed the audition and I didn't?\I don't know.\We're a pair, so why did I fail?\I don't know.\Is that Usui-san standing over there? response:	Or is it Usui je Nye-san?
context: Don't blame me for everything.\Stop being ambiguous!\Kanou-kun! How come you passed the audition and I didn't?\I don't know.\We're a pair, so why did I fail?\I don't know.\Is that Usui-san standing over there?\Or is it Usui je Nye-san? response:	What's wrong, Yukimura-kun?
context: Stop being ambiguous!\Kanou-kun! How come you passed the audition and I didn't?\I don't know.\We're a pair, so why did I fail?\I don't know.\Is that Usui-san standing over there?\Or is it Usui je Nye-san?\What's wrong, Yukimura-kun? response:	Oh, so it was Usui-san.
context: Kanou-kun! How come you passed the audition and I didn't?\I don't know.\We're a pair, so why did I fail?\I don't know.\Is that Usui-san standing over there?\Or is it Usui je Nye-san?\What's wrong, Yukimura-kun?\Oh, so it was Usui-san. response:	I have a favor to ask of you.
context: I don't know.\We're a pair, so why did I fail?\I don't know.\Is that Usui-san standing over there?\Or is it Usui je Nye-san?\What's wrong, Yukimura-kun?\Oh, so it was Usui-san.\I have a favor to ask of you. response:	Yukimura, are you sure you want to ask this perv for a favor?
context: We're a pair, so why did I fail?\I don't know.\Is that Usui-san standing over there?\Or is it Usui je Nye-san?\What's wrong, Yukimura-kun?\Oh, so it was Usui-san.\I have a favor to ask of you.\Yukimura, are you sure you want to ask this perv for a favor? response:	But I want to be a good brother, for my sister's sake.
context: I don't know.\Is that Usui-san standing over there?\Or is it Usui je Nye-san?\What's wrong, Yukimura-kun?\Oh, so it was Usui-san.\I have a favor to ask of you.\Yukimura, are you sure you want to ask this perv for a favor?\But I want to be a good brother, for my sister's sake. response:	Ah ha ha ha! I'm Usui je Nye.
context: Is that Usui-san standing over there?\Or is it Usui je Nye-san?\What's wrong, Yukimura-kun?\Oh, so it was Usui-san.\I have a favor to ask of you.\Yukimura, are you sure you want to ask this perv for a favor?\But I want to be a good brother, for my sister's sake.\Ah ha ha ha! I'm Usui je Nye. response:	What? When did they switch?
context: Or is it Usui je Nye-san?\What's wrong, Yukimura-kun?\Oh, so it was Usui-san.\I have a favor to ask of you.\Yukimura, are you sure you want to ask this perv for a favor?\But I want to be a good brother, for my sister's sake.\Ah ha ha ha! I'm Usui je Nye.\What? When did they switch? response:	Where did Usui-san go?
context: What's wrong, Yukimura-kun?\Oh, so it was Usui-san.\I have a favor to ask of you.\Yukimura, are you sure you want to ask this perv for a favor?\But I want to be a good brother, for my sister's sake.\Ah ha ha ha! I'm Usui je Nye.\What? When did they switch?\Where did Usui-san go? response:	Help him out, Usui.
context: Oh, so it was Usui-san.\I have a favor to ask of you.\Yukimura, are you sure you want to ask this perv for a favor?\But I want to be a good brother, for my sister's sake.\Ah ha ha ha! I'm Usui je Nye.\What? When did they switch?\Where did Usui-san go?\Help him out, Usui. response:	Next week will be about shooting a promotion video for Aoi-sama.
context: I have a favor to ask of you.\Yukimura, are you sure you want to ask this perv for a favor?\But I want to be a good brother, for my sister's sake.\Ah ha ha ha! I'm Usui je Nye.\What? When did they switch?\Where did Usui-san go?\Help him out, Usui.\Next week will be about shooting a promotion video for Aoi-sama. response:	In other words, it's a double header about Yukimura's sister and Aoi-chan.
