context: Hopes and dreams are the power that moves humanity, response:	and keep the Earth turning!
context: Yep.\And you can't actually see underwear through this,\so we don't need skirts.\This smells like the main hall at my house.\Like the temple?!\Can you guys hurry up?\Are you done?\Open that door and I'll kill you. response:	Oh crap, it ripped!
context: And you can't actually see underwear through this,\so we don't need skirts.\This smells like the main hall at my house.\Like the temple?!\Can you guys hurry up?\Are you done?\Open that door and I'll kill you.\Oh crap, it ripped! response:	It did? Where?
context: so we don't need skirts.\This smells like the main hall at my house.\Like the temple?!\Can you guys hurry up?\Are you done?\Open that door and I'll kill you.\Oh crap, it ripped!\It did? Where? response:	What the hell are they doing?
context: This smells like the main hall at my house.\Like the temple?!\Can you guys hurry up?\Are you done?\Open that door and I'll kill you.\Oh crap, it ripped!\It did? Where?\What the hell are they doing? response:	Hey...
context: Like the temple?!\Can you guys hurry up?\Are you done?\Open that door and I'll kill you.\Oh crap, it ripped!\It did? Where?\What the hell are they doing?\Hey... response:	Red.
context: Can you guys hurry up?\Are you done?\Open that door and I'll kill you.\Oh crap, it ripped!\It did? Where?\What the hell are they doing?\Hey...\Red. response:	Red.
context: Are you done?\Open that door and I'll kill you.\Oh crap, it ripped!\It did? Where?\What the hell are they doing?\Hey...\Red.\Red. response:	Red!
context: Open that door and I'll kill you.\Oh crap, it ripped!\It did? Where?\What the hell are they doing?\Hey...\Red.\Red.\Red! response:	It's gonna be a long day.
context: Oh crap, it ripped!\It did? Where?\What the hell are they doing?\Hey...\Red.\Red.\Red!\It's gonna be a long day. response:	What is the meaning of this?
context: It did? Where?\What the hell are they doing?\Hey...\Red.\Red.\Red!\It's gonna be a long day.\What is the meaning of this? response:	I was against it, of course.
context: What the hell are they doing?\Hey...\Red.\Red.\Red!\It's gonna be a long day.\What is the meaning of this?\I was against it, of course. response:	But even as principal,
context: Hey...\Red.\Red.\Red!\It's gonna be a long day.\What is the meaning of this?\I was against it, of course.\But even as principal, response:	I'm also an employee.
context: Red.\Red.\Red!\It's gonna be a long day.\What is the meaning of this?\I was against it, of course.\But even as principal,\I'm also an employee. response:	If my superiors
context: Red.\Red!\It's gonna be a long day.\What is the meaning of this?\I was against it, of course.\But even as principal,\I'm also an employee.\If my superiors response:	This is outrageous.
context: Red!\It's gonna be a long day.\What is the meaning of this?\I was against it, of course.\But even as principal,\I'm also an employee.\If my superiors\This is outrageous. response:	It's just too sudden. It's irresponsible!
context: It's gonna be a long day.\What is the meaning of this?\I was against it, of course.\But even as principal,\I'm also an employee.\If my superiors\This is outrageous.\It's just too sudden. It's irresponsible! response:	Can you honestly accept this?
context: What is the meaning of this?\I was against it, of course.\But even as principal,\I'm also an employee.\If my superiors\This is outrageous.\It's just too sudden. It's irresponsible!\Can you honestly accept this? response:	Have you forgotten
context: I was against it, of course.\But even as principal,\I'm also an employee.\If my superiors\This is outrageous.\It's just too sudden. It's irresponsible!\Can you honestly accept this?\Have you forgotten response:	all the feelings and hard work from the days
context: But even as principal,\I'm also an employee.\If my superiors\This is outrageous.\It's just too sudden. It's irresponsible!\Can you honestly accept this?\Have you forgotten\all the feelings and hard work from the days response:	when you were the choir club's advisor?
context: I'm also an employee.\If my superiors\This is outrageous.\It's just too sudden. It's irresponsible!\Can you honestly accept this?\Have you forgotten\all the feelings and hard work from the days\when you were the choir club's advisor? response:	I'm sorry.
context: If my superiors\This is outrageous.\It's just too sudden. It's irresponsible!\Can you honestly accept this?\Have you forgotten\all the feelings and hard work from the days\when you were the choir club's advisor?\I'm sorry. response:	Except in special circumstances,
context: This is outrageous.\It's just too sudden. It's irresponsible!\Can you honestly accept this?\Have you forgotten\all the feelings and hard work from the days\when you were the choir club's advisor?\I'm sorry.\Except in special circumstances, response:	students are prohibited from having after-school jobs.
context: It's just too sudden. It's irresponsible!\Can you honestly accept this?\Have you forgotten\all the feelings and hard work from the days\when you were the choir club's advisor?\I'm sorry.\Except in special circumstances,\students are prohibited from having after-school jobs. response:	Doesn't this qualify as a special circumstance?
context: Can you honestly accept this?\Have you forgotten\all the feelings and hard work from the days\when you were the choir club's advisor?\I'm sorry.\Except in special circumstances,\students are prohibited from having after-school jobs.\Doesn't this qualify as a special circumstance? response:	Wow, you're raising money for the White Festival?
context: Have you forgotten\all the feelings and hard work from the days\when you were the choir club's advisor?\I'm sorry.\Except in special circumstances,\students are prohibited from having after-school jobs.\Doesn't this qualify as a special circumstance?\Wow, you're raising money for the White Festival? response:	I'm so proud!
context: all the feelings and hard work from the days\when you were the choir club's advisor?\I'm sorry.\Except in special circumstances,\students are prohibited from having after-school jobs.\Doesn't this qualify as a special circumstance?\Wow, you're raising money for the White Festival?\I'm so proud! response:	The vice principal?
context: when you were the choir club's advisor?\I'm sorry.\Except in special circumstances,\students are prohibited from having after-school jobs.\Doesn't this qualify as a special circumstance?\Wow, you're raising money for the White Festival?\I'm so proud!\The vice principal? response:	You're dreaming.
context: I'm sorry.\Except in special circumstances,\students are prohibited from having after-school jobs.\Doesn't this qualify as a special circumstance?\Wow, you're raising money for the White Festival?\I'm so proud!\The vice principal?\You're dreaming. response:	Ain't happening.
context: Except in special circumstances,\students are prohibited from having after-school jobs.\Doesn't this qualify as a special circumstance?\Wow, you're raising money for the White Festival?\I'm so proud!\The vice principal?\You're dreaming.\Ain't happening. response:	Nope.
context: students are prohibited from having after-school jobs.\Doesn't this qualify as a special circumstance?\Wow, you're raising money for the White Festival?\I'm so proud!\The vice principal?\You're dreaming.\Ain't happening.\Nope. response:	Well, worrying won't solve the problem!
context: Doesn't this qualify as a special circumstance?\Wow, you're raising money for the White Festival?\I'm so proud!\The vice principal?\You're dreaming.\Ain't happening.\Nope.\Well, worrying won't solve the problem! response:	Let's try!
context: Wow, you're raising money for the White Festival?\I'm so proud!\The vice principal?\You're dreaming.\Ain't happening.\Nope.\Well, worrying won't solve the problem!\Let's try! response:	Excuse us.
context: I'm so proud!\The vice principal?\You're dreaming.\Ain't happening.\Nope.\Well, worrying won't solve the problem!\Let's try!\Excuse us. response:	Madam Vice Principal,
context: The vice principal?\You're dreaming.\Ain't happening.\Nope.\Well, worrying won't solve the problem!\Let's try!\Excuse us.\Madam Vice Principal, response:	we've come to ask permission to have an after-school job.
context: You're dreaming.\Ain't happening.\Nope.\Well, worrying won't solve the problem!\Let's try!\Excuse us.\Madam Vice Principal,\we've come to ask permission to have an after-school job. response:	If we're to perform at the White Festival,
context: Ain't happening.\Nope.\Well, worrying won't solve the problem!\Let's try!\Excuse us.\Madam Vice Principal,\we've come to ask permission to have an after-school job.\If we're to perform at the White Festival, response:	the choir club needs to raise funds.
context: Nope.\Well, worrying won't solve the problem!\Let's try!\Excuse us.\Madam Vice Principal,\we've come to ask permission to have an after-school job.\If we're to perform at the White Festival,\the choir club needs to raise funds. response:	It would be different if we were given
context: Well, worrying won't solve the problem!\Let's try!\Excuse us.\Madam Vice Principal,\we've come to ask permission to have an after-school job.\If we're to perform at the White Festival,\the choir club needs to raise funds.\It would be different if we were given response:	an ample budget, like the main choir,
context: Let's try!\Excuse us.\Madam Vice Principal,\we've come to ask permission to have an after-school job.\If we're to perform at the White Festival,\the choir club needs to raise funds.\It would be different if we were given\an ample budget, like the main choir, response:	but our club is poorer than a church mouse!
context: Excuse us.\Madam Vice Principal,\we've come to ask permission to have an after-school job.\If we're to perform at the White Festival,\the choir club needs to raise funds.\It would be different if we were given\an ample budget, like the main choir,\but our club is poorer than a church mouse! response:	Jobs are allowed if there is a special circumstance, right?
context: Madam Vice Principal,\we've come to ask permission to have an after-school job.\If we're to perform at the White Festival,\the choir club needs to raise funds.\It would be different if we were given\an ample budget, like the main choir,\but our club is poorer than a church mouse!\Jobs are allowed if there is a special circumstance, right? response:	This is exactly that kind of special circumstance.
context: we've come to ask permission to have an after-school job.\If we're to perform at the White Festival,\the choir club needs to raise funds.\It would be different if we were given\an ample budget, like the main choir,\but our club is poorer than a church mouse!\Jobs are allowed if there is a special circumstance, right?\This is exactly that kind of special circumstance. response:	Huh?
context: If we're to perform at the White Festival,\the choir club needs to raise funds.\It would be different if we were given\an ample budget, like the main choir,\but our club is poorer than a church mouse!\Jobs are allowed if there is a special circumstance, right?\This is exactly that kind of special circumstance.\Huh? response:	Um, we'd like your stamp of approval...
context: the choir club needs to raise funds.\It would be different if we were given\an ample budget, like the main choir,\but our club is poorer than a church mouse!\Jobs are allowed if there is a special circumstance, right?\This is exactly that kind of special circumstance.\Huh?\Um, we'd like your stamp of approval... response:	Oh, I see.
context: It would be different if we were given\an ample budget, like the main choir,\but our club is poorer than a church mouse!\Jobs are allowed if there is a special circumstance, right?\This is exactly that kind of special circumstance.\Huh?\Um, we'd like your stamp of approval...\Oh, I see. response:	Thank you very much.
context: an ample budget, like the main choir,\but our club is poorer than a church mouse!\Jobs are allowed if there is a special circumstance, right?\This is exactly that kind of special circumstance.\Huh?\Um, we'd like your stamp of approval...\Oh, I see.\Thank you very much. response:	We did it, we did it!
context: but our club is poorer than a church mouse!\Jobs are allowed if there is a special circumstance, right?\This is exactly that kind of special circumstance.\Huh?\Um, we'd like your stamp of approval...\Oh, I see.\Thank you very much.\We did it, we did it! response:	That was easy!
context: Jobs are allowed if there is a special circumstance, right?\This is exactly that kind of special circumstance.\Huh?\Um, we'd like your stamp of approval...\Oh, I see.\Thank you very much.\We did it, we did it!\That was easy! response:	Don't you think the vice principal was acting kind of weird?
context: This is exactly that kind of special circumstance.\Huh?\Um, we'd like your stamp of approval...\Oh, I see.\Thank you very much.\We did it, we did it!\That was easy!\Don't you think the vice principal was acting kind of weird? response:	I told you!
context: Huh?\Um, we'd like your stamp of approval...\Oh, I see.\Thank you very much.\We did it, we did it!\That was easy!\Don't you think the vice principal was acting kind of weird?\I told you! response:	Yeah.
context: Um, we'd like your stamp of approval...\Oh, I see.\Thank you very much.\We did it, we did it!\That was easy!\Don't you think the vice principal was acting kind of weird?\I told you!\Yeah. response:	It was too easy.
context: Oh, I see.\Thank you very much.\We did it, we did it!\That was easy!\Don't you think the vice principal was acting kind of weird?\I told you!\Yeah.\It was too easy. response:	Great job, Konatsu.
context: Thank you very much.\We did it, we did it!\That was easy!\Don't you think the vice principal was acting kind of weird?\I told you!\Yeah.\It was too easy.\Great job, Konatsu. response:	You came in that?
context: We did it, we did it!\That was easy!\Don't you think the vice principal was acting kind of weird?\I told you!\Yeah.\It was too easy.\Great job, Konatsu.\You came in that? response:	Beta Carotene Shower!
context: That was easy!\Don't you think the vice principal was acting kind of weird?\I told you!\Yeah.\It was too easy.\Great job, Konatsu.\You came in that?\Beta Carotene Shower! response:	Curry Punch!
context: Don't you think the vice principal was acting kind of weird?\I told you!\Yeah.\It was too easy.\Great job, Konatsu.\You came in that?\Beta Carotene Shower!\Curry Punch! response:	Episode 10 - Crushing and Burning
context: I told you!\Yeah.\It was too easy.\Great job, Konatsu.\You came in that?\Beta Carotene Shower!\Curry Punch!\Episode 10 - Crushing and Burning response:	Mango Beam!
context: Yeah.\It was too easy.\Great job, Konatsu.\You came in that?\Beta Carotene Shower!\Curry Punch!\Episode 10 - Crushing and Burning\Mango Beam! response:	Your tempo and timing are horrible!
