context: It appeared as though humanity would be destroyed by the demons. response:	But a single mage saved them all.
context: The Crimson Lion Kings went to the Ioto Mountain Range on another mission.\The Silver Eagles are tied up with the Spade Kingdom...\You want me to go, Julius?\I'm pretty sure Finral's been there before, so we can go immediately.\Are you sure, Yami? You just returned from the Underwater Temple.\Sure. I'm pretty invincible right now anyway,\and...\There's a guy I'm a little concerned about. response:	I'd feel better if you were to go.
context: The Silver Eagles are tied up with the Spade Kingdom...\You want me to go, Julius?\I'm pretty sure Finral's been there before, so we can go immediately.\Are you sure, Yami? You just returned from the Underwater Temple.\Sure. I'm pretty invincible right now anyway,\and...\There's a guy I'm a little concerned about.\I'd feel better if you were to go. response:	I'd like to go, but...
context: You want me to go, Julius?\I'm pretty sure Finral's been there before, so we can go immediately.\Are you sure, Yami? You just returned from the Underwater Temple.\Sure. I'm pretty invincible right now anyway,\and...\There's a guy I'm a little concerned about.\I'd feel better if you were to go.\I'd like to go, but... response:	We need you here, Wizard King.
context: I'm pretty sure Finral's been there before, so we can go immediately.\Are you sure, Yami? You just returned from the Underwater Temple.\Sure. I'm pretty invincible right now anyway,\and...\There's a guy I'm a little concerned about.\I'd feel better if you were to go.\I'd like to go, but...\We need you here, Wizard King. response:	If this is a feint, their next target will be the royal capital.
context: Are you sure, Yami? You just returned from the Underwater Temple.\Sure. I'm pretty invincible right now anyway,\and...\There's a guy I'm a little concerned about.\I'd feel better if you were to go.\I'd like to go, but...\We need you here, Wizard King.\If this is a feint, their next target will be the royal capital. response:	What he said. I can't just leave.
context: Sure. I'm pretty invincible right now anyway,\and...\There's a guy I'm a little concerned about.\I'd feel better if you were to go.\I'd like to go, but...\We need you here, Wizard King.\If this is a feint, their next target will be the royal capital.\What he said. I can't just leave. response:	Besides, the king is here.
context: and...\There's a guy I'm a little concerned about.\I'd feel better if you were to go.\I'd like to go, but...\We need you here, Wizard King.\If this is a feint, their next target will be the royal capital.\What he said. I can't just leave.\Besides, the king is here. response:	All right, then...
context: There's a guy I'm a little concerned about.\I'd feel better if you were to go.\I'd like to go, but...\We need you here, Wizard King.\If this is a feint, their next target will be the royal capital.\What he said. I can't just leave.\Besides, the king is here.\All right, then... response:	Shit. I should've had Finral come up here with us.
context: I'd feel better if you were to go.\I'd like to go, but...\We need you here, Wizard King.\If this is a feint, their next target will be the royal capital.\What he said. I can't just leave.\Besides, the king is here.\All right, then...\Shit. I should've had Finral come up here with us. response:	That useless bastard.
context: I'd like to go, but...\We need you here, Wizard King.\If this is a feint, their next target will be the royal capital.\What he said. I can't just leave.\Besides, the king is here.\All right, then...\Shit. I should've had Finral come up here with us.\That useless bastard. response:	I wonder if someone's talking about me.
context: We need you here, Wizard King.\If this is a feint, their next target will be the royal capital.\What he said. I can't just leave.\Besides, the king is here.\All right, then...\Shit. I should've had Finral come up here with us.\That useless bastard.\I wonder if someone's talking about me. response:	Cuties spotted!
context: If this is a feint, their next target will be the royal capital.\What he said. I can't just leave.\Besides, the king is here.\All right, then...\Shit. I should've had Finral come up here with us.\That useless bastard.\I wonder if someone's talking about me.\Cuties spotted! response:	Hey there, you beauties who put flowers to shame...
context: What he said. I can't just leave.\Besides, the king is here.\All right, then...\Shit. I should've had Finral come up here with us.\That useless bastard.\I wonder if someone's talking about me.\Cuties spotted!\Hey there, you beauties who put flowers to shame... response:	Are you busy?
context: Besides, the king is here.\All right, then...\Shit. I should've had Finral come up here with us.\That useless bastard.\I wonder if someone's talking about me.\Cuties spotted!\Hey there, you beauties who put flowers to shame...\Are you busy? response:	Captain Yami!
context: All right, then...\Shit. I should've had Finral come up here with us.\That useless bastard.\I wonder if someone's talking about me.\Cuties spotted!\Hey there, you beauties who put flowers to shame...\Are you busy?\Captain Yami! response:	Take me with you!
context: Shit. I should've had Finral come up here with us.\That useless bastard.\I wonder if someone's talking about me.\Cuties spotted!\Hey there, you beauties who put flowers to shame...\Are you busy?\Captain Yami!\Take me with you! response:	With your arm like that?
context: That useless bastard.\I wonder if someone's talking about me.\Cuties spotted!\Hey there, you beauties who put flowers to shame...\Are you busy?\Captain Yami!\Take me with you!\With your arm like that? response:	There must be people who couldn't get away! I'm sure I can do something!
context: I wonder if someone's talking about me.\Cuties spotted!\Hey there, you beauties who put flowers to shame...\Are you busy?\Captain Yami!\Take me with you!\With your arm like that?\There must be people who couldn't get away! I'm sure I can do something! response:	I'd like him to get experience on that kind of battlefield, but right now...
context: Cuties spotted!\Hey there, you beauties who put flowers to shame...\Are you busy?\Captain Yami!\Take me with you!\With your arm like that?\There must be people who couldn't get away! I'm sure I can do something!\I'd like him to get experience on that kind of battlefield, but right now... response:	No.
context: Hey there, you beauties who put flowers to shame...\Are you busy?\Captain Yami!\Take me with you!\With your arm like that?\There must be people who couldn't get away! I'm sure I can do something!\I'd like him to get experience on that kind of battlefield, but right now...\No. response:	Someone who's as beat up as you will just get in the way. Go home.
context: Are you busy?\Captain Yami!\Take me with you!\With your arm like that?\There must be people who couldn't get away! I'm sure I can do something!\I'd like him to get experience on that kind of battlefield, but right now...\No.\Someone who's as beat up as you will just get in the way. Go home. response:	But...
context: Captain Yami!\Take me with you!\With your arm like that?\There must be people who couldn't get away! I'm sure I can do something!\I'd like him to get experience on that kind of battlefield, but right now...\No.\Someone who's as beat up as you will just get in the way. Go home.\But... response:	As his senior, I'll go along and protect him.
context: Take me with you!\With your arm like that?\There must be people who couldn't get away! I'm sure I can do something!\I'd like him to get experience on that kind of battlefield, but right now...\No.\Someone who's as beat up as you will just get in the way. Go home.\But...\As his senior, I'll go along and protect him. response:	Miz Charmy...
context: With your arm like that?\There must be people who couldn't get away! I'm sure I can do something!\I'd like him to get experience on that kind of battlefield, but right now...\No.\Someone who's as beat up as you will just get in the way. Go home.\But...\As his senior, I'll go along and protect him.\Miz Charmy... response:	That makes it all right, doesn't it?
context: There must be people who couldn't get away! I'm sure I can do something!\I'd like him to get experience on that kind of battlefield, but right now...\No.\Someone who's as beat up as you will just get in the way. Go home.\But...\As his senior, I'll go along and protect him.\Miz Charmy...\That makes it all right, doesn't it? response:	You two! Especially you, Charmy...
context: I'd like him to get experience on that kind of battlefield, but right now...\No.\Someone who's as beat up as you will just get in the way. Go home.\But...\As his senior, I'll go along and protect him.\Miz Charmy...\That makes it all right, doesn't it?\You two! Especially you, Charmy... response:	Oh, fine. Come with me, you dumbasses!
context: No.\Someone who's as beat up as you will just get in the way. Go home.\But...\As his senior, I'll go along and protect him.\Miz Charmy...\That makes it all right, doesn't it?\You two! Especially you, Charmy...\Oh, fine. Come with me, you dumbasses! response:	Let's go get Finral!
context: Someone who's as beat up as you will just get in the way. Go home.\But...\As his senior, I'll go along and protect him.\Miz Charmy...\That makes it all right, doesn't it?\You two! Especially you, Charmy...\Oh, fine. Come with me, you dumbasses!\Let's go get Finral! response:	Roger that, sir!
context: But...\As his senior, I'll go along and protect him.\Miz Charmy...\That makes it all right, doesn't it?\You two! Especially you, Charmy...\Oh, fine. Come with me, you dumbasses!\Let's go get Finral!\Roger that, sir! response:	La, sir!
context: As his senior, I'll go along and protect him.\Miz Charmy...\That makes it all right, doesn't it?\You two! Especially you, Charmy...\Oh, fine. Come with me, you dumbasses!\Let's go get Finral!\Roger that, sir!\La, sir! response:	Now I can see my meal-saving prince!
context: Miz Charmy...\That makes it all right, doesn't it?\You two! Especially you, Charmy...\Oh, fine. Come with me, you dumbasses!\Let's go get Finral!\Roger that, sir!\La, sir!\Now I can see my meal-saving prince! response:	Just you wait, Yuno!
context: That makes it all right, doesn't it?\You two! Especially you, Charmy...\Oh, fine. Come with me, you dumbasses!\Let's go get Finral!\Roger that, sir!\La, sir!\Now I can see my meal-saving prince!\Just you wait, Yuno! response:	Wow, that's amazing. It's in pieces.
context: You two! Especially you, Charmy...\Oh, fine. Come with me, you dumbasses!\Let's go get Finral!\Roger that, sir!\La, sir!\Now I can see my meal-saving prince!\Just you wait, Yuno!\Wow, that's amazing. It's in pieces. response:	He'll get even stronger.
context: Oh, fine. Come with me, you dumbasses!\Let's go get Finral!\Roger that, sir!\La, sir!\Now I can see my meal-saving prince!\Just you wait, Yuno!\Wow, that's amazing. It's in pieces.\He'll get even stronger. response:	I guess I wouldn't expect any less from our genius, Yuno,
context: Let's go get Finral!\Roger that, sir!\La, sir!\Now I can see my meal-saving prince!\Just you wait, Yuno!\Wow, that's amazing. It's in pieces.\He'll get even stronger.\I guess I wouldn't expect any less from our genius, Yuno, response:	who became one of our best knights less than a year after joining.
context: Roger that, sir!\La, sir!\Now I can see my meal-saving prince!\Just you wait, Yuno!\Wow, that's amazing. It's in pieces.\He'll get even stronger.\I guess I wouldn't expect any less from our genius, Yuno,\who became one of our best knights less than a year after joining. response:	Well, shall we, Langris?
context: La, sir!\Now I can see my meal-saving prince!\Just you wait, Yuno!\Wow, that's amazing. It's in pieces.\He'll get even stronger.\I guess I wouldn't expect any less from our genius, Yuno,\who became one of our best knights less than a year after joining.\Well, shall we, Langris? response:	Yes, sir.
context: Now I can see my meal-saving prince!\Just you wait, Yuno!\Wow, that's amazing. It's in pieces.\He'll get even stronger.\I guess I wouldn't expect any less from our genius, Yuno,\who became one of our best knights less than a year after joining.\Well, shall we, Langris?\Yes, sir. response:	Let's make them regret barging into our country with their muddy boots.
context: Just you wait, Yuno!\Wow, that's amazing. It's in pieces.\He'll get even stronger.\I guess I wouldn't expect any less from our genius, Yuno,\who became one of our best knights less than a year after joining.\Well, shall we, Langris?\Yes, sir.\Let's make them regret barging into our country with their muddy boots. response:	4 AM in the morning
context: Wow, that's amazing. It's in pieces.\He'll get even stronger.\I guess I wouldn't expect any less from our genius, Yuno,\who became one of our best knights less than a year after joining.\Well, shall we, Langris?\Yes, sir.\Let's make them regret barging into our country with their muddy boots.\4 AM in the morning response:	Why can't I sleep?
context: He'll get even stronger.\I guess I wouldn't expect any less from our genius, Yuno,\who became one of our best knights less than a year after joining.\Well, shall we, Langris?\Yes, sir.\Let's make them regret barging into our country with their muddy boots.\4 AM in the morning\Why can't I sleep? response:	On such a bad day, whispering Bye Bye Black Birds
context: I guess I wouldn't expect any less from our genius, Yuno,\who became one of our best knights less than a year after joining.\Well, shall we, Langris?\Yes, sir.\Let's make them regret barging into our country with their muddy boots.\4 AM in the morning\Why can't I sleep?\On such a bad day, whispering Bye Bye Black Birds response:	Won't make my anxiety go away
context: who became one of our best knights less than a year after joining.\Well, shall we, Langris?\Yes, sir.\Let's make them regret barging into our country with their muddy boots.\4 AM in the morning\Why can't I sleep?\On such a bad day, whispering Bye Bye Black Birds\Won't make my anxiety go away response:	for hours, lately
context: Well, shall we, Langris?\Yes, sir.\Let's make them regret barging into our country with their muddy boots.\4 AM in the morning\Why can't I sleep?\On such a bad day, whispering Bye Bye Black Birds\Won't make my anxiety go away\for hours, lately response:	I've been crying for hours Baby
context: Yes, sir.\Let's make them regret barging into our country with their muddy boots.\4 AM in the morning\Why can't I sleep?\On such a bad day, whispering Bye Bye Black Birds\Won't make my anxiety go away\for hours, lately\I've been crying for hours Baby response:	I wish you were here
context: Let's make them regret barging into our country with their muddy boots.\4 AM in the morning\Why can't I sleep?\On such a bad day, whispering Bye Bye Black Birds\Won't make my anxiety go away\for hours, lately\I've been crying for hours Baby\I wish you were here response:	All those letters that you gave to me
context: 4 AM in the morning\Why can't I sleep?\On such a bad day, whispering Bye Bye Black Birds\Won't make my anxiety go away\for hours, lately\I've been crying for hours Baby\I wish you were here\All those letters that you gave to me response:	Every time I read them again, the pain's gone
context: Why can't I sleep?\On such a bad day, whispering Bye Bye Black Birds\Won't make my anxiety go away\for hours, lately\I've been crying for hours Baby\I wish you were here\All those letters that you gave to me\Every time I read them again, the pain's gone response:	We're not alone, cause we're perfect as four
context: On such a bad day, whispering Bye Bye Black Birds\Won't make my anxiety go away\for hours, lately\I've been crying for hours Baby\I wish you were here\All those letters that you gave to me\Every time I read them again, the pain's gone\We're not alone, cause we're perfect as four response:	Even though we're far apart, we're connected, believing you
context: Won't make my anxiety go away\for hours, lately\I've been crying for hours Baby\I wish you were here\All those letters that you gave to me\Every time I read them again, the pain's gone\We're not alone, cause we're perfect as four\Even though we're far apart, we're connected, believing you response:	I always feel you next to me
context: for hours, lately\I've been crying for hours Baby\I wish you were here\All those letters that you gave to me\Every time I read them again, the pain's gone\We're not alone, cause we're perfect as four\Even though we're far apart, we're connected, believing you\I always feel you next to me response:	closer to me and a clover for you
context: I've been crying for hours Baby\I wish you were here\All those letters that you gave to me\Every time I read them again, the pain's gone\We're not alone, cause we're perfect as four\Even though we're far apart, we're connected, believing you\I always feel you next to me\closer to me and a clover for you response:	I wish you the best of luck
context: I wish you were here\All those letters that you gave to me\Every time I read them again, the pain's gone\We're not alone, cause we're perfect as four\Even though we're far apart, we're connected, believing you\I always feel you next to me\closer to me and a clover for you\I wish you the best of luck response:	You know you're not alone, cause we're perfect as four
context: All those letters that you gave to me\Every time I read them again, the pain's gone\We're not alone, cause we're perfect as four\Even though we're far apart, we're connected, believing you\I always feel you next to me\closer to me and a clover for you\I wish you the best of luck\You know you're not alone, cause we're perfect as four response:	Even though we're far apart, we're connected, you live in me
context: Every time I read them again, the pain's gone\We're not alone, cause we're perfect as four\Even though we're far apart, we're connected, believing you\I always feel you next to me\closer to me and a clover for you\I wish you the best of luck\You know you're not alone, cause we're perfect as four\Even though we're far apart, we're connected, you live in me response:	I'll always be by your side
context: We're not alone, cause we're perfect as four\Even though we're far apart, we're connected, believing you\I always feel you next to me\closer to me and a clover for you\I wish you the best of luck\You know you're not alone, cause we're perfect as four\Even though we're far apart, we're connected, you live in me\I'll always be by your side response:	closer to me and a clover for you
context: Even though we're far apart, we're connected, believing you\I always feel you next to me\closer to me and a clover for you\I wish you the best of luck\You know you're not alone, cause we're perfect as four\Even though we're far apart, we're connected, you live in me\I'll always be by your side\closer to me and a clover for you response:	I wish you the best of luck
context: I always feel you next to me\closer to me and a clover for you\I wish you the best of luck\You know you're not alone, cause we're perfect as four\Even though we're far apart, we're connected, you live in me\I'll always be by your side\closer to me and a clover for you\I wish you the best of luck response:	Petit Clover!
context: closer to me and a clover for you\I wish you the best of luck\You know you're not alone, cause we're perfect as four\Even though we're far apart, we're connected, you live in me\I'll always be by your side\closer to me and a clover for you\I wish you the best of luck\Petit Clover! response:	Promise!
context: I wish you the best of luck\You know you're not alone, cause we're perfect as four\Even though we're far apart, we're connected, you live in me\I'll always be by your side\closer to me and a clover for you\I wish you the best of luck\Petit Clover!\Promise! response:	Promise!
context: You know you're not alone, cause we're perfect as four\Even though we're far apart, we're connected, you live in me\I'll always be by your side\closer to me and a clover for you\I wish you the best of luck\Petit Clover!\Promise!\Promise! response:	It's been a while, Yuno! Looks like you've gotten even stronger!
context: Even though we're far apart, we're connected, you live in me\I'll always be by your side\closer to me and a clover for you\I wish you the best of luck\Petit Clover!\Promise!\Promise!\It's been a while, Yuno! Looks like you've gotten even stronger! response:	Of course. I'm going to become stronger than anyone.
context: I'll always be by your side\closer to me and a clover for you\I wish you the best of luck\Petit Clover!\Promise!\Promise!\It's been a while, Yuno! Looks like you've gotten even stronger!\Of course. I'm going to become stronger than anyone. response:	Do you remember our promise? About seeing who can become the Wizard King first?
context: closer to me and a clover for you\I wish you the best of luck\Petit Clover!\Promise!\Promise!\It's been a while, Yuno! Looks like you've gotten even stronger!\Of course. I'm going to become stronger than anyone.\Do you remember our promise? About seeing who can become the Wizard King first? response:	Promise? I've forgotten about the past.
context: I wish you the best of luck\Petit Clover!\Promise!\Promise!\It's been a while, Yuno! Looks like you've gotten even stronger!\Of course. I'm going to become stronger than anyone.\Do you remember our promise? About seeing who can become the Wizard King first?\Promise? I've forgotten about the past. response:	Why are you trying to act so cool?
context: Petit Clover!\Promise!\Promise!\It's been a while, Yuno! Looks like you've gotten even stronger!\Of course. I'm going to become stronger than anyone.\Do you remember our promise? About seeing who can become the Wizard King first?\Promise? I've forgotten about the past.\Why are you trying to act so cool? response:	So, uh, what're you doing tomorrow? You got work?
context: Promise!\Promise!\It's been a while, Yuno! Looks like you've gotten even stronger!\Of course. I'm going to become stronger than anyone.\Do you remember our promise? About seeing who can become the Wizard King first?\Promise? I've forgotten about the past.\Why are you trying to act so cool?\So, uh, what're you doing tomorrow? You got work? response:	Tomorrow? Who knows what tomorrow brings?
context: Promise!\It's been a while, Yuno! Looks like you've gotten even stronger!\Of course. I'm going to become stronger than anyone.\Do you remember our promise? About seeing who can become the Wizard King first?\Promise? I've forgotten about the past.\Why are you trying to act so cool?\So, uh, what're you doing tomorrow? You got work?\Tomorrow? Who knows what tomorrow brings? response:	Seriously, why are you trying to act so cool, Yuno?!
context: It's been a while, Yuno! Looks like you've gotten even stronger!\Of course. I'm going to become stronger than anyone.\Do you remember our promise? About seeing who can become the Wizard King first?\Promise? I've forgotten about the past.\Why are you trying to act so cool?\So, uh, what're you doing tomorrow? You got work?\Tomorrow? Who knows what tomorrow brings?\Seriously, why are you trying to act so cool, Yuno?! response:	Yuno? Is that my name?
context: Of course. I'm going to become stronger than anyone.\Do you remember our promise? About seeing who can become the Wizard King first?\Promise? I've forgotten about the past.\Why are you trying to act so cool?\So, uh, what're you doing tomorrow? You got work?\Tomorrow? Who knows what tomorrow brings?\Seriously, why are you trying to act so cool, Yuno?!\Yuno? Is that my name? response:	I don't know anything! This can't be happening!
context: Do you remember our promise? About seeing who can become the Wizard King first?\Promise? I've forgotten about the past.\Why are you trying to act so cool?\So, uh, what're you doing tomorrow? You got work?\Tomorrow? Who knows what tomorrow brings?\Seriously, why are you trying to act so cool, Yuno?!\Yuno? Is that my name?\I don't know anything! This can't be happening! response:	So you weren't just trying to act cool?! Get a grip, Yuno!
context: Promise? I've forgotten about the past.\Why are you trying to act so cool?\So, uh, what're you doing tomorrow? You got work?\Tomorrow? Who knows what tomorrow brings?\Seriously, why are you trying to act so cool, Yuno?!\Yuno? Is that my name?\I don't know anything! This can't be happening!\So you weren't just trying to act cool?! Get a grip, Yuno! response:	The super fun anime, Black Clover! We hope you guys keep watching!
context: Why are you trying to act so cool?\So, uh, what're you doing tomorrow? You got work?\Tomorrow? Who knows what tomorrow brings?\Seriously, why are you trying to act so cool, Yuno?!\Yuno? Is that my name?\I don't know anything! This can't be happening!\So you weren't just trying to act cool?! Get a grip, Yuno!\The super fun anime, Black Clover! We hope you guys keep watching! response:	The Diamonds are attacking?
context: So, uh, what're you doing tomorrow? You got work?\Tomorrow? Who knows what tomorrow brings?\Seriously, why are you trying to act so cool, Yuno?!\Yuno? Is that my name?\I don't know anything! This can't be happening!\So you weren't just trying to act cool?! Get a grip, Yuno!\The super fun anime, Black Clover! We hope you guys keep watching!\The Diamonds are attacking? response:	The Golden Dawn is on the job? Then let's just leave it to them!
context: Tomorrow? Who knows what tomorrow brings?\Seriously, why are you trying to act so cool, Yuno?!\Yuno? Is that my name?\I don't know anything! This can't be happening!\So you weren't just trying to act cool?! Get a grip, Yuno!\The super fun anime, Black Clover! We hope you guys keep watching!\The Diamonds are attacking?\The Golden Dawn is on the job? Then let's just leave it to them! response:	Black Clover, Page 52: Whoever's Strongest Wins.
context: Seriously, why are you trying to act so cool, Yuno?!\Yuno? Is that my name?\I don't know anything! This can't be happening!\So you weren't just trying to act cool?! Get a grip, Yuno!\The super fun anime, Black Clover! We hope you guys keep watching!\The Diamonds are attacking?\The Golden Dawn is on the job? Then let's just leave it to them!\Black Clover, Page 52: Whoever's Strongest Wins. response:	Page 52 Whoever's Strongest Wins
context: Yuno? Is that my name?\I don't know anything! This can't be happening!\So you weren't just trying to act cool?! Get a grip, Yuno!\The super fun anime, Black Clover! We hope you guys keep watching!\The Diamonds are attacking?\The Golden Dawn is on the job? Then let's just leave it to them!\Black Clover, Page 52: Whoever's Strongest Wins.\Page 52 Whoever's Strongest Wins response:	What? Asta's headed there, too? Well, that's worrying.
