context: The water is alive. response:	Once you dive in, it will immediately bare its fangs and attack.
context: Haru-chan still reminds me of a dolphin.\Mako-chan, let's swim with him.\Hell no! We'll get in trouble if they find us!\Anyway, we need to look for Rin.\We can take a little dip first.\Nobody will find us if we don't turn on the lights.\But you didn't bring a swimsuit.\A little skinny dip, then. response:	What?!
context: Mako-chan, let's swim with him.\Hell no! We'll get in trouble if they find us!\Anyway, we need to look for Rin.\We can take a little dip first.\Nobody will find us if we don't turn on the lights.\But you didn't bring a swimsuit.\A little skinny dip, then.\What?! response:	I can swim!
context: Hell no! We'll get in trouble if they find us!\Anyway, we need to look for Rin.\We can take a little dip first.\Nobody will find us if we don't turn on the lights.\But you didn't bring a swimsuit.\A little skinny dip, then.\What?!\I can swim! response:	Hey, wait!
context: Anyway, we need to look for Rin.\We can take a little dip first.\Nobody will find us if we don't turn on the lights.\But you didn't bring a swimsuit.\A little skinny dip, then.\What?!\I can swim!\Hey, wait! response:	Mako-chan, come over here.
context: We can take a little dip first.\Nobody will find us if we don't turn on the lights.\But you didn't bring a swimsuit.\A little skinny dip, then.\What?!\I can swim!\Hey, wait!\Mako-chan, come over here. response:	What now?
context: Nobody will find us if we don't turn on the lights.\But you didn't bring a swimsuit.\A little skinny dip, then.\What?!\I can swim!\Hey, wait!\Mako-chan, come over here.\What now? response:	I'm not gonna join you
context: But you didn't bring a swimsuit.\A little skinny dip, then.\What?!\I can swim!\Hey, wait!\Mako-chan, come over here.\What now?\I'm not gonna join you response:	You gotta be kidding me!
context: A little skinny dip, then.\What?!\I can swim!\Hey, wait!\Mako-chan, come over here.\What now?\I'm not gonna join you\You gotta be kidding me! response:	You looked like an elephant falling in.
context: What?!\I can swim!\Hey, wait!\Mako-chan, come over here.\What now?\I'm not gonna join you\You gotta be kidding me!\You looked like an elephant falling in. response:	Seriously...
context: I can swim!\Hey, wait!\Mako-chan, come over here.\What now?\I'm not gonna join you\You gotta be kidding me!\You looked like an elephant falling in.\Seriously... response:	Nagisa...
context: Hey, wait!\Mako-chan, come over here.\What now?\I'm not gonna join you\You gotta be kidding me!\You looked like an elephant falling in.\Seriously...\Nagisa... response:	Take that!
context: Mako-chan, come over here.\What now?\I'm not gonna join you\You gotta be kidding me!\You looked like an elephant falling in.\Seriously...\Nagisa...\Take that! response:	Hey!
context: What now?\I'm not gonna join you\You gotta be kidding me!\You looked like an elephant falling in.\Seriously...\Nagisa...\Take that!\Hey! response:	There!
context: I'm not gonna join you\You gotta be kidding me!\You looked like an elephant falling in.\Seriously...\Nagisa...\Take that!\Hey!\There! response:	Take that!
context: You gotta be kidding me!\You looked like an elephant falling in.\Seriously...\Nagisa...\Take that!\Hey!\There!\Take that! response:	Take that
context: You looked like an elephant falling in.\Seriously...\Nagisa...\Take that!\Hey!\There!\Take that!\Take that response:	What are you guys doing here?
context: Seriously...\Nagisa...\Take that!\Hey!\There!\Take that!\Take that\What are you guys doing here? response:	Rin!
context: Nagisa...\Take that!\Hey!\There!\Take that!\Take that\What are you guys doing here?\Rin! response:	We came here to see you.
context: Take that!\Hey!\There!\Take that!\Take that\What are you guys doing here?\Rin!\We came here to see you. response:	Get out!
context: Hey!\There!\Take that!\Take that\What are you guys doing here?\Rin!\We came here to see you.\Get out! response:	Rin-chan...
context: There!\Take that!\Take that\What are you guys doing here?\Rin!\We came here to see you.\Get out!\Rin-chan... response:	Free...
context: Take that!\Take that\What are you guys doing here?\Rin!\We came here to see you.\Get out!\Rin-chan...\Free... response:	Huh?
context: Take that\What are you guys doing here?\Rin!\We came here to see you.\Get out!\Rin-chan...\Free...\Huh? response:	Did you forget?
context: What are you guys doing here?\Rin!\We came here to see you.\Get out!\Rin-chan...\Free...\Huh?\Did you forget? response:	I told you that I only swim freestyle.
context: Rin!\We came here to see you.\Get out!\Rin-chan...\Free...\Huh?\Did you forget?\I told you that I only swim freestyle. response:	Haru-chan?
context: We came here to see you.\Get out!\Rin-chan...\Free...\Huh?\Did you forget?\I told you that I only swim freestyle.\Haru-chan? response:	Haru...
context: Get out!\Rin-chan...\Free...\Huh?\Did you forget?\I told you that I only swim freestyle.\Haru-chan?\Haru... response:	About three years until I'm ordinary.
context: Rin-chan...\Free...\Huh?\Did you forget?\I told you that I only swim freestyle.\Haru-chan?\Haru...\About three years until I'm ordinary. response:	I guess it couldn't hurt to wait a little longer.
context: Free...\Huh?\Did you forget?\I told you that I only swim freestyle.\Haru-chan?\Haru...\About three years until I'm ordinary.\I guess it couldn't hurt to wait a little longer. response:	I want you to show me that sight again.
context: Huh?\Did you forget?\I told you that I only swim freestyle.\Haru-chan?\Haru...\About three years until I'm ordinary.\I guess it couldn't hurt to wait a little longer.\I want you to show me that sight again. response:	I've forgotten what it was that I saw.
context: Did you forget?\I told you that I only swim freestyle.\Haru-chan?\Haru...\About three years until I'm ordinary.\I guess it couldn't hurt to wait a little longer.\I want you to show me that sight again.\I've forgotten what it was that I saw. response:	Sure, I can do that.
context: I told you that I only swim freestyle.\Haru-chan?\Haru...\About three years until I'm ordinary.\I guess it couldn't hurt to wait a little longer.\I want you to show me that sight again.\I've forgotten what it was that I saw.\Sure, I can do that. response:	But it won't be the same this time.
context: Haru-chan?\Haru...\About three years until I'm ordinary.\I guess it couldn't hurt to wait a little longer.\I want you to show me that sight again.\I've forgotten what it was that I saw.\Sure, I can do that.\But it won't be the same this time. response:	I'll be showing you something completely different.
context: Haru...\About three years until I'm ordinary.\I guess it couldn't hurt to wait a little longer.\I want you to show me that sight again.\I've forgotten what it was that I saw.\Sure, I can do that.\But it won't be the same this time.\I'll be showing you something completely different. response:	So is there a reason Nanase-san can only swim freestyle?
context: About three years until I'm ordinary.\I guess it couldn't hurt to wait a little longer.\I want you to show me that sight again.\I've forgotten what it was that I saw.\Sure, I can do that.\But it won't be the same this time.\I'll be showing you something completely different.\So is there a reason Nanase-san can only swim freestyle? response:	Haru-chan doesn't want to answer.
context: I guess it couldn't hurt to wait a little longer.\I want you to show me that sight again.\I've forgotten what it was that I saw.\Sure, I can do that.\But it won't be the same this time.\I'll be showing you something completely different.\So is there a reason Nanase-san can only swim freestyle?\Haru-chan doesn't want to answer. response:	Mako-chan, can you answer for him?
context: I want you to show me that sight again.\I've forgotten what it was that I saw.\Sure, I can do that.\But it won't be the same this time.\I'll be showing you something completely different.\So is there a reason Nanase-san can only swim freestyle?\Haru-chan doesn't want to answer.\Mako-chan, can you answer for him? response:	Uh...
context: I've forgotten what it was that I saw.\Sure, I can do that.\But it won't be the same this time.\I'll be showing you something completely different.\So is there a reason Nanase-san can only swim freestyle?\Haru-chan doesn't want to answer.\Mako-chan, can you answer for him?\Uh... response:	Should I use salt or miso on my fish?
context: Sure, I can do that.\But it won't be the same this time.\I'll be showing you something completely different.\So is there a reason Nanase-san can only swim freestyle?\Haru-chan doesn't want to answer.\Mako-chan, can you answer for him?\Uh...\Should I use salt or miso on my fish? response:	He's thinking about dinner!
context: But it won't be the same this time.\I'll be showing you something completely different.\So is there a reason Nanase-san can only swim freestyle?\Haru-chan doesn't want to answer.\Mako-chan, can you answer for him?\Uh...\Should I use salt or miso on my fish?\He's thinking about dinner! response:	Next time: Memories in the Distance.
context: I'll be showing you something completely different.\So is there a reason Nanase-san can only swim freestyle?\Haru-chan doesn't want to answer.\Mako-chan, can you answer for him?\Uh...\Should I use salt or miso on my fish?\He's thinking about dinner!\Next time: Memories in the Distance. response:	Memories in the Distance!
context: So is there a reason Nanase-san can only swim freestyle?\Haru-chan doesn't want to answer.\Mako-chan, can you answer for him?\Uh...\Should I use salt or miso on my fish?\He's thinking about dinner!\Next time: Memories in the Distance.\Memories in the Distance! response:	You even did the preview for him?
context: Haru-chan doesn't want to answer.\Mako-chan, can you answer for him?\Uh...\Should I use salt or miso on my fish?\He's thinking about dinner!\Next time: Memories in the Distance.\Memories in the Distance!\You even did the preview for him? response:	I'm up for some Meuniere sauce.
