context: Here comes another psychic. response:	What should we do with them, Dimple-san?
context: Whoa there!\I'm not gonna let you break my precious body that easily!\Why's there another spirit? What a nuisance.\Begone.\Now, Shigeo!\So that's your game...\You must be insane.\Yeah, he's not a normal kid. response:	Go...
context: I'm not gonna let you break my precious body that easily!\Why's there another spirit? What a nuisance.\Begone.\Now, Shigeo!\So that's your game...\You must be insane.\Yeah, he's not a normal kid.\Go... response:	I know you can... win...
context: Why's there another spirit? What a nuisance.\Begone.\Now, Shigeo!\So that's your game...\You must be insane.\Yeah, he's not a normal kid.\Go...\I know you can... win... response:	Is your sense of self still intact?
context: Begone.\Now, Shigeo!\So that's your game...\You must be insane.\Yeah, he's not a normal kid.\Go...\I know you can... win...\Is your sense of self still intact? response:	If you'd made one misstep getting in here, your soul would've been destroyed.
context: Now, Shigeo!\So that's your game...\You must be insane.\Yeah, he's not a normal kid.\Go...\I know you can... win...\Is your sense of self still intact?\If you'd made one misstep getting in here, your soul would've been destroyed. response:	Please leave this body.
context: So that's your game...\You must be insane.\Yeah, he's not a normal kid.\Go...\I know you can... win...\Is your sense of self still intact?\If you'd made one misstep getting in here, your soul would've been destroyed.\Please leave this body. response:	You didn't come here to talk, did you?
context: You must be insane.\Yeah, he's not a normal kid.\Go...\I know you can... win...\Is your sense of self still intact?\If you'd made one misstep getting in here, your soul would've been destroyed.\Please leave this body.\You didn't come here to talk, did you? response:	Correct, but you seem so human.
context: Yeah, he's not a normal kid.\Go...\I know you can... win...\Is your sense of self still intact?\If you'd made one misstep getting in here, your soul would've been destroyed.\Please leave this body.\You didn't come here to talk, did you?\Correct, but you seem so human. response:	We're currently in a mental world.
context: Go...\I know you can... win...\Is your sense of self still intact?\If you'd made one misstep getting in here, your soul would've been destroyed.\Please leave this body.\You didn't come here to talk, did you?\Correct, but you seem so human.\We're currently in a mental world. response:	It mirrors the way we see ourselves.
context: I know you can... win...\Is your sense of self still intact?\If you'd made one misstep getting in here, your soul would've been destroyed.\Please leave this body.\You didn't come here to talk, did you?\Correct, but you seem so human.\We're currently in a mental world.\It mirrors the way we see ourselves. response:	I'm Mogami Keiji, a former psychic.
context: Is your sense of self still intact?\If you'd made one misstep getting in here, your soul would've been destroyed.\Please leave this body.\You didn't come here to talk, did you?\Correct, but you seem so human.\We're currently in a mental world.\It mirrors the way we see ourselves.\I'm Mogami Keiji, a former psychic. response:	How about we have a little contest?
context: If you'd made one misstep getting in here, your soul would've been destroyed.\Please leave this body.\You didn't come here to talk, did you?\Correct, but you seem so human.\We're currently in a mental world.\It mirrors the way we see ourselves.\I'm Mogami Keiji, a former psychic.\How about we have a little contest? response:	A barrier, eh?
context: Please leave this body.\You didn't come here to talk, did you?\Correct, but you seem so human.\We're currently in a mental world.\It mirrors the way we see ourselves.\I'm Mogami Keiji, a former psychic.\How about we have a little contest?\A barrier, eh? response:	Very impressive.
context: You didn't come here to talk, did you?\Correct, but you seem so human.\We're currently in a mental world.\It mirrors the way we see ourselves.\I'm Mogami Keiji, a former psychic.\How about we have a little contest?\A barrier, eh?\Very impressive. response:	Mind showing me a little more?
context: Correct, but you seem so human.\We're currently in a mental world.\It mirrors the way we see ourselves.\I'm Mogami Keiji, a former psychic.\How about we have a little contest?\A barrier, eh?\Very impressive.\Mind showing me a little more? response:	He's got his evil spirit face on now.
context: We're currently in a mental world.\It mirrors the way we see ourselves.\I'm Mogami Keiji, a former psychic.\How about we have a little contest?\A barrier, eh?\Very impressive.\Mind showing me a little more?\He's got his evil spirit face on now. response:	Such power...
context: It mirrors the way we see ourselves.\I'm Mogami Keiji, a former psychic.\How about we have a little contest?\A barrier, eh?\Very impressive.\Mind showing me a little more?\He's got his evil spirit face on now.\Such power... response:	You've truly been blessed... with incredible power...
context: I'm Mogami Keiji, a former psychic.\How about we have a little contest?\A barrier, eh?\Very impressive.\Mind showing me a little more?\He's got his evil spirit face on now.\Such power...\You've truly been blessed... with incredible power... response:	That's a ghost... An evil spirit...
context: How about we have a little contest?\A barrier, eh?\Very impressive.\Mind showing me a little more?\He's got his evil spirit face on now.\Such power...\You've truly been blessed... with incredible power...\That's a ghost... An evil spirit... response:	By the way, young man...
context: A barrier, eh?\Very impressive.\Mind showing me a little more?\He's got his evil spirit face on now.\Such power...\You've truly been blessed... with incredible power...\That's a ghost... An evil spirit...\By the way, young man... response:	Do you know where spiritual power or ESP comes from?
context: Very impressive.\Mind showing me a little more?\He's got his evil spirit face on now.\Such power...\You've truly been blessed... with incredible power...\That's a ghost... An evil spirit...\By the way, young man...\Do you know where spiritual power or ESP comes from? response:	Sorry, but I don't have any more time.
context: Mind showing me a little more?\He's got his evil spirit face on now.\Such power...\You've truly been blessed... with incredible power...\That's a ghost... An evil spirit...\By the way, young man...\Do you know where spiritual power or ESP comes from?\Sorry, but I don't have any more time. response:	I'm going to finish you now.
context: He's got his evil spirit face on now.\Such power...\You've truly been blessed... with incredible power...\That's a ghost... An evil spirit...\By the way, young man...\Do you know where spiritual power or ESP comes from?\Sorry, but I don't have any more time.\I'm going to finish you now. response:	Your emotions.
context: Such power...\You've truly been blessed... with incredible power...\That's a ghost... An evil spirit...\By the way, young man...\Do you know where spiritual power or ESP comes from?\Sorry, but I don't have any more time.\I'm going to finish you now.\Your emotions. response:	It all comes from your emotions.
context: You've truly been blessed... with incredible power...\That's a ghost... An evil spirit...\By the way, young man...\Do you know where spiritual power or ESP comes from?\Sorry, but I don't have any more time.\I'm going to finish you now.\Your emotions.\It all comes from your emotions. response:	The biggest distinguishing feature of humans is how rich and varied their emotions are.
context: That's a ghost... An evil spirit...\By the way, young man...\Do you know where spiritual power or ESP comes from?\Sorry, but I don't have any more time.\I'm going to finish you now.\Your emotions.\It all comes from your emotions.\The biggest distinguishing feature of humans is how rich and varied their emotions are. response:	These emotions are the reason they thrive and also the reason they fight.
context: By the way, young man...\Do you know where spiritual power or ESP comes from?\Sorry, but I don't have any more time.\I'm going to finish you now.\Your emotions.\It all comes from your emotions.\The biggest distinguishing feature of humans is how rich and varied their emotions are.\These emotions are the reason they thrive and also the reason they fight. response:	Huh? My powers...
context: Do you know where spiritual power or ESP comes from?\Sorry, but I don't have any more time.\I'm going to finish you now.\Your emotions.\It all comes from your emotions.\The biggest distinguishing feature of humans is how rich and varied their emotions are.\These emotions are the reason they thrive and also the reason they fight.\Huh? My powers... response:	You can't use ESP anymore.
context: Sorry, but I don't have any more time.\I'm going to finish you now.\Your emotions.\It all comes from your emotions.\The biggest distinguishing feature of humans is how rich and varied their emotions are.\These emotions are the reason they thrive and also the reason they fight.\Huh? My powers...\You can't use ESP anymore. response:	I was gauging how you picture your powers earlier.
context: I'm going to finish you now.\Your emotions.\It all comes from your emotions.\The biggest distinguishing feature of humans is how rich and varied their emotions are.\These emotions are the reason they thrive and also the reason they fight.\Huh? My powers...\You can't use ESP anymore.\I was gauging how you picture your powers earlier. response:	Quite impressive.
context: Your emotions.\It all comes from your emotions.\The biggest distinguishing feature of humans is how rich and varied their emotions are.\These emotions are the reason they thrive and also the reason they fight.\Huh? My powers...\You can't use ESP anymore.\I was gauging how you picture your powers earlier.\Quite impressive. response:	All kinds of emotions are raging inside of you.
context: It all comes from your emotions.\The biggest distinguishing feature of humans is how rich and varied their emotions are.\These emotions are the reason they thrive and also the reason they fight.\Huh? My powers...\You can't use ESP anymore.\I was gauging how you picture your powers earlier.\Quite impressive.\All kinds of emotions are raging inside of you. response:	But for some reason, you willingly play the part of a puppet.
context: The biggest distinguishing feature of humans is how rich and varied their emotions are.\These emotions are the reason they thrive and also the reason they fight.\Huh? My powers...\You can't use ESP anymore.\I was gauging how you picture your powers earlier.\Quite impressive.\All kinds of emotions are raging inside of you.\But for some reason, you willingly play the part of a puppet. response:	Please... leave...
context: These emotions are the reason they thrive and also the reason they fight.\Huh? My powers...\You can't use ESP anymore.\I was gauging how you picture your powers earlier.\Quite impressive.\All kinds of emotions are raging inside of you.\But for some reason, you willingly play the part of a puppet.\Please... leave... response:	You still don't get the fact that you fell into a trap?
context: Huh? My powers...\You can't use ESP anymore.\I was gauging how you picture your powers earlier.\Quite impressive.\All kinds of emotions are raging inside of you.\But for some reason, you willingly play the part of a puppet.\Please... leave...\You still don't get the fact that you fell into a trap? response:	I let you in on purpose.
context: You can't use ESP anymore.\I was gauging how you picture your powers earlier.\Quite impressive.\All kinds of emotions are raging inside of you.\But for some reason, you willingly play the part of a puppet.\Please... leave...\You still don't get the fact that you fell into a trap?\I let you in on purpose. response:	Now, here's the million-dollar question.
context: I was gauging how you picture your powers earlier.\Quite impressive.\All kinds of emotions are raging inside of you.\But for some reason, you willingly play the part of a puppet.\Please... leave...\You still don't get the fact that you fell into a trap?\I let you in on purpose.\Now, here's the million-dollar question. response:	People whose lives are filled with happiness, and people who live in eternal suffering...
context: Quite impressive.\All kinds of emotions are raging inside of you.\But for some reason, you willingly play the part of a puppet.\Please... leave...\You still don't get the fact that you fell into a trap?\I let you in on purpose.\Now, here's the million-dollar question.\People whose lives are filled with happiness, and people who live in eternal suffering... response:	Which do you think harbor strong emotions more easily?
context: All kinds of emotions are raging inside of you.\But for some reason, you willingly play the part of a puppet.\Please... leave...\You still don't get the fact that you fell into a trap?\I let you in on purpose.\Now, here's the million-dollar question.\People whose lives are filled with happiness, and people who live in eternal suffering...\Which do you think harbor strong emotions more easily? response:	The answer is the latter.
context: But for some reason, you willingly play the part of a puppet.\Please... leave...\You still don't get the fact that you fell into a trap?\I let you in on purpose.\Now, here's the million-dollar question.\People whose lives are filled with happiness, and people who live in eternal suffering...\Which do you think harbor strong emotions more easily?\The answer is the latter. response:	Negative feelings are much more powerful.
context: Please... leave...\You still don't get the fact that you fell into a trap?\I let you in on purpose.\Now, here's the million-dollar question.\People whose lives are filled with happiness, and people who live in eternal suffering...\Which do you think harbor strong emotions more easily?\The answer is the latter.\Negative feelings are much more powerful. response:	The more stressed someone is, the richer the energy they hold within.
context: You still don't get the fact that you fell into a trap?\I let you in on purpose.\Now, here's the million-dollar question.\People whose lives are filled with happiness, and people who live in eternal suffering...\Which do you think harbor strong emotions more easily?\The answer is the latter.\Negative feelings are much more powerful.\The more stressed someone is, the richer the energy they hold within. response:	Going by that, there's room for more drastic change in you.
context: I let you in on purpose.\Now, here's the million-dollar question.\People whose lives are filled with happiness, and people who live in eternal suffering...\Which do you think harbor strong emotions more easily?\The answer is the latter.\Negative feelings are much more powerful.\The more stressed someone is, the richer the energy they hold within.\Going by that, there's room for more drastic change in you. response:	All you need is a slight change in how you see the world.
context: Now, here's the million-dollar question.\People whose lives are filled with happiness, and people who live in eternal suffering...\Which do you think harbor strong emotions more easily?\The answer is the latter.\Negative feelings are much more powerful.\The more stressed someone is, the richer the energy they hold within.\Going by that, there's room for more drastic change in you.\All you need is a slight change in how you see the world. response:	Want me to help you out?
context: People whose lives are filled with happiness, and people who live in eternal suffering...\Which do you think harbor strong emotions more easily?\The answer is the latter.\Negative feelings are much more powerful.\The more stressed someone is, the richer the energy they hold within.\Going by that, there's room for more drastic change in you.\All you need is a slight change in how you see the world.\Want me to help you out? response:	It's morning...
context: Which do you think harbor strong emotions more easily?\The answer is the latter.\Negative feelings are much more powerful.\The more stressed someone is, the richer the energy they hold within.\Going by that, there's room for more drastic change in you.\All you need is a slight change in how you see the world.\Want me to help you out?\It's morning... response:	Kageyama Shigeo.
context: The answer is the latter.\Negative feelings are much more powerful.\The more stressed someone is, the richer the energy they hold within.\Going by that, there's room for more drastic change in you.\All you need is a slight change in how you see the world.\Want me to help you out?\It's morning...\Kageyama Shigeo. response:	Here, you're a normal middle schooler.
context: Negative feelings are much more powerful.\The more stressed someone is, the richer the energy they hold within.\Going by that, there's room for more drastic change in you.\All you need is a slight change in how you see the world.\Want me to help you out?\It's morning...\Kageyama Shigeo.\Here, you're a normal middle schooler. response:	I altered your memories a bit, and made it so you can't use ESP.
context: The more stressed someone is, the richer the energy they hold within.\Going by that, there's room for more drastic change in you.\All you need is a slight change in how you see the world.\Want me to help you out?\It's morning...\Kageyama Shigeo.\Here, you're a normal middle schooler.\I altered your memories a bit, and made it so you can't use ESP. response:	A change in perspective can make the world a whole different place.
context: Going by that, there's room for more drastic change in you.\All you need is a slight change in how you see the world.\Want me to help you out?\It's morning...\Kageyama Shigeo.\Here, you're a normal middle schooler.\I altered your memories a bit, and made it so you can't use ESP.\A change in perspective can make the world a whole different place. response:	With that in mind, I'll be observing how you act without your powers.
context: All you need is a slight change in how you see the world.\Want me to help you out?\It's morning...\Kageyama Shigeo.\Here, you're a normal middle schooler.\I altered your memories a bit, and made it so you can't use ESP.\A change in perspective can make the world a whole different place.\With that in mind, I'll be observing how you act without your powers. response:	Huh? What was I doing again?
context: Want me to help you out?\It's morning...\Kageyama Shigeo.\Here, you're a normal middle schooler.\I altered your memories a bit, and made it so you can't use ESP.\A change in perspective can make the world a whole different place.\With that in mind, I'll be observing how you act without your powers.\Huh? What was I doing again? response:	I was doing something important...
context: It's morning...\Kageyama Shigeo.\Here, you're a normal middle schooler.\I altered your memories a bit, and made it so you can't use ESP.\A change in perspective can make the world a whole different place.\With that in mind, I'll be observing how you act without your powers.\Huh? What was I doing again?\I was doing something important... response:	But I can't remember it at all.
context: Kageyama Shigeo.\Here, you're a normal middle schooler.\I altered your memories a bit, and made it so you can't use ESP.\A change in perspective can make the world a whole different place.\With that in mind, I'll be observing how you act without your powers.\Huh? What was I doing again?\I was doing something important...\But I can't remember it at all. response:	Oh, I should hurry up and get to school.
context: Here, you're a normal middle schooler.\I altered your memories a bit, and made it so you can't use ESP.\A change in perspective can make the world a whole different place.\With that in mind, I'll be observing how you act without your powers.\Huh? What was I doing again?\I was doing something important...\But I can't remember it at all.\Oh, I should hurry up and get to school. response:	Discord Choices.
