context: I want to go back to that time again. response:	I want to become small again.
context: Seriously?\You don't have to be scared.\You are a virgin, right? So cute!\- I'll get going... - Hey!\Minami...\Sorry... Yabuki.\Chiyomi?\Chiyomi. response:	Minami-kun.
context: You don't have to be scared.\You are a virgin, right? So cute!\- I'll get going... - Hey!\Minami...\Sorry... Yabuki.\Chiyomi?\Chiyomi.\Minami-kun. response:	Minami-kun, your grandma saw me just now.
context: You are a virgin, right? So cute!\- I'll get going... - Hey!\Minami...\Sorry... Yabuki.\Chiyomi?\Chiyomi.\Minami-kun.\Minami-kun, your grandma saw me just now. response:	What?
context: - I'll get going... - Hey!\Minami...\Sorry... Yabuki.\Chiyomi?\Chiyomi.\Minami-kun.\Minami-kun, your grandma saw me just now.\What? response:	She saw you?
context: Minami...\Sorry... Yabuki.\Chiyomi?\Chiyomi.\Minami-kun.\Minami-kun, your grandma saw me just now.\What?\She saw you? response:	I was out during the day, and when I came back...
context: Sorry... Yabuki.\Chiyomi?\Chiyomi.\Minami-kun.\Minami-kun, your grandma saw me just now.\What?\She saw you?\I was out during the day, and when I came back... response:	Oh no. Let me go! Let me go!
context: Chiyomi?\Chiyomi.\Minami-kun.\Minami-kun, your grandma saw me just now.\What?\She saw you?\I was out during the day, and when I came back...\Oh no. Let me go! Let me go! response:	Let me go!
context: Chiyomi.\Minami-kun.\Minami-kun, your grandma saw me just now.\What?\She saw you?\I was out during the day, and when I came back...\Oh no. Let me go! Let me go!\Let me go! response:	Oh wow.
context: Minami-kun.\Minami-kun, your grandma saw me just now.\What?\She saw you?\I was out during the day, and when I came back...\Oh no. Let me go! Let me go!\Let me go!\Oh wow. response:	Grandma, there is a reason for this.
context: Minami-kun, your grandma saw me just now.\What?\She saw you?\I was out during the day, and when I came back...\Oh no. Let me go! Let me go!\Let me go!\Oh wow.\Grandma, there is a reason for this. response:	Oh wow... you were right here.
context: What?\She saw you?\I was out during the day, and when I came back...\Oh no. Let me go! Let me go!\Let me go!\Oh wow.\Grandma, there is a reason for this.\Oh wow... you were right here. response:	I looked for you for a long time.
context: She saw you?\I was out during the day, and when I came back...\Oh no. Let me go! Let me go!\Let me go!\Oh wow.\Grandma, there is a reason for this.\Oh wow... you were right here.\I looked for you for a long time. response:	Grandma, aren't you surprised?
context: I was out during the day, and when I came back...\Oh no. Let me go! Let me go!\Let me go!\Oh wow.\Grandma, there is a reason for this.\Oh wow... you were right here.\I looked for you for a long time.\Grandma, aren't you surprised? response:	I figured everyone would be shocked since I look like this.
context: Oh no. Let me go! Let me go!\Let me go!\Oh wow.\Grandma, there is a reason for this.\Oh wow... you were right here.\I looked for you for a long time.\Grandma, aren't you surprised?\I figured everyone would be shocked since I look like this. response:	You are so small... you look cute.
context: Let me go!\Oh wow.\Grandma, there is a reason for this.\Oh wow... you were right here.\I looked for you for a long time.\Grandma, aren't you surprised?\I figured everyone would be shocked since I look like this.\You are so small... you look cute. response:	Ha? That's it?
context: Oh wow.\Grandma, there is a reason for this.\Oh wow... you were right here.\I looked for you for a long time.\Grandma, aren't you surprised?\I figured everyone would be shocked since I look like this.\You are so small... you look cute.\Ha? That's it? response:	Then, Grandma gave me some snack, and then we chatted.
context: Grandma, there is a reason for this.\Oh wow... you were right here.\I looked for you for a long time.\Grandma, aren't you surprised?\I figured everyone would be shocked since I look like this.\You are so small... you look cute.\Ha? That's it?\Then, Grandma gave me some snack, and then we chatted. response:	She said, go home now.
context: Oh wow... you were right here.\I looked for you for a long time.\Grandma, aren't you surprised?\I figured everyone would be shocked since I look like this.\You are so small... you look cute.\Ha? That's it?\Then, Grandma gave me some snack, and then we chatted.\She said, go home now. response:	But she didn't say anything just now.
context: I looked for you for a long time.\Grandma, aren't you surprised?\I figured everyone would be shocked since I look like this.\You are so small... you look cute.\Ha? That's it?\Then, Grandma gave me some snack, and then we chatted.\She said, go home now.\But she didn't say anything just now. response:	She was making a meal as usual.
context: Grandma, aren't you surprised?\I figured everyone would be shocked since I look like this.\You are so small... you look cute.\Ha? That's it?\Then, Grandma gave me some snack, and then we chatted.\She said, go home now.\But she didn't say anything just now.\She was making a meal as usual. response:	Do you smell something burning?
context: I figured everyone would be shocked since I look like this.\You are so small... you look cute.\Ha? That's it?\Then, Grandma gave me some snack, and then we chatted.\She said, go home now.\But she didn't say anything just now.\She was making a meal as usual.\Do you smell something burning? response:	Eh?
context: You are so small... you look cute.\Ha? That's it?\Then, Grandma gave me some snack, and then we chatted.\She said, go home now.\But she didn't say anything just now.\She was making a meal as usual.\Do you smell something burning?\Eh? response:	What? That legless floor chair costs 30,000 yen?
context: Ha? That's it?\Then, Grandma gave me some snack, and then we chatted.\She said, go home now.\But she didn't say anything just now.\She was making a meal as usual.\Do you smell something burning?\Eh?\What? That legless floor chair costs 30,000 yen? response:	That is such a rip off.
context: Then, Grandma gave me some snack, and then we chatted.\She said, go home now.\But she didn't say anything just now.\She was making a meal as usual.\Do you smell something burning?\Eh?\What? That legless floor chair costs 30,000 yen?\That is such a rip off. response:	I have never heard of a legless floor chair that costs 30,000 yen.
context: She said, go home now.\But she didn't say anything just now.\She was making a meal as usual.\Do you smell something burning?\Eh?\What? That legless floor chair costs 30,000 yen?\That is such a rip off.\I have never heard of a legless floor chair that costs 30,000 yen. response:	We are going to add another body pillow to this.
context: But she didn't say anything just now.\She was making a meal as usual.\Do you smell something burning?\Eh?\What? That legless floor chair costs 30,000 yen?\That is such a rip off.\I have never heard of a legless floor chair that costs 30,000 yen.\We are going to add another body pillow to this. response:	Wow, what a deal.
context: She was making a meal as usual.\Do you smell something burning?\Eh?\What? That legless floor chair costs 30,000 yen?\That is such a rip off.\I have never heard of a legless floor chair that costs 30,000 yen.\We are going to add another body pillow to this.\Wow, what a deal. response:	Grandma, you left the gas on.
context: Do you smell something burning?\Eh?\What? That legless floor chair costs 30,000 yen?\That is such a rip off.\I have never heard of a legless floor chair that costs 30,000 yen.\We are going to add another body pillow to this.\Wow, what a deal.\Grandma, you left the gas on. response:	Who would buy such legless floor chairs.
context: Eh?\What? That legless floor chair costs 30,000 yen?\That is such a rip off.\I have never heard of a legless floor chair that costs 30,000 yen.\We are going to add another body pillow to this.\Wow, what a deal.\Grandma, you left the gas on.\Who would buy such legless floor chairs. response:	Whoever buys this is dumb.
context: What? That legless floor chair costs 30,000 yen?\That is such a rip off.\I have never heard of a legless floor chair that costs 30,000 yen.\We are going to add another body pillow to this.\Wow, what a deal.\Grandma, you left the gas on.\Who would buy such legless floor chairs.\Whoever buys this is dumb. response:	Grandma. Fire.
context: That is such a rip off.\I have never heard of a legless floor chair that costs 30,000 yen.\We are going to add another body pillow to this.\Wow, what a deal.\Grandma, you left the gas on.\Who would buy such legless floor chairs.\Whoever buys this is dumb.\Grandma. Fire. response:	Eh?
context: I have never heard of a legless floor chair that costs 30,000 yen.\We are going to add another body pillow to this.\Wow, what a deal.\Grandma, you left the gas on.\Who would buy such legless floor chairs.\Whoever buys this is dumb.\Grandma. Fire.\Eh? response:	Oh, Noboru.
context: We are going to add another body pillow to this.\Wow, what a deal.\Grandma, you left the gas on.\Who would buy such legless floor chairs.\Whoever buys this is dumb.\Grandma. Fire.\Eh?\Oh, Noboru. response:	Eh?
context: Wow, what a deal.\Grandma, you left the gas on.\Who would buy such legless floor chairs.\Whoever buys this is dumb.\Grandma. Fire.\Eh?\Oh, Noboru.\Eh? response:	I found something unusual today. Do you know what it is?
context: Grandma, you left the gas on.\Who would buy such legless floor chairs.\Whoever buys this is dumb.\Grandma. Fire.\Eh?\Oh, Noboru.\Eh?\I found something unusual today. Do you know what it is? response:	Grandma...
context: Who would buy such legless floor chairs.\Whoever buys this is dumb.\Grandma. Fire.\Eh?\Oh, Noboru.\Eh?\I found something unusual today. Do you know what it is?\Grandma... response:	An one-inch princess.
context: Whoever buys this is dumb.\Grandma. Fire.\Eh?\Oh, Noboru.\Eh?\I found something unusual today. Do you know what it is?\Grandma...\An one-inch princess. response:	An one-inch princess came to my room to visit.
context: Grandma. Fire.\Eh?\Oh, Noboru.\Eh?\I found something unusual today. Do you know what it is?\Grandma...\An one-inch princess.\An one-inch princess came to my room to visit. response:	An one-inch princess...
context: Eh?\Oh, Noboru.\Eh?\I found something unusual today. Do you know what it is?\Grandma...\An one-inch princess.\An one-inch princess came to my room to visit.\An one-inch princess... response:	One-inch princess... One-inch princess.
context: Oh, Noboru.\Eh?\I found something unusual today. Do you know what it is?\Grandma...\An one-inch princess.\An one-inch princess came to my room to visit.\An one-inch princess...\One-inch princess... One-inch princess. response:	I hope she will come and visit again.
context: Eh?\I found something unusual today. Do you know what it is?\Grandma...\An one-inch princess.\An one-inch princess came to my room to visit.\An one-inch princess...\One-inch princess... One-inch princess.\I hope she will come and visit again. response:	Onee-chan (big sister), I wish you would send emails more often.
context: I found something unusual today. Do you know what it is?\Grandma...\An one-inch princess.\An one-inch princess came to my room to visit.\An one-inch princess...\One-inch princess... One-inch princess.\I hope she will come and visit again.\Onee-chan (big sister), I wish you would send emails more often. response:	(Issun-hime= One-inch princess)
context: Grandma...\An one-inch princess.\An one-inch princess came to my room to visit.\An one-inch princess...\One-inch princess... One-inch princess.\I hope she will come and visit again.\Onee-chan (big sister), I wish you would send emails more often.\(Issun-hime= One-inch princess) response:	This address is...
context: An one-inch princess.\An one-inch princess came to my room to visit.\An one-inch princess...\One-inch princess... One-inch princess.\I hope she will come and visit again.\Onee-chan (big sister), I wish you would send emails more often.\(Issun-hime= One-inch princess)\This address is... response:	What? Onii-chan's (big brother) mail address is Issunhime?
context: An one-inch princess came to my room to visit.\An one-inch princess...\One-inch princess... One-inch princess.\I hope she will come and visit again.\Onee-chan (big sister), I wish you would send emails more often.\(Issun-hime= One-inch princess)\This address is...\What? Onii-chan's (big brother) mail address is Issunhime? response:	Issun-hime... (one-inch princess)
context: An one-inch princess...\One-inch princess... One-inch princess.\I hope she will come and visit again.\Onee-chan (big sister), I wish you would send emails more often.\(Issun-hime= One-inch princess)\This address is...\What? Onii-chan's (big brother) mail address is Issunhime?\Issun-hime... (one-inch princess) response:	Does this mean Onee-chan was sending us email from that device?
context: One-inch princess... One-inch princess.\I hope she will come and visit again.\Onee-chan (big sister), I wish you would send emails more often.\(Issun-hime= One-inch princess)\This address is...\What? Onii-chan's (big brother) mail address is Issunhime?\Issun-hime... (one-inch princess)\Does this mean Onee-chan was sending us email from that device? response:	So that means Onii-chan and Onee-chan are...
context: I hope she will come and visit again.\Onee-chan (big sister), I wish you would send emails more often.\(Issun-hime= One-inch princess)\This address is...\What? Onii-chan's (big brother) mail address is Issunhime?\Issun-hime... (one-inch princess)\Does this mean Onee-chan was sending us email from that device?\So that means Onii-chan and Onee-chan are... response:	I wonder if Grandma is ok?
context: Onee-chan (big sister), I wish you would send emails more often.\(Issun-hime= One-inch princess)\This address is...\What? Onii-chan's (big brother) mail address is Issunhime?\Issun-hime... (one-inch princess)\Does this mean Onee-chan was sending us email from that device?\So that means Onii-chan and Onee-chan are...\I wonder if Grandma is ok? response:	I wonder what happened all of sudden.
context: (Issun-hime= One-inch princess)\This address is...\What? Onii-chan's (big brother) mail address is Issunhime?\Issun-hime... (one-inch princess)\Does this mean Onee-chan was sending us email from that device?\So that means Onii-chan and Onee-chan are...\I wonder if Grandma is ok?\I wonder what happened all of sudden. response:	I'm worried.
context: This address is...\What? Onii-chan's (big brother) mail address is Issunhime?\Issun-hime... (one-inch princess)\Does this mean Onee-chan was sending us email from that device?\So that means Onii-chan and Onee-chan are...\I wonder if Grandma is ok?\I wonder what happened all of sudden.\I'm worried. response:	I thought you don't eat late at night.
context: What? Onii-chan's (big brother) mail address is Issunhime?\Issun-hime... (one-inch princess)\Does this mean Onee-chan was sending us email from that device?\So that means Onii-chan and Onee-chan are...\I wonder if Grandma is ok?\I wonder what happened all of sudden.\I'm worried.\I thought you don't eat late at night. response:	It's still before 10:00.
context: Issun-hime... (one-inch princess)\Does this mean Onee-chan was sending us email from that device?\So that means Onii-chan and Onee-chan are...\I wonder if Grandma is ok?\I wonder what happened all of sudden.\I'm worried.\I thought you don't eat late at night.\It's still before 10:00. response:	What do you mean?
context: Does this mean Onee-chan was sending us email from that device?\So that means Onii-chan and Onee-chan are...\I wonder if Grandma is ok?\I wonder what happened all of sudden.\I'm worried.\I thought you don't eat late at night.\It's still before 10:00.\What do you mean? response:	So sweet. It tastes good.
context: So that means Onii-chan and Onee-chan are...\I wonder if Grandma is ok?\I wonder what happened all of sudden.\I'm worried.\I thought you don't eat late at night.\It's still before 10:00.\What do you mean?\So sweet. It tastes good. response:	- Convenience store's pudding is pretty good. - Yeah.
context: I wonder if Grandma is ok?\I wonder what happened all of sudden.\I'm worried.\I thought you don't eat late at night.\It's still before 10:00.\What do you mean?\So sweet. It tastes good.\- Convenience store's pudding is pretty good. - Yeah. response:	You got caramel on your face.
context: I wonder what happened all of sudden.\I'm worried.\I thought you don't eat late at night.\It's still before 10:00.\What do you mean?\So sweet. It tastes good.\- Convenience store's pudding is pretty good. - Yeah.\You got caramel on your face. response:	Eh? Where?
context: I'm worried.\I thought you don't eat late at night.\It's still before 10:00.\What do you mean?\So sweet. It tastes good.\- Convenience store's pudding is pretty good. - Yeah.\You got caramel on your face.\Eh? Where? response:	Right there. On the left.
context: I thought you don't eat late at night.\It's still before 10:00.\What do you mean?\So sweet. It tastes good.\- Convenience store's pudding is pretty good. - Yeah.\You got caramel on your face.\Eh? Where?\Right there. On the left. response:	Right here. Here.
context: It's still before 10:00.\What do you mean?\So sweet. It tastes good.\- Convenience store's pudding is pretty good. - Yeah.\You got caramel on your face.\Eh? Where?\Right there. On the left.\Right here. Here. response:	It feeles like Minami-kun is nicer now. Or is it just me?
context: What do you mean?\So sweet. It tastes good.\- Convenience store's pudding is pretty good. - Yeah.\You got caramel on your face.\Eh? Where?\Right there. On the left.\Right here. Here.\It feeles like Minami-kun is nicer now. Or is it just me? response:	I guess it's just me.
context: So sweet. It tastes good.\- Convenience store's pudding is pretty good. - Yeah.\You got caramel on your face.\Eh? Where?\Right there. On the left.\Right here. Here.\It feeles like Minami-kun is nicer now. Or is it just me?\I guess it's just me. response:	Timing and Subtitles brought to you by The Little Lover Team @Viki
context: - Convenience store's pudding is pretty good. - Yeah.\You got caramel on your face.\Eh? Where?\Right there. On the left.\Right here. Here.\It feeles like Minami-kun is nicer now. Or is it just me?\I guess it's just me.\Timing and Subtitles brought to you by The Little Lover Team @Viki response:	N A casual encounter N
context: You got caramel on your face.\Eh? Where?\Right there. On the left.\Right here. Here.\It feeles like Minami-kun is nicer now. Or is it just me?\I guess it's just me.\Timing and Subtitles brought to you by The Little Lover Team @Viki\N A casual encounter N response:	N gave me this great beginning N
context: Eh? Where?\Right there. On the left.\Right here. Here.\It feeles like Minami-kun is nicer now. Or is it just me?\I guess it's just me.\Timing and Subtitles brought to you by The Little Lover Team @Viki\N A casual encounter N\N gave me this great beginning N response:	N Everyday, I was with you N
context: Right there. On the left.\Right here. Here.\It feeles like Minami-kun is nicer now. Or is it just me?\I guess it's just me.\Timing and Subtitles brought to you by The Little Lover Team @Viki\N A casual encounter N\N gave me this great beginning N\N Everyday, I was with you N response:	N I was slowly loving you more and more N
context: Right here. Here.\It feeles like Minami-kun is nicer now. Or is it just me?\I guess it's just me.\Timing and Subtitles brought to you by The Little Lover Team @Viki\N A casual encounter N\N gave me this great beginning N\N Everyday, I was with you N\N I was slowly loving you more and more N response:	N When we walk shoulder to shoulder N
context: It feeles like Minami-kun is nicer now. Or is it just me?\I guess it's just me.\Timing and Subtitles brought to you by The Little Lover Team @Viki\N A casual encounter N\N gave me this great beginning N\N Everyday, I was with you N\N I was slowly loving you more and more N\N When we walk shoulder to shoulder N response:	N You are right here, but even if I stretched my arm N
context: I guess it's just me.\Timing and Subtitles brought to you by The Little Lover Team @Viki\N A casual encounter N\N gave me this great beginning N\N Everyday, I was with you N\N I was slowly loving you more and more N\N When we walk shoulder to shoulder N\N You are right here, but even if I stretched my arm N response:	N I won't be able to reach you N
context: Timing and Subtitles brought to you by The Little Lover Team @Viki\N A casual encounter N\N gave me this great beginning N\N Everyday, I was with you N\N I was slowly loving you more and more N\N When we walk shoulder to shoulder N\N You are right here, but even if I stretched my arm N\N I won't be able to reach you N response:	N I simply love you N N You are always in my heart N
context: N A casual encounter N\N gave me this great beginning N\N Everyday, I was with you N\N I was slowly loving you more and more N\N When we walk shoulder to shoulder N\N You are right here, but even if I stretched my arm N\N I won't be able to reach you N\N I simply love you N N You are always in my heart N response:	N It almost hurts me N N Forever N
context: N gave me this great beginning N\N Everyday, I was with you N\N I was slowly loving you more and more N\N When we walk shoulder to shoulder N\N You are right here, but even if I stretched my arm N\N I won't be able to reach you N\N I simply love you N N You are always in my heart N\N It almost hurts me N N Forever N response:	N I just want to be honest and tell you that I love you N
context: N Everyday, I was with you N\N I was slowly loving you more and more N\N When we walk shoulder to shoulder N\N You are right here, but even if I stretched my arm N\N I won't be able to reach you N\N I simply love you N N You are always in my heart N\N It almost hurts me N N Forever N\N I just want to be honest and tell you that I love you N response:	N Forever and ever N N Please be with me N
context: N I was slowly loving you more and more N\N When we walk shoulder to shoulder N\N You are right here, but even if I stretched my arm N\N I won't be able to reach you N\N I simply love you N N You are always in my heart N\N It almost hurts me N N Forever N\N I just want to be honest and tell you that I love you N\N Forever and ever N N Please be with me N response:	N I wish our days last N
context: N When we walk shoulder to shoulder N\N You are right here, but even if I stretched my arm N\N I won't be able to reach you N\N I simply love you N N You are always in my heart N\N It almost hurts me N N Forever N\N I just want to be honest and tell you that I love you N\N Forever and ever N N Please be with me N\N I wish our days last N response:	N Forever N
context: N You are right here, but even if I stretched my arm N\N I won't be able to reach you N\N I simply love you N N You are always in my heart N\N It almost hurts me N N Forever N\N I just want to be honest and tell you that I love you N\N Forever and ever N N Please be with me N\N I wish our days last N\N Forever N response:	Ha?
context: N I won't be able to reach you N\N I simply love you N N You are always in my heart N\N It almost hurts me N N Forever N\N I just want to be honest and tell you that I love you N\N Forever and ever N N Please be with me N\N I wish our days last N\N Forever N\Ha? response:	I don't think he really liked me.
context: N I simply love you N N You are always in my heart N\N It almost hurts me N N Forever N\N I just want to be honest and tell you that I love you N\N Forever and ever N N Please be with me N\N I wish our days last N\N Forever N\Ha?\I don't think he really liked me. response:	Grandma, you made this?
context: N It almost hurts me N N Forever N\N I just want to be honest and tell you that I love you N\N Forever and ever N N Please be with me N\N I wish our days last N\N Forever N\Ha?\I don't think he really liked me.\Grandma, you made this? response:	Horikiri-si was in a love that wouldn't come true.
context: N I just want to be honest and tell you that I love you N\N Forever and ever N N Please be with me N\N I wish our days last N\N Forever N\Ha?\I don't think he really liked me.\Grandma, you made this?\Horikiri-si was in a love that wouldn't come true. response:	If that's the case, I wonder who was the guy.
context: N Forever and ever N N Please be with me N\N I wish our days last N\N Forever N\Ha?\I don't think he really liked me.\Grandma, you made this?\Horikiri-si was in a love that wouldn't come true.\If that's the case, I wonder who was the guy. response:	I can't take it any more.
context: N I wish our days last N\N Forever N\Ha?\I don't think he really liked me.\Grandma, you made this?\Horikiri-si was in a love that wouldn't come true.\If that's the case, I wonder who was the guy.\I can't take it any more. response:	Please Onii-chan, if you know where Onee-chan is, please tell me.
context: N Forever N\Ha?\I don't think he really liked me.\Grandma, you made this?\Horikiri-si was in a love that wouldn't come true.\If that's the case, I wonder who was the guy.\I can't take it any more.\Please Onii-chan, if you know where Onee-chan is, please tell me. response:	Our house is a mess because she isn't there.
context: Ha?\I don't think he really liked me.\Grandma, you made this?\Horikiri-si was in a love that wouldn't come true.\If that's the case, I wonder who was the guy.\I can't take it any more.\Please Onii-chan, if you know where Onee-chan is, please tell me.\Our house is a mess because she isn't there. response:	Asuka-chan...
context: I don't think he really liked me.\Grandma, you made this?\Horikiri-si was in a love that wouldn't come true.\If that's the case, I wonder who was the guy.\I can't take it any more.\Please Onii-chan, if you know where Onee-chan is, please tell me.\Our house is a mess because she isn't there.\Asuka-chan... response:	Dad, please say it using words...
context: Grandma, you made this?\Horikiri-si was in a love that wouldn't come true.\If that's the case, I wonder who was the guy.\I can't take it any more.\Please Onii-chan, if you know where Onee-chan is, please tell me.\Our house is a mess because she isn't there.\Asuka-chan...\Dad, please say it using words... response:	Minami kun No Koibito My Little Lover
