context: I feel bad for doing that to Iroha. response:	If you're going to feel guilty, you shouldn't have rejected her.
context: I'll have black tea.\It's been ages since we all had tea together, huh?\Yeah.\Haruno?\Oh, are you done talking?\Yes.\Hayato-kun, I'm sorry to make you wait.\It's all right. With everyone here, I wasn't bored. response:	Oh, Yukino, you're here?
context: It's been ages since we all had tea together, huh?\Yeah.\Haruno?\Oh, are you done talking?\Yes.\Hayato-kun, I'm sorry to make you wait.\It's all right. With everyone here, I wasn't bored.\Oh, Yukino, you're here? response:	I'm glad.
context: Yeah.\Haruno?\Oh, are you done talking?\Yes.\Hayato-kun, I'm sorry to make you wait.\It's all right. With everyone here, I wasn't bored.\Oh, Yukino, you're here?\I'm glad. response:	Mom...
context: Haruno?\Oh, are you done talking?\Yes.\Hayato-kun, I'm sorry to make you wait.\It's all right. With everyone here, I wasn't bored.\Oh, Yukino, you're here?\I'm glad.\Mom... response:	Your friends?
context: Oh, are you done talking?\Yes.\Hayato-kun, I'm sorry to make you wait.\It's all right. With everyone here, I wasn't bored.\Oh, Yukino, you're here?\I'm glad.\Mom...\Your friends? response:	Yukino-chan's.
context: Yes.\Hayato-kun, I'm sorry to make you wait.\It's all right. With everyone here, I wasn't bored.\Oh, Yukino, you're here?\I'm glad.\Mom...\Your friends?\Yukino-chan's. response:	Oh, I'm sorry.
context: Hayato-kun, I'm sorry to make you wait.\It's all right. With everyone here, I wasn't bored.\Oh, Yukino, you're here?\I'm glad.\Mom...\Your friends?\Yukino-chan's.\Oh, I'm sorry. response:	I don't know any schoolmates of Yukino's besides Hayato-kun.
context: It's all right. With everyone here, I wasn't bored.\Oh, Yukino, you're here?\I'm glad.\Mom...\Your friends?\Yukino-chan's.\Oh, I'm sorry.\I don't know any schoolmates of Yukino's besides Hayato-kun. response:	Please continue to be good friends to her.
context: Oh, Yukino, you're here?\I'm glad.\Mom...\Your friends?\Yukino-chan's.\Oh, I'm sorry.\I don't know any schoolmates of Yukino's besides Hayato-kun.\Please continue to be good friends to her. response:	We will!
context: I'm glad.\Mom...\Your friends?\Yukino-chan's.\Oh, I'm sorry.\I don't know any schoolmates of Yukino's besides Hayato-kun.\Please continue to be good friends to her.\We will! response:	Well, shall we go?
context: Mom...\Your friends?\Yukino-chan's.\Oh, I'm sorry.\I don't know any schoolmates of Yukino's besides Hayato-kun.\Please continue to be good friends to her.\We will!\Well, shall we go? response:	Sure.
context: Your friends?\Yukino-chan's.\Oh, I'm sorry.\I don't know any schoolmates of Yukino's besides Hayato-kun.\Please continue to be good friends to her.\We will!\Well, shall we go?\Sure. response:	Yukino.
context: Yukino-chan's.\Oh, I'm sorry.\I don't know any schoolmates of Yukino's besides Hayato-kun.\Please continue to be good friends to her.\We will!\Well, shall we go?\Sure.\Yukino. response:	This is your birthday celebration, as well.
context: Oh, I'm sorry.\I don't know any schoolmates of Yukino's besides Hayato-kun.\Please continue to be good friends to her.\We will!\Well, shall we go?\Sure.\Yukino.\This is your birthday celebration, as well. response:	Yukino-chan, don't.
context: I don't know any schoolmates of Yukino's besides Hayato-kun.\Please continue to be good friends to her.\We will!\Well, shall we go?\Sure.\Yukino.\This is your birthday celebration, as well.\Yukino-chan, don't. response:	The Thing That the Light in Each of Their Hands Shines On.
context: Please continue to be good friends to her.\We will!\Well, shall we go?\Sure.\Yukino.\This is your birthday celebration, as well.\Yukino-chan, don't.\The Thing That the Light in Each of Their Hands Shines On. response:	11 Hayama Hayato Always Responds to Everyone's Expectations.
context: We will!\Well, shall we go?\Sure.\Yukino.\This is your birthday celebration, as well.\Yukino-chan, don't.\The Thing That the Light in Each of Their Hands Shines On.\11 Hayama Hayato Always Responds to Everyone's Expectations. response:	This must be my true nature.
context: Well, shall we go?\Sure.\Yukino.\This is your birthday celebration, as well.\Yukino-chan, don't.\The Thing That the Light in Each of Their Hands Shines On.\11 Hayama Hayato Always Responds to Everyone's Expectations.\This must be my true nature. response:	That's why I could never let go of it.
context: Sure.\Yukino.\This is your birthday celebration, as well.\Yukino-chan, don't.\The Thing That the Light in Each of Their Hands Shines On.\11 Hayama Hayato Always Responds to Everyone's Expectations.\This must be my true nature.\That's why I could never let go of it. response:	I just sealed it inside...
context: Yukino.\This is your birthday celebration, as well.\Yukino-chan, don't.\The Thing That the Light in Each of Their Hands Shines On.\11 Hayama Hayato Always Responds to Everyone's Expectations.\This must be my true nature.\That's why I could never let go of it.\I just sealed it inside... response:	I just wanted to be condemned by the truth.
context: This is your birthday celebration, as well.\Yukino-chan, don't.\The Thing That the Light in Each of Their Hands Shines On.\11 Hayama Hayato Always Responds to Everyone's Expectations.\This must be my true nature.\That's why I could never let go of it.\I just sealed it inside...\I just wanted to be condemned by the truth. response:	I wanted someone to see that the idiotic things
context: Yukino-chan, don't.\The Thing That the Light in Each of Their Hands Shines On.\11 Hayama Hayato Always Responds to Everyone's Expectations.\This must be my true nature.\That's why I could never let go of it.\I just sealed it inside...\I just wanted to be condemned by the truth.\I wanted someone to see that the idiotic things response:	I did for others were really for me.
context: The Thing That the Light in Each of Their Hands Shines On.\11 Hayama Hayato Always Responds to Everyone's Expectations.\This must be my true nature.\That's why I could never let go of it.\I just sealed it inside...\I just wanted to be condemned by the truth.\I wanted someone to see that the idiotic things\I did for others were really for me. response:	In the eyes of the people looking at me...
context: 11 Hayama Hayato Always Responds to Everyone's Expectations.\This must be my true nature.\That's why I could never let go of it.\I just sealed it inside...\I just wanted to be condemned by the truth.\I wanted someone to see that the idiotic things\I did for others were really for me.\In the eyes of the people looking at me... response:	That's why I had hope...
context: This must be my true nature.\That's why I could never let go of it.\I just sealed it inside...\I just wanted to be condemned by the truth.\I wanted someone to see that the idiotic things\I did for others were really for me.\In the eyes of the people looking at me...\That's why I had hope... response:	That someone would see through me.
context: That's why I could never let go of it.\I just sealed it inside...\I just wanted to be condemned by the truth.\I wanted someone to see that the idiotic things\I did for others were really for me.\In the eyes of the people looking at me...\That's why I had hope...\That someone would see through me. response:	Truth...
context: I just sealed it inside...\I just wanted to be condemned by the truth.\I wanted someone to see that the idiotic things\I did for others were really for me.\In the eyes of the people looking at me...\That's why I had hope...\That someone would see through me.\Truth... response:	How can you say with certainty that it isn't just an empty delusion?
context: I just wanted to be condemned by the truth.\I wanted someone to see that the idiotic things\I did for others were really for me.\In the eyes of the people looking at me...\That's why I had hope...\That someone would see through me.\Truth...\How can you say with certainty that it isn't just an empty delusion? response:	Does something that's real even exist?
