context: I like your eyes the most. response:	Your Majesty, don't make fun of me.
context: Prepare what?\Since you've agreed to devote yourself to me\then shouldn't we kneel in front of the Lakes of the Far East\bow to heaven and earth, and make a pledge\to become husband and wife and never abandon each other?\Though I don't have parents\if we also leave out this step, would it be improper?\You want to marry me? response:	I want to marry you.
context: Since you've agreed to devote yourself to me\then shouldn't we kneel in front of the Lakes of the Far East\bow to heaven and earth, and make a pledge\to become husband and wife and never abandon each other?\Though I don't have parents\if we also leave out this step, would it be improper?\You want to marry me?\I want to marry you. response:	I have never bowed to heaven and earth with anyone else.
context: then shouldn't we kneel in front of the Lakes of the Far East\bow to heaven and earth, and make a pledge\to become husband and wife and never abandon each other?\Though I don't have parents\if we also leave out this step, would it be improper?\You want to marry me?\I want to marry you.\I have never bowed to heaven and earth with anyone else. response:	I haven't either.
context: bow to heaven and earth, and make a pledge\to become husband and wife and never abandon each other?\Though I don't have parents\if we also leave out this step, would it be improper?\You want to marry me?\I want to marry you.\I have never bowed to heaven and earth with anyone else.\I haven't either. response:	Then let's keep everything simple.
context: to become husband and wife and never abandon each other?\Though I don't have parents\if we also leave out this step, would it be improper?\You want to marry me?\I want to marry you.\I have never bowed to heaven and earth with anyone else.\I haven't either.\Then let's keep everything simple. response:	Formalities are not important.
context: Though I don't have parents\if we also leave out this step, would it be improper?\You want to marry me?\I want to marry you.\I have never bowed to heaven and earth with anyone else.\I haven't either.\Then let's keep everything simple.\Formalities are not important. response:	Keep everything simple?
context: if we also leave out this step, would it be improper?\You want to marry me?\I want to marry you.\I have never bowed to heaven and earth with anyone else.\I haven't either.\Then let's keep everything simple.\Formalities are not important.\Keep everything simple? response:	Then what do we do next?
context: You want to marry me?\I want to marry you.\I have never bowed to heaven and earth with anyone else.\I haven't either.\Then let's keep everything simple.\Formalities are not important.\Keep everything simple?\Then what do we do next? response:	Buy things.
context: I want to marry you.\I have never bowed to heaven and earth with anyone else.\I haven't either.\Then let's keep everything simple.\Formalities are not important.\Keep everything simple?\Then what do we do next?\Buy things. response:	Buy things?
context: I have never bowed to heaven and earth with anyone else.\I haven't either.\Then let's keep everything simple.\Formalities are not important.\Keep everything simple?\Then what do we do next?\Buy things.\Buy things? response:	Aside from a crimson wedding quilt
context: I haven't either.\Then let's keep everything simple.\Formalities are not important.\Keep everything simple?\Then what do we do next?\Buy things.\Buy things?\Aside from a crimson wedding quilt response:	we need to add some other items to this house.
context: Then let's keep everything simple.\Formalities are not important.\Keep everything simple?\Then what do we do next?\Buy things.\Buy things?\Aside from a crimson wedding quilt\we need to add some other items to this house. response:	It isn't a wedding quilt.
context: Formalities are not important.\Keep everything simple?\Then what do we do next?\Buy things.\Buy things?\Aside from a crimson wedding quilt\we need to add some other items to this house.\It isn't a wedding quilt. response:	The one in Your Highness's heart is clearly the Crown Prince.
context: Keep everything simple?\Then what do we do next?\Buy things.\Buy things?\Aside from a crimson wedding quilt\we need to add some other items to this house.\It isn't a wedding quilt.\The one in Your Highness's heart is clearly the Crown Prince. response:	Despite that, why did you request to be made consort?
context: Then what do we do next?\Buy things.\Buy things?\Aside from a crimson wedding quilt\we need to add some other items to this house.\It isn't a wedding quilt.\The one in Your Highness's heart is clearly the Crown Prince.\Despite that, why did you request to be made consort? response:	Moreover, the Heavenly Lord is of old age.
context: Buy things.\Buy things?\Aside from a crimson wedding quilt\we need to add some other items to this house.\It isn't a wedding quilt.\The one in Your Highness's heart is clearly the Crown Prince.\Despite that, why did you request to be made consort?\Moreover, the Heavenly Lord is of old age. response:	He no longer has the energy to give his affections to the harem.
context: Buy things?\Aside from a crimson wedding quilt\we need to add some other items to this house.\It isn't a wedding quilt.\The one in Your Highness's heart is clearly the Crown Prince.\Despite that, why did you request to be made consort?\Moreover, the Heavenly Lord is of old age.\He no longer has the energy to give his affections to the harem. response:	Among all the consorts, Your Highness is the youngest one
context: Aside from a crimson wedding quilt\we need to add some other items to this house.\It isn't a wedding quilt.\The one in Your Highness's heart is clearly the Crown Prince.\Despite that, why did you request to be made consort?\Moreover, the Heavenly Lord is of old age.\He no longer has the energy to give his affections to the harem.\Among all the consorts, Your Highness is the youngest one response:	yet, you are the least powerful.
context: we need to add some other items to this house.\It isn't a wedding quilt.\The one in Your Highness's heart is clearly the Crown Prince.\Despite that, why did you request to be made consort?\Moreover, the Heavenly Lord is of old age.\He no longer has the energy to give his affections to the harem.\Among all the consorts, Your Highness is the youngest one\yet, you are the least powerful. response:	Look.
context: It isn't a wedding quilt.\The one in Your Highness's heart is clearly the Crown Prince.\Despite that, why did you request to be made consort?\Moreover, the Heavenly Lord is of old age.\He no longer has the energy to give his affections to the harem.\Among all the consorts, Your Highness is the youngest one\yet, you are the least powerful.\Look. response:	The decree was made just yesterday
context: The one in Your Highness's heart is clearly the Crown Prince.\Despite that, why did you request to be made consort?\Moreover, the Heavenly Lord is of old age.\He no longer has the energy to give his affections to the harem.\Among all the consorts, Your Highness is the youngest one\yet, you are the least powerful.\Look.\The decree was made just yesterday response:	and you already have to move in such a hurry today.
context: Despite that, why did you request to be made consort?\Moreover, the Heavenly Lord is of old age.\He no longer has the energy to give his affections to the harem.\Among all the consorts, Your Highness is the youngest one\yet, you are the least powerful.\Look.\The decree was made just yesterday\and you already have to move in such a hurry today. response:	Aside from the wedding outfit you are wearing
context: Moreover, the Heavenly Lord is of old age.\He no longer has the energy to give his affections to the harem.\Among all the consorts, Your Highness is the youngest one\yet, you are the least powerful.\Look.\The decree was made just yesterday\and you already have to move in such a hurry today.\Aside from the wedding outfit you are wearing response:	there is no festive air in the palace.
context: He no longer has the energy to give his affections to the harem.\Among all the consorts, Your Highness is the youngest one\yet, you are the least powerful.\Look.\The decree was made just yesterday\and you already have to move in such a hurry today.\Aside from the wedding outfit you are wearing\there is no festive air in the palace. response:	- You don't understand. - How do I not?
context: Among all the consorts, Your Highness is the youngest one\yet, you are the least powerful.\Look.\The decree was made just yesterday\and you already have to move in such a hurry today.\Aside from the wedding outfit you are wearing\there is no festive air in the palace.\- You don't understand. - How do I not? response:	I have been serving Your Highness since I was young.
context: yet, you are the least powerful.\Look.\The decree was made just yesterday\and you already have to move in such a hurry today.\Aside from the wedding outfit you are wearing\there is no festive air in the palace.\- You don't understand. - How do I not?\I have been serving Your Highness since I was young. response:	Heavenly Lord being unable to attend to his harem is exactly what I want.
context: Look.\The decree was made just yesterday\and you already have to move in such a hurry today.\Aside from the wedding outfit you are wearing\there is no festive air in the palace.\- You don't understand. - How do I not?\I have been serving Your Highness since I was young.\Heavenly Lord being unable to attend to his harem is exactly what I want. response:	Your Highness, don't tell me that you wanted to get married
context: The decree was made just yesterday\and you already have to move in such a hurry today.\Aside from the wedding outfit you are wearing\there is no festive air in the palace.\- You don't understand. - How do I not?\I have been serving Your Highness since I was young.\Heavenly Lord being unable to attend to his harem is exactly what I want.\Your Highness, don't tell me that you wanted to get married response:	to be left alone in your quarters.
context: and you already have to move in such a hurry today.\Aside from the wedding outfit you are wearing\there is no festive air in the palace.\- You don't understand. - How do I not?\I have been serving Your Highness since I was young.\Heavenly Lord being unable to attend to his harem is exactly what I want.\Your Highness, don't tell me that you wanted to get married\to be left alone in your quarters. response:	Isn't that great?
context: Aside from the wedding outfit you are wearing\there is no festive air in the palace.\- You don't understand. - How do I not?\I have been serving Your Highness since I was young.\Heavenly Lord being unable to attend to his harem is exactly what I want.\Your Highness, don't tell me that you wanted to get married\to be left alone in your quarters.\Isn't that great? response:	Your Highness.
context: there is no festive air in the palace.\- You don't understand. - How do I not?\I have been serving Your Highness since I was young.\Heavenly Lord being unable to attend to his harem is exactly what I want.\Your Highness, don't tell me that you wanted to get married\to be left alone in your quarters.\Isn't that great?\Your Highness. response:	Your Highness.
context: - You don't understand. - How do I not?\I have been serving Your Highness since I was young.\Heavenly Lord being unable to attend to his harem is exactly what I want.\Your Highness, don't tell me that you wanted to get married\to be left alone in your quarters.\Isn't that great?\Your Highness.\Your Highness. response:	What are you thinking? Can you tell me?
context: I have been serving Your Highness since I was young.\Heavenly Lord being unable to attend to his harem is exactly what I want.\Your Highness, don't tell me that you wanted to get married\to be left alone in your quarters.\Isn't that great?\Your Highness.\Your Highness.\What are you thinking? Can you tell me? response:	My rank may be low, but I have been loyal to you my whole life.
context: Heavenly Lord being unable to attend to his harem is exactly what I want.\Your Highness, don't tell me that you wanted to get married\to be left alone in your quarters.\Isn't that great?\Your Highness.\Your Highness.\What are you thinking? Can you tell me?\My rank may be low, but I have been loyal to you my whole life. response:	If you cannot tell me what is on your mind
context: Your Highness, don't tell me that you wanted to get married\to be left alone in your quarters.\Isn't that great?\Your Highness.\Your Highness.\What are you thinking? Can you tell me?\My rank may be low, but I have been loyal to you my whole life.\If you cannot tell me what is on your mind response:	who else could you tell?
context: to be left alone in your quarters.\Isn't that great?\Your Highness.\Your Highness.\What are you thinking? Can you tell me?\My rank may be low, but I have been loyal to you my whole life.\If you cannot tell me what is on your mind\who else could you tell? response:	You don't even have parents or siblings.
context: Isn't that great?\Your Highness.\Your Highness.\What are you thinking? Can you tell me?\My rank may be low, but I have been loyal to you my whole life.\If you cannot tell me what is on your mind\who else could you tell?\You don't even have parents or siblings. response:	Take a look around. What do you need?
context: Your Highness.\Your Highness.\What are you thinking? Can you tell me?\My rank may be low, but I have been loyal to you my whole life.\If you cannot tell me what is on your mind\who else could you tell?\You don't even have parents or siblings.\Take a look around. What do you need? response:	In broad daylight...
context: Your Highness.\What are you thinking? Can you tell me?\My rank may be low, but I have been loyal to you my whole life.\If you cannot tell me what is on your mind\who else could you tell?\You don't even have parents or siblings.\Take a look around. What do you need?\In broad daylight... response:	I am the Jade Emperor's son-in-law!
context: What are you thinking? Can you tell me?\My rank may be low, but I have been loyal to you my whole life.\If you cannot tell me what is on your mind\who else could you tell?\You don't even have parents or siblings.\Take a look around. What do you need?\In broad daylight...\I am the Jade Emperor's son-in-law! response:	He's gone crazy.
context: My rank may be low, but I have been loyal to you my whole life.\If you cannot tell me what is on your mind\who else could you tell?\You don't even have parents or siblings.\Take a look around. What do you need?\In broad daylight...\I am the Jade Emperor's son-in-law!\He's gone crazy. response:	Let's go.
context: If you cannot tell me what is on your mind\who else could you tell?\You don't even have parents or siblings.\Take a look around. What do you need?\In broad daylight...\I am the Jade Emperor's son-in-law!\He's gone crazy.\Let's go. response:	Looks like he's lost his mind.
context: who else could you tell?\You don't even have parents or siblings.\Take a look around. What do you need?\In broad daylight...\I am the Jade Emperor's son-in-law!\He's gone crazy.\Let's go.\Looks like he's lost his mind. response:	- He's crazy now. - What happened?
context: You don't even have parents or siblings.\Take a look around. What do you need?\In broad daylight...\I am the Jade Emperor's son-in-law!\He's gone crazy.\Let's go.\Looks like he's lost his mind.\- He's crazy now. - What happened? response:	Do you know why that Daoist priest turned crazy?
context: Take a look around. What do you need?\In broad daylight...\I am the Jade Emperor's son-in-law!\He's gone crazy.\Let's go.\Looks like he's lost his mind.\- He's crazy now. - What happened?\Do you know why that Daoist priest turned crazy? response:	- Why? - Let me tell you.
context: In broad daylight...\I am the Jade Emperor's son-in-law!\He's gone crazy.\Let's go.\Looks like he's lost his mind.\- He's crazy now. - What happened?\Do you know why that Daoist priest turned crazy?\- Why? - Let me tell you. response:	This Daoist priest has a wife.
context: I am the Jade Emperor's son-in-law!\He's gone crazy.\Let's go.\Looks like he's lost his mind.\- He's crazy now. - What happened?\Do you know why that Daoist priest turned crazy?\- Why? - Let me tell you.\This Daoist priest has a wife. response:	They separated earlier in the year.
context: He's gone crazy.\Let's go.\Looks like he's lost his mind.\- He's crazy now. - What happened?\Do you know why that Daoist priest turned crazy?\- Why? - Let me tell you.\This Daoist priest has a wife.\They separated earlier in the year. response:	A few days ago, she came back, and with a child in tow.
context: Let's go.\Looks like he's lost his mind.\- He's crazy now. - What happened?\Do you know why that Daoist priest turned crazy?\- Why? - Let me tell you.\This Daoist priest has a wife.\They separated earlier in the year.\A few days ago, she came back, and with a child in tow. response:	He had just brought the child to visit his ancestors
context: Looks like he's lost his mind.\- He's crazy now. - What happened?\Do you know why that Daoist priest turned crazy?\- Why? - Let me tell you.\This Daoist priest has a wife.\They separated earlier in the year.\A few days ago, she came back, and with a child in tow.\He had just brought the child to visit his ancestors response:	and at that very moment, the child's real father appeared.
context: - He's crazy now. - What happened?\Do you know why that Daoist priest turned crazy?\- Why? - Let me tell you.\This Daoist priest has a wife.\They separated earlier in the year.\A few days ago, she came back, and with a child in tow.\He had just brought the child to visit his ancestors\and at that very moment, the child's real father appeared. response:	He found the Daoist priest, beat him up, and took the child.
context: Do you know why that Daoist priest turned crazy?\- Why? - Let me tell you.\This Daoist priest has a wife.\They separated earlier in the year.\A few days ago, she came back, and with a child in tow.\He had just brought the child to visit his ancestors\and at that very moment, the child's real father appeared.\He found the Daoist priest, beat him up, and took the child. response:	He even stole all the money the Daoist priest had earned in his life.
context: - Why? - Let me tell you.\This Daoist priest has a wife.\They separated earlier in the year.\A few days ago, she came back, and with a child in tow.\He had just brought the child to visit his ancestors\and at that very moment, the child's real father appeared.\He found the Daoist priest, beat him up, and took the child.\He even stole all the money the Daoist priest had earned in his life. response:	This was when the Daoist priest truly lost his mind.
context: This Daoist priest has a wife.\They separated earlier in the year.\A few days ago, she came back, and with a child in tow.\He had just brought the child to visit his ancestors\and at that very moment, the child's real father appeared.\He found the Daoist priest, beat him up, and took the child.\He even stole all the money the Daoist priest had earned in his life.\This was when the Daoist priest truly lost his mind. response:	It's only been a few days. The gossip is more dramatic than the opera.
context: They separated earlier in the year.\A few days ago, she came back, and with a child in tow.\He had just brought the child to visit his ancestors\and at that very moment, the child's real father appeared.\He found the Daoist priest, beat him up, and took the child.\He even stole all the money the Daoist priest had earned in his life.\This was when the Daoist priest truly lost his mind.\It's only been a few days. The gossip is more dramatic than the opera. response:	What is the matter? Do you know that Daoist priest?
context: A few days ago, she came back, and with a child in tow.\He had just brought the child to visit his ancestors\and at that very moment, the child's real father appeared.\He found the Daoist priest, beat him up, and took the child.\He even stole all the money the Daoist priest had earned in his life.\This was when the Daoist priest truly lost his mind.\It's only been a few days. The gossip is more dramatic than the opera.\What is the matter? Do you know that Daoist priest? response:	He is a bad person.
context: He had just brought the child to visit his ancestors\and at that very moment, the child's real father appeared.\He found the Daoist priest, beat him up, and took the child.\He even stole all the money the Daoist priest had earned in his life.\This was when the Daoist priest truly lost his mind.\It's only been a few days. The gossip is more dramatic than the opera.\What is the matter? Do you know that Daoist priest?\He is a bad person. response:	He offended you before?
context: and at that very moment, the child's real father appeared.\He found the Daoist priest, beat him up, and took the child.\He even stole all the money the Daoist priest had earned in his life.\This was when the Daoist priest truly lost his mind.\It's only been a few days. The gossip is more dramatic than the opera.\What is the matter? Do you know that Daoist priest?\He is a bad person.\He offended you before? response:	Twice he has put me in a difficult situation.
context: He found the Daoist priest, beat him up, and took the child.\He even stole all the money the Daoist priest had earned in his life.\This was when the Daoist priest truly lost his mind.\It's only been a few days. The gossip is more dramatic than the opera.\What is the matter? Do you know that Daoist priest?\He is a bad person.\He offended you before?\Twice he has put me in a difficult situation. response:	It seems he has received his retribution. There's no need to mention it again.
context: He even stole all the money the Daoist priest had earned in his life.\This was when the Daoist priest truly lost his mind.\It's only been a few days. The gossip is more dramatic than the opera.\What is the matter? Do you know that Daoist priest?\He is a bad person.\He offended you before?\Twice he has put me in a difficult situation.\It seems he has received his retribution. There's no need to mention it again. response:	Is there anything else to buy?
context: This was when the Daoist priest truly lost his mind.\It's only been a few days. The gossip is more dramatic than the opera.\What is the matter? Do you know that Daoist priest?\He is a bad person.\He offended you before?\Twice he has put me in a difficult situation.\It seems he has received his retribution. There's no need to mention it again.\Is there anything else to buy? response:	Is there anything else you need?
context: It's only been a few days. The gossip is more dramatic than the opera.\What is the matter? Do you know that Daoist priest?\He is a bad person.\He offended you before?\Twice he has put me in a difficult situation.\It seems he has received his retribution. There's no need to mention it again.\Is there anything else to buy?\Is there anything else you need? response:	You've already sold your only jade pendant
context: What is the matter? Do you know that Daoist priest?\He is a bad person.\He offended you before?\Twice he has put me in a difficult situation.\It seems he has received his retribution. There's no need to mention it again.\Is there anything else to buy?\Is there anything else you need?\You've already sold your only jade pendant response:	in exchange for so little.
context: He is a bad person.\He offended you before?\Twice he has put me in a difficult situation.\It seems he has received his retribution. There's no need to mention it again.\Is there anything else to buy?\Is there anything else you need?\You've already sold your only jade pendant\in exchange for so little. response:	Are you going to sell your sword as well?
context: He offended you before?\Twice he has put me in a difficult situation.\It seems he has received his retribution. There's no need to mention it again.\Is there anything else to buy?\Is there anything else you need?\You've already sold your only jade pendant\in exchange for so little.\Are you going to sell your sword as well? response:	I didn't have you marry me to buy things for me.
context: Twice he has put me in a difficult situation.\It seems he has received his retribution. There's no need to mention it again.\Is there anything else to buy?\Is there anything else you need?\You've already sold your only jade pendant\in exchange for so little.\Are you going to sell your sword as well?\I didn't have you marry me to buy things for me. response:	But, speaking of which, Ye Hua...
context: It seems he has received his retribution. There's no need to mention it again.\Is there anything else to buy?\Is there anything else you need?\You've already sold your only jade pendant\in exchange for so little.\Are you going to sell your sword as well?\I didn't have you marry me to buy things for me.\But, speaking of which, Ye Hua... response:	I only have that hut. You're going to marry me just like this?
context: Is there anything else to buy?\Is there anything else you need?\You've already sold your only jade pendant\in exchange for so little.\Are you going to sell your sword as well?\I didn't have you marry me to buy things for me.\But, speaking of which, Ye Hua...\I only have that hut. You're going to marry me just like this? response:	You're really not lying to me about marrying me?
context: Is there anything else you need?\You've already sold your only jade pendant\in exchange for so little.\Are you going to sell your sword as well?\I didn't have you marry me to buy things for me.\But, speaking of which, Ye Hua...\I only have that hut. You're going to marry me just like this?\You're really not lying to me about marrying me? response:	You're the one who wanted me to devote myself to you.
context: You've already sold your only jade pendant\in exchange for so little.\Are you going to sell your sword as well?\I didn't have you marry me to buy things for me.\But, speaking of which, Ye Hua...\I only have that hut. You're going to marry me just like this?\You're really not lying to me about marrying me?\You're the one who wanted me to devote myself to you. response:	Are you regretting it?
context: in exchange for so little.\Are you going to sell your sword as well?\I didn't have you marry me to buy things for me.\But, speaking of which, Ye Hua...\I only have that hut. You're going to marry me just like this?\You're really not lying to me about marrying me?\You're the one who wanted me to devote myself to you.\Are you regretting it? response:	Don't worry, I don't find you unpleasant.
context: Are you going to sell your sword as well?\I didn't have you marry me to buy things for me.\But, speaking of which, Ye Hua...\I only have that hut. You're going to marry me just like this?\You're really not lying to me about marrying me?\You're the one who wanted me to devote myself to you.\Are you regretting it?\Don't worry, I don't find you unpleasant. response:	But if you marry me just like this how will you answer to your family?
context: I didn't have you marry me to buy things for me.\But, speaking of which, Ye Hua...\I only have that hut. You're going to marry me just like this?\You're really not lying to me about marrying me?\You're the one who wanted me to devote myself to you.\Are you regretting it?\Don't worry, I don't find you unpleasant.\But if you marry me just like this how will you answer to your family? response:	Or are they not around?
context: But, speaking of which, Ye Hua...\I only have that hut. You're going to marry me just like this?\You're really not lying to me about marrying me?\You're the one who wanted me to devote myself to you.\Are you regretting it?\Don't worry, I don't find you unpleasant.\But if you marry me just like this how will you answer to your family?\Or are they not around? response:	We'll worry about that later.
context: I only have that hut. You're going to marry me just like this?\You're really not lying to me about marrying me?\You're the one who wanted me to devote myself to you.\Are you regretting it?\Don't worry, I don't find you unpleasant.\But if you marry me just like this how will you answer to your family?\Or are they not around?\We'll worry about that later. response:	Take a look.
context: You're really not lying to me about marrying me?\You're the one who wanted me to devote myself to you.\Are you regretting it?\Don't worry, I don't find you unpleasant.\But if you marry me just like this how will you answer to your family?\Or are they not around?\We'll worry about that later.\Take a look. response:	- I'll have some of this. - All right.
context: You're the one who wanted me to devote myself to you.\Are you regretting it?\Don't worry, I don't find you unpleasant.\But if you marry me just like this how will you answer to your family?\Or are they not around?\We'll worry about that later.\Take a look.\- I'll have some of this. - All right. response:	- And this. - All right.
context: Are you regretting it?\Don't worry, I don't find you unpleasant.\But if you marry me just like this how will you answer to your family?\Or are they not around?\We'll worry about that later.\Take a look.\- I'll have some of this. - All right.\- And this. - All right. response:	- Take this, Miss. - Here.
context: Don't worry, I don't find you unpleasant.\But if you marry me just like this how will you answer to your family?\Or are they not around?\We'll worry about that later.\Take a look.\- I'll have some of this. - All right.\- And this. - All right.\- Take this, Miss. - Here. response:	A-Yin?
context: But if you marry me just like this how will you answer to your family?\Or are they not around?\We'll worry about that later.\Take a look.\- I'll have some of this. - All right.\- And this. - All right.\- Take this, Miss. - Here.\A-Yin? response:	This outfit is so beautiful.
context: Or are they not around?\We'll worry about that later.\Take a look.\- I'll have some of this. - All right.\- And this. - All right.\- Take this, Miss. - Here.\A-Yin?\This outfit is so beautiful. response:	Isn't wearing it for only one day a waste?
context: We'll worry about that later.\Take a look.\- I'll have some of this. - All right.\- And this. - All right.\- Take this, Miss. - Here.\A-Yin?\This outfit is so beautiful.\Isn't wearing it for only one day a waste? response:	If you like, nobody would stop you even if you wear it year-round.
context: Take a look.\- I'll have some of this. - All right.\- And this. - All right.\- Take this, Miss. - Here.\A-Yin?\This outfit is so beautiful.\Isn't wearing it for only one day a waste?\If you like, nobody would stop you even if you wear it year-round. response:	Ye Hua.
context: - I'll have some of this. - All right.\- And this. - All right.\- Take this, Miss. - Here.\A-Yin?\This outfit is so beautiful.\Isn't wearing it for only one day a waste?\If you like, nobody would stop you even if you wear it year-round.\Ye Hua. response:	If you spend more time with me
context: - And this. - All right.\- Take this, Miss. - Here.\A-Yin?\This outfit is so beautiful.\Isn't wearing it for only one day a waste?\If you like, nobody would stop you even if you wear it year-round.\Ye Hua.\If you spend more time with me response:	and find our personalities are not a match, then what will we do?
context: - Take this, Miss. - Here.\A-Yin?\This outfit is so beautiful.\Isn't wearing it for only one day a waste?\If you like, nobody would stop you even if you wear it year-round.\Ye Hua.\If you spend more time with me\and find our personalities are not a match, then what will we do? response:	Are we being too hasty?
context: A-Yin?\This outfit is so beautiful.\Isn't wearing it for only one day a waste?\If you like, nobody would stop you even if you wear it year-round.\Ye Hua.\If you spend more time with me\and find our personalities are not a match, then what will we do?\Are we being too hasty? response:	You haven't brought me to see your parents.
context: This outfit is so beautiful.\Isn't wearing it for only one day a waste?\If you like, nobody would stop you even if you wear it year-round.\Ye Hua.\If you spend more time with me\and find our personalities are not a match, then what will we do?\Are we being too hasty?\You haven't brought me to see your parents. response:	If your parents find out you took a wife on your own
context: Isn't wearing it for only one day a waste?\If you like, nobody would stop you even if you wear it year-round.\Ye Hua.\If you spend more time with me\and find our personalities are not a match, then what will we do?\Are we being too hasty?\You haven't brought me to see your parents.\If your parents find out you took a wife on your own response:	will they be displeased?
context: If you like, nobody would stop you even if you wear it year-round.\Ye Hua.\If you spend more time with me\and find our personalities are not a match, then what will we do?\Are we being too hasty?\You haven't brought me to see your parents.\If your parents find out you took a wife on your own\will they be displeased? response:	And, I forgot to ask you.
context: Ye Hua.\If you spend more time with me\and find our personalities are not a match, then what will we do?\Are we being too hasty?\You haven't brought me to see your parents.\If your parents find out you took a wife on your own\will they be displeased?\And, I forgot to ask you. response:	Do you already have a marriage arrangement?
context: If you spend more time with me\and find our personalities are not a match, then what will we do?\Are we being too hasty?\You haven't brought me to see your parents.\If your parents find out you took a wife on your own\will they be displeased?\And, I forgot to ask you.\Do you already have a marriage arrangement? response:	In town, I've seen men your age already married and with children.
context: and find our personalities are not a match, then what will we do?\Are we being too hasty?\You haven't brought me to see your parents.\If your parents find out you took a wife on your own\will they be displeased?\And, I forgot to ask you.\Do you already have a marriage arrangement?\In town, I've seen men your age already married and with children. response:	Are you already engaged?
context: Are we being too hasty?\You haven't brought me to see your parents.\If your parents find out you took a wife on your own\will they be displeased?\And, I forgot to ask you.\Do you already have a marriage arrangement?\In town, I've seen men your age already married and with children.\Are you already engaged? response:	Su Su.
context: You haven't brought me to see your parents.\If your parents find out you took a wife on your own\will they be displeased?\And, I forgot to ask you.\Do you already have a marriage arrangement?\In town, I've seen men your age already married and with children.\Are you already engaged?\Su Su. response:	My family's situation is complicated. It is hard to explain.
context: If your parents find out you took a wife on your own\will they be displeased?\And, I forgot to ask you.\Do you already have a marriage arrangement?\In town, I've seen men your age already married and with children.\Are you already engaged?\Su Su.\My family's situation is complicated. It is hard to explain. response:	But, you just have to remember
context: will they be displeased?\And, I forgot to ask you.\Do you already have a marriage arrangement?\In town, I've seen men your age already married and with children.\Are you already engaged?\Su Su.\My family's situation is complicated. It is hard to explain.\But, you just have to remember response:	from this day forth, you are my wife.
context: And, I forgot to ask you.\Do you already have a marriage arrangement?\In town, I've seen men your age already married and with children.\Are you already engaged?\Su Su.\My family's situation is complicated. It is hard to explain.\But, you just have to remember\from this day forth, you are my wife. response:	Since I have married you, I will not betray you.
context: Do you already have a marriage arrangement?\In town, I've seen men your age already married and with children.\Are you already engaged?\Su Su.\My family's situation is complicated. It is hard to explain.\But, you just have to remember\from this day forth, you are my wife.\Since I have married you, I will not betray you. response:	All right, I trust you.
context: In town, I've seen men your age already married and with children.\Are you already engaged?\Su Su.\My family's situation is complicated. It is hard to explain.\But, you just have to remember\from this day forth, you are my wife.\Since I have married you, I will not betray you.\All right, I trust you. response:	That must be lifted by your husband.
context: Are you already engaged?\Su Su.\My family's situation is complicated. It is hard to explain.\But, you just have to remember\from this day forth, you are my wife.\Since I have married you, I will not betray you.\All right, I trust you.\That must be lifted by your husband. response:	I don't know what to say.
context: Su Su.\My family's situation is complicated. It is hard to explain.\But, you just have to remember\from this day forth, you are my wife.\Since I have married you, I will not betray you.\All right, I trust you.\That must be lifted by your husband.\I don't know what to say. response:	Just repeat what I say.
context: My family's situation is complicated. It is hard to explain.\But, you just have to remember\from this day forth, you are my wife.\Since I have married you, I will not betray you.\All right, I trust you.\That must be lifted by your husband.\I don't know what to say.\Just repeat what I say. response:	I'm a little nervous.
context: But, you just have to remember\from this day forth, you are my wife.\Since I have married you, I will not betray you.\All right, I trust you.\That must be lifted by your husband.\I don't know what to say.\Just repeat what I say.\I'm a little nervous. response:	It's fine.
context: from this day forth, you are my wife.\Since I have married you, I will not betray you.\All right, I trust you.\That must be lifted by your husband.\I don't know what to say.\Just repeat what I say.\I'm a little nervous.\It's fine. response:	It's just bowing to heaven and earth.
context: Since I have married you, I will not betray you.\All right, I trust you.\That must be lifted by your husband.\I don't know what to say.\Just repeat what I say.\I'm a little nervous.\It's fine.\It's just bowing to heaven and earth. response:	All right, let's do it.
context: All right, I trust you.\That must be lifted by your husband.\I don't know what to say.\Just repeat what I say.\I'm a little nervous.\It's fine.\It's just bowing to heaven and earth.\All right, let's do it. response:	I, Ye Hua, ask all the gods of the world to bear witness
context: That must be lifted by your husband.\I don't know what to say.\Just repeat what I say.\I'm a little nervous.\It's fine.\It's just bowing to heaven and earth.\All right, let's do it.\I, Ye Hua, ask all the gods of the world to bear witness response:	in front of the Lakes of the Far East.
context: I don't know what to say.\Just repeat what I say.\I'm a little nervous.\It's fine.\It's just bowing to heaven and earth.\All right, let's do it.\I, Ye Hua, ask all the gods of the world to bear witness\in front of the Lakes of the Far East. response:	From this day forth, I will be married to Su Su.
context: Just repeat what I say.\I'm a little nervous.\It's fine.\It's just bowing to heaven and earth.\All right, let's do it.\I, Ye Hua, ask all the gods of the world to bear witness\in front of the Lakes of the Far East.\From this day forth, I will be married to Su Su. response:	I will love her with all my heart for all eternity
context: I'm a little nervous.\It's fine.\It's just bowing to heaven and earth.\All right, let's do it.\I, Ye Hua, ask all the gods of the world to bear witness\in front of the Lakes of the Far East.\From this day forth, I will be married to Su Su.\I will love her with all my heart for all eternity response:	and never part from her regardless of fortune or calamity.
