context: 48 Days Until the Prefectural Tournament! response:	Gou-chan, you're still doing those?
context: What's that smile for?\No reason.\Mackerel and hokke!\Mackerel and pineapple!\What?\Pineapple's the one topping I'll never put on pizza.\I hate green peas in shumai!\What's wrong? response:	Oh, it's nothing.
context: No reason.\Mackerel and hokke!\Mackerel and pineapple!\What?\Pineapple's the one topping I'll never put on pizza.\I hate green peas in shumai!\What's wrong?\Oh, it's nothing. response:	What? I'm not sure about that one.
context: Mackerel and hokke!\Mackerel and pineapple!\What?\Pineapple's the one topping I'll never put on pizza.\I hate green peas in shumai!\What's wrong?\Oh, it's nothing.\What? I'm not sure about that one. response:	Really?
context: Mackerel and pineapple!\What?\Pineapple's the one topping I'll never put on pizza.\I hate green peas in shumai!\What's wrong?\Oh, it's nothing.\What? I'm not sure about that one.\Really? response:	Why would you say that?!
context: What?\Pineapple's the one topping I'll never put on pizza.\I hate green peas in shumai!\What's wrong?\Oh, it's nothing.\What? I'm not sure about that one.\Really?\Why would you say that?! response:	Rei, you don't need to worry about not finishing the regimen.
context: Pineapple's the one topping I'll never put on pizza.\I hate green peas in shumai!\What's wrong?\Oh, it's nothing.\What? I'm not sure about that one.\Really?\Why would you say that?!\Rei, you don't need to worry about not finishing the regimen. response:	Just take it slow.
context: I hate green peas in shumai!\What's wrong?\Oh, it's nothing.\What? I'm not sure about that one.\Really?\Why would you say that?!\Rei, you don't need to worry about not finishing the regimen.\Just take it slow. response:	I'm just glad we're able to practice and camp here together.
context: What's wrong?\Oh, it's nothing.\What? I'm not sure about that one.\Really?\Why would you say that?!\Rei, you don't need to worry about not finishing the regimen.\Just take it slow.\I'm just glad we're able to practice and camp here together. response:	It's important to improve our times,
context: Oh, it's nothing.\What? I'm not sure about that one.\Really?\Why would you say that?!\Rei, you don't need to worry about not finishing the regimen.\Just take it slow.\I'm just glad we're able to practice and camp here together.\It's important to improve our times, response:	but what makes me happiest is that we can all swim together.
context: What? I'm not sure about that one.\Really?\Why would you say that?!\Rei, you don't need to worry about not finishing the regimen.\Just take it slow.\I'm just glad we're able to practice and camp here together.\It's important to improve our times,\but what makes me happiest is that we can all swim together. response:	Yes.
context: Really?\Why would you say that?!\Rei, you don't need to worry about not finishing the regimen.\Just take it slow.\I'm just glad we're able to practice and camp here together.\It's important to improve our times,\but what makes me happiest is that we can all swim together.\Yes. response:	Then Haru and I will be in this tent.
context: Why would you say that?!\Rei, you don't need to worry about not finishing the regimen.\Just take it slow.\I'm just glad we're able to practice and camp here together.\It's important to improve our times,\but what makes me happiest is that we can all swim together.\Yes.\Then Haru and I will be in this tent. response:	What? I wanna sleep with Haru-chan.
context: Rei, you don't need to worry about not finishing the regimen.\Just take it slow.\I'm just glad we're able to practice and camp here together.\It's important to improve our times,\but what makes me happiest is that we can all swim together.\Yes.\Then Haru and I will be in this tent.\What? I wanna sleep with Haru-chan. response:	You don't want to be in a tent with me?
context: Just take it slow.\I'm just glad we're able to practice and camp here together.\It's important to improve our times,\but what makes me happiest is that we can all swim together.\Yes.\Then Haru and I will be in this tent.\What? I wanna sleep with Haru-chan.\You don't want to be in a tent with me? response:	Well, you probably grind your teeth when you sleep.
context: I'm just glad we're able to practice and camp here together.\It's important to improve our times,\but what makes me happiest is that we can all swim together.\Yes.\Then Haru and I will be in this tent.\What? I wanna sleep with Haru-chan.\You don't want to be in a tent with me?\Well, you probably grind your teeth when you sleep. response:	I don't do that!
context: It's important to improve our times,\but what makes me happiest is that we can all swim together.\Yes.\Then Haru and I will be in this tent.\What? I wanna sleep with Haru-chan.\You don't want to be in a tent with me?\Well, you probably grind your teeth when you sleep.\I don't do that! response:	We can use amida to decide.
context: but what makes me happiest is that we can all swim together.\Yes.\Then Haru and I will be in this tent.\What? I wanna sleep with Haru-chan.\You don't want to be in a tent with me?\Well, you probably grind your teeth when you sleep.\I don't do that!\We can use amida to decide. response:	I'm in!
context: Yes.\Then Haru and I will be in this tent.\What? I wanna sleep with Haru-chan.\You don't want to be in a tent with me?\Well, you probably grind your teeth when you sleep.\I don't do that!\We can use amida to decide.\I'm in! response:	We can draw in the sand.
context: Then Haru and I will be in this tent.\What? I wanna sleep with Haru-chan.\You don't want to be in a tent with me?\Well, you probably grind your teeth when you sleep.\I don't do that!\We can use amida to decide.\I'm in!\We can draw in the sand. response:	Okay.
context: What? I wanna sleep with Haru-chan.\You don't want to be in a tent with me?\Well, you probably grind your teeth when you sleep.\I don't do that!\We can use amida to decide.\I'm in!\We can draw in the sand.\Okay. response:	Let's head back to the lodge.
context: You don't want to be in a tent with me?\Well, you probably grind your teeth when you sleep.\I don't do that!\We can use amida to decide.\I'm in!\We can draw in the sand.\Okay.\Let's head back to the lodge. response:	I'm on the far right!
context: Well, you probably grind your teeth when you sleep.\I don't do that!\We can use amida to decide.\I'm in!\We can draw in the sand.\Okay.\Let's head back to the lodge.\I'm on the far right! response:	Oh, yes.
context: I don't do that!\We can use amida to decide.\I'm in!\We can draw in the sand.\Okay.\Let's head back to the lodge.\I'm on the far right!\Oh, yes. response:	Ah! That's the one I wanted!
context: We can use amida to decide.\I'm in!\We can draw in the sand.\Okay.\Let's head back to the lodge.\I'm on the far right!\Oh, yes.\Ah! That's the one I wanted! response:	Now, now.
context: I'm in!\We can draw in the sand.\Okay.\Let's head back to the lodge.\I'm on the far right!\Oh, yes.\Ah! That's the one I wanted!\Now, now. response:	Which one are you taking, Haru?
context: We can draw in the sand.\Okay.\Let's head back to the lodge.\I'm on the far right!\Oh, yes.\Ah! That's the one I wanted!\Now, now.\Which one are you taking, Haru? response:	The one on the end.
context: Okay.\Let's head back to the lodge.\I'm on the far right!\Oh, yes.\Ah! That's the one I wanted!\Now, now.\Which one are you taking, Haru?\The one on the end. response:	Why isn't big brother with them?
context: Let's head back to the lodge.\I'm on the far right!\Oh, yes.\Ah! That's the one I wanted!\Now, now.\Which one are you taking, Haru?\The one on the end.\Why isn't big brother with them? response:	Amida!
context: I'm on the far right!\Oh, yes.\Ah! That's the one I wanted!\Now, now.\Which one are you taking, Haru?\The one on the end.\Why isn't big brother with them?\Amida! response:	Amida!
context: Oh, yes.\Ah! That's the one I wanted!\Now, now.\Which one are you taking, Haru?\The one on the end.\Why isn't big brother with them?\Amida!\Amida! response:	Amida!
context: Ah! That's the one I wanted!\Now, now.\Which one are you taking, Haru?\The one on the end.\Why isn't big brother with them?\Amida!\Amida!\Amida! response:	I have to work harder.
context: Now, now.\Which one are you taking, Haru?\The one on the end.\Why isn't big brother with them?\Amida!\Amida!\Amida!\I have to work harder. response:	Beautiful...
context: Which one are you taking, Haru?\The one on the end.\Why isn't big brother with them?\Amida!\Amida!\Amida!\I have to work harder.\Beautiful... response:	Okay, I think I'm getting the hang of this.
context: The one on the end.\Why isn't big brother with them?\Amida!\Amida!\Amida!\I have to work harder.\Beautiful...\Okay, I think I'm getting the hang of this. response:	Shoot!
context: Why isn't big brother with them?\Amida!\Amida!\Amida!\I have to work harder.\Beautiful...\Okay, I think I'm getting the hang of this.\Shoot! response:	Huh?
context: Amida!\Amida!\Amida!\I have to work harder.\Beautiful...\Okay, I think I'm getting the hang of this.\Shoot!\Huh? response:	Rei?
context: Amida!\Amida!\I have to work harder.\Beautiful...\Okay, I think I'm getting the hang of this.\Shoot!\Huh?\Rei? response:	It's raining hard.
context: Amida!\I have to work harder.\Beautiful...\Okay, I think I'm getting the hang of this.\Shoot!\Huh?\Rei?\It's raining hard. response:	H-Help!
context: I have to work harder.\Beautiful...\Okay, I think I'm getting the hang of this.\Shoot!\Huh?\Rei?\It's raining hard.\H-Help! response:	Rei!
context: Beautiful...\Okay, I think I'm getting the hang of this.\Shoot!\Huh?\Rei?\It's raining hard.\H-Help!\Rei! response:	There's trouble, Haru-chan!
context: Okay, I think I'm getting the hang of this.\Shoot!\Huh?\Rei?\It's raining hard.\H-Help!\Rei!\There's trouble, Haru-chan! response:	Rei-chan's gone!
context: Shoot!\Huh?\Rei?\It's raining hard.\H-Help!\Rei!\There's trouble, Haru-chan!\Rei-chan's gone! response:	Makoto's missing, too.
context: Huh?\Rei?\It's raining hard.\H-Help!\Rei!\There's trouble, Haru-chan!\Rei-chan's gone!\Makoto's missing, too. response:	Are they swimming out there?!
context: Rei?\It's raining hard.\H-Help!\Rei!\There's trouble, Haru-chan!\Rei-chan's gone!\Makoto's missing, too.\Are they swimming out there?! response:	Ah! Stop, Haru-chan!
context: It's raining hard.\H-Help!\Rei!\There's trouble, Haru-chan!\Rei-chan's gone!\Makoto's missing, too.\Are they swimming out there?!\Ah! Stop, Haru-chan! response:	Wait! It's not safe to go alone!
context: H-Help!\Rei!\There's trouble, Haru-chan!\Rei-chan's gone!\Makoto's missing, too.\Are they swimming out there?!\Ah! Stop, Haru-chan!\Wait! It's not safe to go alone! response:	Next time: Shocking No Breathing!
context: Rei!\There's trouble, Haru-chan!\Rei-chan's gone!\Makoto's missing, too.\Are they swimming out there?!\Ah! Stop, Haru-chan!\Wait! It's not safe to go alone!\Next time: Shocking No Breathing! response:	Shocking No Breathing!
context: There's trouble, Haru-chan!\Rei-chan's gone!\Makoto's missing, too.\Are they swimming out there?!\Ah! Stop, Haru-chan!\Wait! It's not safe to go alone!\Next time: Shocking No Breathing!\Shocking No Breathing! response:	Rei-chan!
context: Rei-chan's gone!\Makoto's missing, too.\Are they swimming out there?!\Ah! Stop, Haru-chan!\Wait! It's not safe to go alone!\Next time: Shocking No Breathing!\Shocking No Breathing!\Rei-chan! response:	Mako-chan!
context: Makoto's missing, too.\Are they swimming out there?!\Ah! Stop, Haru-chan!\Wait! It's not safe to go alone!\Next time: Shocking No Breathing!\Shocking No Breathing!\Rei-chan!\Mako-chan! response:	Hold on!
context: Are they swimming out there?!\Ah! Stop, Haru-chan!\Wait! It's not safe to go alone!\Next time: Shocking No Breathing!\Shocking No Breathing!\Rei-chan!\Mako-chan!\Hold on! response:	I'll save you!
