context: And you... response:	When I felt the strongest for you, you knocked me down.
context: I have decided to leave the Nine Heavens today and return to the Eastern Sea.\This soup tonight will be the last I make for Your Highness.\Will Your Highness eat it\and consider it an end to the relationship between you and me?\There is no relationship between you and me.\However, you once saved A-Li's life. You and I were also master and servant.\This soup will mark the end of that.\That's not necessary. response:	Do you really want me to eat this?
context: This soup tonight will be the last I make for Your Highness.\Will Your Highness eat it\and consider it an end to the relationship between you and me?\There is no relationship between you and me.\However, you once saved A-Li's life. You and I were also master and servant.\This soup will mark the end of that.\That's not necessary.\Do you really want me to eat this? response:	I made this soup myself.
context: Will Your Highness eat it\and consider it an end to the relationship between you and me?\There is no relationship between you and me.\However, you once saved A-Li's life. You and I were also master and servant.\This soup will mark the end of that.\That's not necessary.\Do you really want me to eat this?\I made this soup myself. response:	Of course I hope that Your Highness will eat it.
context: and consider it an end to the relationship between you and me?\There is no relationship between you and me.\However, you once saved A-Li's life. You and I were also master and servant.\This soup will mark the end of that.\That's not necessary.\Do you really want me to eat this?\I made this soup myself.\Of course I hope that Your Highness will eat it. response:	It is a token of my appreciation.
context: There is no relationship between you and me.\However, you once saved A-Li's life. You and I were also master and servant.\This soup will mark the end of that.\That's not necessary.\Do you really want me to eat this?\I made this soup myself.\Of course I hope that Your Highness will eat it.\It is a token of my appreciation. response:	Your Highness, why?
context: However, you once saved A-Li's life. You and I were also master and servant.\This soup will mark the end of that.\That's not necessary.\Do you really want me to eat this?\I made this soup myself.\Of course I hope that Your Highness will eat it.\It is a token of my appreciation.\Your Highness, why? response:	I'd like to ask you a few questions first.
context: This soup will mark the end of that.\That's not necessary.\Do you really want me to eat this?\I made this soup myself.\Of course I hope that Your Highness will eat it.\It is a token of my appreciation.\Your Highness, why?\I'd like to ask you a few questions first. response:	What would Your Highness like to ask?
context: That's not necessary.\Do you really want me to eat this?\I made this soup myself.\Of course I hope that Your Highness will eat it.\It is a token of my appreciation.\Your Highness, why?\I'd like to ask you a few questions first.\What would Your Highness like to ask? response:	A few days ago, you went to the Eastern Sea.
context: Do you really want me to eat this?\I made this soup myself.\Of course I hope that Your Highness will eat it.\It is a token of my appreciation.\Your Highness, why?\I'd like to ask you a few questions first.\What would Your Highness like to ask?\A few days ago, you went to the Eastern Sea. response:	I really missed my brother so I went back to visit him.
context: I made this soup myself.\Of course I hope that Your Highness will eat it.\It is a token of my appreciation.\Your Highness, why?\I'd like to ask you a few questions first.\What would Your Highness like to ask?\A few days ago, you went to the Eastern Sea.\I really missed my brother so I went back to visit him. response:	Did you know that on the day you visited your brother
context: Of course I hope that Your Highness will eat it.\It is a token of my appreciation.\Your Highness, why?\I'd like to ask you a few questions first.\What would Your Highness like to ask?\A few days ago, you went to the Eastern Sea.\I really missed my brother so I went back to visit him.\Did you know that on the day you visited your brother response:	Dong Hua Dijun was going through a trial in the Mortal Realm?
context: It is a token of my appreciation.\Your Highness, why?\I'd like to ask you a few questions first.\What would Your Highness like to ask?\A few days ago, you went to the Eastern Sea.\I really missed my brother so I went back to visit him.\Did you know that on the day you visited your brother\Dong Hua Dijun was going through a trial in the Mortal Realm? response:	I did not know.
context: Your Highness, why?\I'd like to ask you a few questions first.\What would Your Highness like to ask?\A few days ago, you went to the Eastern Sea.\I really missed my brother so I went back to visit him.\Did you know that on the day you visited your brother\Dong Hua Dijun was going through a trial in the Mortal Realm?\I did not know. response:	That day, Dong Hua Dijun was pushed into the water in the Mortal Realm.
context: I'd like to ask you a few questions first.\What would Your Highness like to ask?\A few days ago, you went to the Eastern Sea.\I really missed my brother so I went back to visit him.\Did you know that on the day you visited your brother\Dong Hua Dijun was going through a trial in the Mortal Realm?\I did not know.\That day, Dong Hua Dijun was pushed into the water in the Mortal Realm. response:	At the same time, High Goddess Bai Qian was also pushed by someone.
context: What would Your Highness like to ask?\A few days ago, you went to the Eastern Sea.\I really missed my brother so I went back to visit him.\Did you know that on the day you visited your brother\Dong Hua Dijun was going through a trial in the Mortal Realm?\I did not know.\That day, Dong Hua Dijun was pushed into the water in the Mortal Realm.\At the same time, High Goddess Bai Qian was also pushed by someone. response:	I had sealed all her powers.
context: A few days ago, you went to the Eastern Sea.\I really missed my brother so I went back to visit him.\Did you know that on the day you visited your brother\Dong Hua Dijun was going through a trial in the Mortal Realm?\I did not know.\That day, Dong Hua Dijun was pushed into the water in the Mortal Realm.\At the same time, High Goddess Bai Qian was also pushed by someone.\I had sealed all her powers. response:	She nearly drowned.
context: I really missed my brother so I went back to visit him.\Did you know that on the day you visited your brother\Dong Hua Dijun was going through a trial in the Mortal Realm?\I did not know.\That day, Dong Hua Dijun was pushed into the water in the Mortal Realm.\At the same time, High Goddess Bai Qian was also pushed by someone.\I had sealed all her powers.\She nearly drowned. response:	Is that so? That's very dangerous.
context: Did you know that on the day you visited your brother\Dong Hua Dijun was going through a trial in the Mortal Realm?\I did not know.\That day, Dong Hua Dijun was pushed into the water in the Mortal Realm.\At the same time, High Goddess Bai Qian was also pushed by someone.\I had sealed all her powers.\She nearly drowned.\Is that so? That's very dangerous. response:	It was very dangerous.
context: Dong Hua Dijun was going through a trial in the Mortal Realm?\I did not know.\That day, Dong Hua Dijun was pushed into the water in the Mortal Realm.\At the same time, High Goddess Bai Qian was also pushed by someone.\I had sealed all her powers.\She nearly drowned.\Is that so? That's very dangerous.\It was very dangerous. response:	Do you know what identity and status High Goddess Bai Qian has in this world?
context: I did not know.\That day, Dong Hua Dijun was pushed into the water in the Mortal Realm.\At the same time, High Goddess Bai Qian was also pushed by someone.\I had sealed all her powers.\She nearly drowned.\Is that so? That's very dangerous.\It was very dangerous.\Do you know what identity and status High Goddess Bai Qian has in this world? response:	Neither Qing Qiu nor the Celestial Tribe would forgive the one who pushed her.
context: That day, Dong Hua Dijun was pushed into the water in the Mortal Realm.\At the same time, High Goddess Bai Qian was also pushed by someone.\I had sealed all her powers.\She nearly drowned.\Is that so? That's very dangerous.\It was very dangerous.\Do you know what identity and status High Goddess Bai Qian has in this world?\Neither Qing Qiu nor the Celestial Tribe would forgive the one who pushed her. response:	Miao Qing.
context: At the same time, High Goddess Bai Qian was also pushed by someone.\I had sealed all her powers.\She nearly drowned.\Is that so? That's very dangerous.\It was very dangerous.\Do you know what identity and status High Goddess Bai Qian has in this world?\Neither Qing Qiu nor the Celestial Tribe would forgive the one who pushed her.\Miao Qing. response:	Do you truly not fear
context: I had sealed all her powers.\She nearly drowned.\Is that so? That's very dangerous.\It was very dangerous.\Do you know what identity and status High Goddess Bai Qian has in this world?\Neither Qing Qiu nor the Celestial Tribe would forgive the one who pushed her.\Miao Qing.\Do you truly not fear response:	that your brother and the Eastern Sea will be incriminated as a result?
context: She nearly drowned.\Is that so? That's very dangerous.\It was very dangerous.\Do you know what identity and status High Goddess Bai Qian has in this world?\Neither Qing Qiu nor the Celestial Tribe would forgive the one who pushed her.\Miao Qing.\Do you truly not fear\that your brother and the Eastern Sea will be incriminated as a result? response:	Do you truly not fear
context: Is that so? That's very dangerous.\It was very dangerous.\Do you know what identity and status High Goddess Bai Qian has in this world?\Neither Qing Qiu nor the Celestial Tribe would forgive the one who pushed her.\Miao Qing.\Do you truly not fear\that your brother and the Eastern Sea will be incriminated as a result?\Do you truly not fear response:	being permanently reborn as an animal for harming a high goddess?
context: It was very dangerous.\Do you know what identity and status High Goddess Bai Qian has in this world?\Neither Qing Qiu nor the Celestial Tribe would forgive the one who pushed her.\Miao Qing.\Do you truly not fear\that your brother and the Eastern Sea will be incriminated as a result?\Do you truly not fear\being permanently reborn as an animal for harming a high goddess? response:	I had a moment of weakness! Please forgive me, Your Highness!
context: Do you know what identity and status High Goddess Bai Qian has in this world?\Neither Qing Qiu nor the Celestial Tribe would forgive the one who pushed her.\Miao Qing.\Do you truly not fear\that your brother and the Eastern Sea will be incriminated as a result?\Do you truly not fear\being permanently reborn as an animal for harming a high goddess?\I had a moment of weakness! Please forgive me, Your Highness! response:	If it weren't for that fact that you saved A-Li's life
context: Neither Qing Qiu nor the Celestial Tribe would forgive the one who pushed her.\Miao Qing.\Do you truly not fear\that your brother and the Eastern Sea will be incriminated as a result?\Do you truly not fear\being permanently reborn as an animal for harming a high goddess?\I had a moment of weakness! Please forgive me, Your Highness!\If it weren't for that fact that you saved A-Li's life response:	do you really think you could have lived to see this day?
context: Miao Qing.\Do you truly not fear\that your brother and the Eastern Sea will be incriminated as a result?\Do you truly not fear\being permanently reborn as an animal for harming a high goddess?\I had a moment of weakness! Please forgive me, Your Highness!\If it weren't for that fact that you saved A-Li's life\do you really think you could have lived to see this day? response:	I was a fool! Please forgive me, Your Highness!
context: Do you truly not fear\that your brother and the Eastern Sea will be incriminated as a result?\Do you truly not fear\being permanently reborn as an animal for harming a high goddess?\I had a moment of weakness! Please forgive me, Your Highness!\If it weren't for that fact that you saved A-Li's life\do you really think you could have lived to see this day?\I was a fool! Please forgive me, Your Highness! response:	Please forgive me, Your Highness!
context: that your brother and the Eastern Sea will be incriminated as a result?\Do you truly not fear\being permanently reborn as an animal for harming a high goddess?\I had a moment of weakness! Please forgive me, Your Highness!\If it weren't for that fact that you saved A-Li's life\do you really think you could have lived to see this day?\I was a fool! Please forgive me, Your Highness!\Please forgive me, Your Highness! response:	Now tell me. What is in the soup?
context: Do you truly not fear\being permanently reborn as an animal for harming a high goddess?\I had a moment of weakness! Please forgive me, Your Highness!\If it weren't for that fact that you saved A-Li's life\do you really think you could have lived to see this day?\I was a fool! Please forgive me, Your Highness!\Please forgive me, Your Highness!\Now tell me. What is in the soup? response:	The...
context: being permanently reborn as an animal for harming a high goddess?\I had a moment of weakness! Please forgive me, Your Highness!\If it weren't for that fact that you saved A-Li's life\do you really think you could have lived to see this day?\I was a fool! Please forgive me, Your Highness!\Please forgive me, Your Highness!\Now tell me. What is in the soup?\The... response:	In the soup...
context: I had a moment of weakness! Please forgive me, Your Highness!\If it weren't for that fact that you saved A-Li's life\do you really think you could have lived to see this day?\I was a fool! Please forgive me, Your Highness!\Please forgive me, Your Highness!\Now tell me. What is in the soup?\The...\In the soup... response:	is something that can make Your Highness like me after eating it.
context: If it weren't for that fact that you saved A-Li's life\do you really think you could have lived to see this day?\I was a fool! Please forgive me, Your Highness!\Please forgive me, Your Highness!\Now tell me. What is in the soup?\The...\In the soup...\is something that can make Your Highness like me after eating it. response:	It's that powerful? Who gave it to you?
context: do you really think you could have lived to see this day?\I was a fool! Please forgive me, Your Highness!\Please forgive me, Your Highness!\Now tell me. What is in the soup?\The...\In the soup...\is something that can make Your Highness like me after eating it.\It's that powerful? Who gave it to you? response:	The Mortal Realm?
context: I was a fool! Please forgive me, Your Highness!\Please forgive me, Your Highness!\Now tell me. What is in the soup?\The...\In the soup...\is something that can make Your Highness like me after eating it.\It's that powerful? Who gave it to you?\The Mortal Realm? response:	Did you really think this elixir from the Mortal Realm would work on me?
context: Please forgive me, Your Highness!\Now tell me. What is in the soup?\The...\In the soup...\is something that can make Your Highness like me after eating it.\It's that powerful? Who gave it to you?\The Mortal Realm?\Did you really think this elixir from the Mortal Realm would work on me? response:	I only...
context: Now tell me. What is in the soup?\The...\In the soup...\is something that can make Your Highness like me after eating it.\It's that powerful? Who gave it to you?\The Mortal Realm?\Did you really think this elixir from the Mortal Realm would work on me?\I only... response:	Your Highness!
context: The...\In the soup...\is something that can make Your Highness like me after eating it.\It's that powerful? Who gave it to you?\The Mortal Realm?\Did you really think this elixir from the Mortal Realm would work on me?\I only...\Your Highness! response:	I heard the maids saying
context: In the soup...\is something that can make Your Highness like me after eating it.\It's that powerful? Who gave it to you?\The Mortal Realm?\Did you really think this elixir from the Mortal Realm would work on me?\I only...\Your Highness!\I heard the maids saying response:	Your Highness was chastising Sister Miao Qing.
context: is something that can make Your Highness like me after eating it.\It's that powerful? Who gave it to you?\The Mortal Realm?\Did you really think this elixir from the Mortal Realm would work on me?\I only...\Your Highness!\I heard the maids saying\Your Highness was chastising Sister Miao Qing. response:	I don't know what she has done
context: It's that powerful? Who gave it to you?\The Mortal Realm?\Did you really think this elixir from the Mortal Realm would work on me?\I only...\Your Highness!\I heard the maids saying\Your Highness was chastising Sister Miao Qing.\I don't know what she has done response:	but it must not have been malicious.
context: The Mortal Realm?\Did you really think this elixir from the Mortal Realm would work on me?\I only...\Your Highness!\I heard the maids saying\Your Highness was chastising Sister Miao Qing.\I don't know what she has done\but it must not have been malicious. response:	It must be because she admires Your Highness too much.
context: Did you really think this elixir from the Mortal Realm would work on me?\I only...\Your Highness!\I heard the maids saying\Your Highness was chastising Sister Miao Qing.\I don't know what she has done\but it must not have been malicious.\It must be because she admires Your Highness too much. response:	On account of the fact that she once saved A-Li
context: I only...\Your Highness!\I heard the maids saying\Your Highness was chastising Sister Miao Qing.\I don't know what she has done\but it must not have been malicious.\It must be because she admires Your Highness too much.\On account of the fact that she once saved A-Li response:	I hope Your Highness can forgive her this time.
context: Your Highness!\I heard the maids saying\Your Highness was chastising Sister Miao Qing.\I don't know what she has done\but it must not have been malicious.\It must be because she admires Your Highness too much.\On account of the fact that she once saved A-Li\I hope Your Highness can forgive her this time. response:	Is there nobody standing guard here?
context: I heard the maids saying\Your Highness was chastising Sister Miao Qing.\I don't know what she has done\but it must not have been malicious.\It must be because she admires Your Highness too much.\On account of the fact that she once saved A-Li\I hope Your Highness can forgive her this time.\Is there nobody standing guard here? response:	Don't tell me I had the luck
context: Your Highness was chastising Sister Miao Qing.\I don't know what she has done\but it must not have been malicious.\It must be because she admires Your Highness too much.\On account of the fact that she once saved A-Li\I hope Your Highness can forgive her this time.\Is there nobody standing guard here?\Don't tell me I had the luck response:	to stumble upon someone else's amusement in a lady's chambers.
context: I don't know what she has done\but it must not have been malicious.\It must be because she admires Your Highness too much.\On account of the fact that she once saved A-Li\I hope Your Highness can forgive her this time.\Is there nobody standing guard here?\Don't tell me I had the luck\to stumble upon someone else's amusement in a lady's chambers. response:	Ye Hua may be rather calm and indifferent
context: but it must not have been malicious.\It must be because she admires Your Highness too much.\On account of the fact that she once saved A-Li\I hope Your Highness can forgive her this time.\Is there nobody standing guard here?\Don't tell me I had the luck\to stumble upon someone else's amusement in a lady's chambers.\Ye Hua may be rather calm and indifferent response:	but he is young and vigorous after all.
context: It must be because she admires Your Highness too much.\On account of the fact that she once saved A-Li\I hope Your Highness can forgive her this time.\Is there nobody standing guard here?\Don't tell me I had the luck\to stumble upon someone else's amusement in a lady's chambers.\Ye Hua may be rather calm and indifferent\but he is young and vigorous after all. response:	All the maids in Heaven are quite pretty.
context: On account of the fact that she once saved A-Li\I hope Your Highness can forgive her this time.\Is there nobody standing guard here?\Don't tell me I had the luck\to stumble upon someone else's amusement in a lady's chambers.\Ye Hua may be rather calm and indifferent\but he is young and vigorous after all.\All the maids in Heaven are quite pretty. response:	It must be agonizing to look at dull reports all night.
context: I hope Your Highness can forgive her this time.\Is there nobody standing guard here?\Don't tell me I had the luck\to stumble upon someone else's amusement in a lady's chambers.\Ye Hua may be rather calm and indifferent\but he is young and vigorous after all.\All the maids in Heaven are quite pretty.\It must be agonizing to look at dull reports all night. response:	If he raises his head
context: Is there nobody standing guard here?\Don't tell me I had the luck\to stumble upon someone else's amusement in a lady's chambers.\Ye Hua may be rather calm and indifferent\but he is young and vigorous after all.\All the maids in Heaven are quite pretty.\It must be agonizing to look at dull reports all night.\If he raises his head response:	and sees a maid as pretty as a painting by his side serving him
context: Don't tell me I had the luck\to stumble upon someone else's amusement in a lady's chambers.\Ye Hua may be rather calm and indifferent\but he is young and vigorous after all.\All the maids in Heaven are quite pretty.\It must be agonizing to look at dull reports all night.\If he raises his head\and sees a maid as pretty as a painting by his side serving him response:	he would naturally want to take her to bed.
context: to stumble upon someone else's amusement in a lady's chambers.\Ye Hua may be rather calm and indifferent\but he is young and vigorous after all.\All the maids in Heaven are quite pretty.\It must be agonizing to look at dull reports all night.\If he raises his head\and sees a maid as pretty as a painting by his side serving him\he would naturally want to take her to bed. response:	I should stay away.
context: Ye Hua may be rather calm and indifferent\but he is young and vigorous after all.\All the maids in Heaven are quite pretty.\It must be agonizing to look at dull reports all night.\If he raises his head\and sees a maid as pretty as a painting by his side serving him\he would naturally want to take her to bed.\I should stay away. response:	Qian Qian.
context: but he is young and vigorous after all.\All the maids in Heaven are quite pretty.\It must be agonizing to look at dull reports all night.\If he raises his head\and sees a maid as pretty as a painting by his side serving him\he would naturally want to take her to bed.\I should stay away.\Qian Qian. response:	What are you doing coming and going?
context: All the maids in Heaven are quite pretty.\It must be agonizing to look at dull reports all night.\If he raises his head\and sees a maid as pretty as a painting by his side serving him\he would naturally want to take her to bed.\I should stay away.\Qian Qian.\What are you doing coming and going? response:	I've finished the inscription on the fan. Come in and get it.
context: It must be agonizing to look at dull reports all night.\If he raises his head\and sees a maid as pretty as a painting by his side serving him\he would naturally want to take her to bed.\I should stay away.\Qian Qian.\What are you doing coming and going?\I've finished the inscription on the fan. Come in and get it. response:	Never mind.
context: If he raises his head\and sees a maid as pretty as a painting by his side serving him\he would naturally want to take her to bed.\I should stay away.\Qian Qian.\What are you doing coming and going?\I've finished the inscription on the fan. Come in and get it.\Never mind. response:	Let me see what a maid you take a liking to looks like.
context: and sees a maid as pretty as a painting by his side serving him\he would naturally want to take her to bed.\I should stay away.\Qian Qian.\What are you doing coming and going?\I've finished the inscription on the fan. Come in and get it.\Never mind.\Let me see what a maid you take a liking to looks like. response:	Here.
context: he would naturally want to take her to bed.\I should stay away.\Qian Qian.\What are you doing coming and going?\I've finished the inscription on the fan. Come in and get it.\Never mind.\Let me see what a maid you take a liking to looks like.\Here. response:	What's happening here?
context: I should stay away.\Qian Qian.\What are you doing coming and going?\I've finished the inscription on the fan. Come in and get it.\Never mind.\Let me see what a maid you take a liking to looks like.\Here.\What's happening here? response:	What beautiful eyes.
context: Qian Qian.\What are you doing coming and going?\I've finished the inscription on the fan. Come in and get it.\Never mind.\Let me see what a maid you take a liking to looks like.\Here.\What's happening here?\What beautiful eyes. response:	It's a shame that although this maid is pretty
context: What are you doing coming and going?\I've finished the inscription on the fan. Come in and get it.\Never mind.\Let me see what a maid you take a liking to looks like.\Here.\What's happening here?\What beautiful eyes.\It's a shame that although this maid is pretty response:	she is not worthy of these eyes.
context: I've finished the inscription on the fan. Come in and get it.\Never mind.\Let me see what a maid you take a liking to looks like.\Here.\What's happening here?\What beautiful eyes.\It's a shame that although this maid is pretty\she is not worthy of these eyes. response:	Your eyes are very pretty.
context: Never mind.\Let me see what a maid you take a liking to looks like.\Here.\What's happening here?\What beautiful eyes.\It's a shame that although this maid is pretty\she is not worthy of these eyes.\Your eyes are very pretty. response:	Su Su...
context: Let me see what a maid you take a liking to looks like.\Here.\What's happening here?\What beautiful eyes.\It's a shame that although this maid is pretty\she is not worthy of these eyes.\Your eyes are very pretty.\Su Su... response:	Princess Miao Qing.
context: Here.\What's happening here?\What beautiful eyes.\It's a shame that although this maid is pretty\she is not worthy of these eyes.\Your eyes are very pretty.\Su Su...\Princess Miao Qing. response:	I truly have no place for you in Xiwu Palace.
context: What's happening here?\What beautiful eyes.\It's a shame that although this maid is pretty\she is not worthy of these eyes.\Your eyes are very pretty.\Su Su...\Princess Miao Qing.\I truly have no place for you in Xiwu Palace. response:	Return to the Eastern Sea tomorrow morning.
context: What beautiful eyes.\It's a shame that although this maid is pretty\she is not worthy of these eyes.\Your eyes are very pretty.\Su Su...\Princess Miao Qing.\I truly have no place for you in Xiwu Palace.\Return to the Eastern Sea tomorrow morning. response:	If you do not overstep your bounds again
context: It's a shame that although this maid is pretty\she is not worthy of these eyes.\Your eyes are very pretty.\Su Su...\Princess Miao Qing.\I truly have no place for you in Xiwu Palace.\Return to the Eastern Sea tomorrow morning.\If you do not overstep your bounds again response:	I will not pursue past events.
context: she is not worthy of these eyes.\Your eyes are very pretty.\Su Su...\Princess Miao Qing.\I truly have no place for you in Xiwu Palace.\Return to the Eastern Sea tomorrow morning.\If you do not overstep your bounds again\I will not pursue past events. response:	Consider it repayment for saving A-Li's life.
context: Your eyes are very pretty.\Su Su...\Princess Miao Qing.\I truly have no place for you in Xiwu Palace.\Return to the Eastern Sea tomorrow morning.\If you do not overstep your bounds again\I will not pursue past events.\Consider it repayment for saving A-Li's life. response:	Su Jin.
context: Su Su...\Princess Miao Qing.\I truly have no place for you in Xiwu Palace.\Return to the Eastern Sea tomorrow morning.\If you do not overstep your bounds again\I will not pursue past events.\Consider it repayment for saving A-Li's life.\Su Jin. response:	You seem to value this friendship very much.
context: Princess Miao Qing.\I truly have no place for you in Xiwu Palace.\Return to the Eastern Sea tomorrow morning.\If you do not overstep your bounds again\I will not pursue past events.\Consider it repayment for saving A-Li's life.\Su Jin.\You seem to value this friendship very much. response:	If you can't bear to part with Princess Miao Qing
context: I truly have no place for you in Xiwu Palace.\Return to the Eastern Sea tomorrow morning.\If you do not overstep your bounds again\I will not pursue past events.\Consider it repayment for saving A-Li's life.\Su Jin.\You seem to value this friendship very much.\If you can't bear to part with Princess Miao Qing response:	why don't you ask the Heavenly Lord to issue a decree
context: Return to the Eastern Sea tomorrow morning.\If you do not overstep your bounds again\I will not pursue past events.\Consider it repayment for saving A-Li's life.\Su Jin.\You seem to value this friendship very much.\If you can't bear to part with Princess Miao Qing\why don't you ask the Heavenly Lord to issue a decree response:	to have you married off to the Eastern Sea?
context: If you do not overstep your bounds again\I will not pursue past events.\Consider it repayment for saving A-Li's life.\Su Jin.\You seem to value this friendship very much.\If you can't bear to part with Princess Miao Qing\why don't you ask the Heavenly Lord to issue a decree\to have you married off to the Eastern Sea? response:	Your Highness, I was momentarily possessed.
context: I will not pursue past events.\Consider it repayment for saving A-Li's life.\Su Jin.\You seem to value this friendship very much.\If you can't bear to part with Princess Miao Qing\why don't you ask the Heavenly Lord to issue a decree\to have you married off to the Eastern Sea?\Your Highness, I was momentarily possessed. response:	That's why I used a drugged soup to try to seduce Your Highness!
context: Consider it repayment for saving A-Li's life.\Su Jin.\You seem to value this friendship very much.\If you can't bear to part with Princess Miao Qing\why don't you ask the Heavenly Lord to issue a decree\to have you married off to the Eastern Sea?\Your Highness, I was momentarily possessed.\That's why I used a drugged soup to try to seduce Your Highness! response:	Your Highness, no matter how you punish me, I won't resist!
context: Su Jin.\You seem to value this friendship very much.\If you can't bear to part with Princess Miao Qing\why don't you ask the Heavenly Lord to issue a decree\to have you married off to the Eastern Sea?\Your Highness, I was momentarily possessed.\That's why I used a drugged soup to try to seduce Your Highness!\Your Highness, no matter how you punish me, I won't resist! response:	Even if I must be struck by 49 bolts of lightning every day
context: You seem to value this friendship very much.\If you can't bear to part with Princess Miao Qing\why don't you ask the Heavenly Lord to issue a decree\to have you married off to the Eastern Sea?\Your Highness, I was momentarily possessed.\That's why I used a drugged soup to try to seduce Your Highness!\Your Highness, no matter how you punish me, I won't resist!\Even if I must be struck by 49 bolts of lightning every day response:	I will not be afraid!
context: If you can't bear to part with Princess Miao Qing\why don't you ask the Heavenly Lord to issue a decree\to have you married off to the Eastern Sea?\Your Highness, I was momentarily possessed.\That's why I used a drugged soup to try to seduce Your Highness!\Your Highness, no matter how you punish me, I won't resist!\Even if I must be struck by 49 bolts of lightning every day\I will not be afraid! response:	I only ask that Your Highness not make me leave Xiwu Palace.
context: why don't you ask the Heavenly Lord to issue a decree\to have you married off to the Eastern Sea?\Your Highness, I was momentarily possessed.\That's why I used a drugged soup to try to seduce Your Highness!\Your Highness, no matter how you punish me, I won't resist!\Even if I must be struck by 49 bolts of lightning every day\I will not be afraid!\I only ask that Your Highness not make me leave Xiwu Palace. response:	My life's only wish is to remain by Your Highness's side
context: to have you married off to the Eastern Sea?\Your Highness, I was momentarily possessed.\That's why I used a drugged soup to try to seduce Your Highness!\Your Highness, no matter how you punish me, I won't resist!\Even if I must be struck by 49 bolts of lightning every day\I will not be afraid!\I only ask that Your Highness not make me leave Xiwu Palace.\My life's only wish is to remain by Your Highness's side response:	and serve Your Highness for the rest of my life!
context: Your Highness, I was momentarily possessed.\That's why I used a drugged soup to try to seduce Your Highness!\Your Highness, no matter how you punish me, I won't resist!\Even if I must be struck by 49 bolts of lightning every day\I will not be afraid!\I only ask that Your Highness not make me leave Xiwu Palace.\My life's only wish is to remain by Your Highness's side\and serve Your Highness for the rest of my life! response:	Your Highness! Your Highness!
context: That's why I used a drugged soup to try to seduce Your Highness!\Your Highness, no matter how you punish me, I won't resist!\Even if I must be struck by 49 bolts of lightning every day\I will not be afraid!\I only ask that Your Highness not make me leave Xiwu Palace.\My life's only wish is to remain by Your Highness's side\and serve Your Highness for the rest of my life!\Your Highness! Your Highness! response:	Last time, I mistook you for another.
context: Your Highness, no matter how you punish me, I won't resist!\Even if I must be struck by 49 bolts of lightning every day\I will not be afraid!\I only ask that Your Highness not make me leave Xiwu Palace.\My life's only wish is to remain by Your Highness's side\and serve Your Highness for the rest of my life!\Your Highness! Your Highness!\Last time, I mistook you for another. response:	You helped me once. Please help me again!
context: Even if I must be struck by 49 bolts of lightning every day\I will not be afraid!\I only ask that Your Highness not make me leave Xiwu Palace.\My life's only wish is to remain by Your Highness's side\and serve Your Highness for the rest of my life!\Your Highness! Your Highness!\Last time, I mistook you for another.\You helped me once. Please help me again! response:	Your Highness.
context: I will not be afraid!\I only ask that Your Highness not make me leave Xiwu Palace.\My life's only wish is to remain by Your Highness's side\and serve Your Highness for the rest of my life!\Your Highness! Your Highness!\Last time, I mistook you for another.\You helped me once. Please help me again!\Your Highness. response:	Since Princess Miao Qing has knelt in front of me...
context: I only ask that Your Highness not make me leave Xiwu Palace.\My life's only wish is to remain by Your Highness's side\and serve Your Highness for the rest of my life!\Your Highness! Your Highness!\Last time, I mistook you for another.\You helped me once. Please help me again!\Your Highness.\Since Princess Miao Qing has knelt in front of me... response:	even if I kneel, it would still be inappropriate for me to refuse her.
context: My life's only wish is to remain by Your Highness's side\and serve Your Highness for the rest of my life!\Your Highness! Your Highness!\Last time, I mistook you for another.\You helped me once. Please help me again!\Your Highness.\Since Princess Miao Qing has knelt in front of me...\even if I kneel, it would still be inappropriate for me to refuse her. response:	I must say a few things.
context: and serve Your Highness for the rest of my life!\Your Highness! Your Highness!\Last time, I mistook you for another.\You helped me once. Please help me again!\Your Highness.\Since Princess Miao Qing has knelt in front of me...\even if I kneel, it would still be inappropriate for me to refuse her.\I must say a few things. response:	Go ahead.
context: Your Highness! Your Highness!\Last time, I mistook you for another.\You helped me once. Please help me again!\Your Highness.\Since Princess Miao Qing has knelt in front of me...\even if I kneel, it would still be inappropriate for me to refuse her.\I must say a few things.\Go ahead. response:	This really isn't only Princess Miao Qing's fault.
context: Last time, I mistook you for another.\You helped me once. Please help me again!\Your Highness.\Since Princess Miao Qing has knelt in front of me...\even if I kneel, it would still be inappropriate for me to refuse her.\I must say a few things.\Go ahead.\This really isn't only Princess Miao Qing's fault. response:	You knew she had feelings for you, yet you still brought her up to Heaven.
context: You helped me once. Please help me again!\Your Highness.\Since Princess Miao Qing has knelt in front of me...\even if I kneel, it would still be inappropriate for me to refuse her.\I must say a few things.\Go ahead.\This really isn't only Princess Miao Qing's fault.\You knew she had feelings for you, yet you still brought her up to Heaven. response:	I know you did it to repay her for saving A-Li.
context: Your Highness.\Since Princess Miao Qing has knelt in front of me...\even if I kneel, it would still be inappropriate for me to refuse her.\I must say a few things.\Go ahead.\This really isn't only Princess Miao Qing's fault.\You knew she had feelings for you, yet you still brought her up to Heaven.\I know you did it to repay her for saving A-Li. response:	You also let her escape her marriage arrangement.
context: Since Princess Miao Qing has knelt in front of me...\even if I kneel, it would still be inappropriate for me to refuse her.\I must say a few things.\Go ahead.\This really isn't only Princess Miao Qing's fault.\You knew she had feelings for you, yet you still brought her up to Heaven.\I know you did it to repay her for saving A-Li.\You also let her escape her marriage arrangement. response:	You thought she would return to the Eastern Sea after she came to her senses.
