context: It's gotten worse. response:	I see...
context: That's an expression from the old days, all right? Geez.\So, what happened?\I have some questions about Inspector Tsunemori.\What about her?\Why doesn't her Hue ever get clouded?\How does she manage her stress?\You're asking me about that?\You're closer to her than I am, aren't you? response:	I don't have the answer.
context: So, what happened?\I have some questions about Inspector Tsunemori.\What about her?\Why doesn't her Hue ever get clouded?\How does she manage her stress?\You're asking me about that?\You're closer to her than I am, aren't you?\I don't have the answer. response:	Well, one thing I know for sure is that she isn't afraid of her Crime Coefficient at all.
context: I have some questions about Inspector Tsunemori.\What about her?\Why doesn't her Hue ever get clouded?\How does she manage her stress?\You're asking me about that?\You're closer to her than I am, aren't you?\I don't have the answer.\Well, one thing I know for sure is that she isn't afraid of her Crime Coefficient at all. response:	She is, how should I put it...
context: What about her?\Why doesn't her Hue ever get clouded?\How does she manage her stress?\You're asking me about that?\You're closer to her than I am, aren't you?\I don't have the answer.\Well, one thing I know for sure is that she isn't afraid of her Crime Coefficient at all.\She is, how should I put it... response:	She accepts things as they are.
context: Why doesn't her Hue ever get clouded?\How does she manage her stress?\You're asking me about that?\You're closer to her than I am, aren't you?\I don't have the answer.\Well, one thing I know for sure is that she isn't afraid of her Crime Coefficient at all.\She is, how should I put it...\She accepts things as they are. response:	She forgives society, acknowledges it, and accepts it.
context: How does she manage her stress?\You're asking me about that?\You're closer to her than I am, aren't you?\I don't have the answer.\Well, one thing I know for sure is that she isn't afraid of her Crime Coefficient at all.\She is, how should I put it...\She accepts things as they are.\She forgives society, acknowledges it, and accepts it. response:	On top of that, she doesn't mind taking risks, so it's not like she's just going with the flow.
context: You're asking me about that?\You're closer to her than I am, aren't you?\I don't have the answer.\Well, one thing I know for sure is that she isn't afraid of her Crime Coefficient at all.\She is, how should I put it...\She accepts things as they are.\She forgives society, acknowledges it, and accepts it.\On top of that, she doesn't mind taking risks, so it's not like she's just going with the flow. response:	She probably believes unquestioningly in the meaning and the value of being a detective.
context: You're closer to her than I am, aren't you?\I don't have the answer.\Well, one thing I know for sure is that she isn't afraid of her Crime Coefficient at all.\She is, how should I put it...\She accepts things as they are.\She forgives society, acknowledges it, and accepts it.\On top of that, she doesn't mind taking risks, so it's not like she's just going with the flow.\She probably believes unquestioningly in the meaning and the value of being a detective. response:	Are you saying things were different for you?
context: I don't have the answer.\Well, one thing I know for sure is that she isn't afraid of her Crime Coefficient at all.\She is, how should I put it...\She accepts things as they are.\She forgives society, acknowledges it, and accepts it.\On top of that, she doesn't mind taking risks, so it's not like she's just going with the flow.\She probably believes unquestioningly in the meaning and the value of being a detective.\Are you saying things were different for you? response:	Me? Hmm...
context: Well, one thing I know for sure is that she isn't afraid of her Crime Coefficient at all.\She is, how should I put it...\She accepts things as they are.\She forgives society, acknowledges it, and accepts it.\On top of that, she doesn't mind taking risks, so it's not like she's just going with the flow.\She probably believes unquestioningly in the meaning and the value of being a detective.\Are you saying things were different for you?\Me? Hmm... response:	Well...
context: She is, how should I put it...\She accepts things as they are.\She forgives society, acknowledges it, and accepts it.\On top of that, she doesn't mind taking risks, so it's not like she's just going with the flow.\She probably believes unquestioningly in the meaning and the value of being a detective.\Are you saying things were different for you?\Me? Hmm...\Well... response:	I might be like this now, but I feel like I shared her belief in justice long ago.
context: She accepts things as they are.\She forgives society, acknowledges it, and accepts it.\On top of that, she doesn't mind taking risks, so it's not like she's just going with the flow.\She probably believes unquestioningly in the meaning and the value of being a detective.\Are you saying things were different for you?\Me? Hmm...\Well...\I might be like this now, but I feel like I shared her belief in justice long ago. response:	But one day, I was suddenly given a gun that speaks,
context: She forgives society, acknowledges it, and accepts it.\On top of that, she doesn't mind taking risks, so it's not like she's just going with the flow.\She probably believes unquestioningly in the meaning and the value of being a detective.\Are you saying things were different for you?\Me? Hmm...\Well...\I might be like this now, but I feel like I shared her belief in justice long ago.\But one day, I was suddenly given a gun that speaks, response:	and I was told that from then on I just had to shoot when it told me to in order to capture or kill people.
context: On top of that, she doesn't mind taking risks, so it's not like she's just going with the flow.\She probably believes unquestioningly in the meaning and the value of being a detective.\Are you saying things were different for you?\Me? Hmm...\Well...\I might be like this now, but I feel like I shared her belief in justice long ago.\But one day, I was suddenly given a gun that speaks,\and I was told that from then on I just had to shoot when it told me to in order to capture or kill people. response:	I was angry.
context: She probably believes unquestioningly in the meaning and the value of being a detective.\Are you saying things were different for you?\Me? Hmm...\Well...\I might be like this now, but I feel like I shared her belief in justice long ago.\But one day, I was suddenly given a gun that speaks,\and I was told that from then on I just had to shoot when it told me to in order to capture or kill people.\I was angry. response:	That wasn't the detective work that I believed in.
context: Are you saying things were different for you?\Me? Hmm...\Well...\I might be like this now, but I feel like I shared her belief in justice long ago.\But one day, I was suddenly given a gun that speaks,\and I was told that from then on I just had to shoot when it told me to in order to capture or kill people.\I was angry.\That wasn't the detective work that I believed in. response:	The more I felt that way, the cloudier my Psycho-Pass became.
context: Me? Hmm...\Well...\I might be like this now, but I feel like I shared her belief in justice long ago.\But one day, I was suddenly given a gun that speaks,\and I was told that from then on I just had to shoot when it told me to in order to capture or kill people.\I was angry.\That wasn't the detective work that I believed in.\The more I felt that way, the cloudier my Psycho-Pass became. response:	If you had that many doubts...
context: Well...\I might be like this now, but I feel like I shared her belief in justice long ago.\But one day, I was suddenly given a gun that speaks,\and I was told that from then on I just had to shoot when it told me to in order to capture or kill people.\I was angry.\That wasn't the detective work that I believed in.\The more I felt that way, the cloudier my Psycho-Pass became.\If you had that many doubts... response:	why didn't you quit being a detective?
context: I might be like this now, but I feel like I shared her belief in justice long ago.\But one day, I was suddenly given a gun that speaks,\and I was told that from then on I just had to shoot when it told me to in order to capture or kill people.\I was angry.\That wasn't the detective work that I believed in.\The more I felt that way, the cloudier my Psycho-Pass became.\If you had that many doubts...\why didn't you quit being a detective? response:	Why did you make Mom and I pay the price when you didn't even want to live that way?
context: But one day, I was suddenly given a gun that speaks,\and I was told that from then on I just had to shoot when it told me to in order to capture or kill people.\I was angry.\That wasn't the detective work that I believed in.\The more I felt that way, the cloudier my Psycho-Pass became.\If you had that many doubts...\why didn't you quit being a detective?\Why did you make Mom and I pay the price when you didn't even want to live that way? response:	Damn you!
context: and I was told that from then on I just had to shoot when it told me to in order to capture or kill people.\I was angry.\That wasn't the detective work that I believed in.\The more I felt that way, the cloudier my Psycho-Pass became.\If you had that many doubts...\why didn't you quit being a detective?\Why did you make Mom and I pay the price when you didn't even want to live that way?\Damn you! response:	How dare you complain about it now?
context: I was angry.\That wasn't the detective work that I believed in.\The more I felt that way, the cloudier my Psycho-Pass became.\If you had that many doubts...\why didn't you quit being a detective?\Why did you make Mom and I pay the price when you didn't even want to live that way?\Damn you!\How dare you complain about it now? response:	You're right.
context: That wasn't the detective work that I believed in.\The more I felt that way, the cloudier my Psycho-Pass became.\If you had that many doubts...\why didn't you quit being a detective?\Why did you make Mom and I pay the price when you didn't even want to live that way?\Damn you!\How dare you complain about it now?\You're right. response:	I keep saying I don't like it, but I'm still a detective even now.
context: The more I felt that way, the cloudier my Psycho-Pass became.\If you had that many doubts...\why didn't you quit being a detective?\Why did you make Mom and I pay the price when you didn't even want to live that way?\Damn you!\How dare you complain about it now?\You're right.\I keep saying I don't like it, but I'm still a detective even now. response:	You denied Sibyl... and Sibyl denied you.
context: If you had that many doubts...\why didn't you quit being a detective?\Why did you make Mom and I pay the price when you didn't even want to live that way?\Damn you!\How dare you complain about it now?\You're right.\I keep saying I don't like it, but I'm still a detective even now.\You denied Sibyl... and Sibyl denied you. response:	A new order was born, and the country moved on without you.
context: why didn't you quit being a detective?\Why did you make Mom and I pay the price when you didn't even want to live that way?\Damn you!\How dare you complain about it now?\You're right.\I keep saying I don't like it, but I'm still a detective even now.\You denied Sibyl... and Sibyl denied you.\A new order was born, and the country moved on without you. response:	Yeah. After all, I might've been wrong.
context: Why did you make Mom and I pay the price when you didn't even want to live that way?\Damn you!\How dare you complain about it now?\You're right.\I keep saying I don't like it, but I'm still a detective even now.\You denied Sibyl... and Sibyl denied you.\A new order was born, and the country moved on without you.\Yeah. After all, I might've been wrong. response:	Around the time I accepted this era and came to terms with it, my Crime Coefficient stabilized.
context: Damn you!\How dare you complain about it now?\You're right.\I keep saying I don't like it, but I'm still a detective even now.\You denied Sibyl... and Sibyl denied you.\A new order was born, and the country moved on without you.\Yeah. After all, I might've been wrong.\Around the time I accepted this era and came to terms with it, my Crime Coefficient stabilized. response:	It was more than a little too late, though.
context: How dare you complain about it now?\You're right.\I keep saying I don't like it, but I'm still a detective even now.\You denied Sibyl... and Sibyl denied you.\A new order was born, and the country moved on without you.\Yeah. After all, I might've been wrong.\Around the time I accepted this era and came to terms with it, my Crime Coefficient stabilized.\It was more than a little too late, though. response:	So, what about you?
context: You're right.\I keep saying I don't like it, but I'm still a detective even now.\You denied Sibyl... and Sibyl denied you.\A new order was born, and the country moved on without you.\Yeah. After all, I might've been wrong.\Around the time I accepted this era and came to terms with it, my Crime Coefficient stabilized.\It was more than a little too late, though.\So, what about you? response:	Have you been able to maintain a nice clear color on your Psycho-Pass?
context: I keep saying I don't like it, but I'm still a detective even now.\You denied Sibyl... and Sibyl denied you.\A new order was born, and the country moved on without you.\Yeah. After all, I might've been wrong.\Around the time I accepted this era and came to terms with it, my Crime Coefficient stabilized.\It was more than a little too late, though.\So, what about you?\Have you been able to maintain a nice clear color on your Psycho-Pass? response:	I don't see why you need to worry about that.
context: You denied Sibyl... and Sibyl denied you.\A new order was born, and the country moved on without you.\Yeah. After all, I might've been wrong.\Around the time I accepted this era and came to terms with it, my Crime Coefficient stabilized.\It was more than a little too late, though.\So, what about you?\Have you been able to maintain a nice clear color on your Psycho-Pass?\I don't see why you need to worry about that. response:	What, are you trying to act like a father now?
context: A new order was born, and the country moved on without you.\Yeah. After all, I might've been wrong.\Around the time I accepted this era and came to terms with it, my Crime Coefficient stabilized.\It was more than a little too late, though.\So, what about you?\Have you been able to maintain a nice clear color on your Psycho-Pass?\I don't see why you need to worry about that.\What, are you trying to act like a father now? response:	What's wrong with a subordinate showing concern for his boss? Especially one who's due for a promotion?
context: Yeah. After all, I might've been wrong.\Around the time I accepted this era and came to terms with it, my Crime Coefficient stabilized.\It was more than a little too late, though.\So, what about you?\Have you been able to maintain a nice clear color on your Psycho-Pass?\I don't see why you need to worry about that.\What, are you trying to act like a father now?\What's wrong with a subordinate showing concern for his boss? Especially one who's due for a promotion? response:	Just like you were saying earlier...
context: Around the time I accepted this era and came to terms with it, my Crime Coefficient stabilized.\It was more than a little too late, though.\So, what about you?\Have you been able to maintain a nice clear color on your Psycho-Pass?\I don't see why you need to worry about that.\What, are you trying to act like a father now?\What's wrong with a subordinate showing concern for his boss? Especially one who's due for a promotion?\Just like you were saying earlier... response:	If you question your job...
context: It was more than a little too late, though.\So, what about you?\Have you been able to maintain a nice clear color on your Psycho-Pass?\I don't see why you need to worry about that.\What, are you trying to act like a father now?\What's wrong with a subordinate showing concern for his boss? Especially one who's due for a promotion?\Just like you were saying earlier...\If you question your job... response:	If you start feeling that something is amiss, be careful.
context: So, what about you?\Have you been able to maintain a nice clear color on your Psycho-Pass?\I don't see why you need to worry about that.\What, are you trying to act like a father now?\What's wrong with a subordinate showing concern for his boss? Especially one who's due for a promotion?\Just like you were saying earlier...\If you question your job...\If you start feeling that something is amiss, be careful. response:	Once you start down that path, you might run into the same pitfall as I did.
context: Have you been able to maintain a nice clear color on your Psycho-Pass?\I don't see why you need to worry about that.\What, are you trying to act like a father now?\What's wrong with a subordinate showing concern for his boss? Especially one who's due for a promotion?\Just like you were saying earlier...\If you question your job...\If you start feeling that something is amiss, be careful.\Once you start down that path, you might run into the same pitfall as I did. response:	There's no way I could love anyone,
context: I don't see why you need to worry about that.\What, are you trying to act like a father now?\What's wrong with a subordinate showing concern for his boss? Especially one who's due for a promotion?\Just like you were saying earlier...\If you question your job...\If you start feeling that something is amiss, be careful.\Once you start down that path, you might run into the same pitfall as I did.\There's no way I could love anyone, response:	There's no way I could love anyone,
context: What, are you trying to act like a father now?\What's wrong with a subordinate showing concern for his boss? Especially one who's due for a promotion?\Just like you were saying earlier...\If you question your job...\If you start feeling that something is amiss, be careful.\Once you start down that path, you might run into the same pitfall as I did.\There's no way I could love anyone,\There's no way I could love anyone, response:	but I wish to be loved by someone in turn
context: What's wrong with a subordinate showing concern for his boss? Especially one who's due for a promotion?\Just like you were saying earlier...\If you question your job...\If you start feeling that something is amiss, be careful.\Once you start down that path, you might run into the same pitfall as I did.\There's no way I could love anyone,\There's no way I could love anyone,\but I wish to be loved by someone in turn response:	but I wish to be loved by someone in turn
context: Just like you were saying earlier...\If you question your job...\If you start feeling that something is amiss, be careful.\Once you start down that path, you might run into the same pitfall as I did.\There's no way I could love anyone,\There's no way I could love anyone,\but I wish to be loved by someone in turn\but I wish to be loved by someone in turn response:	The world may not have
context: If you question your job...\If you start feeling that something is amiss, be careful.\Once you start down that path, you might run into the same pitfall as I did.\There's no way I could love anyone,\There's no way I could love anyone,\but I wish to be loved by someone in turn\but I wish to be loved by someone in turn\The world may not have response:	The world may not have
context: If you start feeling that something is amiss, be careful.\Once you start down that path, you might run into the same pitfall as I did.\There's no way I could love anyone,\There's no way I could love anyone,\but I wish to be loved by someone in turn\but I wish to be loved by someone in turn\The world may not have\The world may not have response:	ended yesterday after all,
context: Once you start down that path, you might run into the same pitfall as I did.\There's no way I could love anyone,\There's no way I could love anyone,\but I wish to be loved by someone in turn\but I wish to be loved by someone in turn\The world may not have\The world may not have\ended yesterday after all, response:	ended yesterday after all,
context: There's no way I could love anyone,\There's no way I could love anyone,\but I wish to be loved by someone in turn\but I wish to be loved by someone in turn\The world may not have\The world may not have\ended yesterday after all,\ended yesterday after all, response:	but we will not budge
context: There's no way I could love anyone,\but I wish to be loved by someone in turn\but I wish to be loved by someone in turn\The world may not have\The world may not have\ended yesterday after all,\ended yesterday after all,\but we will not budge response:	but we will not budge
context: but I wish to be loved by someone in turn\but I wish to be loved by someone in turn\The world may not have\The world may not have\ended yesterday after all,\ended yesterday after all,\but we will not budge\but we will not budge response:	from where we are
context: but I wish to be loved by someone in turn\The world may not have\The world may not have\ended yesterday after all,\ended yesterday after all,\but we will not budge\but we will not budge\from where we are response:	from where we are
context: The world may not have\The world may not have\ended yesterday after all,\ended yesterday after all,\but we will not budge\but we will not budge\from where we are\from where we are response:	God, in favor of which parts have you left us?
context: The world may not have\ended yesterday after all,\ended yesterday after all,\but we will not budge\but we will not budge\from where we are\from where we are\God, in favor of which parts have you left us? response:	God, in favor of which parts have you left us?
context: ended yesterday after all,\ended yesterday after all,\but we will not budge\but we will not budge\from where we are\from where we are\God, in favor of which parts have you left us?\God, in favor of which parts have you left us? response:	I receive no reply
context: ended yesterday after all,\but we will not budge\but we will not budge\from where we are\from where we are\God, in favor of which parts have you left us?\God, in favor of which parts have you left us?\I receive no reply response:	I receive no reply
context: but we will not budge\but we will not budge\from where we are\from where we are\God, in favor of which parts have you left us?\God, in favor of which parts have you left us?\I receive no reply\I receive no reply response:	I never do
context: but we will not budge\from where we are\from where we are\God, in favor of which parts have you left us?\God, in favor of which parts have you left us?\I receive no reply\I receive no reply\I never do response:	I never do
context: from where we are\from where we are\God, in favor of which parts have you left us?\God, in favor of which parts have you left us?\I receive no reply\I receive no reply\I never do\I never do response:	Are you still here?
context: from where we are\God, in favor of which parts have you left us?\God, in favor of which parts have you left us?\I receive no reply\I receive no reply\I never do\I never do\Are you still here? response:	Are you still here?
context: God, in favor of which parts have you left us?\God, in favor of which parts have you left us?\I receive no reply\I receive no reply\I never do\I never do\Are you still here?\Are you still here? response:	You'll never walk alone
context: God, in favor of which parts have you left us?\I receive no reply\I receive no reply\I never do\I never do\Are you still here?\Are you still here?\You'll never walk alone response:	You'll never walk alone
context: I receive no reply\I receive no reply\I never do\I never do\Are you still here?\Are you still here?\You'll never walk alone\You'll never walk alone response:	I walk with you
context: I receive no reply\I never do\I never do\Are you still here?\Are you still here?\You'll never walk alone\You'll never walk alone\I walk with you response:	I walk with you
context: I never do\I never do\Are you still here?\Are you still here?\You'll never walk alone\You'll never walk alone\I walk with you\I walk with you response:	I will share all your sins
context: I never do\Are you still here?\Are you still here?\You'll never walk alone\You'll never walk alone\I walk with you\I walk with you\I will share all your sins response:	I will share all your sins
context: Are you still here?\Are you still here?\You'll never walk alone\You'll never walk alone\I walk with you\I walk with you\I will share all your sins\I will share all your sins response:	Together with you
context: Are you still here?\You'll never walk alone\You'll never walk alone\I walk with you\I walk with you\I will share all your sins\I will share all your sins\Together with you response:	Together with you
context: You'll never walk alone\You'll never walk alone\I walk with you\I walk with you\I will share all your sins\I will share all your sins\Together with you\Together with you response:	I walk
context: You'll never walk alone\I walk with you\I walk with you\I will share all your sins\I will share all your sins\Together with you\Together with you\I walk response:	I walk
context: I walk with you\I walk with you\I will share all your sins\I will share all your sins\Together with you\Together with you\I walk\I walk response:	a trackless path
context: I walk with you\I will share all your sins\I will share all your sins\Together with you\Together with you\I walk\I walk\a trackless path response:	a trackless path
context: I will share all your sins\I will share all your sins\Together with you\Together with you\I walk\I walk\a trackless path\a trackless path response:	You've finally been identified.
context: I will share all your sins\Together with you\Together with you\I walk\I walk\a trackless path\a trackless path\You've finally been identified. response:	You're at the end of your rope, Shougo.
context: Together with you\Together with you\I walk\I walk\a trackless path\a trackless path\You've finally been identified.\You're at the end of your rope, Shougo. response:	This is a world where the mental state and personal tendencies of humans can be quantified. While all sorts of inclinations are recorded and policed, these measured numbers used to judge people's souls are commonly called Psycho-Pass.
context: Together with you\I walk\I walk\a trackless path\a trackless path\You've finally been identified.\You're at the end of your rope, Shougo.\This is a world where the mental state and personal tendencies of humans can be quantified. While all sorts of inclinations are recorded and policed, these measured numbers used to judge people's souls are commonly called Psycho-Pass. response:	This is a world where the mental state and personal tendencies of humans can be quantified. While all sorts of inclinations are recorded and policed, these measured numbers used to judge people's souls are commonly called Psycho-Pass.
context: I walk\I walk\a trackless path\a trackless path\You've finally been identified.\You're at the end of your rope, Shougo.\This is a world where the mental state and personal tendencies of humans can be quantified. While all sorts of inclinations are recorded and policed, these measured numbers used to judge people's souls are commonly called Psycho-Pass.\This is a world where the mental state and personal tendencies of humans can be quantified. While all sorts of inclinations are recorded and policed, these measured numbers used to judge people's souls are commonly called Psycho-Pass. response:	This story is a work of fiction. The names of all individuals and organizations that appear in this show are fictitious and any similarity to those in existence in the real world is purely coincidental.
context: I walk\a trackless path\a trackless path\You've finally been identified.\You're at the end of your rope, Shougo.\This is a world where the mental state and personal tendencies of humans can be quantified. While all sorts of inclinations are recorded and policed, these measured numbers used to judge people's souls are commonly called Psycho-Pass.\This is a world where the mental state and personal tendencies of humans can be quantified. While all sorts of inclinations are recorded and policed, these measured numbers used to judge people's souls are commonly called Psycho-Pass.\This story is a work of fiction. The names of all individuals and organizations that appear in this show are fictitious and any similarity to those in existence in the real world is purely coincidental. response:	This story is a work of fiction. The names of all individuals and organizations that appear in this show are fictitious and any similarity to those in existence in the real world is purely coincidental.
