context: Can't decide... response:	Morning.
context: But Haru only does free.\It's not me.\Haru?!\That means...\Rei-chan?!\Were you just swimming butterfly?!\It was the only stroke I hadn't tried yet.\Once I tried it, I was able to swim. response:	What?!
context: It's not me.\Haru?!\That means...\Rei-chan?!\Were you just swimming butterfly?!\It was the only stroke I hadn't tried yet.\Once I tried it, I was able to swim.\What?! response:	Why?!
context: Haru?!\That means...\Rei-chan?!\Were you just swimming butterfly?!\It was the only stroke I hadn't tried yet.\Once I tried it, I was able to swim.\What?!\Why?! response:	Well...
context: That means...\Rei-chan?!\Were you just swimming butterfly?!\It was the only stroke I hadn't tried yet.\Once I tried it, I was able to swim.\What?!\Why?!\Well... response:	I'm not free.
context: Rei-chan?!\Were you just swimming butterfly?!\It was the only stroke I hadn't tried yet.\Once I tried it, I was able to swim.\What?!\Why?!\Well...\I'm not free. response:	Did you say something, Rei-chan?
context: Were you just swimming butterfly?!\It was the only stroke I hadn't tried yet.\Once I tried it, I was able to swim.\What?!\Why?!\Well...\I'm not free.\Did you say something, Rei-chan? response:	No, I can't explain it either.
context: It was the only stroke I hadn't tried yet.\Once I tried it, I was able to swim.\What?!\Why?!\Well...\I'm not free.\Did you say something, Rei-chan?\No, I can't explain it either. response:	Seriously?
context: Once I tried it, I was able to swim.\What?!\Why?!\Well...\I'm not free.\Did you say something, Rei-chan?\No, I can't explain it either.\Seriously? response:	Well, I guess it worked out in the end.
context: What?!\Why?!\Well...\I'm not free.\Did you say something, Rei-chan?\No, I can't explain it either.\Seriously?\Well, I guess it worked out in the end. response:	Hey, Rei-chan.
context: Why?!\Well...\I'm not free.\Did you say something, Rei-chan?\No, I can't explain it either.\Seriously?\Well, I guess it worked out in the end.\Hey, Rei-chan. response:	Can you do another lap?
context: Well...\I'm not free.\Did you say something, Rei-chan?\No, I can't explain it either.\Seriously?\Well, I guess it worked out in the end.\Hey, Rei-chan.\Can you do another lap? response:	Sure.
context: I'm not free.\Did you say something, Rei-chan?\No, I can't explain it either.\Seriously?\Well, I guess it worked out in the end.\Hey, Rei-chan.\Can you do another lap?\Sure. response:	Hey, if you could take one thing to a deserted island,
context: Did you say something, Rei-chan?\No, I can't explain it either.\Seriously?\Well, I guess it worked out in the end.\Hey, Rei-chan.\Can you do another lap?\Sure.\Hey, if you could take one thing to a deserted island, response:	what would you take?
context: No, I can't explain it either.\Seriously?\Well, I guess it worked out in the end.\Hey, Rei-chan.\Can you do another lap?\Sure.\Hey, if you could take one thing to a deserted island,\what would you take? response:	A survival kit, probably.
context: Seriously?\Well, I guess it worked out in the end.\Hey, Rei-chan.\Can you do another lap?\Sure.\Hey, if you could take one thing to a deserted island,\what would you take?\A survival kit, probably. response:	Canned mackerel.
context: Well, I guess it worked out in the end.\Hey, Rei-chan.\Can you do another lap?\Sure.\Hey, if you could take one thing to a deserted island,\what would you take?\A survival kit, probably.\Canned mackerel. response:	Why would you limit yourself to one item when visiting a deserted island?
context: Hey, Rei-chan.\Can you do another lap?\Sure.\Hey, if you could take one thing to a deserted island,\what would you take?\A survival kit, probably.\Canned mackerel.\Why would you limit yourself to one item when visiting a deserted island? response:	I don't understand the question.
context: Can you do another lap?\Sure.\Hey, if you could take one thing to a deserted island,\what would you take?\A survival kit, probably.\Canned mackerel.\Why would you limit yourself to one item when visiting a deserted island?\I don't understand the question. response:	Next time: Trial in Open Water.
context: Sure.\Hey, if you could take one thing to a deserted island,\what would you take?\A survival kit, probably.\Canned mackerel.\Why would you limit yourself to one item when visiting a deserted island?\I don't understand the question.\Next time: Trial in Open Water. response:	Trial in Open Water!
context: Hey, if you could take one thing to a deserted island,\what would you take?\A survival kit, probably.\Canned mackerel.\Why would you limit yourself to one item when visiting a deserted island?\I don't understand the question.\Next time: Trial in Open Water.\Trial in Open Water! response:	A deserted island?
context: what would you take?\A survival kit, probably.\Canned mackerel.\Why would you limit yourself to one item when visiting a deserted island?\I don't understand the question.\Next time: Trial in Open Water.\Trial in Open Water!\A deserted island? response:	Rin!
context: A survival kit, probably.\Canned mackerel.\Why would you limit yourself to one item when visiting a deserted island?\I don't understand the question.\Next time: Trial in Open Water.\Trial in Open Water!\A deserted island?\Rin! response:	If I could only take one thing, I'd take my pillow.
context: Canned mackerel.\Why would you limit yourself to one item when visiting a deserted island?\I don't understand the question.\Next time: Trial in Open Water.\Trial in Open Water!\A deserted island?\Rin!\If I could only take one thing, I'd take my pillow. response:	So you're the kind of person who can't sleep without your pillow.
