context: Since you understand me, you should know response:	everything I have done is so I can marry Ye Hua.
context: Ye Hua, how unexpected.\Su Jin, that little girl, has become my father's consort.\I thought she would marry you.\Fate makes fools of all of us.\Ye Hua!\Ye Hua!\Ye Hua!\Ye Hua! response:	Your Highness.
context: Su Jin, that little girl, has become my father's consort.\I thought she would marry you.\Fate makes fools of all of us.\Ye Hua!\Ye Hua!\Ye Hua!\Ye Hua!\Your Highness. response:	Your-
context: I thought she would marry you.\Fate makes fools of all of us.\Ye Hua!\Ye Hua!\Ye Hua!\Ye Hua!\Your Highness.\Your- response:	Consort Su Jin.
context: Fate makes fools of all of us.\Ye Hua!\Ye Hua!\Ye Hua!\Ye Hua!\Your Highness.\Your-\Consort Su Jin. response:	In front of Your Highness, I am still the same Su Jin.
context: Ye Hua!\Ye Hua!\Ye Hua!\Ye Hua!\Your Highness.\Your-\Consort Su Jin.\In front of Your Highness, I am still the same Su Jin. response:	Sit.
context: Ye Hua!\Ye Hua!\Ye Hua!\Your Highness.\Your-\Consort Su Jin.\In front of Your Highness, I am still the same Su Jin.\Sit. response:	Is Your Highness ready to set off?
context: Ye Hua!\Ye Hua!\Your Highness.\Your-\Consort Su Jin.\In front of Your Highness, I am still the same Su Jin.\Sit.\Is Your Highness ready to set off? response:	Heavenly Lord has told us
context: Ye Hua!\Your Highness.\Your-\Consort Su Jin.\In front of Your Highness, I am still the same Su Jin.\Sit.\Is Your Highness ready to set off?\Heavenly Lord has told us response:	since I have nothing better to do, I should go with you and Ye Hua.
context: Your Highness.\Your-\Consort Su Jin.\In front of Your Highness, I am still the same Su Jin.\Sit.\Is Your Highness ready to set off?\Heavenly Lord has told us\since I have nothing better to do, I should go with you and Ye Hua. response:	Do you mind, Your Highness?
context: Your-\Consort Su Jin.\In front of Your Highness, I am still the same Su Jin.\Sit.\Is Your Highness ready to set off?\Heavenly Lord has told us\since I have nothing better to do, I should go with you and Ye Hua.\Do you mind, Your Highness? response:	Your Highness wishes to go as well?
context: Consort Su Jin.\In front of Your Highness, I am still the same Su Jin.\Sit.\Is Your Highness ready to set off?\Heavenly Lord has told us\since I have nothing better to do, I should go with you and Ye Hua.\Do you mind, Your Highness?\Your Highness wishes to go as well? response:	That's right.
context: In front of Your Highness, I am still the same Su Jin.\Sit.\Is Your Highness ready to set off?\Heavenly Lord has told us\since I have nothing better to do, I should go with you and Ye Hua.\Do you mind, Your Highness?\Your Highness wishes to go as well?\That's right. response:	Heavenly Lord has said
context: Sit.\Is Your Highness ready to set off?\Heavenly Lord has told us\since I have nothing better to do, I should go with you and Ye Hua.\Do you mind, Your Highness?\Your Highness wishes to go as well?\That's right.\Heavenly Lord has said response:	you are the descendant of one who sacrificed his life for our tribe.
context: Is Your Highness ready to set off?\Heavenly Lord has told us\since I have nothing better to do, I should go with you and Ye Hua.\Do you mind, Your Highness?\Your Highness wishes to go as well?\That's right.\Heavenly Lord has said\you are the descendant of one who sacrificed his life for our tribe. response:	Your entire clan shed their blood and laid their lives down for us.
context: Heavenly Lord has told us\since I have nothing better to do, I should go with you and Ye Hua.\Do you mind, Your Highness?\Your Highness wishes to go as well?\That's right.\Heavenly Lord has said\you are the descendant of one who sacrificed his life for our tribe.\Your entire clan shed their blood and laid their lives down for us. response:	It is only right for our royal kin to treat you well.
context: since I have nothing better to do, I should go with you and Ye Hua.\Do you mind, Your Highness?\Your Highness wishes to go as well?\That's right.\Heavenly Lord has said\you are the descendant of one who sacrificed his life for our tribe.\Your entire clan shed their blood and laid their lives down for us.\It is only right for our royal kin to treat you well. response:	You are also a consort now.
context: Do you mind, Your Highness?\Your Highness wishes to go as well?\That's right.\Heavenly Lord has said\you are the descendant of one who sacrificed his life for our tribe.\Your entire clan shed their blood and laid their lives down for us.\It is only right for our royal kin to treat you well.\You are also a consort now. response:	With this combination, of course I am willing to make the trip with you.
context: Your Highness wishes to go as well?\That's right.\Heavenly Lord has said\you are the descendant of one who sacrificed his life for our tribe.\Your entire clan shed their blood and laid their lives down for us.\It is only right for our royal kin to treat you well.\You are also a consort now.\With this combination, of course I am willing to make the trip with you. response:	Thank you, Your Highness, for holding me in such high regard.
context: That's right.\Heavenly Lord has said\you are the descendant of one who sacrificed his life for our tribe.\Your entire clan shed their blood and laid their lives down for us.\It is only right for our royal kin to treat you well.\You are also a consort now.\With this combination, of course I am willing to make the trip with you.\Thank you, Your Highness, for holding me in such high regard. response:	Then let's not waste time talking. Let's make a quick trip of it.
context: Heavenly Lord has said\you are the descendant of one who sacrificed his life for our tribe.\Your entire clan shed their blood and laid their lives down for us.\It is only right for our royal kin to treat you well.\You are also a consort now.\With this combination, of course I am willing to make the trip with you.\Thank you, Your Highness, for holding me in such high regard.\Then let's not waste time talking. Let's make a quick trip of it. response:	Because it is a long journey
context: you are the descendant of one who sacrificed his life for our tribe.\Your entire clan shed their blood and laid their lives down for us.\It is only right for our royal kin to treat you well.\You are also a consort now.\With this combination, of course I am willing to make the trip with you.\Thank you, Your Highness, for holding me in such high regard.\Then let's not waste time talking. Let's make a quick trip of it.\Because it is a long journey response:	I have already obtained Heavenly Lord's permission
context: Your entire clan shed their blood and laid their lives down for us.\It is only right for our royal kin to treat you well.\You are also a consort now.\With this combination, of course I am willing to make the trip with you.\Thank you, Your Highness, for holding me in such high regard.\Then let's not waste time talking. Let's make a quick trip of it.\Because it is a long journey\I have already obtained Heavenly Lord's permission response:	to stay a night in the temporary residence.
context: It is only right for our royal kin to treat you well.\You are also a consort now.\With this combination, of course I am willing to make the trip with you.\Thank you, Your Highness, for holding me in such high regard.\Then let's not waste time talking. Let's make a quick trip of it.\Because it is a long journey\I have already obtained Heavenly Lord's permission\to stay a night in the temporary residence. response:	It's because I was afraid the journey would be too arduous
context: You are also a consort now.\With this combination, of course I am willing to make the trip with you.\Thank you, Your Highness, for holding me in such high regard.\Then let's not waste time talking. Let's make a quick trip of it.\Because it is a long journey\I have already obtained Heavenly Lord's permission\to stay a night in the temporary residence.\It's because I was afraid the journey would be too arduous response:	and tire Your Highness.
context: With this combination, of course I am willing to make the trip with you.\Thank you, Your Highness, for holding me in such high regard.\Then let's not waste time talking. Let's make a quick trip of it.\Because it is a long journey\I have already obtained Heavenly Lord's permission\to stay a night in the temporary residence.\It's because I was afraid the journey would be too arduous\and tire Your Highness. response:	Stay for a night?
context: Thank you, Your Highness, for holding me in such high regard.\Then let's not waste time talking. Let's make a quick trip of it.\Because it is a long journey\I have already obtained Heavenly Lord's permission\to stay a night in the temporary residence.\It's because I was afraid the journey would be too arduous\and tire Your Highness.\Stay for a night? response:	Yes.
context: Then let's not waste time talking. Let's make a quick trip of it.\Because it is a long journey\I have already obtained Heavenly Lord's permission\to stay a night in the temporary residence.\It's because I was afraid the journey would be too arduous\and tire Your Highness.\Stay for a night?\Yes. response:	Sorry about the trouble, Your Highness.
context: Because it is a long journey\I have already obtained Heavenly Lord's permission\to stay a night in the temporary residence.\It's because I was afraid the journey would be too arduous\and tire Your Highness.\Stay for a night?\Yes.\Sorry about the trouble, Your Highness. response:	- Your Highness. - Your Highness.
context: I have already obtained Heavenly Lord's permission\to stay a night in the temporary residence.\It's because I was afraid the journey would be too arduous\and tire Your Highness.\Stay for a night?\Yes.\Sorry about the trouble, Your Highness.\- Your Highness. - Your Highness. response:	You all are...
context: to stay a night in the temporary residence.\It's because I was afraid the journey would be too arduous\and tire Your Highness.\Stay for a night?\Yes.\Sorry about the trouble, Your Highness.\- Your Highness. - Your Highness.\You all are... response:	Your Highness, I really did not know
context: It's because I was afraid the journey would be too arduous\and tire Your Highness.\Stay for a night?\Yes.\Sorry about the trouble, Your Highness.\- Your Highness. - Your Highness.\You all are...\Your Highness, I really did not know response:	you came to the palace to gather experience from Dijun.
context: and tire Your Highness.\Stay for a night?\Yes.\Sorry about the trouble, Your Highness.\- Your Highness. - Your Highness.\You all are...\Your Highness, I really did not know\you came to the palace to gather experience from Dijun. response:	I was so disrespectful to Your Highness.
context: Stay for a night?\Yes.\Sorry about the trouble, Your Highness.\- Your Highness. - Your Highness.\You all are...\Your Highness, I really did not know\you came to the palace to gather experience from Dijun.\I was so disrespectful to Your Highness. response:	Please do not take it to heart.
context: Yes.\Sorry about the trouble, Your Highness.\- Your Highness. - Your Highness.\You all are...\Your Highness, I really did not know\you came to the palace to gather experience from Dijun.\I was so disrespectful to Your Highness.\Please do not take it to heart. response:	Allow me to apologize to Your Highness.
context: Sorry about the trouble, Your Highness.\- Your Highness. - Your Highness.\You all are...\Your Highness, I really did not know\you came to the palace to gather experience from Dijun.\I was so disrespectful to Your Highness.\Please do not take it to heart.\Allow me to apologize to Your Highness. response:	Gather experience?
context: - Your Highness. - Your Highness.\You all are...\Your Highness, I really did not know\you came to the palace to gather experience from Dijun.\I was so disrespectful to Your Highness.\Please do not take it to heart.\Allow me to apologize to Your Highness.\Gather experience? response:	Yes, Dijun sent someone to convey his orders.
context: You all are...\Your Highness, I really did not know\you came to the palace to gather experience from Dijun.\I was so disrespectful to Your Highness.\Please do not take it to heart.\Allow me to apologize to Your Highness.\Gather experience?\Yes, Dijun sent someone to convey his orders. response:	And said Your Highness wanted to hide your own identity
context: Your Highness, I really did not know\you came to the palace to gather experience from Dijun.\I was so disrespectful to Your Highness.\Please do not take it to heart.\Allow me to apologize to Your Highness.\Gather experience?\Yes, Dijun sent someone to convey his orders.\And said Your Highness wanted to hide your own identity response:	to come to Taichen Palace to observe the day-to-day life of maids.
context: you came to the palace to gather experience from Dijun.\I was so disrespectful to Your Highness.\Please do not take it to heart.\Allow me to apologize to Your Highness.\Gather experience?\Yes, Dijun sent someone to convey his orders.\And said Your Highness wanted to hide your own identity\to come to Taichen Palace to observe the day-to-day life of maids. response:	And that is why you were temporarily residing here.
context: I was so disrespectful to Your Highness.\Please do not take it to heart.\Allow me to apologize to Your Highness.\Gather experience?\Yes, Dijun sent someone to convey his orders.\And said Your Highness wanted to hide your own identity\to come to Taichen Palace to observe the day-to-day life of maids.\And that is why you were temporarily residing here. response:	Dijun had someone tell you that?
context: Please do not take it to heart.\Allow me to apologize to Your Highness.\Gather experience?\Yes, Dijun sent someone to convey his orders.\And said Your Highness wanted to hide your own identity\to come to Taichen Palace to observe the day-to-day life of maids.\And that is why you were temporarily residing here.\Dijun had someone tell you that? response:	Dijun also said to take Your Highness to pick your own quarters of your liking.
context: Allow me to apologize to Your Highness.\Gather experience?\Yes, Dijun sent someone to convey his orders.\And said Your Highness wanted to hide your own identity\to come to Taichen Palace to observe the day-to-day life of maids.\And that is why you were temporarily residing here.\Dijun had someone tell you that?\Dijun also said to take Your Highness to pick your own quarters of your liking. response:	I'm not going elsewhere. I am fine here.
context: Gather experience?\Yes, Dijun sent someone to convey his orders.\And said Your Highness wanted to hide your own identity\to come to Taichen Palace to observe the day-to-day life of maids.\And that is why you were temporarily residing here.\Dijun had someone tell you that?\Dijun also said to take Your Highness to pick your own quarters of your liking.\I'm not going elsewhere. I am fine here. response:	Your Highness, as a princess, how can you live with us?
context: Yes, Dijun sent someone to convey his orders.\And said Your Highness wanted to hide your own identity\to come to Taichen Palace to observe the day-to-day life of maids.\And that is why you were temporarily residing here.\Dijun had someone tell you that?\Dijun also said to take Your Highness to pick your own quarters of your liking.\I'm not going elsewhere. I am fine here.\Your Highness, as a princess, how can you live with us? response:	I want to live with you all.
context: And said Your Highness wanted to hide your own identity\to come to Taichen Palace to observe the day-to-day life of maids.\And that is why you were temporarily residing here.\Dijun had someone tell you that?\Dijun also said to take Your Highness to pick your own quarters of your liking.\I'm not going elsewhere. I am fine here.\Your Highness, as a princess, how can you live with us?\I want to live with you all. response:	That would be gathering experience.
context: to come to Taichen Palace to observe the day-to-day life of maids.\And that is why you were temporarily residing here.\Dijun had someone tell you that?\Dijun also said to take Your Highness to pick your own quarters of your liking.\I'm not going elsewhere. I am fine here.\Your Highness, as a princess, how can you live with us?\I want to live with you all.\That would be gathering experience. response:	That...
context: And that is why you were temporarily residing here.\Dijun had someone tell you that?\Dijun also said to take Your Highness to pick your own quarters of your liking.\I'm not going elsewhere. I am fine here.\Your Highness, as a princess, how can you live with us?\I want to live with you all.\That would be gathering experience.\That... response:	I'll go tell Dijun myself.
context: Dijun had someone tell you that?\Dijun also said to take Your Highness to pick your own quarters of your liking.\I'm not going elsewhere. I am fine here.\Your Highness, as a princess, how can you live with us?\I want to live with you all.\That would be gathering experience.\That...\I'll go tell Dijun myself. response:	- Your Highness! - Your Highness...
context: Dijun also said to take Your Highness to pick your own quarters of your liking.\I'm not going elsewhere. I am fine here.\Your Highness, as a princess, how can you live with us?\I want to live with you all.\That would be gathering experience.\That...\I'll go tell Dijun myself.\- Your Highness! - Your Highness... response:	What do we do now?
context: I'm not going elsewhere. I am fine here.\Your Highness, as a princess, how can you live with us?\I want to live with you all.\That would be gathering experience.\That...\I'll go tell Dijun myself.\- Your Highness! - Your Highness...\What do we do now? response:	I had thought that since I am here to repay a debt
context: Your Highness, as a princess, how can you live with us?\I want to live with you all.\That would be gathering experience.\That...\I'll go tell Dijun myself.\- Your Highness! - Your Highness...\What do we do now?\I had thought that since I am here to repay a debt response:	I should do it properly and temporarily forget that I am a princess.
context: I want to live with you all.\That would be gathering experience.\That...\I'll go tell Dijun myself.\- Your Highness! - Your Highness...\What do we do now?\I had thought that since I am here to repay a debt\I should do it properly and temporarily forget that I am a princess. response:	So, please allow me to live with the palace maids.
context: That would be gathering experience.\That...\I'll go tell Dijun myself.\- Your Highness! - Your Highness...\What do we do now?\I had thought that since I am here to repay a debt\I should do it properly and temporarily forget that I am a princess.\So, please allow me to live with the palace maids. response:	If you really want to live with them, I won't stop you.
context: That...\I'll go tell Dijun myself.\- Your Highness! - Your Highness...\What do we do now?\I had thought that since I am here to repay a debt\I should do it properly and temporarily forget that I am a princess.\So, please allow me to live with the palace maids.\If you really want to live with them, I won't stop you. response:	Thank you, Dijun.
context: I'll go tell Dijun myself.\- Your Highness! - Your Highness...\What do we do now?\I had thought that since I am here to repay a debt\I should do it properly and temporarily forget that I am a princess.\So, please allow me to live with the palace maids.\If you really want to live with them, I won't stop you.\Thank you, Dijun. response:	Did you really come to Taichen Palace to repay me?
context: - Your Highness! - Your Highness...\What do we do now?\I had thought that since I am here to repay a debt\I should do it properly and temporarily forget that I am a princess.\So, please allow me to live with the palace maids.\If you really want to live with them, I won't stop you.\Thank you, Dijun.\Did you really come to Taichen Palace to repay me? response:	Yes.
context: What do we do now?\I had thought that since I am here to repay a debt\I should do it properly and temporarily forget that I am a princess.\So, please allow me to live with the palace maids.\If you really want to live with them, I won't stop you.\Thank you, Dijun.\Did you really come to Taichen Palace to repay me?\Yes. response:	Even a small favor must be repaid double.
context: I had thought that since I am here to repay a debt\I should do it properly and temporarily forget that I am a princess.\So, please allow me to live with the palace maids.\If you really want to live with them, I won't stop you.\Thank you, Dijun.\Did you really come to Taichen Palace to repay me?\Yes.\Even a small favor must be repaid double. response:	So how do you plan on repaying a life debt?
context: I should do it properly and temporarily forget that I am a princess.\So, please allow me to live with the palace maids.\If you really want to live with them, I won't stop you.\Thank you, Dijun.\Did you really come to Taichen Palace to repay me?\Yes.\Even a small favor must be repaid double.\So how do you plan on repaying a life debt? response:	A life debt... by...
context: So, please allow me to live with the palace maids.\If you really want to live with them, I won't stop you.\Thank you, Dijun.\Did you really come to Taichen Palace to repay me?\Yes.\Even a small favor must be repaid double.\So how do you plan on repaying a life debt?\A life debt... by... response:	Serving tea and water?
context: If you really want to live with them, I won't stop you.\Thank you, Dijun.\Did you really come to Taichen Palace to repay me?\Yes.\Even a small favor must be repaid double.\So how do you plan on repaying a life debt?\A life debt... by...\Serving tea and water? response:	I'm afraid you'll have to stay in Taichen Palace
context: Thank you, Dijun.\Did you really come to Taichen Palace to repay me?\Yes.\Even a small favor must be repaid double.\So how do you plan on repaying a life debt?\A life debt... by...\Serving tea and water?\I'm afraid you'll have to stay in Taichen Palace response:	serving tea for 100,000 years
context: Did you really come to Taichen Palace to repay me?\Yes.\Even a small favor must be repaid double.\So how do you plan on repaying a life debt?\A life debt... by...\Serving tea and water?\I'm afraid you'll have to stay in Taichen Palace\serving tea for 100,000 years response:	and serving water for 200,000 years for it to be enough.
context: Yes.\Even a small favor must be repaid double.\So how do you plan on repaying a life debt?\A life debt... by...\Serving tea and water?\I'm afraid you'll have to stay in Taichen Palace\serving tea for 100,000 years\and serving water for 200,000 years for it to be enough. response:	Then do you have a wish that has yet to be fulfilled?
context: Even a small favor must be repaid double.\So how do you plan on repaying a life debt?\A life debt... by...\Serving tea and water?\I'm afraid you'll have to stay in Taichen Palace\serving tea for 100,000 years\and serving water for 200,000 years for it to be enough.\Then do you have a wish that has yet to be fulfilled? response:	Yes.
context: So how do you plan on repaying a life debt?\A life debt... by...\Serving tea and water?\I'm afraid you'll have to stay in Taichen Palace\serving tea for 100,000 years\and serving water for 200,000 years for it to be enough.\Then do you have a wish that has yet to be fulfilled?\Yes. response:	What is it?
context: A life debt... by...\Serving tea and water?\I'm afraid you'll have to stay in Taichen Palace\serving tea for 100,000 years\and serving water for 200,000 years for it to be enough.\Then do you have a wish that has yet to be fulfilled?\Yes.\What is it? response:	I will do everything I can to help you fulfill it.
context: Serving tea and water?\I'm afraid you'll have to stay in Taichen Palace\serving tea for 100,000 years\and serving water for 200,000 years for it to be enough.\Then do you have a wish that has yet to be fulfilled?\Yes.\What is it?\I will do everything I can to help you fulfill it. response:	Mo Yuan gave me this tea set 70,000 years ago.
context: I'm afraid you'll have to stay in Taichen Palace\serving tea for 100,000 years\and serving water for 200,000 years for it to be enough.\Then do you have a wish that has yet to be fulfilled?\Yes.\What is it?\I will do everything I can to help you fulfill it.\Mo Yuan gave me this tea set 70,000 years ago. response:	In these 70,000 years, I have kept thinking of returning him this favor.
context: serving tea for 100,000 years\and serving water for 200,000 years for it to be enough.\Then do you have a wish that has yet to be fulfilled?\Yes.\What is it?\I will do everything I can to help you fulfill it.\Mo Yuan gave me this tea set 70,000 years ago.\In these 70,000 years, I have kept thinking of returning him this favor. response:	Can you help me with that?
context: and serving water for 200,000 years for it to be enough.\Then do you have a wish that has yet to be fulfilled?\Yes.\What is it?\I will do everything I can to help you fulfill it.\Mo Yuan gave me this tea set 70,000 years ago.\In these 70,000 years, I have kept thinking of returning him this favor.\Can you help me with that? response:	- Mo Yuan? - It's a shame.
context: Then do you have a wish that has yet to be fulfilled?\Yes.\What is it?\I will do everything I can to help you fulfill it.\Mo Yuan gave me this tea set 70,000 years ago.\In these 70,000 years, I have kept thinking of returning him this favor.\Can you help me with that?\- Mo Yuan? - It's a shame. response:	He has returned to seclusion for a long time now.
context: Yes.\What is it?\I will do everything I can to help you fulfill it.\Mo Yuan gave me this tea set 70,000 years ago.\In these 70,000 years, I have kept thinking of returning him this favor.\Can you help me with that?\- Mo Yuan? - It's a shame.\He has returned to seclusion for a long time now. response:	There have been no traces of him.
context: What is it?\I will do everything I can to help you fulfill it.\Mo Yuan gave me this tea set 70,000 years ago.\In these 70,000 years, I have kept thinking of returning him this favor.\Can you help me with that?\- Mo Yuan? - It's a shame.\He has returned to seclusion for a long time now.\There have been no traces of him. response:	Actually, Mo Yuan...
context: I will do everything I can to help you fulfill it.\Mo Yuan gave me this tea set 70,000 years ago.\In these 70,000 years, I have kept thinking of returning him this favor.\Can you help me with that?\- Mo Yuan? - It's a shame.\He has returned to seclusion for a long time now.\There have been no traces of him.\Actually, Mo Yuan... response:	Wait.
context: Mo Yuan gave me this tea set 70,000 years ago.\In these 70,000 years, I have kept thinking of returning him this favor.\Can you help me with that?\- Mo Yuan? - It's a shame.\He has returned to seclusion for a long time now.\There have been no traces of him.\Actually, Mo Yuan...\Wait. response:	Is Dijun trying to mislead me?
context: In these 70,000 years, I have kept thinking of returning him this favor.\Can you help me with that?\- Mo Yuan? - It's a shame.\He has returned to seclusion for a long time now.\There have been no traces of him.\Actually, Mo Yuan...\Wait.\Is Dijun trying to mislead me? response:	Could he already know Auntie is Si Yin?
context: Can you help me with that?\- Mo Yuan? - It's a shame.\He has returned to seclusion for a long time now.\There have been no traces of him.\Actually, Mo Yuan...\Wait.\Is Dijun trying to mislead me?\Could he already know Auntie is Si Yin? response:	And also know Mo Yuan is in Qing Qiu?
context: - Mo Yuan? - It's a shame.\He has returned to seclusion for a long time now.\There have been no traces of him.\Actually, Mo Yuan...\Wait.\Is Dijun trying to mislead me?\Could he already know Auntie is Si Yin?\And also know Mo Yuan is in Qing Qiu? response:	When Mo Yuan disappeared, I had just been born.
context: He has returned to seclusion for a long time now.\There have been no traces of him.\Actually, Mo Yuan...\Wait.\Is Dijun trying to mislead me?\Could he already know Auntie is Si Yin?\And also know Mo Yuan is in Qing Qiu?\When Mo Yuan disappeared, I had just been born. response:	I don't know where he went.
context: There have been no traces of him.\Actually, Mo Yuan...\Wait.\Is Dijun trying to mislead me?\Could he already know Auntie is Si Yin?\And also know Mo Yuan is in Qing Qiu?\When Mo Yuan disappeared, I had just been born.\I don't know where he went. response:	Do you have any other wish?
context: Actually, Mo Yuan...\Wait.\Is Dijun trying to mislead me?\Could he already know Auntie is Si Yin?\And also know Mo Yuan is in Qing Qiu?\When Mo Yuan disappeared, I had just been born.\I don't know where he went.\Do you have any other wish? response:	A second wish?
context: Wait.\Is Dijun trying to mislead me?\Could he already know Auntie is Si Yin?\And also know Mo Yuan is in Qing Qiu?\When Mo Yuan disappeared, I had just been born.\I don't know where he went.\Do you have any other wish?\A second wish? response:	Yes.
context: Is Dijun trying to mislead me?\Could he already know Auntie is Si Yin?\And also know Mo Yuan is in Qing Qiu?\When Mo Yuan disappeared, I had just been born.\I don't know where he went.\Do you have any other wish?\A second wish?\Yes. response:	Please do tell.
context: Could he already know Auntie is Si Yin?\And also know Mo Yuan is in Qing Qiu?\When Mo Yuan disappeared, I had just been born.\I don't know where he went.\Do you have any other wish?\A second wish?\Yes.\Please do tell. response:	Tell me how your aunt and Mo Yuan are tied together.
context: And also know Mo Yuan is in Qing Qiu?\When Mo Yuan disappeared, I had just been born.\I don't know where he went.\Do you have any other wish?\A second wish?\Yes.\Please do tell.\Tell me how your aunt and Mo Yuan are tied together. response:	Haven't I told you before?
context: When Mo Yuan disappeared, I had just been born.\I don't know where he went.\Do you have any other wish?\A second wish?\Yes.\Please do tell.\Tell me how your aunt and Mo Yuan are tied together.\Haven't I told you before? response:	My aunt has absolutely no relation to Kunlun Mountain.
context: I don't know where he went.\Do you have any other wish?\A second wish?\Yes.\Please do tell.\Tell me how your aunt and Mo Yuan are tied together.\Haven't I told you before?\My aunt has absolutely no relation to Kunlun Mountain. response:	Oh, yes.
context: Do you have any other wish?\A second wish?\Yes.\Please do tell.\Tell me how your aunt and Mo Yuan are tied together.\Haven't I told you before?\My aunt has absolutely no relation to Kunlun Mountain.\Oh, yes. response:	I had forgotten.
context: A second wish?\Yes.\Please do tell.\Tell me how your aunt and Mo Yuan are tied together.\Haven't I told you before?\My aunt has absolutely no relation to Kunlun Mountain.\Oh, yes.\I had forgotten. response:	You have indeed time and again said
context: Yes.\Please do tell.\Tell me how your aunt and Mo Yuan are tied together.\Haven't I told you before?\My aunt has absolutely no relation to Kunlun Mountain.\Oh, yes.\I had forgotten.\You have indeed time and again said response:	your aunt has absolutely no ties to Kunlun Mountain.
context: Please do tell.\Tell me how your aunt and Mo Yuan are tied together.\Haven't I told you before?\My aunt has absolutely no relation to Kunlun Mountain.\Oh, yes.\I had forgotten.\You have indeed time and again said\your aunt has absolutely no ties to Kunlun Mountain. response:	Why are you so concerned about Mo Yuan?
context: Tell me how your aunt and Mo Yuan are tied together.\Haven't I told you before?\My aunt has absolutely no relation to Kunlun Mountain.\Oh, yes.\I had forgotten.\You have indeed time and again said\your aunt has absolutely no ties to Kunlun Mountain.\Why are you so concerned about Mo Yuan? response:	Aside from Mo Yuan, do you not have any other wish?
context: Haven't I told you before?\My aunt has absolutely no relation to Kunlun Mountain.\Oh, yes.\I had forgotten.\You have indeed time and again said\your aunt has absolutely no ties to Kunlun Mountain.\Why are you so concerned about Mo Yuan?\Aside from Mo Yuan, do you not have any other wish? response:	For someone like me who wants for nothing
context: My aunt has absolutely no relation to Kunlun Mountain.\Oh, yes.\I had forgotten.\You have indeed time and again said\your aunt has absolutely no ties to Kunlun Mountain.\Why are you so concerned about Mo Yuan?\Aside from Mo Yuan, do you not have any other wish?\For someone like me who wants for nothing response:	I can't think of any other wish at the moment.
context: Oh, yes.\I had forgotten.\You have indeed time and again said\your aunt has absolutely no ties to Kunlun Mountain.\Why are you so concerned about Mo Yuan?\Aside from Mo Yuan, do you not have any other wish?\For someone like me who wants for nothing\I can't think of any other wish at the moment. response:	Take your time. I am in no hurry.
context: I had forgotten.\You have indeed time and again said\your aunt has absolutely no ties to Kunlun Mountain.\Why are you so concerned about Mo Yuan?\Aside from Mo Yuan, do you not have any other wish?\For someone like me who wants for nothing\I can't think of any other wish at the moment.\Take your time. I am in no hurry. response:	Oh, yes.
context: You have indeed time and again said\your aunt has absolutely no ties to Kunlun Mountain.\Why are you so concerned about Mo Yuan?\Aside from Mo Yuan, do you not have any other wish?\For someone like me who wants for nothing\I can't think of any other wish at the moment.\Take your time. I am in no hurry.\Oh, yes. response:	There is one more thing.
context: your aunt has absolutely no ties to Kunlun Mountain.\Why are you so concerned about Mo Yuan?\Aside from Mo Yuan, do you not have any other wish?\For someone like me who wants for nothing\I can't think of any other wish at the moment.\Take your time. I am in no hurry.\Oh, yes.\There is one more thing. response:	Have you ever seen the Jade Purity Fan of Kunlun?
context: Why are you so concerned about Mo Yuan?\Aside from Mo Yuan, do you not have any other wish?\For someone like me who wants for nothing\I can't think of any other wish at the moment.\Take your time. I am in no hurry.\Oh, yes.\There is one more thing.\Have you ever seen the Jade Purity Fan of Kunlun? response:	What is that? The name is so strange.
context: Aside from Mo Yuan, do you not have any other wish?\For someone like me who wants for nothing\I can't think of any other wish at the moment.\Take your time. I am in no hurry.\Oh, yes.\There is one more thing.\Have you ever seen the Jade Purity Fan of Kunlun?\What is that? The name is so strange. response:	Allow me to wash your teacup.
context: For someone like me who wants for nothing\I can't think of any other wish at the moment.\Take your time. I am in no hurry.\Oh, yes.\There is one more thing.\Have you ever seen the Jade Purity Fan of Kunlun?\What is that? The name is so strange.\Allow me to wash your teacup. response:	Strange. Why does Dijun keep questioning me about Auntie and Mo Yuan?
context: I can't think of any other wish at the moment.\Take your time. I am in no hurry.\Oh, yes.\There is one more thing.\Have you ever seen the Jade Purity Fan of Kunlun?\What is that? The name is so strange.\Allow me to wash your teacup.\Strange. Why does Dijun keep questioning me about Auntie and Mo Yuan? response:	What are you doing?
context: Take your time. I am in no hurry.\Oh, yes.\There is one more thing.\Have you ever seen the Jade Purity Fan of Kunlun?\What is that? The name is so strange.\Allow me to wash your teacup.\Strange. Why does Dijun keep questioning me about Auntie and Mo Yuan?\What are you doing? response:	How dare you do this to me? How presumptuous!
context: Oh, yes.\There is one more thing.\Have you ever seen the Jade Purity Fan of Kunlun?\What is that? The name is so strange.\Allow me to wash your teacup.\Strange. Why does Dijun keep questioning me about Auntie and Mo Yuan?\What are you doing?\How dare you do this to me? How presumptuous! response:	Oh no...
context: There is one more thing.\Have you ever seen the Jade Purity Fan of Kunlun?\What is that? The name is so strange.\Allow me to wash your teacup.\Strange. Why does Dijun keep questioning me about Auntie and Mo Yuan?\What are you doing?\How dare you do this to me? How presumptuous!\Oh no... response:	- You! - Why didn't you greet me first?
context: Have you ever seen the Jade Purity Fan of Kunlun?\What is that? The name is so strange.\Allow me to wash your teacup.\Strange. Why does Dijun keep questioning me about Auntie and Mo Yuan?\What are you doing?\How dare you do this to me? How presumptuous!\Oh no...\- You! - Why didn't you greet me first? response:	You!
