context: Yo! Over here. response:	Sorry for calling you out on such short notice.
context: I don't know how to finish this page anymore\Putting a bookmark in my diary\You and I go out to ride the bike we found in the dumpster\Let's go to our secret place\Where we piled up our bricks of memories\Run up the hill, where we can see the horizon\Where we can see the sky so fearfully blue\With cider in my right hand response:	My other hand helps me search for you
context: Putting a bookmark in my diary\You and I go out to ride the bike we found in the dumpster\Let's go to our secret place\Where we piled up our bricks of memories\Run up the hill, where we can see the horizon\Where we can see the sky so fearfully blue\With cider in my right hand\My other hand helps me search for you response:	You used to come find me way back when
context: You and I go out to ride the bike we found in the dumpster\Let's go to our secret place\Where we piled up our bricks of memories\Run up the hill, where we can see the horizon\Where we can see the sky so fearfully blue\With cider in my right hand\My other hand helps me search for you\You used to come find me way back when response:	You used to demand me of so much more
context: Let's go to our secret place\Where we piled up our bricks of memories\Run up the hill, where we can see the horizon\Where we can see the sky so fearfully blue\With cider in my right hand\My other hand helps me search for you\You used to come find me way back when\You used to demand me of so much more response:	You're both still standing right by my side
context: Where we piled up our bricks of memories\Run up the hill, where we can see the horizon\Where we can see the sky so fearfully blue\With cider in my right hand\My other hand helps me search for you\You used to come find me way back when\You used to demand me of so much more\You're both still standing right by my side response:	Yet why do I pray to see you both again?
context: Run up the hill, where we can see the horizon\Where we can see the sky so fearfully blue\With cider in my right hand\My other hand helps me search for you\You used to come find me way back when\You used to demand me of so much more\You're both still standing right by my side\Yet why do I pray to see you both again? response:	There must be something off with me
context: Where we can see the sky so fearfully blue\With cider in my right hand\My other hand helps me search for you\You used to come find me way back when\You used to demand me of so much more\You're both still standing right by my side\Yet why do I pray to see you both again?\There must be something off with me response:	Upon pages and pages of entries
context: With cider in my right hand\My other hand helps me search for you\You used to come find me way back when\You used to demand me of so much more\You're both still standing right by my side\Yet why do I pray to see you both again?\There must be something off with me\Upon pages and pages of entries response:	We've put down all our emotions
context: My other hand helps me search for you\You used to come find me way back when\You used to demand me of so much more\You're both still standing right by my side\Yet why do I pray to see you both again?\There must be something off with me\Upon pages and pages of entries\We've put down all our emotions response:	But now I've hit a writer's block
context: You used to come find me way back when\You used to demand me of so much more\You're both still standing right by my side\Yet why do I pray to see you both again?\There must be something off with me\Upon pages and pages of entries\We've put down all our emotions\But now I've hit a writer's block response:	I don't know how to finish this page anymore
context: You used to demand me of so much more\You're both still standing right by my side\Yet why do I pray to see you both again?\There must be something off with me\Upon pages and pages of entries\We've put down all our emotions\But now I've hit a writer's block\I don't know how to finish this page anymore response:	Putting a bookmark in my diary
context: You're both still standing right by my side\Yet why do I pray to see you both again?\There must be something off with me\Upon pages and pages of entries\We've put down all our emotions\But now I've hit a writer's block\I don't know how to finish this page anymore\Putting a bookmark in my diary response:	You and I go out to ride the bike we found in the dumpster
context: Yet why do I pray to see you both again?\There must be something off with me\Upon pages and pages of entries\We've put down all our emotions\But now I've hit a writer's block\I don't know how to finish this page anymore\Putting a bookmark in my diary\You and I go out to ride the bike we found in the dumpster response:	Let's go to our secret place
context: There must be something off with me\Upon pages and pages of entries\We've put down all our emotions\But now I've hit a writer's block\I don't know how to finish this page anymore\Putting a bookmark in my diary\You and I go out to ride the bike we found in the dumpster\Let's go to our secret place response:	Where we piled up our bricks of memories
context: Upon pages and pages of entries\We've put down all our emotions\But now I've hit a writer's block\I don't know how to finish this page anymore\Putting a bookmark in my diary\You and I go out to ride the bike we found in the dumpster\Let's go to our secret place\Where we piled up our bricks of memories response:	Run up the hill, where we can see the horizon
context: We've put down all our emotions\But now I've hit a writer's block\I don't know how to finish this page anymore\Putting a bookmark in my diary\You and I go out to ride the bike we found in the dumpster\Let's go to our secret place\Where we piled up our bricks of memories\Run up the hill, where we can see the horizon response:	Where we can see the sky so fearfully blue
context: But now I've hit a writer's block\I don't know how to finish this page anymore\Putting a bookmark in my diary\You and I go out to ride the bike we found in the dumpster\Let's go to our secret place\Where we piled up our bricks of memories\Run up the hill, where we can see the horizon\Where we can see the sky so fearfully blue response:	With cider in my right hand
context: I don't know how to finish this page anymore\Putting a bookmark in my diary\You and I go out to ride the bike we found in the dumpster\Let's go to our secret place\Where we piled up our bricks of memories\Run up the hill, where we can see the horizon\Where we can see the sky so fearfully blue\With cider in my right hand response:	My other hand helps me search for you
context: Putting a bookmark in my diary\You and I go out to ride the bike we found in the dumpster\Let's go to our secret place\Where we piled up our bricks of memories\Run up the hill, where we can see the horizon\Where we can see the sky so fearfully blue\With cider in my right hand\My other hand helps me search for you response:	You used to come find me way back when
context: You and I go out to ride the bike we found in the dumpster\Let's go to our secret place\Where we piled up our bricks of memories\Run up the hill, where we can see the horizon\Where we can see the sky so fearfully blue\With cider in my right hand\My other hand helps me search for you\You used to come find me way back when response:	You used to demand me of so much more
context: Let's go to our secret place\Where we piled up our bricks of memories\Run up the hill, where we can see the horizon\Where we can see the sky so fearfully blue\With cider in my right hand\My other hand helps me search for you\You used to come find me way back when\You used to demand me of so much more response:	You're both still standing right by my side
context: Where we piled up our bricks of memories\Run up the hill, where we can see the horizon\Where we can see the sky so fearfully blue\With cider in my right hand\My other hand helps me search for you\You used to come find me way back when\You used to demand me of so much more\You're both still standing right by my side response:	Yet why do I pray to see you both again?
context: Run up the hill, where we can see the horizon\Where we can see the sky so fearfully blue\With cider in my right hand\My other hand helps me search for you\You used to come find me way back when\You used to demand me of so much more\You're both still standing right by my side\Yet why do I pray to see you both again? response:	There must be something off with me
context: Where we can see the sky so fearfully blue\With cider in my right hand\My other hand helps me search for you\You used to come find me way back when\You used to demand me of so much more\You're both still standing right by my side\Yet why do I pray to see you both again?\There must be something off with me response:	futari no himitsu no kichi no naka
context: With cider in my right hand\My other hand helps me search for you\You used to come find me way back when\You used to demand me of so much more\You're both still standing right by my side\Yet why do I pray to see you both again?\There must be something off with me\futari no himitsu no kichi no naka response:	kimi to natsu no owari shourai no yume ookina kibou wasurenai
context: My other hand helps me search for you\You used to come find me way back when\You used to demand me of so much more\You're both still standing right by my side\Yet why do I pray to see you both again?\There must be something off with me\futari no himitsu no kichi no naka\kimi to natsu no owari shourai no yume ookina kibou wasurenai response:	jyuunen no ato hachigatsu mata deaeru no wo shinjite
context: You used to come find me way back when\You used to demand me of so much more\You're both still standing right by my side\Yet why do I pray to see you both again?\There must be something off with me\futari no himitsu no kichi no naka\kimi to natsu no owari shourai no yume ookina kibou wasurenai\jyuunen no ato hachigatsu mata deaeru no wo shinjite response:	kimi ga saigo made kokoro kara arigatou sakendeita koto shitetayo
context: You used to demand me of so much more\You're both still standing right by my side\Yet why do I pray to see you both again?\There must be something off with me\futari no himitsu no kichi no naka\kimi to natsu no owari shourai no yume ookina kibou wasurenai\jyuunen no ato hachigatsu mata deaeru no wo shinjite\kimi ga saigo made kokoro kara arigatou sakendeita koto shitetayo response:	namida wo koraete egao
context: You're both still standing right by my side\Yet why do I pray to see you both again?\There must be something off with me\futari no himitsu no kichi no naka\kimi to natsu no owari shourai no yume ookina kibou wasurenai\jyuunen no ato hachigatsu mata deaeru no wo shinjite\kimi ga saigo made kokoro kara arigatou sakendeita koto shitetayo\namida wo koraete egao response:	de sayounara setsunai yo ne
context: Yet why do I pray to see you both again?\There must be something off with me\futari no himitsu no kichi no naka\kimi to natsu no owari shourai no yume ookina kibou wasurenai\jyuunen no ato hachigatsu mata deaeru no wo shinjite\kimi ga saigo made kokoro kara arigatou sakendeita koto shitetayo\namida wo koraete egao\de sayounara setsunai yo ne response:	saikou no omoide wo
context: There must be something off with me\futari no himitsu no kichi no naka\kimi to natsu no owari shourai no yume ookina kibou wasurenai\jyuunen no ato hachigatsu mata deaeru no wo shinjite\kimi ga saigo made kokoro kara arigatou sakendeita koto shitetayo\namida wo koraete egao\de sayounara setsunai yo ne\saikou no omoide wo response:	I will never forget the hopes and dreams we shared during that one summer's end.
context: futari no himitsu no kichi no naka\kimi to natsu no owari shourai no yume ookina kibou wasurenai\jyuunen no ato hachigatsu mata deaeru no wo shinjite\kimi ga saigo made kokoro kara arigatou sakendeita koto shitetayo\namida wo koraete egao\de sayounara setsunai yo ne\saikou no omoide wo\I will never forget the hopes and dreams we shared during that one summer's end. response:	I'm sure we will meet again in another August, in maybe ten years time.
context: kimi to natsu no owari shourai no yume ookina kibou wasurenai\jyuunen no ato hachigatsu mata deaeru no wo shinjite\kimi ga saigo made kokoro kara arigatou sakendeita koto shitetayo\namida wo koraete egao\de sayounara setsunai yo ne\saikou no omoide wo\I will never forget the hopes and dreams we shared during that one summer's end.\I'm sure we will meet again in another August, in maybe ten years time. response:	I could feel your heartfelt thanks all the way until the end.
context: jyuunen no ato hachigatsu mata deaeru no wo shinjite\kimi ga saigo made kokoro kara arigatou sakendeita koto shitetayo\namida wo koraete egao\de sayounara setsunai yo ne\saikou no omoide wo\I will never forget the hopes and dreams we shared during that one summer's end.\I'm sure we will meet again in another August, in maybe ten years time.\I could feel your heartfelt thanks all the way until the end. response:	And I know it must've been painful
context: kimi ga saigo made kokoro kara arigatou sakendeita koto shitetayo\namida wo koraete egao\de sayounara setsunai yo ne\saikou no omoide wo\I will never forget the hopes and dreams we shared during that one summer's end.\I'm sure we will meet again in another August, in maybe ten years time.\I could feel your heartfelt thanks all the way until the end.\And I know it must've been painful response:	to hold back your tears and say goodbye with a smile.
context: namida wo koraete egao\de sayounara setsunai yo ne\saikou no omoide wo\I will never forget the hopes and dreams we shared during that one summer's end.\I'm sure we will meet again in another August, in maybe ten years time.\I could feel your heartfelt thanks all the way until the end.\And I know it must've been painful\to hold back your tears and say goodbye with a smile. response:	But those are my best memories.
