context: A healthy soul... response:	Are you alright, Sid-kun?
context: Backstabbers can only work in the back. I'm already doing so!\The late show crew treats me like a part timer too!\I'm the only one who doesn't have a choice!!\Oh! Don't you think this is about ready?\Are you ignoring me?\Oh yeah, it looks good. Okay then, boss give it a shot.\What, me?!\Of course it's you. response:	Who else is going to do it?
context: The late show crew treats me like a part timer too!\I'm the only one who doesn't have a choice!!\Oh! Don't you think this is about ready?\Are you ignoring me?\Oh yeah, it looks good. Okay then, boss give it a shot.\What, me?!\Of course it's you.\Who else is going to do it? response:	Ah, I guess you're right.
context: I'm the only one who doesn't have a choice!!\Oh! Don't you think this is about ready?\Are you ignoring me?\Oh yeah, it looks good. Okay then, boss give it a shot.\What, me?!\Of course it's you.\Who else is going to do it?\Ah, I guess you're right. response:	But I'm not good with these kind of...
context: Oh! Don't you think this is about ready?\Are you ignoring me?\Oh yeah, it looks good. Okay then, boss give it a shot.\What, me?!\Of course it's you.\Who else is going to do it?\Ah, I guess you're right.\But I'm not good with these kind of... response:	If you mess up, I'll punch you.
context: Are you ignoring me?\Oh yeah, it looks good. Okay then, boss give it a shot.\What, me?!\Of course it's you.\Who else is going to do it?\Ah, I guess you're right.\But I'm not good with these kind of...\If you mess up, I'll punch you. response:	If you mess up, I'll break your arm.
context: Oh yeah, it looks good. Okay then, boss give it a shot.\What, me?!\Of course it's you.\Who else is going to do it?\Ah, I guess you're right.\But I'm not good with these kind of...\If you mess up, I'll punch you.\If you mess up, I'll break your arm. response:	If you mess up, I'll kill you.
context: What, me?!\Of course it's you.\Who else is going to do it?\Ah, I guess you're right.\But I'm not good with these kind of...\If you mess up, I'll punch you.\If you mess up, I'll break your arm.\If you mess up, I'll kill you. response:	Hey, what's with all the pressure on me?
context: Of course it's you.\Who else is going to do it?\Ah, I guess you're right.\But I'm not good with these kind of...\If you mess up, I'll punch you.\If you mess up, I'll break your arm.\If you mess up, I'll kill you.\Hey, what's with all the pressure on me? response:	Just do it!
context: Who else is going to do it?\Ah, I guess you're right.\But I'm not good with these kind of...\If you mess up, I'll punch you.\If you mess up, I'll break your arm.\If you mess up, I'll kill you.\Hey, what's with all the pressure on me?\Just do it! response:	Fine...
context: Ah, I guess you're right.\But I'm not good with these kind of...\If you mess up, I'll punch you.\If you mess up, I'll break your arm.\If you mess up, I'll kill you.\Hey, what's with all the pressure on me?\Just do it!\Fine... response:	Three...
context: But I'm not good with these kind of...\If you mess up, I'll punch you.\If you mess up, I'll break your arm.\If you mess up, I'll kill you.\Hey, what's with all the pressure on me?\Just do it!\Fine...\Three... response:	Two...
context: If you mess up, I'll punch you.\If you mess up, I'll break your arm.\If you mess up, I'll kill you.\Hey, what's with all the pressure on me?\Just do it!\Fine...\Three...\Two... response:	One...
