context: My Lord, Xuan Nu fled to Yingzhou yesterday. response:	She has a mortal with her.
context: Crown Prince, what else could I help you with?\It's fine.\But your injuries...\It's fine. You are dismissed.\Yes.\Don't tell anyone that I was here.\Rest assured, Crown Prince. My lips are sealed.\I'll retrieve the divine fungal grass from Yingzhou response:	and then use 70,000 years of my cultivation to create an elixir.
context: It's fine.\But your injuries...\It's fine. You are dismissed.\Yes.\Don't tell anyone that I was here.\Rest assured, Crown Prince. My lips are sealed.\I'll retrieve the divine fungal grass from Yingzhou\and then use 70,000 years of my cultivation to create an elixir. response:	Once Die Yong takes it
context: But your injuries...\It's fine. You are dismissed.\Yes.\Don't tell anyone that I was here.\Rest assured, Crown Prince. My lips are sealed.\I'll retrieve the divine fungal grass from Yingzhou\and then use 70,000 years of my cultivation to create an elixir.\Once Die Yong takes it response:	Master should be able to wake up within three months.
context: It's fine. You are dismissed.\Yes.\Don't tell anyone that I was here.\Rest assured, Crown Prince. My lips are sealed.\I'll retrieve the divine fungal grass from Yingzhou\and then use 70,000 years of my cultivation to create an elixir.\Once Die Yong takes it\Master should be able to wake up within three months. response:	Qian Qian, this is the last thing I could do for you.
context: Yes.\Don't tell anyone that I was here.\Rest assured, Crown Prince. My lips are sealed.\I'll retrieve the divine fungal grass from Yingzhou\and then use 70,000 years of my cultivation to create an elixir.\Once Die Yong takes it\Master should be able to wake up within three months.\Qian Qian, this is the last thing I could do for you. response:	Seventeenth.
context: Don't tell anyone that I was here.\Rest assured, Crown Prince. My lips are sealed.\I'll retrieve the divine fungal grass from Yingzhou\and then use 70,000 years of my cultivation to create an elixir.\Once Die Yong takes it\Master should be able to wake up within three months.\Qian Qian, this is the last thing I could do for you.\Seventeenth. response:	I just heard the maids chatting in private
context: Rest assured, Crown Prince. My lips are sealed.\I'll retrieve the divine fungal grass from Yingzhou\and then use 70,000 years of my cultivation to create an elixir.\Once Die Yong takes it\Master should be able to wake up within three months.\Qian Qian, this is the last thing I could do for you.\Seventeenth.\I just heard the maids chatting in private response:	about your upcoming wedding with the Crown Prince of the Celestial Tribe?
context: I'll retrieve the divine fungal grass from Yingzhou\and then use 70,000 years of my cultivation to create an elixir.\Once Die Yong takes it\Master should be able to wake up within three months.\Qian Qian, this is the last thing I could do for you.\Seventeenth.\I just heard the maids chatting in private\about your upcoming wedding with the Crown Prince of the Celestial Tribe? response:	I have yet to know if he's willing to be a Heavenly Lord
context: and then use 70,000 years of my cultivation to create an elixir.\Once Die Yong takes it\Master should be able to wake up within three months.\Qian Qian, this is the last thing I could do for you.\Seventeenth.\I just heard the maids chatting in private\about your upcoming wedding with the Crown Prince of the Celestial Tribe?\I have yet to know if he's willing to be a Heavenly Lord response:	without a Heavenly Empress for some time.
context: Once Die Yong takes it\Master should be able to wake up within three months.\Qian Qian, this is the last thing I could do for you.\Seventeenth.\I just heard the maids chatting in private\about your upcoming wedding with the Crown Prince of the Celestial Tribe?\I have yet to know if he's willing to be a Heavenly Lord\without a Heavenly Empress for some time. response:	In 20,000 to 30,000 years
context: Master should be able to wake up within three months.\Qian Qian, this is the last thing I could do for you.\Seventeenth.\I just heard the maids chatting in private\about your upcoming wedding with the Crown Prince of the Celestial Tribe?\I have yet to know if he's willing to be a Heavenly Lord\without a Heavenly Empress for some time.\In 20,000 to 30,000 years response:	I can't withstand the sacred blaze and holy thunderbolts.
context: Qian Qian, this is the last thing I could do for you.\Seventeenth.\I just heard the maids chatting in private\about your upcoming wedding with the Crown Prince of the Celestial Tribe?\I have yet to know if he's willing to be a Heavenly Lord\without a Heavenly Empress for some time.\In 20,000 to 30,000 years\I can't withstand the sacred blaze and holy thunderbolts. response:	Why is that so?
context: Seventeenth.\I just heard the maids chatting in private\about your upcoming wedding with the Crown Prince of the Celestial Tribe?\I have yet to know if he's willing to be a Heavenly Lord\without a Heavenly Empress for some time.\In 20,000 to 30,000 years\I can't withstand the sacred blaze and holy thunderbolts.\Why is that so? response:	Don't you know me well enough?
context: I just heard the maids chatting in private\about your upcoming wedding with the Crown Prince of the Celestial Tribe?\I have yet to know if he's willing to be a Heavenly Lord\without a Heavenly Empress for some time.\In 20,000 to 30,000 years\I can't withstand the sacred blaze and holy thunderbolts.\Why is that so?\Don't you know me well enough? response:	I didn't train well enough.
context: about your upcoming wedding with the Crown Prince of the Celestial Tribe?\I have yet to know if he's willing to be a Heavenly Lord\without a Heavenly Empress for some time.\In 20,000 to 30,000 years\I can't withstand the sacred blaze and holy thunderbolts.\Why is that so?\Don't you know me well enough?\I didn't train well enough. response:	When I ascend to a high immortal
context: I have yet to know if he's willing to be a Heavenly Lord\without a Heavenly Empress for some time.\In 20,000 to 30,000 years\I can't withstand the sacred blaze and holy thunderbolts.\Why is that so?\Don't you know me well enough?\I didn't train well enough.\When I ascend to a high immortal response:	Master took the heavenly trial for me.
context: without a Heavenly Empress for some time.\In 20,000 to 30,000 years\I can't withstand the sacred blaze and holy thunderbolts.\Why is that so?\Don't you know me well enough?\I didn't train well enough.\When I ascend to a high immortal\Master took the heavenly trial for me. response:	It was three holy thunderbolts then.
context: In 20,000 to 30,000 years\I can't withstand the sacred blaze and holy thunderbolts.\Why is that so?\Don't you know me well enough?\I didn't train well enough.\When I ascend to a high immortal\Master took the heavenly trial for me.\It was three holy thunderbolts then. response:	Now, as the Heavenly Empress
context: I can't withstand the sacred blaze and holy thunderbolts.\Why is that so?\Don't you know me well enough?\I didn't train well enough.\When I ascend to a high immortal\Master took the heavenly trial for me.\It was three holy thunderbolts then.\Now, as the Heavenly Empress response:	it's 81 bursts of sacred blaze and nine holy thunderbolts.
context: Why is that so?\Don't you know me well enough?\I didn't train well enough.\When I ascend to a high immortal\Master took the heavenly trial for me.\It was three holy thunderbolts then.\Now, as the Heavenly Empress\it's 81 bursts of sacred blaze and nine holy thunderbolts. response:	This is no laughing matter.
context: Don't you know me well enough?\I didn't train well enough.\When I ascend to a high immortal\Master took the heavenly trial for me.\It was three holy thunderbolts then.\Now, as the Heavenly Empress\it's 81 bursts of sacred blaze and nine holy thunderbolts.\This is no laughing matter. response:	You...
context: I didn't train well enough.\When I ascend to a high immortal\Master took the heavenly trial for me.\It was three holy thunderbolts then.\Now, as the Heavenly Empress\it's 81 bursts of sacred blaze and nine holy thunderbolts.\This is no laughing matter.\You... response:	Just because you don't train well it's even affecting your marriage now?
context: When I ascend to a high immortal\Master took the heavenly trial for me.\It was three holy thunderbolts then.\Now, as the Heavenly Empress\it's 81 bursts of sacred blaze and nine holy thunderbolts.\This is no laughing matter.\You...\Just because you don't train well it's even affecting your marriage now? response:	You really rendered me speechless.
context: Master took the heavenly trial for me.\It was three holy thunderbolts then.\Now, as the Heavenly Empress\it's 81 bursts of sacred blaze and nine holy thunderbolts.\This is no laughing matter.\You...\Just because you don't train well it's even affecting your marriage now?\You really rendered me speechless. response:	You just need to stay up one more night.
context: It was three holy thunderbolts then.\Now, as the Heavenly Empress\it's 81 bursts of sacred blaze and nine holy thunderbolts.\This is no laughing matter.\You...\Just because you don't train well it's even affecting your marriage now?\You really rendered me speechless.\You just need to stay up one more night. response:	Have some food to get through the night.
context: Now, as the Heavenly Empress\it's 81 bursts of sacred blaze and nine holy thunderbolts.\This is no laughing matter.\You...\Just because you don't train well it's even affecting your marriage now?\You really rendered me speechless.\You just need to stay up one more night.\Have some food to get through the night. response:	Thank you, Senior.
context: it's 81 bursts of sacred blaze and nine holy thunderbolts.\This is no laughing matter.\You...\Just because you don't train well it's even affecting your marriage now?\You really rendered me speechless.\You just need to stay up one more night.\Have some food to get through the night.\Thank you, Senior. response:	What's the matter?
context: This is no laughing matter.\You...\Just because you don't train well it's even affecting your marriage now?\You really rendered me speechless.\You just need to stay up one more night.\Have some food to get through the night.\Thank you, Senior.\What's the matter? response:	Give this to Qian Qian.
context: You...\Just because you don't train well it's even affecting your marriage now?\You really rendered me speechless.\You just need to stay up one more night.\Have some food to get through the night.\Thank you, Senior.\What's the matter?\Give this to Qian Qian. response:	You're going to die and you still care about this thing?
context: Just because you don't train well it's even affecting your marriage now?\You really rendered me speechless.\You just need to stay up one more night.\Have some food to get through the night.\Thank you, Senior.\What's the matter?\Give this to Qian Qian.\You're going to die and you still care about this thing? response:	Crown Prince of West Sea, how are you feeling?
context: You really rendered me speechless.\You just need to stay up one more night.\Have some food to get through the night.\Thank you, Senior.\What's the matter?\Give this to Qian Qian.\You're going to die and you still care about this thing?\Crown Prince of West Sea, how are you feeling? response:	- His Highness is awake. - His Highness is awake.
context: You just need to stay up one more night.\Have some food to get through the night.\Thank you, Senior.\What's the matter?\Give this to Qian Qian.\You're going to die and you still care about this thing?\Crown Prince of West Sea, how are you feeling?\- His Highness is awake. - His Highness is awake. response:	Inform Water King now.
context: Have some food to get through the night.\Thank you, Senior.\What's the matter?\Give this to Qian Qian.\You're going to die and you still care about this thing?\Crown Prince of West Sea, how are you feeling?\- His Highness is awake. - His Highness is awake.\Inform Water King now. response:	- Yes. - Yes...
context: Thank you, Senior.\What's the matter?\Give this to Qian Qian.\You're going to die and you still care about this thing?\Crown Prince of West Sea, how are you feeling?\- His Highness is awake. - His Highness is awake.\Inform Water King now.\- Yes. - Yes... response:	I haven't felt so energetic for 600 years.
context: What's the matter?\Give this to Qian Qian.\You're going to die and you still care about this thing?\Crown Prince of West Sea, how are you feeling?\- His Highness is awake. - His Highness is awake.\Inform Water King now.\- Yes. - Yes...\I haven't felt so energetic for 600 years. response:	I must head out to West Sea today and have a swim.
context: Give this to Qian Qian.\You're going to die and you still care about this thing?\Crown Prince of West Sea, how are you feeling?\- His Highness is awake. - His Highness is awake.\Inform Water King now.\- Yes. - Yes...\I haven't felt so energetic for 600 years.\I must head out to West Sea today and have a swim. response:	I'll take a look at the scenery that I've missed in the last 600 years.
context: You're going to die and you still care about this thing?\Crown Prince of West Sea, how are you feeling?\- His Highness is awake. - His Highness is awake.\Inform Water King now.\- Yes. - Yes...\I haven't felt so energetic for 600 years.\I must head out to West Sea today and have a swim.\I'll take a look at the scenery that I've missed in the last 600 years. response:	Go ahead then.
context: Crown Prince of West Sea, how are you feeling?\- His Highness is awake. - His Highness is awake.\Inform Water King now.\- Yes. - Yes...\I haven't felt so energetic for 600 years.\I must head out to West Sea today and have a swim.\I'll take a look at the scenery that I've missed in the last 600 years.\Go ahead then. response:	Don't wait around any longer.
context: - His Highness is awake. - His Highness is awake.\Inform Water King now.\- Yes. - Yes...\I haven't felt so energetic for 600 years.\I must head out to West Sea today and have a swim.\I'll take a look at the scenery that I've missed in the last 600 years.\Go ahead then.\Don't wait around any longer. response:	If I had slept for 600 years like you did
context: Inform Water King now.\- Yes. - Yes...\I haven't felt so energetic for 600 years.\I must head out to West Sea today and have a swim.\I'll take a look at the scenery that I've missed in the last 600 years.\Go ahead then.\Don't wait around any longer.\If I had slept for 600 years like you did response:	I'm afraid that I wouldn't be able to withstand it.
context: - Yes. - Yes...\I haven't felt so energetic for 600 years.\I must head out to West Sea today and have a swim.\I'll take a look at the scenery that I've missed in the last 600 years.\Go ahead then.\Don't wait around any longer.\If I had slept for 600 years like you did\I'm afraid that I wouldn't be able to withstand it. response:	Emissary, you've had a hard time.
context: I haven't felt so energetic for 600 years.\I must head out to West Sea today and have a swim.\I'll take a look at the scenery that I've missed in the last 600 years.\Go ahead then.\Don't wait around any longer.\If I had slept for 600 years like you did\I'm afraid that I wouldn't be able to withstand it.\Emissary, you've had a hard time. response:	Get some rest now.
context: I must head out to West Sea today and have a swim.\I'll take a look at the scenery that I've missed in the last 600 years.\Go ahead then.\Don't wait around any longer.\If I had slept for 600 years like you did\I'm afraid that I wouldn't be able to withstand it.\Emissary, you've had a hard time.\Get some rest now. response:	I'm going to bed.
context: I'll take a look at the scenery that I've missed in the last 600 years.\Go ahead then.\Don't wait around any longer.\If I had slept for 600 years like you did\I'm afraid that I wouldn't be able to withstand it.\Emissary, you've had a hard time.\Get some rest now.\I'm going to bed. response:	I've been staring at this flame day after day.
context: Go ahead then.\Don't wait around any longer.\If I had slept for 600 years like you did\I'm afraid that I wouldn't be able to withstand it.\Emissary, you've had a hard time.\Get some rest now.\I'm going to bed.\I've been staring at this flame day after day. response:	My eyes are so sore.
context: Don't wait around any longer.\If I had slept for 600 years like you did\I'm afraid that I wouldn't be able to withstand it.\Emissary, you've had a hard time.\Get some rest now.\I'm going to bed.\I've been staring at this flame day after day.\My eyes are so sore. response:	Please tell my senior not to visit me.
context: If I had slept for 600 years like you did\I'm afraid that I wouldn't be able to withstand it.\Emissary, you've had a hard time.\Get some rest now.\I'm going to bed.\I've been staring at this flame day after day.\My eyes are so sore.\Please tell my senior not to visit me. response:	He was fine but then why would he end up like this?
context: I'm afraid that I wouldn't be able to withstand it.\Emissary, you've had a hard time.\Get some rest now.\I'm going to bed.\I've been staring at this flame day after day.\My eyes are so sore.\Please tell my senior not to visit me.\He was fine but then why would he end up like this? response:	Who knows?
context: Emissary, you've had a hard time.\Get some rest now.\I'm going to bed.\I've been staring at this flame day after day.\My eyes are so sore.\Please tell my senior not to visit me.\He was fine but then why would he end up like this?\Who knows? response:	If he could survive this he would be able to tell us.
context: Get some rest now.\I'm going to bed.\I've been staring at this flame day after day.\My eyes are so sore.\Please tell my senior not to visit me.\He was fine but then why would he end up like this?\Who knows?\If he could survive this he would be able to tell us. response:	Are you sure that he would tell us the truth?
context: I'm going to bed.\I've been staring at this flame day after day.\My eyes are so sore.\Please tell my senior not to visit me.\He was fine but then why would he end up like this?\Who knows?\If he could survive this he would be able to tell us.\Are you sure that he would tell us the truth? response:	He's so severely injured and yet instead of returning to the Celestial Palace
context: I've been staring at this flame day after day.\My eyes are so sore.\Please tell my senior not to visit me.\He was fine but then why would he end up like this?\Who knows?\If he could survive this he would be able to tell us.\Are you sure that he would tell us the truth?\He's so severely injured and yet instead of returning to the Celestial Palace response:	he's here in my Ten-mile Peach Tree Woods.
context: My eyes are so sore.\Please tell my senior not to visit me.\He was fine but then why would he end up like this?\Who knows?\If he could survive this he would be able to tell us.\Are you sure that he would tell us the truth?\He's so severely injured and yet instead of returning to the Celestial Palace\he's here in my Ten-mile Peach Tree Woods. response:	He must be hiding something.
context: Please tell my senior not to visit me.\He was fine but then why would he end up like this?\Who knows?\If he could survive this he would be able to tell us.\Are you sure that he would tell us the truth?\He's so severely injured and yet instead of returning to the Celestial Palace\he's here in my Ten-mile Peach Tree Woods.\He must be hiding something. response:	He doesn't want Heavenly Lord to find out
context: He was fine but then why would he end up like this?\Who knows?\If he could survive this he would be able to tell us.\Are you sure that he would tell us the truth?\He's so severely injured and yet instead of returning to the Celestial Palace\he's here in my Ten-mile Peach Tree Woods.\He must be hiding something.\He doesn't want Heavenly Lord to find out response:	so he could only come to me for help.
context: Who knows?\If he could survive this he would be able to tell us.\Are you sure that he would tell us the truth?\He's so severely injured and yet instead of returning to the Celestial Palace\he's here in my Ten-mile Peach Tree Woods.\He must be hiding something.\He doesn't want Heavenly Lord to find out\so he could only come to me for help. response:	That makes sense.
context: If he could survive this he would be able to tell us.\Are you sure that he would tell us the truth?\He's so severely injured and yet instead of returning to the Celestial Palace\he's here in my Ten-mile Peach Tree Woods.\He must be hiding something.\He doesn't want Heavenly Lord to find out\so he could only come to me for help.\That makes sense. response:	What are you doing with that?
context: Are you sure that he would tell us the truth?\He's so severely injured and yet instead of returning to the Celestial Palace\he's here in my Ten-mile Peach Tree Woods.\He must be hiding something.\He doesn't want Heavenly Lord to find out\so he could only come to me for help.\That makes sense.\What are you doing with that? response:	He's the Crown Prince of the Celestial Tribe
context: He's so severely injured and yet instead of returning to the Celestial Palace\he's here in my Ten-mile Peach Tree Woods.\He must be hiding something.\He doesn't want Heavenly Lord to find out\so he could only come to me for help.\That makes sense.\What are you doing with that?\He's the Crown Prince of the Celestial Tribe response:	but now he's missing an arm.
context: he's here in my Ten-mile Peach Tree Woods.\He must be hiding something.\He doesn't want Heavenly Lord to find out\so he could only come to me for help.\That makes sense.\What are you doing with that?\He's the Crown Prince of the Celestial Tribe\but now he's missing an arm. response:	How bad will that look?
context: He must be hiding something.\He doesn't want Heavenly Lord to find out\so he could only come to me for help.\That makes sense.\What are you doing with that?\He's the Crown Prince of the Celestial Tribe\but now he's missing an arm.\How bad will that look? response:	I went and picked a 10,000-year-old lotus root from Jade Lotus Pond
context: He doesn't want Heavenly Lord to find out\so he could only come to me for help.\That makes sense.\What are you doing with that?\He's the Crown Prince of the Celestial Tribe\but now he's missing an arm.\How bad will that look?\I went and picked a 10,000-year-old lotus root from Jade Lotus Pond response:	to make him a prosthetic arm.
context: so he could only come to me for help.\That makes sense.\What are you doing with that?\He's the Crown Prince of the Celestial Tribe\but now he's missing an arm.\How bad will that look?\I went and picked a 10,000-year-old lotus root from Jade Lotus Pond\to make him a prosthetic arm. response:	Can this fake arm wield swords?
context: That makes sense.\What are you doing with that?\He's the Crown Prince of the Celestial Tribe\but now he's missing an arm.\How bad will that look?\I went and picked a 10,000-year-old lotus root from Jade Lotus Pond\to make him a prosthetic arm.\Can this fake arm wield swords? response:	It can't wield swords.
context: What are you doing with that?\He's the Crown Prince of the Celestial Tribe\but now he's missing an arm.\How bad will that look?\I went and picked a 10,000-year-old lotus root from Jade Lotus Pond\to make him a prosthetic arm.\Can this fake arm wield swords?\It can't wield swords. response:	It can't even move.
context: He's the Crown Prince of the Celestial Tribe\but now he's missing an arm.\How bad will that look?\I went and picked a 10,000-year-old lotus root from Jade Lotus Pond\to make him a prosthetic arm.\Can this fake arm wield swords?\It can't wield swords.\It can't even move. response:	It's just for looks.
context: but now he's missing an arm.\How bad will that look?\I went and picked a 10,000-year-old lotus root from Jade Lotus Pond\to make him a prosthetic arm.\Can this fake arm wield swords?\It can't wield swords.\It can't even move.\It's just for looks. response:	What's the point of having it then?
context: How bad will that look?\I went and picked a 10,000-year-old lotus root from Jade Lotus Pond\to make him a prosthetic arm.\Can this fake arm wield swords?\It can't wield swords.\It can't even move.\It's just for looks.\What's the point of having it then? response:	It looks nice.
context: I went and picked a 10,000-year-old lotus root from Jade Lotus Pond\to make him a prosthetic arm.\Can this fake arm wield swords?\It can't wield swords.\It can't even move.\It's just for looks.\What's the point of having it then?\It looks nice. response:	Would you want him to marry Qian Qian with one arm?
context: to make him a prosthetic arm.\Can this fake arm wield swords?\It can't wield swords.\It can't even move.\It's just for looks.\What's the point of having it then?\It looks nice.\Would you want him to marry Qian Qian with one arm? response:	That's true.
context: Can this fake arm wield swords?\It can't wield swords.\It can't even move.\It's just for looks.\What's the point of having it then?\It looks nice.\Would you want him to marry Qian Qian with one arm?\That's true. response:	Make it look more convincing.
context: It can't wield swords.\It can't even move.\It's just for looks.\What's the point of having it then?\It looks nice.\Would you want him to marry Qian Qian with one arm?\That's true.\Make it look more convincing. response:	It's best if no one would notice the difference.
