context: The Lord of Numinous Treasures' Heavens Spring response:	can heal a common wound in three to five days.
context: You witnessed all that.\A mortal is after all just a mortal.\This isn't the right place for her.\You can still keep her alive if you send her away soon.\Step out now.\- Yes. - Yes.\Kneel.\Why would you plead for that mortal? response:	I think that the accident wasn't severe enough to sentence that mortal to death.
context: A mortal is after all just a mortal.\This isn't the right place for her.\You can still keep her alive if you send her away soon.\Step out now.\- Yes. - Yes.\Kneel.\Why would you plead for that mortal?\I think that the accident wasn't severe enough to sentence that mortal to death. response:	Since she won't be sentenced to death
context: This isn't the right place for her.\You can still keep her alive if you send her away soon.\Step out now.\- Yes. - Yes.\Kneel.\Why would you plead for that mortal?\I think that the accident wasn't severe enough to sentence that mortal to death.\Since she won't be sentenced to death response:	I'd rather that she not be punished if she's just going to suffer a bit.
context: You can still keep her alive if you send her away soon.\Step out now.\- Yes. - Yes.\Kneel.\Why would you plead for that mortal?\I think that the accident wasn't severe enough to sentence that mortal to death.\Since she won't be sentenced to death\I'd rather that she not be punished if she's just going to suffer a bit. response:	Su Jin.
context: Step out now.\- Yes. - Yes.\Kneel.\Why would you plead for that mortal?\I think that the accident wasn't severe enough to sentence that mortal to death.\Since she won't be sentenced to death\I'd rather that she not be punished if she's just going to suffer a bit.\Su Jin. response:	Don't try to show off and act smart in my presence.
context: - Yes. - Yes.\Kneel.\Why would you plead for that mortal?\I think that the accident wasn't severe enough to sentence that mortal to death.\Since she won't be sentenced to death\I'd rather that she not be punished if she's just going to suffer a bit.\Su Jin.\Don't try to show off and act smart in my presence. response:	I wouldn't dare show off in the Heavenly Lord's presence.
context: Kneel.\Why would you plead for that mortal?\I think that the accident wasn't severe enough to sentence that mortal to death.\Since she won't be sentenced to death\I'd rather that she not be punished if she's just going to suffer a bit.\Su Jin.\Don't try to show off and act smart in my presence.\I wouldn't dare show off in the Heavenly Lord's presence. response:	I'm also worried that that woman will be a hindrance to the Crown Prince.
context: Why would you plead for that mortal?\I think that the accident wasn't severe enough to sentence that mortal to death.\Since she won't be sentenced to death\I'd rather that she not be punished if she's just going to suffer a bit.\Su Jin.\Don't try to show off and act smart in my presence.\I wouldn't dare show off in the Heavenly Lord's presence.\I'm also worried that that woman will be a hindrance to the Crown Prince. response:	Therefore, I'm willing to assist the Heavenly Lord
context: I think that the accident wasn't severe enough to sentence that mortal to death.\Since she won't be sentenced to death\I'd rather that she not be punished if she's just going to suffer a bit.\Su Jin.\Don't try to show off and act smart in my presence.\I wouldn't dare show off in the Heavenly Lord's presence.\I'm also worried that that woman will be a hindrance to the Crown Prince.\Therefore, I'm willing to assist the Heavenly Lord response:	in getting rid of Su Su.
context: Since she won't be sentenced to death\I'd rather that she not be punished if she's just going to suffer a bit.\Su Jin.\Don't try to show off and act smart in my presence.\I wouldn't dare show off in the Heavenly Lord's presence.\I'm also worried that that woman will be a hindrance to the Crown Prince.\Therefore, I'm willing to assist the Heavenly Lord\in getting rid of Su Su. response:	Su Jin.
context: I'd rather that she not be punished if she's just going to suffer a bit.\Su Jin.\Don't try to show off and act smart in my presence.\I wouldn't dare show off in the Heavenly Lord's presence.\I'm also worried that that woman will be a hindrance to the Crown Prince.\Therefore, I'm willing to assist the Heavenly Lord\in getting rid of Su Su.\Su Jin. response:	When you shared my concern and asked to become my concubine
context: Su Jin.\Don't try to show off and act smart in my presence.\I wouldn't dare show off in the Heavenly Lord's presence.\I'm also worried that that woman will be a hindrance to the Crown Prince.\Therefore, I'm willing to assist the Heavenly Lord\in getting rid of Su Su.\Su Jin.\When you shared my concern and asked to become my concubine response:	you won people over for me and I agreed to grant you a wish.
context: Don't try to show off and act smart in my presence.\I wouldn't dare show off in the Heavenly Lord's presence.\I'm also worried that that woman will be a hindrance to the Crown Prince.\Therefore, I'm willing to assist the Heavenly Lord\in getting rid of Su Su.\Su Jin.\When you shared my concern and asked to become my concubine\you won people over for me and I agreed to grant you a wish. response:	Now, you're going to assist me in getting rid of that woman.
context: I wouldn't dare show off in the Heavenly Lord's presence.\I'm also worried that that woman will be a hindrance to the Crown Prince.\Therefore, I'm willing to assist the Heavenly Lord\in getting rid of Su Su.\Su Jin.\When you shared my concern and asked to become my concubine\you won people over for me and I agreed to grant you a wish.\Now, you're going to assist me in getting rid of that woman. response:	What wish is it that you seek this time?
context: I'm also worried that that woman will be a hindrance to the Crown Prince.\Therefore, I'm willing to assist the Heavenly Lord\in getting rid of Su Su.\Su Jin.\When you shared my concern and asked to become my concubine\you won people over for me and I agreed to grant you a wish.\Now, you're going to assist me in getting rid of that woman.\What wish is it that you seek this time? response:	It's the same wish.
context: Therefore, I'm willing to assist the Heavenly Lord\in getting rid of Su Su.\Su Jin.\When you shared my concern and asked to become my concubine\you won people over for me and I agreed to grant you a wish.\Now, you're going to assist me in getting rid of that woman.\What wish is it that you seek this time?\It's the same wish. response:	The same wish?
context: in getting rid of Su Su.\Su Jin.\When you shared my concern and asked to become my concubine\you won people over for me and I agreed to grant you a wish.\Now, you're going to assist me in getting rid of that woman.\What wish is it that you seek this time?\It's the same wish.\The same wish? response:	Tell me what it is that you're so persistent about.
context: Su Jin.\When you shared my concern and asked to become my concubine\you won people over for me and I agreed to grant you a wish.\Now, you're going to assist me in getting rid of that woman.\What wish is it that you seek this time?\It's the same wish.\The same wish?\Tell me what it is that you're so persistent about. response:	There's only one wish that I seek.
context: When you shared my concern and asked to become my concubine\you won people over for me and I agreed to grant you a wish.\Now, you're going to assist me in getting rid of that woman.\What wish is it that you seek this time?\It's the same wish.\The same wish?\Tell me what it is that you're so persistent about.\There's only one wish that I seek. response:	If I can have that mortal killed
context: you won people over for me and I agreed to grant you a wish.\Now, you're going to assist me in getting rid of that woman.\What wish is it that you seek this time?\It's the same wish.\The same wish?\Tell me what it is that you're so persistent about.\There's only one wish that I seek.\If I can have that mortal killed response:	the Heavenly Lord has to make me a side consort of the Crown Prince.
context: Now, you're going to assist me in getting rid of that woman.\What wish is it that you seek this time?\It's the same wish.\The same wish?\Tell me what it is that you're so persistent about.\There's only one wish that I seek.\If I can have that mortal killed\the Heavenly Lord has to make me a side consort of the Crown Prince. response:	You wish to be married into Xiwu Palace?
context: What wish is it that you seek this time?\It's the same wish.\The same wish?\Tell me what it is that you're so persistent about.\There's only one wish that I seek.\If I can have that mortal killed\the Heavenly Lord has to make me a side consort of the Crown Prince.\You wish to be married into Xiwu Palace? response:	This is the only wish I have ever had in my life.
context: It's the same wish.\The same wish?\Tell me what it is that you're so persistent about.\There's only one wish that I seek.\If I can have that mortal killed\the Heavenly Lord has to make me a side consort of the Crown Prince.\You wish to be married into Xiwu Palace?\This is the only wish I have ever had in my life. response:	Tell me.
context: The same wish?\Tell me what it is that you're so persistent about.\There's only one wish that I seek.\If I can have that mortal killed\the Heavenly Lord has to make me a side consort of the Crown Prince.\You wish to be married into Xiwu Palace?\This is the only wish I have ever had in my life.\Tell me. response:	Did you ask to be my concubine so as to pave the way for this?
context: Tell me what it is that you're so persistent about.\There's only one wish that I seek.\If I can have that mortal killed\the Heavenly Lord has to make me a side consort of the Crown Prince.\You wish to be married into Xiwu Palace?\This is the only wish I have ever had in my life.\Tell me.\Did you ask to be my concubine so as to pave the way for this? response:	Exactly.
context: There's only one wish that I seek.\If I can have that mortal killed\the Heavenly Lord has to make me a side consort of the Crown Prince.\You wish to be married into Xiwu Palace?\This is the only wish I have ever had in my life.\Tell me.\Did you ask to be my concubine so as to pave the way for this?\Exactly. response:	Very good.
context: If I can have that mortal killed\the Heavenly Lord has to make me a side consort of the Crown Prince.\You wish to be married into Xiwu Palace?\This is the only wish I have ever had in my life.\Tell me.\Did you ask to be my concubine so as to pave the way for this?\Exactly.\Very good. response:	You're the type of person who should be by Ye Hua's side.
context: the Heavenly Lord has to make me a side consort of the Crown Prince.\You wish to be married into Xiwu Palace?\This is the only wish I have ever had in my life.\Tell me.\Did you ask to be my concubine so as to pave the way for this?\Exactly.\Very good.\You're the type of person who should be by Ye Hua's side. response:	You know what it is you want.
context: You wish to be married into Xiwu Palace?\This is the only wish I have ever had in my life.\Tell me.\Did you ask to be my concubine so as to pave the way for this?\Exactly.\Very good.\You're the type of person who should be by Ye Hua's side.\You know what it is you want. response:	You also know what to do to get what you want.
context: This is the only wish I have ever had in my life.\Tell me.\Did you ask to be my concubine so as to pave the way for this?\Exactly.\Very good.\You're the type of person who should be by Ye Hua's side.\You know what it is you want.\You also know what to do to get what you want. response:	Fine.
context: Tell me.\Did you ask to be my concubine so as to pave the way for this?\Exactly.\Very good.\You're the type of person who should be by Ye Hua's side.\You know what it is you want.\You also know what to do to get what you want.\Fine. response:	I will agree to it.
context: Did you ask to be my concubine so as to pave the way for this?\Exactly.\Very good.\You're the type of person who should be by Ye Hua's side.\You know what it is you want.\You also know what to do to get what you want.\Fine.\I will agree to it. response:	It doesn't matter if I bestow a few of my concubines to my grandson.
context: Exactly.\Very good.\You're the type of person who should be by Ye Hua's side.\You know what it is you want.\You also know what to do to get what you want.\Fine.\I will agree to it.\It doesn't matter if I bestow a few of my concubines to my grandson. response:	Besides, I've never lain with you.
context: Very good.\You're the type of person who should be by Ye Hua's side.\You know what it is you want.\You also know what to do to get what you want.\Fine.\I will agree to it.\It doesn't matter if I bestow a few of my concubines to my grandson.\Besides, I've never lain with you. response:	Why would I keep you with me to waste your youth away?
context: You're the type of person who should be by Ye Hua's side.\You know what it is you want.\You also know what to do to get what you want.\Fine.\I will agree to it.\It doesn't matter if I bestow a few of my concubines to my grandson.\Besides, I've never lain with you.\Why would I keep you with me to waste your youth away? response:	Heavenly Lord, you agreed?
context: You know what it is you want.\You also know what to do to get what you want.\Fine.\I will agree to it.\It doesn't matter if I bestow a few of my concubines to my grandson.\Besides, I've never lain with you.\Why would I keep you with me to waste your youth away?\Heavenly Lord, you agreed? response:	Exactly.
context: You also know what to do to get what you want.\Fine.\I will agree to it.\It doesn't matter if I bestow a few of my concubines to my grandson.\Besides, I've never lain with you.\Why would I keep you with me to waste your youth away?\Heavenly Lord, you agreed?\Exactly. response:	I agreed to your request.
context: Fine.\I will agree to it.\It doesn't matter if I bestow a few of my concubines to my grandson.\Besides, I've never lain with you.\Why would I keep you with me to waste your youth away?\Heavenly Lord, you agreed?\Exactly.\I agreed to your request. response:	Thank you, Heavenly Lord!
context: I will agree to it.\It doesn't matter if I bestow a few of my concubines to my grandson.\Besides, I've never lain with you.\Why would I keep you with me to waste your youth away?\Heavenly Lord, you agreed?\Exactly.\I agreed to your request.\Thank you, Heavenly Lord! response:	However...
context: It doesn't matter if I bestow a few of my concubines to my grandson.\Besides, I've never lain with you.\Why would I keep you with me to waste your youth away?\Heavenly Lord, you agreed?\Exactly.\I agreed to your request.\Thank you, Heavenly Lord!\However... response:	Bear in mind...
context: Besides, I've never lain with you.\Why would I keep you with me to waste your youth away?\Heavenly Lord, you agreed?\Exactly.\I agreed to your request.\Thank you, Heavenly Lord!\However...\Bear in mind... response:	Don't forget what you promised me.
context: Why would I keep you with me to waste your youth away?\Heavenly Lord, you agreed?\Exactly.\I agreed to your request.\Thank you, Heavenly Lord!\However...\Bear in mind...\Don't forget what you promised me. response:	Rest assured, Heavenly Lord.
context: Heavenly Lord, you agreed?\Exactly.\I agreed to your request.\Thank you, Heavenly Lord!\However...\Bear in mind...\Don't forget what you promised me.\Rest assured, Heavenly Lord. response:	I'll come up with a plan.
context: Exactly.\I agreed to your request.\Thank you, Heavenly Lord!\However...\Bear in mind...\Don't forget what you promised me.\Rest assured, Heavenly Lord.\I'll come up with a plan. response:	Even the Crown Prince won't be able to save her.
context: I agreed to your request.\Thank you, Heavenly Lord!\However...\Bear in mind...\Don't forget what you promised me.\Rest assured, Heavenly Lord.\I'll come up with a plan.\Even the Crown Prince won't be able to save her. response:	Could that beast have mistaken Miss Su Su for A-Yin as well?
context: Thank you, Heavenly Lord!\However...\Bear in mind...\Don't forget what you promised me.\Rest assured, Heavenly Lord.\I'll come up with a plan.\Even the Crown Prince won't be able to save her.\Could that beast have mistaken Miss Su Su for A-Yin as well? response:	My Lord.
context: However...\Bear in mind...\Don't forget what you promised me.\Rest assured, Heavenly Lord.\I'll come up with a plan.\Even the Crown Prince won't be able to save her.\Could that beast have mistaken Miss Su Su for A-Yin as well?\My Lord. response:	Lady Su Su has been saved by the Lord of Numinous Treasures.
context: Bear in mind...\Don't forget what you promised me.\Rest assured, Heavenly Lord.\I'll come up with a plan.\Even the Crown Prince won't be able to save her.\Could that beast have mistaken Miss Su Su for A-Yin as well?\My Lord.\Lady Su Su has been saved by the Lord of Numinous Treasures. response:	She was escorted back to Xiwu Palace and grounded in the Hall of Beautiful Youth.
context: Don't forget what you promised me.\Rest assured, Heavenly Lord.\I'll come up with a plan.\Even the Crown Prince won't be able to save her.\Could that beast have mistaken Miss Su Su for A-Yin as well?\My Lord.\Lady Su Su has been saved by the Lord of Numinous Treasures.\She was escorted back to Xiwu Palace and grounded in the Hall of Beautiful Youth. response:	Grounded?
context: Rest assured, Heavenly Lord.\I'll come up with a plan.\Even the Crown Prince won't be able to save her.\Could that beast have mistaken Miss Su Su for A-Yin as well?\My Lord.\Lady Su Su has been saved by the Lord of Numinous Treasures.\She was escorted back to Xiwu Palace and grounded in the Hall of Beautiful Youth.\Grounded? response:	Someone in the Celestial Palace is certainly out to take her life.
context: I'll come up with a plan.\Even the Crown Prince won't be able to save her.\Could that beast have mistaken Miss Su Su for A-Yin as well?\My Lord.\Lady Su Su has been saved by the Lord of Numinous Treasures.\She was escorted back to Xiwu Palace and grounded in the Hall of Beautiful Youth.\Grounded?\Someone in the Celestial Palace is certainly out to take her life. response:	A mortal can't be safe in the Nine Heavens.
context: Even the Crown Prince won't be able to save her.\Could that beast have mistaken Miss Su Su for A-Yin as well?\My Lord.\Lady Su Su has been saved by the Lord of Numinous Treasures.\She was escorted back to Xiwu Palace and grounded in the Hall of Beautiful Youth.\Grounded?\Someone in the Celestial Palace is certainly out to take her life.\A mortal can't be safe in the Nine Heavens. response:	You worry too much, My Lord.
context: Could that beast have mistaken Miss Su Su for A-Yin as well?\My Lord.\Lady Su Su has been saved by the Lord of Numinous Treasures.\She was escorted back to Xiwu Palace and grounded in the Hall of Beautiful Youth.\Grounded?\Someone in the Celestial Palace is certainly out to take her life.\A mortal can't be safe in the Nine Heavens.\You worry too much, My Lord. response:	She is already carrying the Crown Prince's child.
context: My Lord.\Lady Su Su has been saved by the Lord of Numinous Treasures.\She was escorted back to Xiwu Palace and grounded in the Hall of Beautiful Youth.\Grounded?\Someone in the Celestial Palace is certainly out to take her life.\A mortal can't be safe in the Nine Heavens.\You worry too much, My Lord.\She is already carrying the Crown Prince's child. response:	She won't be in any danger here in the Celestial Palace.
context: Lady Su Su has been saved by the Lord of Numinous Treasures.\She was escorted back to Xiwu Palace and grounded in the Hall of Beautiful Youth.\Grounded?\Someone in the Celestial Palace is certainly out to take her life.\A mortal can't be safe in the Nine Heavens.\You worry too much, My Lord.\She is already carrying the Crown Prince's child.\She won't be in any danger here in the Celestial Palace. response:	That's hard to say.
context: She was escorted back to Xiwu Palace and grounded in the Hall of Beautiful Youth.\Grounded?\Someone in the Celestial Palace is certainly out to take her life.\A mortal can't be safe in the Nine Heavens.\You worry too much, My Lord.\She is already carrying the Crown Prince's child.\She won't be in any danger here in the Celestial Palace.\That's hard to say. response:	Isn't Your Highness overly concerned about that mortal?
context: Grounded?\Someone in the Celestial Palace is certainly out to take her life.\A mortal can't be safe in the Nine Heavens.\You worry too much, My Lord.\She is already carrying the Crown Prince's child.\She won't be in any danger here in the Celestial Palace.\That's hard to say.\Isn't Your Highness overly concerned about that mortal? response:	Ever since you got pregnant I've been very tolerant of you.
context: Someone in the Celestial Palace is certainly out to take her life.\A mortal can't be safe in the Nine Heavens.\You worry too much, My Lord.\She is already carrying the Crown Prince's child.\She won't be in any danger here in the Celestial Palace.\That's hard to say.\Isn't Your Highness overly concerned about that mortal?\Ever since you got pregnant I've been very tolerant of you. response:	Why have you become even more unreasonable?
context: A mortal can't be safe in the Nine Heavens.\You worry too much, My Lord.\She is already carrying the Crown Prince's child.\She won't be in any danger here in the Celestial Palace.\That's hard to say.\Isn't Your Highness overly concerned about that mortal?\Ever since you got pregnant I've been very tolerant of you.\Why have you become even more unreasonable? response:	My Lord...
context: You worry too much, My Lord.\She is already carrying the Crown Prince's child.\She won't be in any danger here in the Celestial Palace.\That's hard to say.\Isn't Your Highness overly concerned about that mortal?\Ever since you got pregnant I've been very tolerant of you.\Why have you become even more unreasonable?\My Lord... response:	This is all because of you.
context: She is already carrying the Crown Prince's child.\She won't be in any danger here in the Celestial Palace.\That's hard to say.\Isn't Your Highness overly concerned about that mortal?\Ever since you got pregnant I've been very tolerant of you.\Why have you become even more unreasonable?\My Lord...\This is all because of you. response:	Because of me?
context: She won't be in any danger here in the Celestial Palace.\That's hard to say.\Isn't Your Highness overly concerned about that mortal?\Ever since you got pregnant I've been very tolerant of you.\Why have you become even more unreasonable?\My Lord...\This is all because of you.\Because of me? response:	Do you think that my feelings for you aren't real?
context: That's hard to say.\Isn't Your Highness overly concerned about that mortal?\Ever since you got pregnant I've been very tolerant of you.\Why have you become even more unreasonable?\My Lord...\This is all because of you.\Because of me?\Do you think that my feelings for you aren't real? response:	I don't wish to discuss that with you.
context: Isn't Your Highness overly concerned about that mortal?\Ever since you got pregnant I've been very tolerant of you.\Why have you become even more unreasonable?\My Lord...\This is all because of you.\Because of me?\Do you think that my feelings for you aren't real?\I don't wish to discuss that with you. response:	My Lord!
context: Ever since you got pregnant I've been very tolerant of you.\Why have you become even more unreasonable?\My Lord...\This is all because of you.\Because of me?\Do you think that my feelings for you aren't real?\I don't wish to discuss that with you.\My Lord! response:	Don't worry.
context: Why have you become even more unreasonable?\My Lord...\This is all because of you.\Because of me?\Do you think that my feelings for you aren't real?\I don't wish to discuss that with you.\My Lord!\Don't worry. response:	I won't go looking for that lady in Xiwu Palace.
context: My Lord...\This is all because of you.\Because of me?\Do you think that my feelings for you aren't real?\I don't wish to discuss that with you.\My Lord!\Don't worry.\I won't go looking for that lady in Xiwu Palace. response:	Your Lordship...
context: This is all because of you.\Because of me?\Do you think that my feelings for you aren't real?\I don't wish to discuss that with you.\My Lord!\Don't worry.\I won't go looking for that lady in Xiwu Palace.\Your Lordship... response:	Don't say a word.
context: Because of me?\Do you think that my feelings for you aren't real?\I don't wish to discuss that with you.\My Lord!\Don't worry.\I won't go looking for that lady in Xiwu Palace.\Your Lordship...\Don't say a word. response:	Your Lordship, are you going to save me?
context: Do you think that my feelings for you aren't real?\I don't wish to discuss that with you.\My Lord!\Don't worry.\I won't go looking for that lady in Xiwu Palace.\Your Lordship...\Don't say a word.\Your Lordship, are you going to save me? response:	If you save me again
context: I don't wish to discuss that with you.\My Lord!\Don't worry.\I won't go looking for that lady in Xiwu Palace.\Your Lordship...\Don't say a word.\Your Lordship, are you going to save me?\If you save me again response:	how is my debt... ever going to be paid?
context: My Lord!\Don't worry.\I won't go looking for that lady in Xiwu Palace.\Your Lordship...\Don't say a word.\Your Lordship, are you going to save me?\If you save me again\how is my debt... ever going to be paid? response:	Stop talking.
context: Don't worry.\I won't go looking for that lady in Xiwu Palace.\Your Lordship...\Don't say a word.\Your Lordship, are you going to save me?\If you save me again\how is my debt... ever going to be paid?\Stop talking. response:	My Lord...
context: I won't go looking for that lady in Xiwu Palace.\Your Lordship...\Don't say a word.\Your Lordship, are you going to save me?\If you save me again\how is my debt... ever going to be paid?\Stop talking.\My Lord... response:	Lady Su Su...
context: Your Lordship...\Don't say a word.\Your Lordship, are you going to save me?\If you save me again\how is my debt... ever going to be paid?\Stop talking.\My Lord...\Lady Su Su... response:	I shouldn't have trusted anyone so easily.
context: Don't say a word.\Your Lordship, are you going to save me?\If you save me again\how is my debt... ever going to be paid?\Stop talking.\My Lord...\Lady Su Su...\I shouldn't have trusted anyone so easily. response:	I've implicated you.
context: Your Lordship, are you going to save me?\If you save me again\how is my debt... ever going to be paid?\Stop talking.\My Lord...\Lady Su Su...\I shouldn't have trusted anyone so easily.\I've implicated you. response:	Please punish me!
context: If you save me again\how is my debt... ever going to be paid?\Stop talking.\My Lord...\Lady Su Su...\I shouldn't have trusted anyone so easily.\I've implicated you.\Please punish me! response:	I'm totally helpless in here.
context: how is my debt... ever going to be paid?\Stop talking.\My Lord...\Lady Su Su...\I shouldn't have trusted anyone so easily.\I've implicated you.\Please punish me!\I'm totally helpless in here. response:	I don't even have the right to speak.
context: Stop talking.\My Lord...\Lady Su Su...\I shouldn't have trusted anyone so easily.\I've implicated you.\Please punish me!\I'm totally helpless in here.\I don't even have the right to speak. response:	As a matter of fact, I'm the one who had you implicated.
context: My Lord...\Lady Su Su...\I shouldn't have trusted anyone so easily.\I've implicated you.\Please punish me!\I'm totally helpless in here.\I don't even have the right to speak.\As a matter of fact, I'm the one who had you implicated. response:	I was too foolish!
context: Lady Su Su...\I shouldn't have trusted anyone so easily.\I've implicated you.\Please punish me!\I'm totally helpless in here.\I don't even have the right to speak.\As a matter of fact, I'm the one who had you implicated.\I was too foolish! response:	Nai Nai...
context: I shouldn't have trusted anyone so easily.\I've implicated you.\Please punish me!\I'm totally helpless in here.\I don't even have the right to speak.\As a matter of fact, I'm the one who had you implicated.\I was too foolish!\Nai Nai... response:	You...
context: I've implicated you.\Please punish me!\I'm totally helpless in here.\I don't even have the right to speak.\As a matter of fact, I'm the one who had you implicated.\I was too foolish!\Nai Nai...\You... response:	Do you know how Ye Hua is related to Consort Su Jin?
context: Please punish me!\I'm totally helpless in here.\I don't even have the right to speak.\As a matter of fact, I'm the one who had you implicated.\I was too foolish!\Nai Nai...\You...\Do you know how Ye Hua is related to Consort Su Jin? response:	I've only heard that she was brought up by the Crown Prince's mother.
context: I'm totally helpless in here.\I don't even have the right to speak.\As a matter of fact, I'm the one who had you implicated.\I was too foolish!\Nai Nai...\You...\Do you know how Ye Hua is related to Consort Su Jin?\I've only heard that she was brought up by the Crown Prince's mother. response:	She was raised alongside the Crown Prince.
context: I don't even have the right to speak.\As a matter of fact, I'm the one who had you implicated.\I was too foolish!\Nai Nai...\You...\Do you know how Ye Hua is related to Consort Su Jin?\I've only heard that she was brought up by the Crown Prince's mother.\She was raised alongside the Crown Prince. response:	Su Su.
context: As a matter of fact, I'm the one who had you implicated.\I was too foolish!\Nai Nai...\You...\Do you know how Ye Hua is related to Consort Su Jin?\I've only heard that she was brought up by the Crown Prince's mother.\She was raised alongside the Crown Prince.\Su Su. response:	I came here to repay his kindness and yet I ended up implicating him.
context: I was too foolish!\Nai Nai...\You...\Do you know how Ye Hua is related to Consort Su Jin?\I've only heard that she was brought up by the Crown Prince's mother.\She was raised alongside the Crown Prince.\Su Su.\I came here to repay his kindness and yet I ended up implicating him. response:	He used his magical powers to heal me.
context: Nai Nai...\You...\Do you know how Ye Hua is related to Consort Su Jin?\I've only heard that she was brought up by the Crown Prince's mother.\She was raised alongside the Crown Prince.\Su Su.\I came here to repay his kindness and yet I ended up implicating him.\He used his magical powers to heal me. response:	If I stay here I might embarrass Qing Qiu.
context: You...\Do you know how Ye Hua is related to Consort Su Jin?\I've only heard that she was brought up by the Crown Prince's mother.\She was raised alongside the Crown Prince.\Su Su.\I came here to repay his kindness and yet I ended up implicating him.\He used his magical powers to heal me.\If I stay here I might embarrass Qing Qiu. response:	This is really bad...
context: Do you know how Ye Hua is related to Consort Su Jin?\I've only heard that she was brought up by the Crown Prince's mother.\She was raised alongside the Crown Prince.\Su Su.\I came here to repay his kindness and yet I ended up implicating him.\He used his magical powers to heal me.\If I stay here I might embarrass Qing Qiu.\This is really bad... response:	I can't walk any further...
context: I've only heard that she was brought up by the Crown Prince's mother.\She was raised alongside the Crown Prince.\Su Su.\I came here to repay his kindness and yet I ended up implicating him.\He used his magical powers to heal me.\If I stay here I might embarrass Qing Qiu.\This is really bad...\I can't walk any further... response:	Feng Jiu, don't pass out.
context: She was raised alongside the Crown Prince.\Su Su.\I came here to repay his kindness and yet I ended up implicating him.\He used his magical powers to heal me.\If I stay here I might embarrass Qing Qiu.\This is really bad...\I can't walk any further...\Feng Jiu, don't pass out. response:	Don't pass out.
context: Su Su.\I came here to repay his kindness and yet I ended up implicating him.\He used his magical powers to heal me.\If I stay here I might embarrass Qing Qiu.\This is really bad...\I can't walk any further...\Feng Jiu, don't pass out.\Don't pass out. response:	Su Su.
context: I came here to repay his kindness and yet I ended up implicating him.\He used his magical powers to heal me.\If I stay here I might embarrass Qing Qiu.\This is really bad...\I can't walk any further...\Feng Jiu, don't pass out.\Don't pass out.\Su Su. response:	Ye Hua...
context: He used his magical powers to heal me.\If I stay here I might embarrass Qing Qiu.\This is really bad...\I can't walk any further...\Feng Jiu, don't pass out.\Don't pass out.\Su Su.\Ye Hua... response:	I'm sorry.
context: If I stay here I might embarrass Qing Qiu.\This is really bad...\I can't walk any further...\Feng Jiu, don't pass out.\Don't pass out.\Su Su.\Ye Hua...\I'm sorry. response:	Ever since I got pregnant I've had mood swings.
context: This is really bad...\I can't walk any further...\Feng Jiu, don't pass out.\Don't pass out.\Su Su.\Ye Hua...\I'm sorry.\Ever since I got pregnant I've had mood swings. response:	This isn't your fault.
context: I can't walk any further...\Feng Jiu, don't pass out.\Don't pass out.\Su Su.\Ye Hua...\I'm sorry.\Ever since I got pregnant I've had mood swings.\This isn't your fault. response:	There are just too many regulations in the Celestial Palace.
context: Feng Jiu, don't pass out.\Don't pass out.\Su Su.\Ye Hua...\I'm sorry.\Ever since I got pregnant I've had mood swings.\This isn't your fault.\There are just too many regulations in the Celestial Palace. response:	We can't be as carefree as we were in Mount Junji.
context: Don't pass out.\Su Su.\Ye Hua...\I'm sorry.\Ever since I got pregnant I've had mood swings.\This isn't your fault.\There are just too many regulations in the Celestial Palace.\We can't be as carefree as we were in Mount Junji. response:	Yesterday...
context: Su Su.\Ye Hua...\I'm sorry.\Ever since I got pregnant I've had mood swings.\This isn't your fault.\There are just too many regulations in the Celestial Palace.\We can't be as carefree as we were in Mount Junji.\Yesterday... response:	Yesterday! You're not to be blamed.
context: Ye Hua...\I'm sorry.\Ever since I got pregnant I've had mood swings.\This isn't your fault.\There are just too many regulations in the Celestial Palace.\We can't be as carefree as we were in Mount Junji.\Yesterday...\Yesterday! You're not to be blamed. response:	I've been thinking...
context: I'm sorry.\Ever since I got pregnant I've had mood swings.\This isn't your fault.\There are just too many regulations in the Celestial Palace.\We can't be as carefree as we were in Mount Junji.\Yesterday...\Yesterday! You're not to be blamed.\I've been thinking... response:	The Heavenly Lord is prejudiced against me
context: Ever since I got pregnant I've had mood swings.\This isn't your fault.\There are just too many regulations in the Celestial Palace.\We can't be as carefree as we were in Mount Junji.\Yesterday...\Yesterday! You're not to be blamed.\I've been thinking...\The Heavenly Lord is prejudiced against me response:	because you married me in the Mortal Realm without his permission.
context: This isn't your fault.\There are just too many regulations in the Celestial Palace.\We can't be as carefree as we were in Mount Junji.\Yesterday...\Yesterday! You're not to be blamed.\I've been thinking...\The Heavenly Lord is prejudiced against me\because you married me in the Mortal Realm without his permission. response:	Ye Hua...
context: There are just too many regulations in the Celestial Palace.\We can't be as carefree as we were in Mount Junji.\Yesterday...\Yesterday! You're not to be blamed.\I've been thinking...\The Heavenly Lord is prejudiced against me\because you married me in the Mortal Realm without his permission.\Ye Hua... response:	I want to spend my days here with you.
context: We can't be as carefree as we were in Mount Junji.\Yesterday...\Yesterday! You're not to be blamed.\I've been thinking...\The Heavenly Lord is prejudiced against me\because you married me in the Mortal Realm without his permission.\Ye Hua...\I want to spend my days here with you. response:	Just like we did in Mount Junji.
