context: Matsuoka Rin response:	Hello, everyone.
context: Mackerel?\I didn't give him anything.\Anyway, there isn't much time left before regionals!\You need to practice hard!\Rei-chan couldn't have...\Matsuoka...\Someone named Ryugazaki is here.\Rin-chan-san, yes? response:	It's you.
context: I didn't give him anything.\Anyway, there isn't much time left before regionals!\You need to practice hard!\Rei-chan couldn't have...\Matsuoka...\Someone named Ryugazaki is here.\Rin-chan-san, yes?\It's you. response:	I need to talk to you.
context: Anyway, there isn't much time left before regionals!\You need to practice hard!\Rei-chan couldn't have...\Matsuoka...\Someone named Ryugazaki is here.\Rin-chan-san, yes?\It's you.\I need to talk to you. response:	What do you want, Speedo Glasses?
context: You need to practice hard!\Rei-chan couldn't have...\Matsuoka...\Someone named Ryugazaki is here.\Rin-chan-san, yes?\It's you.\I need to talk to you.\What do you want, Speedo Glasses? response:	Speedo Glasses?!
context: Rei-chan couldn't have...\Matsuoka...\Someone named Ryugazaki is here.\Rin-chan-san, yes?\It's you.\I need to talk to you.\What do you want, Speedo Glasses?\Speedo Glasses?! response:	The first time I saw you was during our joint training.
context: Matsuoka...\Someone named Ryugazaki is here.\Rin-chan-san, yes?\It's you.\I need to talk to you.\What do you want, Speedo Glasses?\Speedo Glasses?!\The first time I saw you was during our joint training. response:	You were wearing a speedo.
context: Someone named Ryugazaki is here.\Rin-chan-san, yes?\It's you.\I need to talk to you.\What do you want, Speedo Glasses?\Speedo Glasses?!\The first time I saw you was during our joint training.\You were wearing a speedo. response:	So in my mind, you're Speedo Glasses!
context: Rin-chan-san, yes?\It's you.\I need to talk to you.\What do you want, Speedo Glasses?\Speedo Glasses?!\The first time I saw you was during our joint training.\You were wearing a speedo.\So in my mind, you're Speedo Glasses! response:	Very well.
context: It's you.\I need to talk to you.\What do you want, Speedo Glasses?\Speedo Glasses?!\The first time I saw you was during our joint training.\You were wearing a speedo.\So in my mind, you're Speedo Glasses!\Very well. response:	I'll show you that I'm not your typical Speedo Glasses.
context: I need to talk to you.\What do you want, Speedo Glasses?\Speedo Glasses?!\The first time I saw you was during our joint training.\You were wearing a speedo.\So in my mind, you're Speedo Glasses!\Very well.\I'll show you that I'm not your typical Speedo Glasses. response:	Next time: Furious All-out!
context: What do you want, Speedo Glasses?\Speedo Glasses?!\The first time I saw you was during our joint training.\You were wearing a speedo.\So in my mind, you're Speedo Glasses!\Very well.\I'll show you that I'm not your typical Speedo Glasses.\Next time: Furious All-out! response:	Furious All-out!
context: Speedo Glasses?!\The first time I saw you was during our joint training.\You were wearing a speedo.\So in my mind, you're Speedo Glasses!\Very well.\I'll show you that I'm not your typical Speedo Glasses.\Next time: Furious All-out!\Furious All-out! response:	Your pronunciation is horrible.
context: The first time I saw you was during our joint training.\You were wearing a speedo.\So in my mind, you're Speedo Glasses!\Very well.\I'll show you that I'm not your typical Speedo Glasses.\Next time: Furious All-out!\Furious All-out!\Your pronunciation is horrible. response:	Furious All-out.
context: You were wearing a speedo.\So in my mind, you're Speedo Glasses!\Very well.\I'll show you that I'm not your typical Speedo Glasses.\Next time: Furious All-out!\Furious All-out!\Your pronunciation is horrible.\Furious All-out. response:	Furious All-out.
context: So in my mind, you're Speedo Glasses!\Very well.\I'll show you that I'm not your typical Speedo Glasses.\Next time: Furious All-out!\Furious All-out!\Your pronunciation is horrible.\Furious All-out.\Furious All-out. response:	All-out.
context: Very well.\I'll show you that I'm not your typical Speedo Glasses.\Next time: Furious All-out!\Furious All-out!\Your pronunciation is horrible.\Furious All-out.\Furious All-out.\All-out. response:	All-out.
context: I'll show you that I'm not your typical Speedo Glasses.\Next time: Furious All-out!\Furious All-out!\Your pronunciation is horrible.\Furious All-out.\Furious All-out.\All-out.\All-out. response:	All-out.
context: Next time: Furious All-out!\Furious All-out!\Your pronunciation is horrible.\Furious All-out.\Furious All-out.\All-out.\All-out.\All-out. response:	All-out.
context: Furious All-out!\Your pronunciation is horrible.\Furious All-out.\Furious All-out.\All-out.\All-out.\All-out.\All-out. response:	All-out.
context: Your pronunciation is horrible.\Furious All-out.\Furious All-out.\All-out.\All-out.\All-out.\All-out.\All-out. response:	All-out.
context: Furious All-out.\Furious All-out.\All-out.\All-out.\All-out.\All-out.\All-out.\All-out. response:	Perfect body.
context: Furious All-out.\All-out.\All-out.\All-out.\All-out.\All-out.\All-out.\Perfect body. response:	Perfect body.
