context: The first semester was about to end. response:	Finals and intramurals have ended.
context: Tsubasa's really gotten attached to Yukino, hasn't she?\She usually doesn't warm up to someone like that.\Well, she's having a pretty hard time these days.\I hope being friends with Yukino\helps her get over things...\I heard her father might get remarried?\Yeah. She has a father complex going,\so she doesn't know what to think. response:	Plus,
context: She usually doesn't warm up to someone like that.\Well, she's having a pretty hard time these days.\I hope being friends with Yukino\helps her get over things...\I heard her father might get remarried?\Yeah. She has a father complex going,\so she doesn't know what to think.\Plus, response:	she was hospitalized for most of the semester...
context: Well, she's having a pretty hard time these days.\I hope being friends with Yukino\helps her get over things...\I heard her father might get remarried?\Yeah. She has a father complex going,\so she doesn't know what to think.\Plus,\she was hospitalized for most of the semester... response:	Major bad luck!
context: I hope being friends with Yukino\helps her get over things...\I heard her father might get remarried?\Yeah. She has a father complex going,\so she doesn't know what to think.\Plus,\she was hospitalized for most of the semester...\Major bad luck! response:	She should be helped by one of those faith healers or something.
context: helps her get over things...\I heard her father might get remarried?\Yeah. She has a father complex going,\so she doesn't know what to think.\Plus,\she was hospitalized for most of the semester...\Major bad luck!\She should be helped by one of those faith healers or something. response:	Hey, I wonder why Tsubasa
context: I heard her father might get remarried?\Yeah. She has a father complex going,\so she doesn't know what to think.\Plus,\she was hospitalized for most of the semester...\Major bad luck!\She should be helped by one of those faith healers or something.\Hey, I wonder why Tsubasa response:	wanted to stay with Yukino so badly just now.
context: Yeah. She has a father complex going,\so she doesn't know what to think.\Plus,\she was hospitalized for most of the semester...\Major bad luck!\She should be helped by one of those faith healers or something.\Hey, I wonder why Tsubasa\wanted to stay with Yukino so badly just now. response:	Who knows? Probably because she doesn't want to be home much.
context: so she doesn't know what to think.\Plus,\she was hospitalized for most of the semester...\Major bad luck!\She should be helped by one of those faith healers or something.\Hey, I wonder why Tsubasa\wanted to stay with Yukino so badly just now.\Who knows? Probably because she doesn't want to be home much. response:	I bet it feels really awkward there.
context: Plus,\she was hospitalized for most of the semester...\Major bad luck!\She should be helped by one of those faith healers or something.\Hey, I wonder why Tsubasa\wanted to stay with Yukino so badly just now.\Who knows? Probably because she doesn't want to be home much.\I bet it feels really awkward there. response:	But she WILL go home later, won't she?
context: she was hospitalized for most of the semester...\Major bad luck!\She should be helped by one of those faith healers or something.\Hey, I wonder why Tsubasa\wanted to stay with Yukino so badly just now.\Who knows? Probably because she doesn't want to be home much.\I bet it feels really awkward there.\But she WILL go home later, won't she? response:	She wouldn't be thinking of anything weird, would she?
context: Major bad luck!\She should be helped by one of those faith healers or something.\Hey, I wonder why Tsubasa\wanted to stay with Yukino so badly just now.\Who knows? Probably because she doesn't want to be home much.\I bet it feels really awkward there.\But she WILL go home later, won't she?\She wouldn't be thinking of anything weird, would she? response:	Yukinon!
context: She should be helped by one of those faith healers or something.\Hey, I wonder why Tsubasa\wanted to stay with Yukino so badly just now.\Who knows? Probably because she doesn't want to be home much.\I bet it feels really awkward there.\But she WILL go home later, won't she?\She wouldn't be thinking of anything weird, would she?\Yukinon! response:	Grades aren't everything.
context: Hey, I wonder why Tsubasa\wanted to stay with Yukino so badly just now.\Who knows? Probably because she doesn't want to be home much.\I bet it feels really awkward there.\But she WILL go home later, won't she?\She wouldn't be thinking of anything weird, would she?\Yukinon!\Grades aren't everything. response:	They all have so much individuality.
context: wanted to stay with Yukino so badly just now.\Who knows? Probably because she doesn't want to be home much.\I bet it feels really awkward there.\But she WILL go home later, won't she?\She wouldn't be thinking of anything weird, would she?\Yukinon!\Grades aren't everything.\They all have so much individuality. response:	This is no good. I'm totally clueless.
context: Who knows? Probably because she doesn't want to be home much.\I bet it feels really awkward there.\But she WILL go home later, won't she?\She wouldn't be thinking of anything weird, would she?\Yukinon!\Grades aren't everything.\They all have so much individuality.\This is no good. I'm totally clueless. response:	While I was out being a nerd without any second thoughts...
context: I bet it feels really awkward there.\But she WILL go home later, won't she?\She wouldn't be thinking of anything weird, would she?\Yukinon!\Grades aren't everything.\They all have so much individuality.\This is no good. I'm totally clueless.\While I was out being a nerd without any second thoughts... response:	I never even noticed it until now.
context: But she WILL go home later, won't she?\She wouldn't be thinking of anything weird, would she?\Yukinon!\Grades aren't everything.\They all have so much individuality.\This is no good. I'm totally clueless.\While I was out being a nerd without any second thoughts...\I never even noticed it until now. response:	I feel like I got left behind.
context: She wouldn't be thinking of anything weird, would she?\Yukinon!\Grades aren't everything.\They all have so much individuality.\This is no good. I'm totally clueless.\While I was out being a nerd without any second thoughts...\I never even noticed it until now.\I feel like I got left behind. response:	Feeling insecure? That's not like you.
context: Yukinon!\Grades aren't everything.\They all have so much individuality.\This is no good. I'm totally clueless.\While I was out being a nerd without any second thoughts...\I never even noticed it until now.\I feel like I got left behind.\Feeling insecure? That's not like you. response:	But I just realized how inadequate I've been all this time.
context: Grades aren't everything.\They all have so much individuality.\This is no good. I'm totally clueless.\While I was out being a nerd without any second thoughts...\I never even noticed it until now.\I feel like I got left behind.\Feeling insecure? That's not like you.\But I just realized how inadequate I've been all this time. response:	So you'll be finding out starting now.
context: They all have so much individuality.\This is no good. I'm totally clueless.\While I was out being a nerd without any second thoughts...\I never even noticed it until now.\I feel like I got left behind.\Feeling insecure? That's not like you.\But I just realized how inadequate I've been all this time.\So you'll be finding out starting now. response:	You realized that grades aren't the only yardstick for people.
context: This is no good. I'm totally clueless.\While I was out being a nerd without any second thoughts...\I never even noticed it until now.\I feel like I got left behind.\Feeling insecure? That's not like you.\But I just realized how inadequate I've been all this time.\So you'll be finding out starting now.\You realized that grades aren't the only yardstick for people. response:	That's the most important thing.
context: While I was out being a nerd without any second thoughts...\I never even noticed it until now.\I feel like I got left behind.\Feeling insecure? That's not like you.\But I just realized how inadequate I've been all this time.\So you'll be finding out starting now.\You realized that grades aren't the only yardstick for people.\That's the most important thing. response:	It's never too late to start.
context: I never even noticed it until now.\I feel like I got left behind.\Feeling insecure? That's not like you.\But I just realized how inadequate I've been all this time.\So you'll be finding out starting now.\You realized that grades aren't the only yardstick for people.\That's the most important thing.\It's never too late to start. response:	Besides, you're not alone.
context: I feel like I got left behind.\Feeling insecure? That's not like you.\But I just realized how inadequate I've been all this time.\So you'll be finding out starting now.\You realized that grades aren't the only yardstick for people.\That's the most important thing.\It's never too late to start.\Besides, you're not alone. response:	I want to change, too.
context: Feeling insecure? That's not like you.\But I just realized how inadequate I've been all this time.\So you'll be finding out starting now.\You realized that grades aren't the only yardstick for people.\That's the most important thing.\It's never too late to start.\Besides, you're not alone.\I want to change, too. response:	If we're going to start from scratch,
context: But I just realized how inadequate I've been all this time.\So you'll be finding out starting now.\You realized that grades aren't the only yardstick for people.\That's the most important thing.\It's never too late to start.\Besides, you're not alone.\I want to change, too.\If we're going to start from scratch, response:	it's better if we do it together, right?
context: So you'll be finding out starting now.\You realized that grades aren't the only yardstick for people.\That's the most important thing.\It's never too late to start.\Besides, you're not alone.\I want to change, too.\If we're going to start from scratch,\it's better if we do it together, right? response:	Yeah, yeah, yeah! Friendship!
context: You realized that grades aren't the only yardstick for people.\That's the most important thing.\It's never too late to start.\Besides, you're not alone.\I want to change, too.\If we're going to start from scratch,\it's better if we do it together, right?\Yeah, yeah, yeah! Friendship! response:	I have friends. The loneliness fades away just because of that.
context: That's the most important thing.\It's never too late to start.\Besides, you're not alone.\I want to change, too.\If we're going to start from scratch,\it's better if we do it together, right?\Yeah, yeah, yeah! Friendship!\I have friends. The loneliness fades away just because of that. response:	I'm not alone anymore.
context: It's never too late to start.\Besides, you're not alone.\I want to change, too.\If we're going to start from scratch,\it's better if we do it together, right?\Yeah, yeah, yeah! Friendship!\I have friends. The loneliness fades away just because of that.\I'm not alone anymore. response:	I have friends.
context: Besides, you're not alone.\I want to change, too.\If we're going to start from scratch,\it's better if we do it together, right?\Yeah, yeah, yeah! Friendship!\I have friends. The loneliness fades away just because of that.\I'm not alone anymore.\I have friends. response:	Wow, what a huge bag.
context: I want to change, too.\If we're going to start from scratch,\it's better if we do it together, right?\Yeah, yeah, yeah! Friendship!\I have friends. The loneliness fades away just because of that.\I'm not alone anymore.\I have friends.\Wow, what a huge bag. response:	What are you going to do with that, Tsubasa?
context: If we're going to start from scratch,\it's better if we do it together, right?\Yeah, yeah, yeah! Friendship!\I have friends. The loneliness fades away just because of that.\I'm not alone anymore.\I have friends.\Wow, what a huge bag.\What are you going to do with that, Tsubasa? response:	I'm running away from home.
context: it's better if we do it together, right?\Yeah, yeah, yeah! Friendship!\I have friends. The loneliness fades away just because of that.\I'm not alone anymore.\I have friends.\Wow, what a huge bag.\What are you going to do with that, Tsubasa?\I'm running away from home. response:	What?
context: Yeah, yeah, yeah! Friendship!\I have friends. The loneliness fades away just because of that.\I'm not alone anymore.\I have friends.\Wow, what a huge bag.\What are you going to do with that, Tsubasa?\I'm running away from home.\What? response:	I live alone with Daddy.
context: I have friends. The loneliness fades away just because of that.\I'm not alone anymore.\I have friends.\Wow, what a huge bag.\What are you going to do with that, Tsubasa?\I'm running away from home.\What?\I live alone with Daddy. response:	This woman's been coming to our house lately.
context: I'm not alone anymore.\I have friends.\Wow, what a huge bag.\What are you going to do with that, Tsubasa?\I'm running away from home.\What?\I live alone with Daddy.\This woman's been coming to our house lately. response:	She's been playing mommy and trying to get me to like her.
context: I have friends.\Wow, what a huge bag.\What are you going to do with that, Tsubasa?\I'm running away from home.\What?\I live alone with Daddy.\This woman's been coming to our house lately.\She's been playing mommy and trying to get me to like her. response:	It pisses me off.
context: Wow, what a huge bag.\What are you going to do with that, Tsubasa?\I'm running away from home.\What?\I live alone with Daddy.\This woman's been coming to our house lately.\She's been playing mommy and trying to get me to like her.\It pisses me off. response:	Daddy says he wants to marry her.
context: What are you going to do with that, Tsubasa?\I'm running away from home.\What?\I live alone with Daddy.\This woman's been coming to our house lately.\She's been playing mommy and trying to get me to like her.\It pisses me off.\Daddy says he wants to marry her. response:	He never even said a word about getting remarried to me before.
context: I'm running away from home.\What?\I live alone with Daddy.\This woman's been coming to our house lately.\She's been playing mommy and trying to get me to like her.\It pisses me off.\Daddy says he wants to marry her.\He never even said a word about getting remarried to me before. response:	It looks like he's serious.
context: What?\I live alone with Daddy.\This woman's been coming to our house lately.\She's been playing mommy and trying to get me to like her.\It pisses me off.\Daddy says he wants to marry her.\He never even said a word about getting remarried to me before.\It looks like he's serious. response:	This got heavy all of a sudden.
context: I live alone with Daddy.\This woman's been coming to our house lately.\She's been playing mommy and trying to get me to like her.\It pisses me off.\Daddy says he wants to marry her.\He never even said a word about getting remarried to me before.\It looks like he's serious.\This got heavy all of a sudden. response:	I've never seen her talk this much before.
context: This woman's been coming to our house lately.\She's been playing mommy and trying to get me to like her.\It pisses me off.\Daddy says he wants to marry her.\He never even said a word about getting remarried to me before.\It looks like he's serious.\This got heavy all of a sudden.\I've never seen her talk this much before. response:	He was taken in by her because he's so absent minded and naive!
context: She's been playing mommy and trying to get me to like her.\It pisses me off.\Daddy says he wants to marry her.\He never even said a word about getting remarried to me before.\It looks like he's serious.\This got heavy all of a sudden.\I've never seen her talk this much before.\He was taken in by her because he's so absent minded and naive! response:	It's so disgusting!
context: It pisses me off.\Daddy says he wants to marry her.\He never even said a word about getting remarried to me before.\It looks like he's serious.\This got heavy all of a sudden.\I've never seen her talk this much before.\He was taken in by her because he's so absent minded and naive!\It's so disgusting! response:	I won't have it!
context: Daddy says he wants to marry her.\He never even said a word about getting remarried to me before.\It looks like he's serious.\This got heavy all of a sudden.\I've never seen her talk this much before.\He was taken in by her because he's so absent minded and naive!\It's so disgusting!\I won't have it! response:	To top it off, she has a son my age!
context: He never even said a word about getting remarried to me before.\It looks like he's serious.\This got heavy all of a sudden.\I've never seen her talk this much before.\He was taken in by her because he's so absent minded and naive!\It's so disgusting!\I won't have it!\To top it off, she has a son my age! response:	What an indelicate bitch!
context: It looks like he's serious.\This got heavy all of a sudden.\I've never seen her talk this much before.\He was taken in by her because he's so absent minded and naive!\It's so disgusting!\I won't have it!\To top it off, she has a son my age!\What an indelicate bitch! response:	Would someone normally do that kind of thing?!
context: This got heavy all of a sudden.\I've never seen her talk this much before.\He was taken in by her because he's so absent minded and naive!\It's so disgusting!\I won't have it!\To top it off, she has a son my age!\What an indelicate bitch!\Would someone normally do that kind of thing?! response:	That's why I'm running away.
context: I've never seen her talk this much before.\He was taken in by her because he's so absent minded and naive!\It's so disgusting!\I won't have it!\To top it off, she has a son my age!\What an indelicate bitch!\Would someone normally do that kind of thing?!\That's why I'm running away. response:	I'm sure Daddy will open his eyes when I'm gone.
context: He was taken in by her because he's so absent minded and naive!\It's so disgusting!\I won't have it!\To top it off, she has a son my age!\What an indelicate bitch!\Would someone normally do that kind of thing?!\That's why I'm running away.\I'm sure Daddy will open his eyes when I'm gone. response:	This is a battle to take Daddy back from that woman.
context: It's so disgusting!\I won't have it!\To top it off, she has a son my age!\What an indelicate bitch!\Would someone normally do that kind of thing?!\That's why I'm running away.\I'm sure Daddy will open his eyes when I'm gone.\This is a battle to take Daddy back from that woman. response:	But if you run away, where will you go?
context: I won't have it!\To top it off, she has a son my age!\What an indelicate bitch!\Would someone normally do that kind of thing?!\That's why I'm running away.\I'm sure Daddy will open his eyes when I'm gone.\This is a battle to take Daddy back from that woman.\But if you run away, where will you go? response:	With you.
context: To top it off, she has a son my age!\What an indelicate bitch!\Would someone normally do that kind of thing?!\That's why I'm running away.\I'm sure Daddy will open his eyes when I'm gone.\This is a battle to take Daddy back from that woman.\But if you run away, where will you go?\With you. response:	I can't go along with you that far! No, I'm going home!
context: What an indelicate bitch!\Would someone normally do that kind of thing?!\That's why I'm running away.\I'm sure Daddy will open his eyes when I'm gone.\This is a battle to take Daddy back from that woman.\But if you run away, where will you go?\With you.\I can't go along with you that far! No, I'm going home! response:	Friendship! Friendship!
context: Would someone normally do that kind of thing?!\That's why I'm running away.\I'm sure Daddy will open his eyes when I'm gone.\This is a battle to take Daddy back from that woman.\But if you run away, where will you go?\With you.\I can't go along with you that far! No, I'm going home!\Friendship! Friendship! response:	Arima, friendship is a wonderful thing.
context: That's why I'm running away.\I'm sure Daddy will open his eyes when I'm gone.\This is a battle to take Daddy back from that woman.\But if you run away, where will you go?\With you.\I can't go along with you that far! No, I'm going home!\Friendship! Friendship!\Arima, friendship is a wonderful thing. response:	But every so often, it's rough.
context: I'm sure Daddy will open his eyes when I'm gone.\This is a battle to take Daddy back from that woman.\But if you run away, where will you go?\With you.\I can't go along with you that far! No, I'm going home!\Friendship! Friendship!\Arima, friendship is a wonderful thing.\But every so often, it's rough. response:	What'll happen next!
context: This is a battle to take Daddy back from that woman.\But if you run away, where will you go?\With you.\I can't go along with you that far! No, I'm going home!\Friendship! Friendship!\Arima, friendship is a wonderful thing.\But every so often, it's rough.\What'll happen next! response:	Sis got caught up in some other family's personal problems.
context: But if you run away, where will you go?\With you.\I can't go along with you that far! No, I'm going home!\Friendship! Friendship!\Arima, friendship is a wonderful thing.\But every so often, it's rough.\What'll happen next!\Sis got caught up in some other family's personal problems. response:	And our guests keep bringing
context: With you.\I can't go along with you that far! No, I'm going home!\Friendship! Friendship!\Arima, friendship is a wonderful thing.\But every so often, it's rough.\What'll happen next!\Sis got caught up in some other family's personal problems.\And our guests keep bringing response:	up crisis after crisis!
context: I can't go along with you that far! No, I'm going home!\Friendship! Friendship!\Arima, friendship is a wonderful thing.\But every so often, it's rough.\What'll happen next!\Sis got caught up in some other family's personal problems.\And our guests keep bringing\up crisis after crisis! response:	What happened to the heart-warming comedy?!
context: Friendship! Friendship!\Arima, friendship is a wonderful thing.\But every so often, it's rough.\What'll happen next!\Sis got caught up in some other family's personal problems.\And our guests keep bringing\up crisis after crisis!\What happened to the heart-warming comedy?! response:	Where Happiness is.
context: Arima, friendship is a wonderful thing.\But every so often, it's rough.\What'll happen next!\Sis got caught up in some other family's personal problems.\And our guests keep bringing\up crisis after crisis!\What happened to the heart-warming comedy?!\Where Happiness is. response:	Where's MY happiness?
