context: 8:50 PM May 7 (Sunday) response:	Sorry! I overslept!
context: The sixth event, Russia's Rostelecom Cup!\He'll be up against his fated rival, Yuri Plisetsky!\I'll kill you! Yuri Plisetsky\Yurio\Wow, Yurio! Davai, davai!\So I'm already facing Yurio in the Rostelecom Cup...\You'll be minding the house during the season, Maccachin.\That's right... response:	It'll be my first time in a Grand Prix series without Victor in the lineup.
context: He'll be up against his fated rival, Yuri Plisetsky!\I'll kill you! Yuri Plisetsky\Yurio\Wow, Yurio! Davai, davai!\So I'm already facing Yurio in the Rostelecom Cup...\You'll be minding the house during the season, Maccachin.\That's right...\It'll be my first time in a Grand Prix series without Victor in the lineup. response:	I bet if you show up
context: I'll kill you! Yuri Plisetsky\Yurio\Wow, Yurio! Davai, davai!\So I'm already facing Yurio in the Rostelecom Cup...\You'll be minding the house during the season, Maccachin.\That's right...\It'll be my first time in a Grand Prix series without Victor in the lineup.\I bet if you show up response:	with Victor as your coach, they'll think you stole him from the sport.
context: Yurio\Wow, Yurio! Davai, davai!\So I'm already facing Yurio in the Rostelecom Cup...\You'll be minding the house during the season, Maccachin.\That's right...\It'll be my first time in a Grand Prix series without Victor in the lineup.\I bet if you show up\with Victor as your coach, they'll think you stole him from the sport. response:	Maybe skating fans worldwide hate you now!
context: Wow, Yurio! Davai, davai!\So I'm already facing Yurio in the Rostelecom Cup...\You'll be minding the house during the season, Maccachin.\That's right...\It'll be my first time in a Grand Prix series without Victor in the lineup.\I bet if you show up\with Victor as your coach, they'll think you stole him from the sport.\Maybe skating fans worldwide hate you now! response:	Sorry! We're on your side, Yuri-kun!
context: So I'm already facing Yurio in the Rostelecom Cup...\You'll be minding the house during the season, Maccachin.\That's right...\It'll be my first time in a Grand Prix series without Victor in the lineup.\I bet if you show up\with Victor as your coach, they'll think you stole him from the sport.\Maybe skating fans worldwide hate you now!\Sorry! We're on your side, Yuri-kun! response:	Yeah, we are.
context: You'll be minding the house during the season, Maccachin.\That's right...\It'll be my first time in a Grand Prix series without Victor in the lineup.\I bet if you show up\with Victor as your coach, they'll think you stole him from the sport.\Maybe skating fans worldwide hate you now!\Sorry! We're on your side, Yuri-kun!\Yeah, we are. response:	I'll come cheer you on this season, too!
context: That's right...\It'll be my first time in a Grand Prix series without Victor in the lineup.\I bet if you show up\with Victor as your coach, they'll think you stole him from the sport.\Maybe skating fans worldwide hate you now!\Sorry! We're on your side, Yuri-kun!\Yeah, we are.\I'll come cheer you on this season, too! response:	Yuri!!!
context: It'll be my first time in a Grand Prix series without Victor in the lineup.\I bet if you show up\with Victor as your coach, they'll think you stole him from the sport.\Maybe skating fans worldwide hate you now!\Sorry! We're on your side, Yuri-kun!\Yeah, we are.\I'll come cheer you on this season, too!\Yuri!!! response:	First up is the Cup of China!
context: I bet if you show up\with Victor as your coach, they'll think you stole him from the sport.\Maybe skating fans worldwide hate you now!\Sorry! We're on your side, Yuri-kun!\Yeah, we are.\I'll come cheer you on this season, too!\Yuri!!!\First up is the Cup of China! response:	Huh?
context: with Victor as your coach, they'll think you stole him from the sport.\Maybe skating fans worldwide hate you now!\Sorry! We're on your side, Yuri-kun!\Yeah, we are.\I'll come cheer you on this season, too!\Yuri!!!\First up is the Cup of China!\Huh? response:	Yuri, last year...
context: Maybe skating fans worldwide hate you now!\Sorry! We're on your side, Yuri-kun!\Yeah, we are.\I'll come cheer you on this season, too!\Yuri!!!\First up is the Cup of China!\Huh?\Yuri, last year... response:	In the Nationals...
context: Sorry! We're on your side, Yuri-kun!\Yeah, we are.\I'll come cheer you on this season, too!\Yuri!!!\First up is the Cup of China!\Huh?\Yuri, last year...\In the Nationals... response:	I think I finished eleventh because I messed up my prep.
context: Yeah, we are.\I'll come cheer you on this season, too!\Yuri!!!\First up is the Cup of China!\Huh?\Yuri, last year...\In the Nationals...\I think I finished eleventh because I messed up my prep. response:	I see... So you have to compete in the block championships.
context: I'll come cheer you on this season, too!\Yuri!!!\First up is the Cup of China!\Huh?\Yuri, last year...\In the Nationals...\I think I finished eleventh because I messed up my prep.\I see... So you have to compete in the block championships. response:	What?
context: Yuri!!!\First up is the Cup of China!\Huh?\Yuri, last year...\In the Nationals...\I think I finished eleventh because I messed up my prep.\I see... So you have to compete in the block championships.\What? response:	Oh, we're talking about domestic competitions.
context: First up is the Cup of China!\Huh?\Yuri, last year...\In the Nationals...\I think I finished eleventh because I messed up my prep.\I see... So you have to compete in the block championships.\What?\Oh, we're talking about domestic competitions. response:	To explain, Yuri-kun had a big-time loss in last year's Nationals.
context: Huh?\Yuri, last year...\In the Nationals...\I think I finished eleventh because I messed up my prep.\I see... So you have to compete in the block championships.\What?\Oh, we're talking about domestic competitions.\To explain, Yuri-kun had a big-time loss in last year's Nationals. response:	Japanese National Championships!! Utter Defeat
context: Yuri, last year...\In the Nationals...\I think I finished eleventh because I messed up my prep.\I see... So you have to compete in the block championships.\What?\Oh, we're talking about domestic competitions.\To explain, Yuri-kun had a big-time loss in last year's Nationals.\Japanese National Championships!! Utter Defeat response:	Qualification Loss
context: In the Nationals...\I think I finished eleventh because I messed up my prep.\I see... So you have to compete in the block championships.\What?\Oh, we're talking about domestic competitions.\To explain, Yuri-kun had a big-time loss in last year's Nationals.\Japanese National Championships!! Utter Defeat\Qualification Loss response:	So this year, he has to work his way up from qualifying competitions.
context: I think I finished eleventh because I messed up my prep.\I see... So you have to compete in the block championships.\What?\Oh, we're talking about domestic competitions.\To explain, Yuri-kun had a big-time loss in last year's Nationals.\Japanese National Championships!! Utter Defeat\Qualification Loss\So this year, he has to work his way up from qualifying competitions. response:	Must Compete in Qualifying Competitions
context: I see... So you have to compete in the block championships.\What?\Oh, we're talking about domestic competitions.\To explain, Yuri-kun had a big-time loss in last year's Nationals.\Japanese National Championships!! Utter Defeat\Qualification Loss\So this year, he has to work his way up from qualifying competitions.\Must Compete in Qualifying Competitions response:	So his first event this season is the
context: What?\Oh, we're talking about domestic competitions.\To explain, Yuri-kun had a big-time loss in last year's Nationals.\Japanese National Championships!! Utter Defeat\Qualification Loss\So this year, he has to work his way up from qualifying competitions.\Must Compete in Qualifying Competitions\So his first event this season is the response:	Chugoku, Shikoku, and Kyushu Championship
context: Oh, we're talking about domestic competitions.\To explain, Yuri-kun had a big-time loss in last year's Nationals.\Japanese National Championships!! Utter Defeat\Qualification Loss\So this year, he has to work his way up from qualifying competitions.\Must Compete in Qualifying Competitions\So his first event this season is the\Chugoku, Shikoku, and Kyushu Championship response:	Chugoku, Shikoku, and Kyushu Championship in September.
context: To explain, Yuri-kun had a big-time loss in last year's Nationals.\Japanese National Championships!! Utter Defeat\Qualification Loss\So this year, he has to work his way up from qualifying competitions.\Must Compete in Qualifying Competitions\So his first event this season is the\Chugoku, Shikoku, and Kyushu Championship\Chugoku, Shikoku, and Kyushu Championship in September. response:	It'll be his comeback competition!
context: Japanese National Championships!! Utter Defeat\Qualification Loss\So this year, he has to work his way up from qualifying competitions.\Must Compete in Qualifying Competitions\So his first event this season is the\Chugoku, Shikoku, and Kyushu Championship\Chugoku, Shikoku, and Kyushu Championship in September.\It'll be his comeback competition! response:	Ow.
context: Qualification Loss\So this year, he has to work his way up from qualifying competitions.\Must Compete in Qualifying Competitions\So his first event this season is the\Chugoku, Shikoku, and Kyushu Championship\Chugoku, Shikoku, and Kyushu Championship in September.\It'll be his comeback competition!\Ow. response:	Well, you'll breeze through that.
context: So this year, he has to work his way up from qualifying competitions.\Must Compete in Qualifying Competitions\So his first event this season is the\Chugoku, Shikoku, and Kyushu Championship\Chugoku, Shikoku, and Kyushu Championship in September.\It'll be his comeback competition!\Ow.\Well, you'll breeze through that. response:	Oh, but Minami-kun from Fukuoka will be competing in it!
context: Must Compete in Qualifying Competitions\So his first event this season is the\Chugoku, Shikoku, and Kyushu Championship\Chugoku, Shikoku, and Kyushu Championship in September.\It'll be his comeback competition!\Ow.\Well, you'll breeze through that.\Oh, but Minami-kun from Fukuoka will be competing in it! response:	Yeah, he beat Yuri in the Nationals.
context: So his first event this season is the\Chugoku, Shikoku, and Kyushu Championship\Chugoku, Shikoku, and Kyushu Championship in September.\It'll be his comeback competition!\Ow.\Well, you'll breeze through that.\Oh, but Minami-kun from Fukuoka will be competing in it!\Yeah, he beat Yuri in the Nationals. response:	Minami Kenjiro from Kyushu, said to be the 1 star among younger skaters!
context: Chugoku, Shikoku, and Kyushu Championship\Chugoku, Shikoku, and Kyushu Championship in September.\It'll be his comeback competition!\Ow.\Well, you'll breeze through that.\Oh, but Minami-kun from Fukuoka will be competing in it!\Yeah, he beat Yuri in the Nationals.\Minami Kenjiro from Kyushu, said to be the 1 star among younger skaters! response:	Right...
context: Chugoku, Shikoku, and Kyushu Championship in September.\It'll be his comeback competition!\Ow.\Well, you'll breeze through that.\Oh, but Minami-kun from Fukuoka will be competing in it!\Yeah, he beat Yuri in the Nationals.\Minami Kenjiro from Kyushu, said to be the 1 star among younger skaters!\Right... response:	It's already been more than six months since December, when I thought I was done for.
context: It'll be his comeback competition!\Ow.\Well, you'll breeze through that.\Oh, but Minami-kun from Fukuoka will be competing in it!\Yeah, he beat Yuri in the Nationals.\Minami Kenjiro from Kyushu, said to be the 1 star among younger skaters!\Right...\It's already been more than six months since December, when I thought I was done for. response:	Good, good.
context: Ow.\Well, you'll breeze through that.\Oh, but Minami-kun from Fukuoka will be competing in it!\Yeah, he beat Yuri in the Nationals.\Minami Kenjiro from Kyushu, said to be the 1 star among younger skaters!\Right...\It's already been more than six months since December, when I thought I was done for.\Good, good. response:	We can cheer you on this year, too!
context: Well, you'll breeze through that.\Oh, but Minami-kun from Fukuoka will be competing in it!\Yeah, he beat Yuri in the Nationals.\Minami Kenjiro from Kyushu, said to be the 1 star among younger skaters!\Right...\It's already been more than six months since December, when I thought I was done for.\Good, good.\We can cheer you on this year, too! response:	Good luck.
context: Oh, but Minami-kun from Fukuoka will be competing in it!\Yeah, he beat Yuri in the Nationals.\Minami Kenjiro from Kyushu, said to be the 1 star among younger skaters!\Right...\It's already been more than six months since December, when I thought I was done for.\Good, good.\We can cheer you on this year, too!\Good luck. response:	Dad...
context: Yeah, he beat Yuri in the Nationals.\Minami Kenjiro from Kyushu, said to be the 1 star among younger skaters!\Right...\It's already been more than six months since December, when I thought I was done for.\Good, good.\We can cheer you on this year, too!\Good luck.\Dad... response:	We need to use this chance to make money!
context: Minami Kenjiro from Kyushu, said to be the 1 star among younger skaters!\Right...\It's already been more than six months since December, when I thought I was done for.\Good, good.\We can cheer you on this year, too!\Good luck.\Dad...\We need to use this chance to make money! response:	Dad.
context: Right...\It's already been more than six months since December, when I thought I was done for.\Good, good.\We can cheer you on this year, too!\Good luck.\Dad...\We need to use this chance to make money!\Dad. response:	You'll autograph a sign, won't you?
context: It's already been more than six months since December, when I thought I was done for.\Good, good.\We can cheer you on this year, too!\Good luck.\Dad...\We need to use this chance to make money!\Dad.\You'll autograph a sign, won't you? response:	Until now, I thought I was fighting all by myself.
context: Good, good.\We can cheer you on this year, too!\Good luck.\Dad...\We need to use this chance to make money!\Dad.\You'll autograph a sign, won't you?\Until now, I thought I was fighting all by myself. response:	But now that Victor's here, that's totally changed.
context: We can cheer you on this year, too!\Good luck.\Dad...\We need to use this chance to make money!\Dad.\You'll autograph a sign, won't you?\Until now, I thought I was fighting all by myself.\But now that Victor's here, that's totally changed. response:	Some things are still the same.
context: Good luck.\Dad...\We need to use this chance to make money!\Dad.\You'll autograph a sign, won't you?\Until now, I thought I was fighting all by myself.\But now that Victor's here, that's totally changed.\Some things are still the same. response:	Some have changed.
context: Dad...\We need to use this chance to make money!\Dad.\You'll autograph a sign, won't you?\Until now, I thought I was fighting all by myself.\But now that Victor's here, that's totally changed.\Some things are still the same.\Some have changed. response:	Now everything feels so new.
context: We need to use this chance to make money!\Dad.\You'll autograph a sign, won't you?\Until now, I thought I was fighting all by myself.\But now that Victor's here, that's totally changed.\Some things are still the same.\Some have changed.\Now everything feels so new. response:	I may never be able to regain what I've lost,
context: Dad.\You'll autograph a sign, won't you?\Until now, I thought I was fighting all by myself.\But now that Victor's here, that's totally changed.\Some things are still the same.\Some have changed.\Now everything feels so new.\I may never be able to regain what I've lost, response:	but I can clearly see what's in front of me now.
context: You'll autograph a sign, won't you?\Until now, I thought I was fighting all by myself.\But now that Victor's here, that's totally changed.\Some things are still the same.\Some have changed.\Now everything feels so new.\I may never be able to regain what I've lost,\but I can clearly see what's in front of me now. response:	Okay, from the very beginning.
context: Until now, I thought I was fighting all by myself.\But now that Victor's here, that's totally changed.\Some things are still the same.\Some have changed.\Now everything feels so new.\I may never be able to regain what I've lost,\but I can clearly see what's in front of me now.\Okay, from the very beginning. response:	That's right, Yuri...
context: But now that Victor's here, that's totally changed.\Some things are still the same.\Some have changed.\Now everything feels so new.\I may never be able to regain what I've lost,\but I can clearly see what's in front of me now.\Okay, from the very beginning.\That's right, Yuri... response:	That's beautiful.
context: Some things are still the same.\Some have changed.\Now everything feels so new.\I may never be able to regain what I've lost,\but I can clearly see what's in front of me now.\Okay, from the very beginning.\That's right, Yuri...\That's beautiful. response:	He was so reluctant at first,
context: Some have changed.\Now everything feels so new.\I may never be able to regain what I've lost,\but I can clearly see what's in front of me now.\Okay, from the very beginning.\That's right, Yuri...\That's beautiful.\He was so reluctant at first, response:	but he's becoming more and more like a prima ballerina.
context: Now everything feels so new.\I may never be able to regain what I've lost,\but I can clearly see what's in front of me now.\Okay, from the very beginning.\That's right, Yuri...\That's beautiful.\He was so reluctant at first,\but he's becoming more and more like a prima ballerina. response:	I only have a short window before my body changes.
context: I may never be able to regain what I've lost,\but I can clearly see what's in front of me now.\Okay, from the very beginning.\That's right, Yuri...\That's beautiful.\He was so reluctant at first,\but he's becoming more and more like a prima ballerina.\I only have a short window before my body changes. response:	I'm going to take advantage of everything I can right now to win.
context: but I can clearly see what's in front of me now.\Okay, from the very beginning.\That's right, Yuri...\That's beautiful.\He was so reluctant at first,\but he's becoming more and more like a prima ballerina.\I only have a short window before my body changes.\I'm going to take advantage of everything I can right now to win. response:	Figure skaters are only competitive for a short time.
context: Okay, from the very beginning.\That's right, Yuri...\That's beautiful.\He was so reluctant at first,\but he's becoming more and more like a prima ballerina.\I only have a short window before my body changes.\I'm going to take advantage of everything I can right now to win.\Figure skaters are only competitive for a short time. response:	This will probably be my last competitive figure skating season.
context: That's right, Yuri...\That's beautiful.\He was so reluctant at first,\but he's becoming more and more like a prima ballerina.\I only have a short window before my body changes.\I'm going to take advantage of everything I can right now to win.\Figure skaters are only competitive for a short time.\This will probably be my last competitive figure skating season. response:	I don't know how long Victor will stick around
context: That's beautiful.\He was so reluctant at first,\but he's becoming more and more like a prima ballerina.\I only have a short window before my body changes.\I'm going to take advantage of everything I can right now to win.\Figure skaters are only competitive for a short time.\This will probably be my last competitive figure skating season.\I don't know how long Victor will stick around response:	or how long my body will hold up.
context: He was so reluctant at first,\but he's becoming more and more like a prima ballerina.\I only have a short window before my body changes.\I'm going to take advantage of everything I can right now to win.\Figure skaters are only competitive for a short time.\This will probably be my last competitive figure skating season.\I don't know how long Victor will stick around\or how long my body will hold up. response:	So please, God...
context: but he's becoming more and more like a prima ballerina.\I only have a short window before my body changes.\I'm going to take advantage of everything I can right now to win.\Figure skaters are only competitive for a short time.\This will probably be my last competitive figure skating season.\I don't know how long Victor will stick around\or how long my body will hold up.\So please, God... response:	Give me Victor's time, if only just for now.
context: I only have a short window before my body changes.\I'm going to take advantage of everything I can right now to win.\Figure skaters are only competitive for a short time.\This will probably be my last competitive figure skating season.\I don't know how long Victor will stick around\or how long my body will hold up.\So please, God...\Give me Victor's time, if only just for now. response:	Yuri, you haven't named the piece. What will it be?
context: I'm going to take advantage of everything I can right now to win.\Figure skaters are only competitive for a short time.\This will probably be my last competitive figure skating season.\I don't know how long Victor will stick around\or how long my body will hold up.\So please, God...\Give me Victor's time, if only just for now.\Yuri, you haven't named the piece. What will it be? response:	Yeah, perfect.
context: Figure skaters are only competitive for a short time.\This will probably be my last competitive figure skating season.\I don't know how long Victor will stick around\or how long my body will hold up.\So please, God...\Give me Victor's time, if only just for now.\Yuri, you haven't named the piece. What will it be?\Yeah, perfect. response:	September...
context: This will probably be my last competitive figure skating season.\I don't know how long Victor will stick around\or how long my body will hold up.\So please, God...\Give me Victor's time, if only just for now.\Yuri, you haven't named the piece. What will it be?\Yeah, perfect.\September... response:	Victor's and my season will finally begin.
context: I don't know how long Victor will stick around\or how long my body will hold up.\So please, God...\Give me Victor's time, if only just for now.\Yuri, you haven't named the piece. What will it be?\Yeah, perfect.\September...\Victor's and my season will finally begin. response:	Let's Send the Power of Sports Throughout Japan! Chugoku, Shikoku, and Kyushu Figure Skating Championship
context: or how long my body will hold up.\So please, God...\Give me Victor's time, if only just for now.\Yuri, you haven't named the piece. What will it be?\Yeah, perfect.\September...\Victor's and my season will finally begin.\Let's Send the Power of Sports Throughout Japan! Chugoku, Shikoku, and Kyushu Figure Skating Championship response:	To Be Continued!!!
context: So please, God...\Give me Victor's time, if only just for now.\Yuri, you haven't named the piece. What will it be?\Yeah, perfect.\September...\Victor's and my season will finally begin.\Let's Send the Power of Sports Throughout Japan! Chugoku, Shikoku, and Kyushu Figure Skating Championship\To Be Continued!!! response:	It's my first official competition in a while.
context: Give me Victor's time, if only just for now.\Yuri, you haven't named the piece. What will it be?\Yeah, perfect.\September...\Victor's and my season will finally begin.\Let's Send the Power of Sports Throughout Japan! Chugoku, Shikoku, and Kyushu Figure Skating Championship\To Be Continued!!!\It's my first official competition in a while. response:	I'm so nervous...
context: Yuri, you haven't named the piece. What will it be?\Yeah, perfect.\September...\Victor's and my season will finally begin.\Let's Send the Power of Sports Throughout Japan! Chugoku, Shikoku, and Kyushu Figure Skating Championship\To Be Continued!!!\It's my first official competition in a while.\I'm so nervous... response:	This is my coaching debut.
context: Yeah, perfect.\September...\Victor's and my season will finally begin.\Let's Send the Power of Sports Throughout Japan! Chugoku, Shikoku, and Kyushu Figure Skating Championship\To Be Continued!!!\It's my first official competition in a while.\I'm so nervous...\This is my coaching debut. response:	Yuri, what would you like me to wear?
context: September...\Victor's and my season will finally begin.\Let's Send the Power of Sports Throughout Japan! Chugoku, Shikoku, and Kyushu Figure Skating Championship\To Be Continued!!!\It's my first official competition in a while.\I'm so nervous...\This is my coaching debut.\Yuri, what would you like me to wear? response:	Oh, just your usual clothes, please.
context: Victor's and my season will finally begin.\Let's Send the Power of Sports Throughout Japan! Chugoku, Shikoku, and Kyushu Figure Skating Championship\To Be Continued!!!\It's my first official competition in a while.\I'm so nervous...\This is my coaching debut.\Yuri, what would you like me to wear?\Oh, just your usual clothes, please. response:	Fifth Skate: Face Beet-Red!! It's the First Competition!
context: Let's Send the Power of Sports Throughout Japan! Chugoku, Shikoku, and Kyushu Figure Skating Championship\To Be Continued!!!\It's my first official competition in a while.\I'm so nervous...\This is my coaching debut.\Yuri, what would you like me to wear?\Oh, just your usual clothes, please.\Fifth Skate: Face Beet-Red!! It's the First Competition! response:	Fifth Skate Face Beet-Red!! It's the First Competition! The Chugoku, Shikoku, and Kyushu Championship
context: To Be Continued!!!\It's my first official competition in a while.\I'm so nervous...\This is my coaching debut.\Yuri, what would you like me to wear?\Oh, just your usual clothes, please.\Fifth Skate: Face Beet-Red!! It's the First Competition!\Fifth Skate Face Beet-Red!! It's the First Competition! The Chugoku, Shikoku, and Kyushu Championship response:	The Chugoku, Shikoku, and Kyushu Championship.
context: It's my first official competition in a while.\I'm so nervous...\This is my coaching debut.\Yuri, what would you like me to wear?\Oh, just your usual clothes, please.\Fifth Skate: Face Beet-Red!! It's the First Competition!\Fifth Skate Face Beet-Red!! It's the First Competition! The Chugoku, Shikoku, and Kyushu Championship\The Chugoku, Shikoku, and Kyushu Championship. response:	Stay tuned!
