context: And now an update on the vicious assault that occurred yesterday response:	in front of Toyosu station.
context: How many cars are left?\There are five more trapped upwards from where you are.\Still so many...\Will you help us?\Of course. I'm a cop.\Okay, let's go!\Look out!\What? response:	What's that?
context: There are five more trapped upwards from where you are.\Still so many...\Will you help us?\Of course. I'm a cop.\Okay, let's go!\Look out!\What?\What's that? response:	Amnesia...
context: Still so many...\Will you help us?\Of course. I'm a cop.\Okay, let's go!\Look out!\What?\What's that?\Amnesia... response:	The Effect is already active.
context: Will you help us?\Of course. I'm a cop.\Okay, let's go!\Look out!\What?\What's that?\Amnesia...\The Effect is already active. response:	What's that?
context: Of course. I'm a cop.\Okay, let's go!\Look out!\What?\What's that?\Amnesia...\The Effect is already active.\What's that? response:	By whom?
context: Okay, let's go!\Look out!\What?\What's that?\Amnesia...\The Effect is already active.\What's that?\By whom? response:	What's going on?
context: Look out!\What?\What's that?\Amnesia...\The Effect is already active.\What's that?\By whom?\What's going on? response:	It can't be... Is that the one?
context: What?\What's that?\Amnesia...\The Effect is already active.\What's that?\By whom?\What's going on?\It can't be... Is that the one? response:	The broken child!
context: What's that?\Amnesia...\The Effect is already active.\What's that?\By whom?\What's going on?\It can't be... Is that the one?\The broken child! response:	Let's go. There can be no casualties.
context: Amnesia...\The Effect is already active.\What's that?\By whom?\What's going on?\It can't be... Is that the one?\The broken child!\Let's go. There can be no casualties. response:	Play the Game...
context: The Effect is already active.\What's that?\By whom?\What's going on?\It can't be... Is that the one?\The broken child!\Let's go. There can be no casualties.\Play the Game... response:	First, speak to passengers to see if they are conscious,
context: What's that?\By whom?\What's going on?\It can't be... Is that the one?\The broken child!\Let's go. There can be no casualties.\Play the Game...\First, speak to passengers to see if they are conscious, response:	and check if their airways are obstructed or not.
context: By whom?\What's going on?\It can't be... Is that the one?\The broken child!\Let's go. There can be no casualties.\Play the Game...\First, speak to passengers to see if they are conscious,\and check if their airways are obstructed or not. response:	If they need CPR, bring them here.
context: What's going on?\It can't be... Is that the one?\The broken child!\Let's go. There can be no casualties.\Play the Game...\First, speak to passengers to see if they are conscious,\and check if their airways are obstructed or not.\If they need CPR, bring them here. response:	Don't worry.
context: It can't be... Is that the one?\The broken child!\Let's go. There can be no casualties.\Play the Game...\First, speak to passengers to see if they are conscious,\and check if their airways are obstructed or not.\If they need CPR, bring them here.\Don't worry. response:	We will save all of them without fail.
context: The broken child!\Let's go. There can be no casualties.\Play the Game...\First, speak to passengers to see if they are conscious,\and check if their airways are obstructed or not.\If they need CPR, bring them here.\Don't worry.\We will save all of them without fail. response:	It'll be okay. I hope everyone makes it...
context: Let's go. There can be no casualties.\Play the Game...\First, speak to passengers to see if they are conscious,\and check if their airways are obstructed or not.\If they need CPR, bring them here.\Don't worry.\We will save all of them without fail.\It'll be okay. I hope everyone makes it... response:	Looks like things are going to be okay here.
context: Play the Game...\First, speak to passengers to see if they are conscious,\and check if their airways are obstructed or not.\If they need CPR, bring them here.\Don't worry.\We will save all of them without fail.\It'll be okay. I hope everyone makes it...\Looks like things are going to be okay here. response:	Wow!
context: First, speak to passengers to see if they are conscious,\and check if their airways are obstructed or not.\If they need CPR, bring them here.\Don't worry.\We will save all of them without fail.\It'll be okay. I hope everyone makes it...\Looks like things are going to be okay here.\Wow! response:	Who are they?
context: and check if their airways are obstructed or not.\If they need CPR, bring them here.\Don't worry.\We will save all of them without fail.\It'll be okay. I hope everyone makes it...\Looks like things are going to be okay here.\Wow!\Who are they? response:	We have to do our part, too!
context: If they need CPR, bring them here.\Don't worry.\We will save all of them without fail.\It'll be okay. I hope everyone makes it...\Looks like things are going to be okay here.\Wow!\Who are they?\We have to do our part, too! response:	Newbie.
context: Don't worry.\We will save all of them without fail.\It'll be okay. I hope everyone makes it...\Looks like things are going to be okay here.\Wow!\Who are they?\We have to do our part, too!\Newbie. response:	I'm Hajime.
context: We will save all of them without fail.\It'll be okay. I hope everyone makes it...\Looks like things are going to be okay here.\Wow!\Who are they?\We have to do our part, too!\Newbie.\I'm Hajime. response:	Don't use your Gatchaman powers.
context: It'll be okay. I hope everyone makes it...\Looks like things are going to be okay here.\Wow!\Who are they?\We have to do our part, too!\Newbie.\I'm Hajime.\Don't use your Gatchaman powers. response:	Boo.
context: Looks like things are going to be okay here.\Wow!\Who are they?\We have to do our part, too!\Newbie.\I'm Hajime.\Don't use your Gatchaman powers.\Boo. response:	You either, Utsutsu.
context: Wow!\Who are they?\We have to do our part, too!\Newbie.\I'm Hajime.\Don't use your Gatchaman powers.\Boo.\You either, Utsutsu. response:	Get out of the tunnel!
context: Who are they?\We have to do our part, too!\Newbie.\I'm Hajime.\Don't use your Gatchaman powers.\Boo.\You either, Utsutsu.\Get out of the tunnel! response:	Hurry!
context: We have to do our part, too!\Newbie.\I'm Hajime.\Don't use your Gatchaman powers.\Boo.\You either, Utsutsu.\Get out of the tunnel!\Hurry! response:	Hey, Newbie!
context: Newbie.\I'm Hajime.\Don't use your Gatchaman powers.\Boo.\You either, Utsutsu.\Get out of the tunnel!\Hurry!\Hey, Newbie! response:	Gatcha
context: I'm Hajime.\Don't use your Gatchaman powers.\Boo.\You either, Utsutsu.\Get out of the tunnel!\Hurry!\Hey, Newbie!\Gatcha response:	What are you thinking?!
context: Don't use your Gatchaman powers.\Boo.\You either, Utsutsu.\Get out of the tunnel!\Hurry!\Hey, Newbie!\Gatcha\What are you thinking?! response:	Senpai, aren't there times when you find yourself taking
context: Boo.\You either, Utsutsu.\Get out of the tunnel!\Hurry!\Hey, Newbie!\Gatcha\What are you thinking?!\Senpai, aren't there times when you find yourself taking response:	action without even thinking about it?
context: You either, Utsutsu.\Get out of the tunnel!\Hurry!\Hey, Newbie!\Gatcha\What are you thinking?!\Senpai, aren't there times when you find yourself taking\action without even thinking about it? response:	What are you talking about?
context: Get out of the tunnel!\Hurry!\Hey, Newbie!\Gatcha\What are you thinking?!\Senpai, aren't there times when you find yourself taking\action without even thinking about it?\What are you talking about? response:	Hey!
context: Hurry!\Hey, Newbie!\Gatcha\What are you thinking?!\Senpai, aren't there times when you find yourself taking\action without even thinking about it?\What are you talking about?\Hey! response:	The time is now!
context: Hey, Newbie!\Gatcha\What are you thinking?!\Senpai, aren't there times when you find yourself taking\action without even thinking about it?\What are you talking about?\Hey!\The time is now! response:	That's what heroes do!
context: Gatcha\What are you thinking?!\Senpai, aren't there times when you find yourself taking\action without even thinking about it?\What are you talking about?\Hey!\The time is now!\That's what heroes do! response:	Amnesia Effect!
context: What are you thinking?!\Senpai, aren't there times when you find yourself taking\action without even thinking about it?\What are you talking about?\Hey!\The time is now!\That's what heroes do!\Amnesia Effect! response:	Wait!
context: Senpai, aren't there times when you find yourself taking\action without even thinking about it?\What are you talking about?\Hey!\The time is now!\That's what heroes do!\Amnesia Effect!\Wait! response:	Go, Bird!
context: action without even thinking about it?\What are you talking about?\Hey!\The time is now!\That's what heroes do!\Amnesia Effect!\Wait!\Go, Bird! response:	Are you okay!?
context: What are you talking about?\Hey!\The time is now!\That's what heroes do!\Amnesia Effect!\Wait!\Go, Bird!\Are you okay!? response:	It can't be...
