context: Here at Talisman Saloon, we only discuss the affairs of others. response:	All right, Lemonade Candy?
context: S-Sorry!\What was up with today's meet-up?!\My boyfriend got captured by the Bureau!\What're you gonna do about it!\E-Everyone, calm down!\That was a raid by the Bureau!\I had nothing to do with it!\You must not lie, Spooky Boogie. response:	When the commotion started, they were already inside Exoset.
context: What was up with today's meet-up?!\My boyfriend got captured by the Bureau!\What're you gonna do about it!\E-Everyone, calm down!\That was a raid by the Bureau!\I had nothing to do with it!\You must not lie, Spooky Boogie.\When the commotion started, they were already inside Exoset. response:	I can't help but think that the organizer had guided them from the start.
context: My boyfriend got captured by the Bureau!\What're you gonna do about it!\E-Everyone, calm down!\That was a raid by the Bureau!\I had nothing to do with it!\You must not lie, Spooky Boogie.\When the commotion started, they were already inside Exoset.\I can't help but think that the organizer had guided them from the start. response:	You've preached anarchism all this time and been admired for it.
context: What're you gonna do about it!\E-Everyone, calm down!\That was a raid by the Bureau!\I had nothing to do with it!\You must not lie, Spooky Boogie.\When the commotion started, they were already inside Exoset.\I can't help but think that the organizer had guided them from the start.\You've preached anarchism all this time and been admired for it. response:	And yet, you've acted as an agent for the government.
context: E-Everyone, calm down!\That was a raid by the Bureau!\I had nothing to do with it!\You must not lie, Spooky Boogie.\When the commotion started, they were already inside Exoset.\I can't help but think that the organizer had guided them from the start.\You've preached anarchism all this time and been admired for it.\And yet, you've acted as an agent for the government. response:	Such a thing is impermissible.
context: That was a raid by the Bureau!\I had nothing to do with it!\You must not lie, Spooky Boogie.\When the commotion started, they were already inside Exoset.\I can't help but think that the organizer had guided them from the start.\You've preached anarchism all this time and been admired for it.\And yet, you've acted as an agent for the government.\Such a thing is impermissible. response:	Wh-What're you saying?!
context: I had nothing to do with it!\You must not lie, Spooky Boogie.\When the commotion started, they were already inside Exoset.\I can't help but think that the organizer had guided them from the start.\You've preached anarchism all this time and been admired for it.\And yet, you've acted as an agent for the government.\Such a thing is impermissible.\Wh-What're you saying?! response:	You're the one who did something to catch the Bureau's eyes in the first place, Talisman!
context: You must not lie, Spooky Boogie.\When the commotion started, they were already inside Exoset.\I can't help but think that the organizer had guided them from the start.\You've preached anarchism all this time and been admired for it.\And yet, you've acted as an agent for the government.\Such a thing is impermissible.\Wh-What're you saying?!\You're the one who did something to catch the Bureau's eyes in the first place, Talisman! response:	You have betrayed your own character.
context: When the commotion started, they were already inside Exoset.\I can't help but think that the organizer had guided them from the start.\You've preached anarchism all this time and been admired for it.\And yet, you've acted as an agent for the government.\Such a thing is impermissible.\Wh-What're you saying?!\You're the one who did something to catch the Bureau's eyes in the first place, Talisman!\You have betrayed your own character. response:	You are no longer Spooky Boogie.
context: I can't help but think that the organizer had guided them from the start.\You've preached anarchism all this time and been admired for it.\And yet, you've acted as an agent for the government.\Such a thing is impermissible.\Wh-What're you saying?!\You're the one who did something to catch the Bureau's eyes in the first place, Talisman!\You have betrayed your own character.\You are no longer Spooky Boogie. response:	You are no longer qualified to be an avatar admired by the public.
context: You've preached anarchism all this time and been admired for it.\And yet, you've acted as an agent for the government.\Such a thing is impermissible.\Wh-What're you saying?!\You're the one who did something to catch the Bureau's eyes in the first place, Talisman!\You have betrayed your own character.\You are no longer Spooky Boogie.\You are no longer qualified to be an avatar admired by the public. response:	D-Don't talk like you know everything!
context: And yet, you've acted as an agent for the government.\Such a thing is impermissible.\Wh-What're you saying?!\You're the one who did something to catch the Bureau's eyes in the first place, Talisman!\You have betrayed your own character.\You are no longer Spooky Boogie.\You are no longer qualified to be an avatar admired by the public.\D-Don't talk like you know everything! response:	I know more about you than you yourself do.
context: Such a thing is impermissible.\Wh-What're you saying?!\You're the one who did something to catch the Bureau's eyes in the first place, Talisman!\You have betrayed your own character.\You are no longer Spooky Boogie.\You are no longer qualified to be an avatar admired by the public.\D-Don't talk like you know everything!\I know more about you than you yourself do. response:	Q-Quit screwing around!
context: Wh-What're you saying?!\You're the one who did something to catch the Bureau's eyes in the first place, Talisman!\You have betrayed your own character.\You are no longer Spooky Boogie.\You are no longer qualified to be an avatar admired by the public.\D-Don't talk like you know everything!\I know more about you than you yourself do.\Q-Quit screwing around! response:	Wh-What's with him? He's super creepy!
context: You're the one who did something to catch the Bureau's eyes in the first place, Talisman!\You have betrayed your own character.\You are no longer Spooky Boogie.\You are no longer qualified to be an avatar admired by the public.\D-Don't talk like you know everything!\I know more about you than you yourself do.\Q-Quit screwing around!\Wh-What's with him? He's super creepy! response:	Who the hell does he think he is?!
context: You have betrayed your own character.\You are no longer Spooky Boogie.\You are no longer qualified to be an avatar admired by the public.\D-Don't talk like you know everything!\I know more about you than you yourself do.\Q-Quit screwing around!\Wh-What's with him? He's super creepy!\Who the hell does he think he is?! response:	I'm going to block his access.
context: You are no longer Spooky Boogie.\You are no longer qualified to be an avatar admired by the public.\D-Don't talk like you know everything!\I know more about you than you yourself do.\Q-Quit screwing around!\Wh-What's with him? He's super creepy!\Who the hell does he think he is?!\I'm going to block his access. response:	I'm not gonna let him in my CommuField ever again.
context: You are no longer qualified to be an avatar admired by the public.\D-Don't talk like you know everything!\I know more about you than you yourself do.\Q-Quit screwing around!\Wh-What's with him? He's super creepy!\Who the hell does he think he is?!\I'm going to block his access.\I'm not gonna let him in my CommuField ever again. response:	There's no need for that.
context: D-Don't talk like you know everything!\I know more about you than you yourself do.\Q-Quit screwing around!\Wh-What's with him? He's super creepy!\Who the hell does he think he is?!\I'm going to block his access.\I'm not gonna let him in my CommuField ever again.\There's no need for that. response:	After all, you won't ever be Spooky Boogie again.
context: I know more about you than you yourself do.\Q-Quit screwing around!\Wh-What's with him? He's super creepy!\Who the hell does he think he is?!\I'm going to block his access.\I'm not gonna let him in my CommuField ever again.\There's no need for that.\After all, you won't ever be Spooky Boogie again. response:	Did you kill her?
context: Q-Quit screwing around!\Wh-What's with him? He's super creepy!\Who the hell does he think he is?!\I'm going to block his access.\I'm not gonna let him in my CommuField ever again.\There's no need for that.\After all, you won't ever be Spooky Boogie again.\Did you kill her? response:	That woman was ill-suited to the role of Spooky Boogie.
context: Wh-What's with him? He's super creepy!\Who the hell does he think he is?!\I'm going to block his access.\I'm not gonna let him in my CommuField ever again.\There's no need for that.\After all, you won't ever be Spooky Boogie again.\Did you kill her?\That woman was ill-suited to the role of Spooky Boogie. response:	But Spooky Boogie should not disappear.
context: Who the hell does he think he is?!\I'm going to block his access.\I'm not gonna let him in my CommuField ever again.\There's no need for that.\After all, you won't ever be Spooky Boogie again.\Did you kill her?\That woman was ill-suited to the role of Spooky Boogie.\But Spooky Boogie should not disappear. response:	She must continue to bring smiles to everyone's faces.
context: I'm going to block his access.\I'm not gonna let him in my CommuField ever again.\There's no need for that.\After all, you won't ever be Spooky Boogie again.\Did you kill her?\That woman was ill-suited to the role of Spooky Boogie.\But Spooky Boogie should not disappear.\She must continue to bring smiles to everyone's faces. response:	Spooky Boogie shall remain in this world, but the woman behind her will disappear without a trace.
context: I'm not gonna let him in my CommuField ever again.\There's no need for that.\After all, you won't ever be Spooky Boogie again.\Did you kill her?\That woman was ill-suited to the role of Spooky Boogie.\But Spooky Boogie should not disappear.\She must continue to bring smiles to everyone's faces.\Spooky Boogie shall remain in this world, but the woman behind her will disappear without a trace. response:	Indeed.
context: There's no need for that.\After all, you won't ever be Spooky Boogie again.\Did you kill her?\That woman was ill-suited to the role of Spooky Boogie.\But Spooky Boogie should not disappear.\She must continue to bring smiles to everyone's faces.\Spooky Boogie shall remain in this world, but the woman behind her will disappear without a trace.\Indeed. response:	You can play a perfect Spooky Boogie, better than Sugawara Shouko herself.
context: After all, you won't ever be Spooky Boogie again.\Did you kill her?\That woman was ill-suited to the role of Spooky Boogie.\But Spooky Boogie should not disappear.\She must continue to bring smiles to everyone's faces.\Spooky Boogie shall remain in this world, but the woman behind her will disappear without a trace.\Indeed.\You can play a perfect Spooky Boogie, better than Sugawara Shouko herself. response:	Just as you became a perfect Talisman, better than Hayama Kimihiko.
context: Did you kill her?\That woman was ill-suited to the role of Spooky Boogie.\But Spooky Boogie should not disappear.\She must continue to bring smiles to everyone's faces.\Spooky Boogie shall remain in this world, but the woman behind her will disappear without a trace.\Indeed.\You can play a perfect Spooky Boogie, better than Sugawara Shouko herself.\Just as you became a perfect Talisman, better than Hayama Kimihiko. response:	It seems all fairy tales are dead
context: That woman was ill-suited to the role of Spooky Boogie.\But Spooky Boogie should not disappear.\She must continue to bring smiles to everyone's faces.\Spooky Boogie shall remain in this world, but the woman behind her will disappear without a trace.\Indeed.\You can play a perfect Spooky Boogie, better than Sugawara Shouko herself.\Just as you became a perfect Talisman, better than Hayama Kimihiko.\It seems all fairy tales are dead response:	It seems all fairy tales are dead
context: But Spooky Boogie should not disappear.\She must continue to bring smiles to everyone's faces.\Spooky Boogie shall remain in this world, but the woman behind her will disappear without a trace.\Indeed.\You can play a perfect Spooky Boogie, better than Sugawara Shouko herself.\Just as you became a perfect Talisman, better than Hayama Kimihiko.\It seems all fairy tales are dead\It seems all fairy tales are dead response:	In a hospital ward of brick stones
context: She must continue to bring smiles to everyone's faces.\Spooky Boogie shall remain in this world, but the woman behind her will disappear without a trace.\Indeed.\You can play a perfect Spooky Boogie, better than Sugawara Shouko herself.\Just as you became a perfect Talisman, better than Hayama Kimihiko.\It seems all fairy tales are dead\It seems all fairy tales are dead\In a hospital ward of brick stones response:	my voice is too coarse to sing
context: Spooky Boogie shall remain in this world, but the woman behind her will disappear without a trace.\Indeed.\You can play a perfect Spooky Boogie, better than Sugawara Shouko herself.\Just as you became a perfect Talisman, better than Hayama Kimihiko.\It seems all fairy tales are dead\It seems all fairy tales are dead\In a hospital ward of brick stones\my voice is too coarse to sing response:	Outside in the foggy haze
context: Indeed.\You can play a perfect Spooky Boogie, better than Sugawara Shouko herself.\Just as you became a perfect Talisman, better than Hayama Kimihiko.\It seems all fairy tales are dead\It seems all fairy tales are dead\In a hospital ward of brick stones\my voice is too coarse to sing\Outside in the foggy haze response:	a red moon glows
context: You can play a perfect Spooky Boogie, better than Sugawara Shouko herself.\Just as you became a perfect Talisman, better than Hayama Kimihiko.\It seems all fairy tales are dead\It seems all fairy tales are dead\In a hospital ward of brick stones\my voice is too coarse to sing\Outside in the foggy haze\a red moon glows response:	Look at me
context: Just as you became a perfect Talisman, better than Hayama Kimihiko.\It seems all fairy tales are dead\It seems all fairy tales are dead\In a hospital ward of brick stones\my voice is too coarse to sing\Outside in the foggy haze\a red moon glows\Look at me response:	Do not avert your gaze
context: It seems all fairy tales are dead\It seems all fairy tales are dead\In a hospital ward of brick stones\my voice is too coarse to sing\Outside in the foggy haze\a red moon glows\Look at me\Do not avert your gaze response:	Behind black bars
context: It seems all fairy tales are dead\In a hospital ward of brick stones\my voice is too coarse to sing\Outside in the foggy haze\a red moon glows\Look at me\Do not avert your gaze\Behind black bars response:	I was born
context: In a hospital ward of brick stones\my voice is too coarse to sing\Outside in the foggy haze\a red moon glows\Look at me\Do not avert your gaze\Behind black bars\I was born response:	I wish there were a punishment for evil
context: my voice is too coarse to sing\Outside in the foggy haze\a red moon glows\Look at me\Do not avert your gaze\Behind black bars\I was born\I wish there were a punishment for evil response:	Always I need you
context: Outside in the foggy haze\a red moon glows\Look at me\Do not avert your gaze\Behind black bars\I was born\I wish there were a punishment for evil\Always I need you response:	Now, grant us justice
context: a red moon glows\Look at me\Do not avert your gaze\Behind black bars\I was born\I wish there were a punishment for evil\Always I need you\Now, grant us justice response:	before chaos takes us all
context: Look at me\Do not avert your gaze\Behind black bars\I was born\I wish there were a punishment for evil\Always I need you\Now, grant us justice\before chaos takes us all response:	Pay the price of fate and let us go together,
context: Do not avert your gaze\Behind black bars\I was born\I wish there were a punishment for evil\Always I need you\Now, grant us justice\before chaos takes us all\Pay the price of fate and let us go together, response:	nameless beasts
context: Behind black bars\I was born\I wish there were a punishment for evil\Always I need you\Now, grant us justice\before chaos takes us all\Pay the price of fate and let us go together,\nameless beasts response:	This is a world where the mental state and personal tendencies of humans can be quantified. While all sorts of inclinations are recorded and policed, these measured numbers used to judge people's souls are commonly called Psycho-Pass.
context: I was born\I wish there were a punishment for evil\Always I need you\Now, grant us justice\before chaos takes us all\Pay the price of fate and let us go together,\nameless beasts\This is a world where the mental state and personal tendencies of humans can be quantified. While all sorts of inclinations are recorded and policed, these measured numbers used to judge people's souls are commonly called Psycho-Pass. response:	This is a world where the mental state and personal tendencies of humans can be quantified. While all sorts of inclinations are recorded and policed, these measured numbers used to judge people's souls are commonly called Psycho-Pass.
context: I wish there were a punishment for evil\Always I need you\Now, grant us justice\before chaos takes us all\Pay the price of fate and let us go together,\nameless beasts\This is a world where the mental state and personal tendencies of humans can be quantified. While all sorts of inclinations are recorded and policed, these measured numbers used to judge people's souls are commonly called Psycho-Pass.\This is a world where the mental state and personal tendencies of humans can be quantified. While all sorts of inclinations are recorded and policed, these measured numbers used to judge people's souls are commonly called Psycho-Pass. response:	This story is a work of fiction. The names of all individuals and organizations that appear in this show are fictitious and any similarity to those in existence in the real world is purely coincidental.
context: Always I need you\Now, grant us justice\before chaos takes us all\Pay the price of fate and let us go together,\nameless beasts\This is a world where the mental state and personal tendencies of humans can be quantified. While all sorts of inclinations are recorded and policed, these measured numbers used to judge people's souls are commonly called Psycho-Pass.\This is a world where the mental state and personal tendencies of humans can be quantified. While all sorts of inclinations are recorded and policed, these measured numbers used to judge people's souls are commonly called Psycho-Pass.\This story is a work of fiction. The names of all individuals and organizations that appear in this show are fictitious and any similarity to those in existence in the real world is purely coincidental. response:	This story is a work of fiction. The names of all individuals and organizations that appear in this show are fictitious and any similarity to those in existence in the real world is purely coincidental.
